1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 223935.38),(2 826846.7),(3 1819557.1),(4 3230793.3),(5 5226466.5),(6 7588488),(7 10431929),(8 13894713),(9 17365918),(10 21480370),(11 25900976),(12 30881510),(13 36395230),(14 42400548),(15 48920108),(16 55726416),(17 63166770),(18 71109016),(19 79339320),(20 87991864),(21 96827400),(22 106034080),(23 116707130),(24 126748610),(25 137490770),(26 148689220),(27 160337230),(28 172040020),(29 184701380),(30 198165890),(31 211299180),(32 225320830),(33 238896270),(34 252365330),(35 265821420),(36 279061150),(37 291983970),(38 305934900),(39 318829540),(40 332409180),(41 346350620),(42 360974880),(43 375977820),(44 390317570),(45 405527520),(46 420683040),(47 436915300),(48 453909500),(49 471137630),(50 488303780),(51 505547000),(52 522220580),(53 539869500),(54 556714050),(55 573155260),(56 590579200),(57 607438000),(58 624176100),(59 641075140),(60 658034940),(61 673992200),(62 690759740),(63 706772030),(64 722474800),(65 737812740),(66 752075200),(67 766714940),(68 780795700),(69 793548350),(70 804275000),(71 815139140),(72 825366300),(73 833914050),(74 842682100),(75 851054900),(76 858426300),(77 865547700),(78 872201700),(79 878257100),
(1 107927.11),(2 385401.6),(3 824376.5),(4 1427459.8),(5 2275871),(6 3326203),(7 4660844),(8 6309005.5),(9 8004583),(10 10106379),(11 12288176),(12 14664486),(13 17265302),(14 20109616),(15 23282326),(16 26577606),(17 30200774),(18 33747830),(19 37191444),(20 40735548),(21 44578376),(22 48640544),(23 53054190),(24 57346636),(25 61836948),(26 66412108),(27 70899160),(28 75173710),(29 79310930),(30 83356850),(31 87219710),(32 90846860),(33 94363560),(34 97506900),(35 100556990),(36 103427860),(37 106120890),(38 108709416),(39 111403980),(40 114106620),(41 116724330),(42 119344560),(43 122013010),(44 124654210),(45 127806900),(46 130897770),(47 134476560),(48 138439500),(49 142499820),(50 146443490),(51 150690300),(52 154684540),(53 158842720),(54 162891980),(55 166939550),(56 171435490),(57 175627360),(58 179991250),(59 184329170),(60 188443820),(61 192120420),(62 195812540),(63 199395900),(64 203265340),(65 207501150),(66 211285500),(67 215236560),(68 218755680),(69 222208420),(70 224950190),(71 227858850),(72 230689380),(73 233310620),(74 236538700),(75 239850140),(76 243008930),(77 246642200),(78 249885660),(79 252835280),
(1 151652.11),(2 554195.06),(3 1189668.1),(4 2021460.6),(5 3068667.8),(6 4352344.5),(7 5848342.5),(8 7547610),(9 9327196),(10 11188696),(11 13218437),(12 15296403),(13 17360958),(14 19446730),(15 21572806),(16 23752938),(17 25887168),(18 27984786),(19 29910688),(20 31761418),(21 33586596),(22 35309332),(23 37035690),(24 38783924),(25 40669316),(26 42648640),(27 44588576),(28 46423170),(29 48209972),(30 49759668),(31 51065344),(32 52041456),(33 52811572),(34 53451868),(35 53972044),(36 54334270),(37 54573628),(38 54862560),(39 54955936),(40 55180204),(41 55258240),(42 55346380),(43 55405904),(44 55512304),(45 55723900),(46 56114240),(47 56550850),(48 57158640),(49 57807330),(50 58412748),(51 59051970),(52 59724084),(53 60463292),(54 60955412),(55 61312980),(56 61795220),(57 62206268),(58 62879804),(59 63388588),(60 63992716),(61 64558656),(62 65011460),(63 65371330),(64 65851410),(65 66385150),(66 66973484),(67 67516670),(68 68096200),(69 68480630),(70 68842664),(71 69337960),(72 69951680),(73 70529770),(74 71359560),(75 72292344),(76 73558200),(77 75294710),(78 76978120),(79 78600584),
(1 127422.41),(2 462534.44),(3 1007947.75),(4 1753876.1),(5 2727872),(6 3920288.5),(7 5361006),(8 7053590),(9 8894787),(10 10922750),(11 13102550),(12 15333268),(13 17723278),(14 20147582),(15 22621832),(16 25168680),(17 27687234),(18 30252686),(19 32745124),(20 35174240),(21 37615730),(22 39997732),(23 42431788),(24 44976052),(25 47546436),(26 50120148),(27 52555800),(28 55000812),(29 57425040),(30 59588864),(31 61480776),(32 63301696),(33 64992456),(34 66566010),(35 67839656),(36 69054990),(37 70049350),(38 70723920),(39 70963910),(40 71511176),(41 72041310),(42 72571900),(43 73106300),(44 73731810),(45 74449240),(46 75233390),(47 75884840),(48 76634750),(49 77156856),(50 77542104),(51 77960936),(52 78286696),(53 78650190),(54 79074530),(55 79470840),(56 79897380),(57 80204100),(58 80737770),(59 81352504),(60 82085540),(61 82691730),(62 83228830),(63 83622930),(64 84046424),(65 84404570),(66 84623560),(67 84844090),(68 85218690),(69 85117830),(70 84890250),(71 84769496),(72 84715500),(73 84630230),(74 84407920),(75 84252690),(76 84012380),(77 83997810),(78 83929224),(79 83718420),
(1 112943.84),(2 411992.72),(3 899489.2),(4 1555172.5),(5 2382937),(6 3361332.8),(7 4524330),(8 5826186),(9 7170119.5),(10 8586681),(11 10085787),(12 11608448),(13 13242849),(14 14909169),(15 16575375),(16 18233612),(17 19885510),(18 21531732),(19 23188958),(20 24853410),(21 26588952),(22 28239732),(23 29892526),(24 31573858),(25 33236416),(26 34901684),(27 36497104),(28 38028176),(29 39514344),(30 40727470),(31 41837596),(32 42909828),(33 43972064),(34 45021828),(35 45849548),(36 46499956),(37 46926324),(38 47047684),(39 46973744),(40 46849988),(41 46679324),(42 46471100),(43 46251644),(44 45965668),(45 45714030),(46 45492548),(47 45118650),(48 44760460),(49 44425716),(50 44163776),(51 43973596),(52 43835044),(53 43767904),(54 43758220),(55 43790796),(56 43754910),(57 43640324),(58 43656676),(59 43867270),(60 44138908),(61 44383310),(62 44693424),(63 44888068),(64 45061650),(65 45268610),(66 45472600),(67 45729456),(68 46178140),(69 46640676),(70 47072816),(71 47586300),(72 47980250),(73 48351676),(74 48506670),(75 48589680),(76 48598916),(77 48761304),(78 48958704),(79 49192900),
(1 150120.28),(2 555674.8),(3 1216836.8),(4 2095201),(5 3182576.8),(6 4455090),(7 5959064),(8 7617909),(9 9326655),(10 11116766),(11 12971229),(12 14808963),(13 16598811),(14 18308644),(15 19917808),(16 21438104),(17 22913232),(18 24187632),(19 25402410),(20 26627634),(21 27775418),(22 28765094),(23 29705284),(24 30526412),(25 31295668),(26 31883316),(27 32358662),(28 32631348),(29 32723110),(30 32561396),(31 32316340),(32 32045030),(33 31782656),(34 31443244),(35 31146260),(36 30866228),(37 30681242),(38 30395468),(39 30251380),(40 30165156),(41 30166428),(42 30142800),(43 30064666),(44 29987060),(45 29954982),(46 30000384),(47 30073238),(48 30233088),(49 30540844),(50 30931062),(51 31537030),(52 32243446),(53 32959738),(54 33555050),(55 34250868),(56 35025200),(57 35703480),(58 36434790),(59 37339440),(60 38310390),(61 39092970),(62 39904716),(63 40640908),(64 41315110),(65 41968696),(66 42651840),(67 43256790),(68 43700176),(69 44027470),(70 44160390),(71 44138850),(72 43856136),(73 43561816),(74 43077484),(75 42665090),(76 42188956),(77 41627060),(78 40951892),(79 40173060),
(1 152804.81),(2 568692.56),(3 1226971.9),(4 2094181.1),(5 3135637.8),(6 4334266.5),(7 5674179),(8 7178583),(9 8658259),(10 10150075),(11 11668631),(12 13213756),(13 14694063),(14 16102240),(15 17486744),(16 18802164),(17 20104962),(18 21403606),(19 22657164),(20 23870692),(21 24895424),(22 25795688),(23 26613060),(24 27286148),(25 27888522),(26 28445696),(27 29024470),(28 29426348),(29 29780940),(30 29994784),(31 30122356),(32 30102312),(33 30031266),(34 29876054),(35 29717362),(36 29561320),(37 29432426),(38 29243278),(39 29127800),(40 29084972),(41 29070082),(42 29043032),(43 28931692),(44 28851744),(45 28830242),(46 28775586),(47 28665514),(48 28550994),(49 28398180),(50 28123094),(51 27770766),(52 27434334),(53 27097066),(54 26866076),(55 26662216),(56 26478912),(57 26297748),(58 26088522),(59 25917682),(60 25712398),(61 25415432),(62 25110508),(63 24823744),(64 24588738),(65 24335938),(66 24138048),(67 24033092),(68 23926880),(69 23806784),(70 23663028),(71 23592376),(72 23567518),(73 23677570),(74 23816968),(75 24071672),(76 24342102),(77 24464522),(78 24507166),(79 24488522),
(1 182620.9),(2 704469.25),(3 1553900.8),(4 2694432),(5 4077863.8),(6 5725346),(7 7531413.5),(8 9497646),(9 11529182),(10 13619806),(11 15798455),(12 18005866),(13 20173646),(14 22203582),(15 24031122),(16 25678538),(17 27247714),(18 28694108),(19 29971050),(20 31006054),(21 31908984),(22 32642556),(23 33230020),(24 33592136),(25 33763784),(26 33705628),(27 33392770),(28 32955238),(29 32324832),(30 31503774),(31 30571310),(32 29406758),(33 28060888),(34 26710138),(35 25460294),(36 24231790),(37 23159962),(38 22147996),(39 21354518),(40 20754158),(41 20309460),(42 20015298),(43 19836820),(44 19804146),(45 19849798),(46 19964482),(47 20192572),(48 20548596),(49 21025116),(50 21568694),(51 22069316),(52 22653000),(53 23184444),(54 23777412),(55 24265026),(56 24697694),(57 25094246),(58 25419036),(59 25737170),(60 25931478),(61 26140518),(62 26267640),(63 26214772),(64 26063098),(65 25843532),(66 25622690),(67 25332186),(68 25035892),(69 24627700),(70 24172384),(71 23833962),(72 23625496),(73 23477366),(74 23408444),(75 23476924),(76 23639360),(77 23743820),(78 23820714),(79 23782550),
(1 216850.64),(2 826414.2),(3 1782199),(4 3033334),(5 4527493),(6 6193901.5),(7 8013051.5),(8 9899452),(9 11740597),(10 13481604),(11 15078119),(12 16515418),(13 17856162),(14 19091690),(15 20206310),(16 21171682),(17 22075382),(18 22910290),(19 23518472),(20 24001700),(21 24177790),(22 24120602),(23 23801570),(24 23340844),(25 22763108),(26 22121212),(27 21416434),(28 20663718),(29 19880724),(30 19035310),(31 18241092),(32 17444954),(33 16745453),(34 16098963),(35 15535602),(36 14978244),(37 14569203),(38 14307478),(39 14125589),(40 14012616),(41 13958402),(42 13951209),(43 14009318),(44 14152004),(45 14438048),(46 14783074),(47 15137747),(48 15534825),(49 16017178),(50 16570142),(51 17198050),(52 17824560),(53 18421140),(54 18976710),(55 19424354),(56 19800452),(57 20113062),(58 20319222),(59 20388420),(60 20345562),(61 20316778),(62 20190876),(63 20078396),(64 20036596),(65 19984820),(66 19953218),(67 19942838),(68 19945232),(69 19974770),(70 20051258),(71 20208776),(72 20262298),(73 20267808),(74 20318510),(75 20328656),(76 20353182),(77 20436156),(78 20665668),(79 20967088),
(1 189224.22),(2 712096.5),(3 1523263.8),(4 2569813),(5 3788799.5),(6 5120369.5),(7 6518416),(8 7946647),(9 9264717),(10 10484748),(11 11551175),(12 12503762),(13 13329794),(14 14038144),(15 14633127),(16 15153008),(17 15578805),(18 15886539),(19 16125124),(20 16330766),(21 16472107),(22 16501189),(23 16484882),(24 16350386),(25 16148832),(26 15907371),(27 15601831),(28 15297861),(29 14974238),(30 14694392),(31 14430188),(32 14198084),(33 14058695),(34 13971661),(35 14004724),(36 14048232),(37 14175223),(38 14385700),(39 14691803),(40 15121072),(41 15603812),(42 16112740),(43 16554987),(44 16911986),(45 17280696),(46 17609568),(47 17761152),(48 17900588),(49 18035128),(50 18158686),(51 18244956),(52 18384602),(53 18544420),(54 18790590),(55 19026636),(56 19174296),(57 19295012),(58 19334394),(59 19261110),(60 19054994),(61 18659336),(62 18040810),(63 17277216),(64 16457163),(65 15772114),(66 15216763),(67 14799849),(68 14591361),(69 14553467),(70 14574068),(71 14749966),(72 15121310),(73 15732935),(74 16524011),(75 17437084),(76 18263126),(77 18936686),(78 19483346),(79 19906382),
(1 304345.1),(2 1151691.3),(3 2456253.3),(4 4088291.8),(5 5913751.5),(6 7810134.5),(7 9699666),(8 11477314),(9 13004984),(10 14294244),(11 15365320),(12 16203735),(13 16870358),(14 17342854),(15 17627856),(16 17727278),(17 17655344),(18 17466944),(19 17170872),(20 16821602),(21 16371750),(22 15872695),(23 15362984),(24 14762204),(25 14129770),(26 13497539),(27 12902660),(28 12342357),(29 11783765),(30 11326974),(31 10985439),(32 10742447),(33 10647019),(34 10695501),(35 10860305),(36 11172951),(37 11634451),(38 12128793),(39 12648115),(40 13186303),(41 13773389),(42 14366753),(43 15032392),(44 15749894),(45 16438142),(46 17237468),(47 18093576),(48 19007096),(49 19994712),(50 20887664),(51 21618740),(52 22180168),(53 22581188),(54 22668924),(55 22477476),(56 22000248),(57 21381284),(58 20645882),(59 19692084),(60 18769686),(61 17808892),(62 16849264),(63 15985404),(64 15246981),(65 14694989),(66 14371804),(67 14363076),(68 14595435),(69 15098548),(70 15794765),(71 16699000),(72 17753036),(73 18991518),(74 20250518),(75 21547346),(76 22822678),(77 23864622),(78 24676612),(79 25283224),
