1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 105119.85),(2 383542.75),(3 790147.44),(4 1308824.1),(5 1935842),(6 2659544.3),(7 3500682.3),(8 4461846.5),(9 5466402.5),(10 6459394.5),(11 7467367.5),(12 8499078),(13 9580686),(14 10735294),(15 12029451),(16 13484265),(17 15023623),(18 16706335),(19 18399662),(20 19914742),(21 21464154),(22 23073536),(23 24714462),(24 26412838),(25 28266976),(26 30228832),(27 32257658),(28 34150964),(29 35829908),(30 37552224),(31 39402356),(32 41225188),(33 43079420),(34 45046476),(35 46878716),(36 48661790),(37 50211444),(38 51518540),(39 52510060),(40 53373972),(41 54247596),(42 55209250),(43 56150830),(44 56849536),(45 57419716),(46 57703852),(47 57821804),(48 57788796),(49 57971388),(50 58464204),(51 59289268),(52 60248948),(53 61439316),(54 62540450),(55 63855550),(56 65610948),(57 67759304),(58 70289270),(59 72770330),(60 75084230),(61 77504984),(62 79805690),(63 82138200),(64 84417220),(65 87472744),(66 91047070),(67 94609540),(68 98122264),(69 101575720),(70 105442616),(71 109411780),(72 113393704),(73 117048600),(74 120374936),(75 123608200),(76 126455960),(77 128834460),(78 130826696),(79 132405760),
(1 89938.195),(2 317486.84),(3 631885.2),(4 1030759.6),(5 1510669.8),(6 2054709.3),(7 2668396.5),(8 3360835.5),(9 4101385.5),(10 4857426.5),(11 5650957),(12 6495190.5),(13 7369765),(14 8271118.5),(15 9236384),(16 10266162),(17 11294566),(18 12324790),(19 13345383),(20 14270950),(21 15124656),(22 15944018),(23 16687296),(24 17414988),(25 18137100),(26 18825564),(27 19467092),(28 20149458),(29 20762376),(30 21395174),(31 22054718),(32 22666206),(33 23259200),(34 23852030),(35 24333324),(36 24771770),(37 25087908),(38 25254476),(39 25264428),(40 25221482),(41 25163052),(42 25080614),(43 24984464),(44 24854708),(45 24659616),(46 24387316),(47 24123996),(48 23908978),(49 23733460),(50 23699140),(51 23851618),(52 24108404),(53 24426964),(54 24741158),(55 25139996),(56 25718480),(57 26449446),(58 27263716),(59 28102688),(60 28897712),(61 29791238),(62 30701830),(63 31702298),(64 32759980),(65 34226068),(66 36093130),(67 37966216),(68 39895880),(69 41911380),(70 44035544),(71 46209884),(72 48377096),(73 50337850),(74 52185790),(75 54028890),(76 55787060),(77 57422816),(78 58948536),(79 60327384),
(1 77521.836),(2 269523.34),(3 540712.25),(4 881587.25),(5 1261923),(6 1714656.4),(7 2228827.8),(8 2785378),(9 3371755.3),(10 3980217.3),(11 4632543.5),(12 5343116),(13 6076432),(14 6886376.5),(15 7806996),(16 8754837),(17 9677255),(18 10555146),(19 11390320),(20 12104336),(21 12756312),(22 13396755),(23 13941691),(24 14434853),(25 14873235),(26 15260515),(27 15580141),(28 15906923),(29 16169083),(30 16393192),(31 16550457),(32 16602781),(33 16582864),(34 16503013),(35 16341435),(36 16134551),(37 15847108),(38 15495335),(39 15109913),(40 14725499),(41 14358000),(42 13957860),(43 13568333),(44 13208824),(45 12847067),(46 12497117),(47 12198371),(48 11988013),(49 11796336),(50 11638724),(51 11592317),(52 11697800),(53 11870287),(54 12099851),(55 12409641),(56 12863500),(57 13505211),(58 14332421),(59 15162165),(60 15952803),(61 16814336),(62 17622362),(63 18402172),(64 19219430),(65 20274278),(66 21507606),(67 22631758),(68 23699568),(69 24726938),(70 25687286),(71 26684234),(72 27605696),(73 28336912),(74 28900224),(75 29401744),(76 29901834),(77 30323082),(78 30614768),(79 30704422),
(1 106089.59),(2 400821.5),(3 845113.3),(4 1425309.4),(5 2143900),(6 2975970),(7 3905554.8),(8 4907115.5),(9 5999735.5),(10 7179750),(11 8479424),(12 9848375),(13 11233800),(14 12653371),(15 14131037),(16 15714569),(17 17283978),(18 18809640),(19 20295402),(20 21711904),(21 23009906),(22 24282902),(23 25450006),(24 26553968),(25 27535508),(26 28405610),(27 29132730),(28 29799760),(29 30374382),(30 30863118),(31 31300956),(32 31607630),(33 31797832),(34 31909654),(35 31930830),(36 31817692),(37 31580110),(38 31231446),(39 30792150),(40 30298212),(41 29734890),(42 29066584),(43 28446702),(44 27911382),(45 27355700),(46 26808704),(47 26305578),(48 25879160),(49 25453924),(50 24998030),(51 24608450),(52 24312300),(53 24040380),(54 23729592),(55 23507326),(56 23406560),(57 23373160),(58 23460454),(59 23490396),(60 23482162),(61 23537208),(62 23573368),(63 23522202),(64 23479652),(65 23756970),(66 24198972),(67 24442648),(68 24563882),(69 24735172),(70 24958232),(71 25187702),(72 25382382),(73 25373010),(74 25178972),(75 24962232),(76 24739242),(77 24432130),(78 24114826),(79 23744994),
(1 134767.92),(2 514401.53),(3 1094851.9),(4 1843996.4),(5 2744645),(6 3745168),(7 4830635),(8 5971069.5),(9 7183201.5),(10 8444354),(11 9738286),(12 11008449),(13 12259485),(14 13468481),(15 14656479),(16 15814153),(17 16900014),(18 17909444),(19 18830802),(20 19657458),(21 20366500),(22 20982656),(23 21514494),(24 22004940),(25 22456466),(26 22856832),(27 23216338),(28 23515290),(29 23779410),(30 23965650),(31 24121690),(32 24255678),(33 24374098),(34 24443800),(35 24522048),(36 24478874),(37 24349712),(38 24243746),(39 24129108),(40 24017756),(41 23863096),(42 23639714),(43 23523880),(44 23568034),(45 23698596),(46 23902792),(47 24237376),(48 24610216),(49 24995846),(50 25492204),(51 26180616),(52 26973300),(53 27576026),(54 27959284),(55 28333054),(56 28656446),(57 28901326),(58 29071540),(59 29061358),(60 28929646),(61 28756564),(62 28584154),(63 28325114),(64 28072748),(65 27863272),(66 27591774),(67 27283038),(68 27009984),(69 26790306),(70 26530408),(71 26169672),(72 25681210),(73 25057652),(74 24421870),(75 23856350),(76 23374908),(77 22928990),(78 22500766),(79 22171900),
(1 144704.1),(2 549584.8),(3 1166399.3),(4 1952791.3),(5 2879975.5),(6 3895565.5),(7 4987305),(8 6138559.5),(9 7286494.5),(10 8442837),(11 9597150),(12 10739672),(13 11886822),(14 12975890),(15 14037562),(16 15020626),(17 15937914),(18 16796782),(19 17629456),(20 18387194),(21 19032628),(22 19570806),(23 20133612),(24 20644072),(25 21164034),(26 21677714),(27 22172350),(28 22629824),(29 23120974),(30 23655678),(31 24204452),(32 24801996),(33 25429520),(34 26002714),(35 26582276),(36 27070058),(37 27516326),(38 27952602),(39 28268224),(40 28442196),(41 28509360),(42 28452758),(43 28393222),(44 28285984),(45 28173158),(46 27998630),(47 27842096),(48 27690284),(49 27425012),(50 27067366),(51 26641804),(52 26114196),(53 25500280),(54 24833772),(55 24143008),(56 23446400),(57 22791082),(58 22147498),(59 21535764),(60 21002572),(61 20513004),(62 20090198),(63 19756432),(64 19492646),(65 19385434),(66 19402148),(67 19342812),(68 19234242),(69 19145568),(70 19053538),(71 18997674),(72 18987202),(73 19010556),(74 19109882),(75 19219104),(76 19302384),(77 19392248),(78 19611700),(79 19942724),
(1 138573.39),(2 512513.66),(3 1069524.9),(4 1756518.6),(5 2523531.3),(6 3346795),(7 4198758),(8 5051027.5),(9 5886203.5),(10 6707098.5),(11 7533605.5),(12 8340304.5),(13 9119741),(14 9857130),(15 10537620),(16 11153316),(17 11742539),(18 12326169),(19 12873436),(20 13390537),(21 13877916),(22 14343073),(23 14808278),(24 15204672),(25 15597680),(26 16004332),(27 16407882),(28 16861116),(29 17299854),(30 17742208),(31 18207394),(32 18704610),(33 19166080),(34 19636546),(35 19981224),(36 20136986),(37 20255114),(38 20309208),(39 20277510),(40 20158364),(41 19952868),(42 19672510),(43 19351470),(44 18944228),(45 18541052),(46 18118744),(47 17711454),(48 17345342),(49 16949548),(50 16554913),(51 16171404),(52 15856510),(53 15561323),(54 15281908),(55 15027415),(56 14841434),(57 14728654),(58 14659952),(59 14554342),(60 14417108),(61 14270639),(62 14143717),(63 14071222),(64 14052182),(65 14169077),(66 14413767),(67 14714208),(68 15116529),(69 15555318),(70 16015156),(71 16459183),(72 16829746),(73 17080686),(74 17236166),(75 17382492),(76 17486098),(77 17581548),(78 17664718),(79 17742140),
(1 112215.3),(2 419603),(3 869914.7),(4 1428884.1),(5 2084295.1),(6 2816784.3),(7 3637468.3),(8 4535735.5),(9 5526976.5),(10 6580137.5),(11 7695729.5),(12 8817565),(13 9900198),(14 10949169),(15 11920619),(16 12865940),(17 13795015),(18 14680922),(19 15466813),(20 16180391),(21 16791580),(22 17319878),(23 17777490),(24 18145484),(25 18424668),(26 18631428),(27 18788290),(28 18902296),(29 18953884),(30 18935172),(31 18859484),(32 18761908),(33 18581320),(34 18395324),(35 18103944),(36 17704968),(37 17235402),(38 16675838),(39 16067577),(40 15450131),(41 14830338),(42 14247420),(43 13737173),(44 13300591),(45 12943627),(46 12644903),(47 12406076),(48 12215143),(49 12036565),(50 11899110),(51 11808825),(52 11838103),(53 11923718),(54 12078604),(55 12311627),(56 12636066),(57 12984269),(58 13347535),(59 13698583),(60 14072118),(61 14464875),(62 14899141),(63 15375340),(64 15899479),(65 16529610),(66 17254304),(67 17879452),(68 18418626),(69 18915584),(70 19301372),(71 19582190),(72 19749812),(73 19775736),(74 19655876),(75 19424770),(76 19131284),(77 18785400),(78 18425664),(79 18083460),
(1 121067.516),(2 458998.9),(3 977309.9),(4 1630244),(5 2396128),(6 3272697),(7 4261460),(8 5341474),(9 6500268),(10 7701590.5),(11 8932444),(12 10134786),(13 11238524),(14 12249572),(15 13179762),(16 14048357),(17 14844979),(18 15482537),(19 15910989),(20 16164542),(21 16230468),(22 16210848),(23 16092009),(24 15870995),(25 15578394),(26 15258066),(27 14897496),(28 14503172),(29 14109254),(30 13739925),(31 13399859),(32 13096062),(33 12813674),(34 12570473),(35 12338921),(36 12140456),(37 11973643),(38 11800766),(39 11640960),(40 11501487),(41 11387176),(42 11312094),(43 11249431),(44 11179101),(45 11095166),(46 11029869),(47 11003194),(48 11023482),(49 11036993),(50 11058264),(51 11163876),(52 11390447),(53 11719928),(54 12126805),(55 12579087),(56 13091644),(57 13681139),(58 14260838),(59 14809165),(60 15290679),(61 15758824),(62 16200397),(63 16560207),(64 16821500),(65 17052178),(66 17249214),(67 17374696),(68 17430710),(69 17424052),(70 17346224),(71 17228676),(72 17075346),(73 16870350),(74 16581768),(75 16194515),(76 15739216),(77 15228672),(78 14721912),(79 14242342),
(1 180889.47),(2 705572.25),(3 1517806.5),(4 2562718.8),(5 3785413.8),(6 5156728),(7 6645528.5),(8 8156407),(9 9667097),(10 11106592),(11 12444294),(12 13613156),(13 14565630),(14 15273280),(15 15803156),(16 16198800),(17 16426068),(18 16438123),(19 16254444),(20 15895822),(21 15378500),(22 14845474),(23 14294519),(24 13758844),(25 13292102),(26 12892165),(27 12576777),(28 12376442),(29 12291259),(30 12338142),(31 12511886),(32 12752381),(33 13009772),(34 13269383),(35 13521884),(36 13740729),(37 13900139),(38 13961402),(39 13898250),(40 13748164),(41 13466196),(42 13123497),(43 12715703),(44 12183291),(45 11587260),(46 10969390),(47 10373709),(48 9824898),(49 9339209),(50 8942640),(51 8673812),(52 8522185),(53 8428279),(54 8421842),(55 8528786),(56 8774496),(57 9136791),(58 9605963),(59 10136846),(60 10688620),(61 11222770),(62 11728953),(63 12248037),(64 12715833),(65 13103972),(66 13393710),(67 13551168),(68 13572310),(69 13472734),(70 13307247),(71 13078598),(72 12779296),(73 12396747),(74 11949028),(75 11499877),(76 11114532),(77 10823214),(78 10605188),(79 10496802),
(1 265336.9),(2 1017184.56),(3 2144228),(4 3536574),(5 5071024.5),(6 6683487),(7 8305845.5),(8 9807021),(9 11159136),(10 12318424),(11 13246279),(12 13903558),(13 14308861),(14 14463047),(15 14400472),(16 14146933),(17 13787085),(18 13357048),(19 12889931),(20 12434904),(21 12100188),(22 11918905),(23 11867463),(24 11939542),(25 12147490),(26 12419550),(27 12755939),(28 13164395),(29 13590260),(30 13949026),(31 14237544),(32 14458628),(33 14608887),(34 14664349),(35 14593377),(36 14419409),(37 14181229),(38 13860806),(39 13448017),(40 12961203),(41 12402291),(42 11829329),(43 11254430),(44 10659602),(45 10114178),(46 9639186),(47 9257873),(48 9026201),(49 8942869),(50 9041551),(51 9293176),(52 9693176),(53 10161896),(54 10689660),(55 11231105),(56 11785108),(57 12323832),(58 12818937),(59 13239524),(60 13556485),(61 13761427),(62 13852347),(63 13828527),(64 13648116),(65 13348721),(66 12970920),(67 12573456),(68 12146991),(69 11720467),(70 11327712),(71 10968021),(72 10639336),(73 10380706),(74 10218913),(75 10144476),(76 10138423),(77 10173504),(78 10243588),(79 10352230),
