1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 196009.19),(2 710338.2),(3 1457308),(4 2307633.8),(5 3225780),(6 4162388.8),(7 5049569.5),(8 5923892),(9 6726832),(10 7554110),(11 8528691),(12 9454508),(13 10412235),(14 11324301),(15 11991291),(16 12629123),(17 13236179),(18 13854272),(19 14420005),(20 14823036),(21 15261256),(22 15627435),(23 15709832),(24 15701704),(25 15633560),(26 15628277),(27 15687955),(28 15942365),(29 16379875),(30 17101696),(31 17923294),(32 18790328),(33 19381064),(34 19784264),(35 20170422),(36 20513216),(37 20707066),(38 20883256),(39 21300574),(40 21838496),(41 22642042),(42 23507760),(43 24391958),(44 25365534),(45 26340842),(46 27074362),(47 27673930),(48 27977994),(49 27876198),(50 27612822),(51 27383818),(52 27150726),(53 26992470),(54 26875144),(55 26871834),(56 27006402),(57 27394352),(58 27822848),(59 28306282),(60 28745554),(61 29114554),(62 29454474),(63 29795184),(64 29897630),(65 29971096),(66 29975090),(67 29858208),(68 29891606),(69 29818302),(70 29835526),(71 29963962),(72 30234306),(73 30643246),(74 31080814),(75 31560970),(76 32235830),(77 32982754),(78 33548784),(79 33895852),
(1 243173.34),(2 881239.2),(3 1859119.8),(4 2979896.3),(5 4244695),(6 5603600),(7 6887637.5),(8 8202483),(9 9431269),(10 10573834),(11 11683958),(12 12704323),(13 13679462),(14 14588790),(15 15412110),(16 16174557),(17 16951206),(18 17681268),(19 18434862),(20 19150030),(21 19958448),(22 20705980),(23 21397590),(24 22141348),(25 22870490),(26 23599178),(27 24311668),(28 25103132),(29 25976954),(30 26947446),(31 28067340),(32 29191558),(33 30050950),(34 30830420),(35 31549952),(36 32047916),(37 32420452),(38 32668812),(39 33111354),(40 33642784),(41 34350250),(42 35030984),(43 35636056),(44 36197256),(45 36599730),(46 36679816),(47 36571304),(48 36444116),(49 36196910),(50 35983860),(51 35805676),(52 35620624),(53 35411064),(54 35285496),(55 35337040),(56 35471040),(57 35572020),(58 35659496),(59 35725340),(60 35810096),(61 35957210),(62 35996284),(63 36146292),(64 36208120),(65 36216876),(66 36227148),(67 36188308),(68 36166900),(69 36068280),(70 35802024),(71 35409896),(72 35054076),(73 34780650),(74 34391884),(75 34024076),(76 33708360),(77 33457132),(78 33368166),(79 33314390),
(1 230033.64),(2 860624.44),(3 1855057.5),(4 3062977.3),(5 4439233.5),(6 5923720),(7 7389437.5),(8 8885899),(9 10411727),(10 11907625),(11 13325979),(12 14767236),(13 16179512),(14 17606706),(15 19092064),(16 20522998),(17 21997614),(18 23485546),(19 24943126),(20 26322198),(21 27704634),(22 29071520),(23 30466782),(24 31897834),(25 33311200),(26 34556388),(27 35688360),(28 36775148),(29 37879588),(30 38901564),(31 40022516),(32 41028556),(33 41907136),(34 42865796),(35 43733764),(36 44421236),(37 45078530),(38 45642260),(39 46057696),(40 46332396),(41 46585092),(42 46779492),(43 46884404),(44 46757410),(45 46340724),(46 45615516),(47 44914720),(48 44319132),(49 43810964),(50 43340932),(51 42993892),(52 42639756),(53 42201280),(54 41809710),(55 41368004),(56 40876660),(57 40126610),(58 39155292),(59 38155996),(60 37270896),(61 36424480),(62 35524700),(63 34740396),(64 34070020),(65 33439056),(66 33067990),(67 32816638),(68 32661272),(69 32457184),(70 32057910),(71 31584422),(72 31053726),(73 30524930),(74 29840170),(75 29098794),(76 28404752),(77 27701438),(78 27236982),(79 26848886),
(1 192174.28),(2 722140.7),(3 1536593.5),(4 2518407),(5 3638141),(6 4846324.5),(7 6058503.5),(8 7352090),(9 8749912),(10 10101372),(11 11446727),(12 12752667),(13 14021520),(14 15348363),(15 16680295),(16 17943412),(17 19210532),(18 20541952),(19 21897582),(20 23289028),(21 24714494),(22 26145582),(23 27556698),(24 29019788),(25 30482190),(26 31644124),(27 32609710),(28 33440470),(29 34166416),(30 34722188),(31 35131430),(32 35450044),(33 35692580),(34 35953284),(35 36122104),(36 36174296),(37 36233844),(38 36302320),(39 36333280),(40 36321336),(41 36400924),(42 36530544),(43 36637204),(44 36656292),(45 36606756),(46 36441616),(47 36237244),(48 36119376),(49 36039212),(50 35977920),(51 35890150),(52 35839364),(53 35729270),(54 35609356),(55 35471136),(56 35349332),(57 35269860),(58 35171150),(59 35041360),(60 35052744),(61 35117756),(62 35207560),(63 35432092),(64 35661450),(65 36014770),(66 36399224),(67 36734616),(68 37128450),(69 37472172),(70 37825748),(71 38172050),(72 38390104),(73 38618220),(74 38840412),(75 39123676),(76 39493380),(77 39837310),(78 40346936),(79 40775360),
(1 193804.84),(2 734271.7),(3 1543668),(4 2503596.5),(5 3513367),(6 4503234),(7 5449991.5),(8 6437019.5),(9 7453530),(10 8346576),(11 9254113),(12 10105143),(13 10942468),(14 11796083),(15 12614719),(16 13354647),(17 14100160),(18 14845855),(19 15647831),(20 16509521),(21 17389478),(22 18281400),(23 19151410),(24 20036094),(25 20990990),(26 21828338),(27 22578856),(28 23311758),(29 23974376),(30 24435064),(31 24780684),(32 25027694),(33 25221146),(34 25295686),(35 25267982),(36 25220294),(37 25208536),(38 25210054),(39 25218174),(40 25238720),(41 25329856),(42 25485318),(43 25629554),(44 25720706),(45 25733140),(46 25667288),(47 25495732),(48 25308526),(49 25056492),(50 24811450),(51 24546604),(52 24327066),(53 24121806),(54 23947758),(55 23761046),(56 23713456),(57 23733514),(58 23760824),(59 23828818),(60 23996454),(61 24193350),(62 24361948),(63 24505096),(64 24619412),(65 24697342),(66 24747198),(67 24788736),(68 24795252),(69 24825890),(70 24887642),(71 24972596),(72 25007942),(73 25055438),(74 25043922),(75 25012126),(76 25031468),(77 25048666),(78 25027410),(79 24951162),
(1 205958.33),(2 765228.6),(3 1562569.3),(4 2543667.3),(5 3577634.5),(6 4617170.5),(7 5690113.5),(8 6801024),(9 7927838.5),(10 9008643),(11 10110608),(12 11171374),(13 12225626),(14 13233137),(15 14143773),(16 14891651),(17 15610990),(18 16326453),(19 16976454),(20 17543206),(21 18082870),(22 18621780),(23 19151514),(24 19560842),(25 19897262),(26 20110278),(27 20384596),(28 20670976),(29 20987510),(30 21281280),(31 21566678),(32 21900646),(33 22374038),(34 22954398),(35 23682342),(36 24613034),(37 25744404),(38 27166160),(39 28795430),(40 30414852),(41 31982010),(42 33329812),(43 34583816),(44 35654956),(45 36625430),(46 37433612),(47 38062220),(48 38733750),(49 39319256),(50 39857290),(51 40326920),(52 40625610),(53 40867080),(54 41165372),(55 41332224),(56 41365250),(57 41234390),(58 41057868),(59 40716852),(60 40278150),(61 39708276),(62 39100492),(63 38635164),(64 38232950),(65 37898740),(66 37626516),(67 37318024),(68 37042264),(69 36699388),(70 36412756),(71 36134260),(72 35883256),(73 35620740),(74 35232332),(75 34744180),(76 34248096),(77 33802644),(78 33368420),(79 32956858),
(1 265684.94),(2 1009414.3),(3 2155471.8),(4 3628000),(5 5340282),(6 7207361),(7 9158359),(8 11171743),(9 13090342),(10 14842463),(11 16526263),(12 18015276),(13 19342940),(14 20487148),(15 21466018),(16 22274236),(17 22947244),(18 23551240),(19 24019288),(20 24326036),(21 24515732),(22 24616764),(23 24623214),(24 24545120),(25 24441962),(26 24269276),(27 24165886),(28 24087498),(29 24051602),(30 24063940),(31 24119016),(32 24254786),(33 24577738),(34 24866766),(35 25150242),(36 25436206),(37 25738268),(38 26101218),(39 26525592),(40 26836852),(41 27081118),(42 27252188),(43 27446326),(44 27626420),(45 27791156),(46 27935316),(47 28129438),(48 28360900),(49 28507064),(50 28669896),(51 28850492),(52 28953826),(53 29060130),(54 29134620),(55 29217932),(56 29219348),(57 29246980),(58 29327412),(59 29307358),(60 29309138),(61 29306494),(62 29312160),(63 29376114),(64 29499460),(65 29682254),(66 29759702),(67 29786302),(68 29820622),(69 29808354),(70 29823892),(71 29876972),(72 29861330),(73 29871124),(74 29891776),(75 29962784),(76 29982530),(77 30021878),(78 30068596),(79 30117856),
(1 257440.77),(2 981935.44),(3 2093715.3),(4 3522611.8),(5 5169021.5),(6 6931552),(7 8725226),(8 10502476),(9 12149780),(10 13586234),(11 14827887),(12 15886964),(13 16828992),(14 17626722),(15 18276626),(16 18795868),(17 19260532),(18 19731388),(19 20166148),(20 20565010),(21 20897400),(22 21189688),(23 21484472),(24 21777352),(25 22099336),(26 22382708),(27 22648640),(28 22917752),(29 23233058),(30 23561770),(31 23898006),(32 24253030),(33 24659686),(34 24887928),(35 25008460),(36 24954270),(37 24733650),(38 24425608),(39 24059158),(40 23599446),(41 23101576),(42 22616910),(43 22160974),(44 21755252),(45 21397002),(46 21131942),(47 20978562),(48 20950732),(49 21003188),(50 21108412),(51 21242508),(52 21392116),(53 21559228),(54 21662412),(55 21746914),(56 21746556),(57 21758674),(58 21813474),(59 21885120),(60 21988482),(61 22055240),(62 22155172),(63 22320902),(64 22472260),(65 22625910),(66 22804972),(67 22962380),(68 23153684),(69 23312632),(70 23446648),(71 23535990),(72 23551104),(73 23561664),(74 23534836),(75 23442752),(76 23416506),(77 23501560),(78 23692438),(79 23974956),
(1 280202.25),(2 1062241.1),(3 2273415.5),(4 3811349.8),(5 5584792),(6 7491162),(7 9458866),(8 11418936),(9 13314477),(10 15141963),(11 16846114),(12 18325808),(13 19585794),(14 20674398),(15 21476498),(16 21906464),(17 22087244),(18 22109238),(19 21988562),(20 21783816),(21 21577680),(22 21319744),(23 21104834),(24 20830560),(25 20507852),(26 20164390),(27 19763222),(28 19403528),(29 19124558),(30 18889170),(31 18712058),(32 18572882),(33 18458540),(34 18352120),(35 18271514),(36 18212946),(37 18144742),(38 18141272),(39 18212172),(40 18351100),(41 18590028),(42 18938056),(43 19351420),(44 19877902),(45 20443468),(46 21070844),(47 21735472),(48 22404536),(49 23102932),(50 23786930),(51 24365876),(52 24823436),(53 25155308),(54 25342500),(55 25404168),(56 25377360),(57 25285584),(58 25105812),(59 24946538),(60 24761276),(61 24441494),(62 24061752),(63 23647056),(64 23262944),(65 22853342),(66 22472864),(67 22196160),(68 22103930),(69 22076548),(70 22056002),(71 22057608),(72 22059380),(73 22030634),(74 21936142),(75 21824406),(76 21765904),(77 21639892),(78 21508526),(79 21270512),
(1 277877.56),(2 1058821.1),(3 2279747),(4 3834532),(5 5678408),(6 7730355.5),(7 9923386),(8 12201447),(9 14490048),(10 16752480),(11 18967328),(12 21031758),(13 22887732),(14 24505042),(15 25829918),(16 26740104),(17 27319678),(18 27724700),(19 27981490),(20 28077598),(21 28147252),(22 28083604),(23 27884344),(24 27659688),(25 27327480),(26 26972440),(27 26478264),(28 25984864),(29 25488540),(30 24949672),(31 24400414),(32 23807612),(33 23210306),(34 22565348),(35 21927368),(36 21319324),(37 20759020),(38 20212700),(39 19741200),(40 19244490),(41 18809432),(42 18448734),(43 18208122),(44 18058456),(45 18030478),(46 18101980),(47 18210202),(48 18352808),(49 18594694),(50 18908622),(51 19182520),(52 19463520),(53 19669590),(54 19772392),(55 19855608),(56 19837252),(57 19801558),(58 19824392),(59 19964184),(60 20101458),(61 20302738),(62 20593160),(63 20971964),(64 21399606),(65 21827484),(66 22316676),(67 22864072),(68 23570290),(69 24339504),(70 25165906),(71 26033144),(72 26794260),(73 27453176),(74 27986980),(75 28486070),(76 28867028),(77 29053444),(78 29151872),(79 29049480),
(1 259384.47),(2 984424.44),(3 2090373.1),(4 3495293.3),(5 5104970.5),(6 6876341.5),(7 8733900),(8 10716584),(9 12768900),(10 14781601),(11 16694547),(12 18494874),(13 20133252),(14 21487062),(15 22503902),(16 23180614),(17 23508830),(18 23472896),(19 23117190),(20 22535660),(21 21787448),(22 20932922),(23 20006118),(24 19136132),(25 18327284),(26 17629214),(27 16965812),(28 16415490),(29 15980158),(30 15673558),(31 15481218),(32 15347707),(33 15289186),(34 15305890),(35 15437477),(36 15599901),(37 15784708),(38 15988789),(39 16201696),(40 16476525),(41 16766601),(42 17096058),(43 17405218),(44 17719406),(45 18034026),(46 18271268),(47 18513328),(48 18731550),(49 18960026),(50 19203888),(51 19464762),(52 19675558),(53 19797768),(54 19852784),(55 19916912),(56 19981496),(57 20083824),(58 20181984),(59 20283058),(60 20361268),(61 20523036),(62 20766860),(63 20999096),(64 21169772),(65 21262624),(66 21299514),(67 21300406),(68 21319304),(69 21441042),(70 21655314),(71 21849450),(72 22016208),(73 22206124),(74 22317484),(75 22328570),(76 22197526),(77 21973238),(78 21666116),(79 21143268),
