1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 98056.914),(2 323530.03),(3 610292.3),(4 854123.7),(5 1002939.2),(6 1070057.9),(7 1134065.5),(8 1186649.1),(9 1220423.4),(10 1249954.4),(11 1283589.5),(12 1315481.3),(13 1352231.1),(14 1379774),(15 1414648.6),(16 1438849.4),(17 1474313.4),(18 1506143.4),(19 1551018.5),(20 1603260.6),(21 1650251),(22 1666631.4),(23 1689059.9),(24 1718068.6),(25 1753065.6),(26 1799937),(27 1849451),(28 1886246.4),(29 1925324.6),(30 1955866.5),(31 1987278),(32 2006006.6),(33 2022189.5),(34 2031945),(35 2056109.4),(36 2074607.5),(37 2079557.9),(38 2069828),(39 2078795.6),(40 2087610.4),(41 2111053.3),(42 2120401),(43 2117172.5),(44 2110780.8),(45 2082666.4),(46 2060897.1),(47 2055558.5),(48 2059112.5),(49 2049713.6),(50 2011317.6),(51 1979815.6),(52 1952579.6),(53 1943070.6),(54 1954302.4),(55 1967828.6),(56 1998167),(57 2013881.4),(58 2012931.4),(59 1997388.6),(60 1968945.4),(61 1940936),(62 1911295.1),(63 1899197.4),(64 1884789.4),(65 1874194.4),(66 1846166.9),(67 1825708.6),(68 1818082.6),(69 1842196.4),(70 1884610.5),(71 1917628.1),(72 1956754.1),(73 2002031.5),(74 2038720.4),(75 2070034.5),(76 2083335.5),(77 2094060),(78 2083134.6),(79 2080429.4),
(1 19215.803),(2 45610.434),(3 63496.08),(4 70376.46),(5 74657.91),(6 81266.63),(7 88654.016),(8 92931.26),(9 95236.266),(10 97975.555),(11 102683.57),(12 104740.086),(13 104801),(14 106842.47),(15 109331.984),(16 108451.06),(17 106738.24),(18 105347.516),(19 105872.086),(20 105571.445),(21 104482.24),(22 102882.62),(23 102733.12),(24 102333.08),(25 100701.09),(26 99902.445),(27 100301.31),(28 101175.34),(29 101607.1),(30 102234.6),(31 102461.57),(32 102580.37),(33 100970.35),(34 101660.25),(35 102784.88),(36 101160.766),(37 99994.17),(38 100507.305),(39 102683.8),(40 102966.414),(41 102467.65),(42 100574.19),(43 100271.72),(44 102424.62),(45 105578.836),(46 108152.37),(47 109762.99),(48 109929.375),(49 109813.53),(50 111204.81),(51 113012.34),(52 113461.86),(53 112007.92),(54 113042.21),(55 112751.93),(56 111183.57),(57 108985.664),(58 107133.63),(59 106811.164),(60 107157.15),(61 106537.07),(62 107508.28),(63 108451.84),(64 108233.86),(65 104613.34),(66 102583.23),(67 103084.78),(68 103558.49),(69 100724.85),(70 98184.57),(71 97947.945),(72 98978.88),(73 98717.234),(74 97017.31),(75 95899.82),(76 95408.19),(77 95784.1),(78 97173.08),(79 97732.68),
(1 18908.172),(2 44374.293),(3 60604.56),(4 66311.914),(5 70901.97),(6 79000.94),(7 85571.31),(8 87997.24),(9 89635.8),(10 91855.8),(11 96044.91),(12 96445.23),(13 94866.9),(14 95267.1),(15 97478.27),(16 97404.14),(17 95374.41),(18 93158.445),(19 93529.73),(20 94631.83),(21 94845.586),(22 94659.26),(23 95367.85),(24 95457.664),(25 95020.71),(26 96583.9),(27 96417.336),(28 95841.78),(29 94455.3),(30 95633.71),(31 96729.52),(32 96470.25),(33 96821.266),(34 97579.375),(35 98784.49),(36 96212.59),(37 92944.68),(38 91466.05),(39 94440.24),(40 95818.19),(41 96036.17),(42 95699.28),(43 94351.27),(44 94052.17),(45 93790.07),(46 95955.71),(47 97351.98),(48 97232.914),(49 97703.45),(50 98088.08),(51 98933.41),(52 99714.32),(53 100914.67),(54 101616.695),(55 99476.56),(56 96449.05),(57 95595.695),(58 95968.03),(59 96875.02),(60 96423.62),(61 96321.05),(62 98118.1),(63 101364.164),(64 102806.15),(65 102633.766),(66 101851.22),(67 102628.75),(68 102306.84),(69 100173.89),(70 98373.36),(71 97228.71),(72 97565.74),(73 97884.74),(74 96972.87),(75 96137.195),(76 94966.18),(77 95127.94),(78 95426.695),(79 96096.05),
(1 17167.484),(2 40498.625),(3 56623.45),(4 63467.31),(5 68325.04),(6 75674.53),(7 81331.555),(8 83524.25),(9 84797.17),(10 85873.67),(11 88342.445),(12 90047.555),(13 90069.76),(14 89698.78),(15 88798.72),(16 88821.67),(17 89226.7),(18 89621.19),(19 90471.055),(20 90434.44),(21 89116.79),(22 88684.6),(23 89045.68),(24 90041.45),(25 90118.46),(26 88678.2),(27 87811.09),(28 87830.414),(29 88367.05),(30 87937.58),(31 86049.14),(32 85092.48),(33 86716.805),(34 88962.336),(35 91354.695),(36 89617.64),(37 86974.77),(38 84780.44),(39 86035.8),(40 88364.32),(41 90508.58),(42 90881.46),(43 88210.6),(44 86748.836),(45 88066.5),(46 89640.31),(47 91702.85),(48 91982.14),(49 90747.21),(50 91165.34),(51 93385.75),(52 94308.22),(53 93922.1),(54 94485.15),(55 94111.34),(56 95090.63),(57 95831.945),(58 95647.734),(59 96295.305),(60 96666.016),(61 97575.61),(62 96705.19),(63 96115.06),(64 96110.77),(65 96535.78),(66 97468.47),(67 96562.836),(68 94260.5),(69 91739.72),(70 90934.72),(71 91289.79),(72 90284.414),(73 88578.305),(74 87501.8),(75 86915.766),(76 86700.09),(77 86615.3),(78 87780.91),(79 87257.67),
(1 17084.371),(2 39507.492),(3 55630.742),(4 63188.71),(5 68470.16),(6 73895.14),(7 77817.77),(8 80049.125),(9 81119.68),(10 82418.836),(11 85718.79),(12 88815.516),(13 89222.68),(14 88246.02),(15 86963.64),(16 85772.52),(17 84577.625),(18 85751.47),(19 86642.5),(20 86978.49),(21 85133.7),(22 85102.58),(23 84786.14),(24 84299.055),(25 82790.49),(26 81762.5),(27 81430.59),(28 82117.82),(29 82920.195),(30 82402.016),(31 80590.23),(32 81593.68),(33 84082.61),(34 86409.79),(35 88135.59),(36 87248.71),(37 86919.836),(38 87392.94),(39 88437.03),(40 89713.8),(41 90058.33),(42 90124.68),(43 88053.72),(44 85325.15),(45 85352.65),(46 86369.41),(47 87540.19),(48 87652.72),(49 87243.71),(50 86147.41),(51 87312.88),(52 88826.37),(53 91253.69),(54 93510.95),(55 92096.16),(56 91437.13),(57 90974.08),(58 90353.95),(59 90685.4),(60 89430.65),(61 89573.78),(62 89966.836),(63 89891.766),(64 88966.92),(65 88534.2),(66 88041.93),(67 87223.06),(68 87422.6),(69 87327.33),(70 88235.414),(71 89211.5),(72 87978.945),(73 86213.35),(74 84882.14),(75 85036.99),(76 84925.35),(77 85343.78),(78 83988.07),(79 81561.64),
(1 18651.152),(2 42229.848),(3 57054.926),(4 63452.55),(5 68677.38),(6 75220.836),(7 79212.48),(8 81935.97),(9 82784.3),(10 84637.83),(11 88774.15),(12 91386.39),(13 91343.01),(14 89357.414),(15 87530.66),(16 86891.77),(17 86065.266),(18 85000.53),(19 85202.41),(20 87009.05),(21 87558.98),(22 87754.82),(23 86732.47),(24 84155.94),(25 83810.67),(26 83814.12),(27 84565.02),(28 84755.96),(29 86066.086),(30 85368.32),(31 83096.18),(32 83556.25),(33 85259.88),(34 86493.31),(35 88614.3),(36 90121.33),(37 89952.46),(38 90179.1),(39 91487.39),(40 92046.27),(41 91437.88),(42 91709.92),(43 90991.72),(44 89627.516),(45 89557.19),(46 89119.17),(47 90262.53),(48 90495.79),(49 90914.055),(50 90075.65),(51 90413.31),(52 90554.92),(53 91358.92),(54 93313.555),(55 92639.95),(56 92652.625),(57 93461.77),(58 92809.15),(59 91968.96),(60 87974.95),(61 87663.66),(62 91470.234),(63 94495.164),(64 94713.61),(65 93834.836),(66 94302.76),(67 94137.3),(68 93830.04),(69 92729.45),(70 91141.79),(71 91082.31),(72 90877.69),(73 90555.82),(74 88950.805),(75 87045.05),(76 84914.44),(77 83253.914),(78 83441.24),(79 83193.93),
(1 17949.256),(2 40584.785),(3 55583.17),(4 60891.83),(5 64378.49),(6 69928.85),(7 75343.03),(8 77950.03),(9 77658.3),(10 77254.48),(11 78427.14),(12 80327.086),(13 81569.52),(14 81646.74),(15 82022.46),(16 81717.54),(17 81293.25),(18 81710.23),(19 82030.77),(20 83034.29),(21 84176),(22 84328.57),(23 83610.11),(24 82370.74),(25 82921.94),(26 82656.16),(27 82289.65),(28 81341.49),(29 81075.016),(30 81686.89),(31 82290.76),(32 83807.5),(33 83666.414),(34 83826.5),(35 83455.94),(36 83160.02),(37 82487.04),(38 82325.17),(39 82955.26),(40 85187.58),(41 86347.74),(42 85161.195),(43 82208.23),(44 81471.96),(45 82800.695),(46 84425.34),(47 84479.96),(48 83391.83),(49 85167.71),(50 87021.58),(51 89957),(52 90536.586),(53 90037.74),(54 88908.43),(55 89555.22),(56 90968.7),(57 92487.86),(58 92718.375),(59 90712.17),(60 86091.33),(61 85993.125),(62 88436.734),(63 89831.06),(64 89234.37),(65 87824.21),(66 86051.61),(67 86441.15),(68 87240.18),(69 85974.8),(70 84263.75),(71 82515.9),(72 81757.51),(73 82331.64),(74 81983.79),(75 82258.96),(76 81763.984),(77 80695.836),(78 81393.94),(79 82398.48),
(1 17503.268),(2 39198.883),(3 53232.06),(4 59191.95),(5 63915.4),(6 69019.12),(7 73051.195),(8 74361.74),(9 74221.37),(10 74161.08),(11 76220.45),(12 76417.12),(13 75467.5),(14 74371.86),(15 74161.305),(16 73758.98),(17 74082.68),(18 74018.52),(19 73999.086),(20 74613.914),(21 74574.29),(22 74749.266),(23 75834.69),(24 75303.55),(25 74496.24),(26 73576.52),(27 73665.7),(28 75404.14),(29 76728.86),(30 78090.52),(31 78687.266),(32 79692.016),(33 79665.76),(34 80313.89),(35 80420.88),(36 81387.48),(37 81841.305),(38 81350.12),(39 81242.68),(40 81561.9),(41 81582.125),(42 80810.66),(43 80330.35),(44 82468.12),(45 84904.64),(46 85721.41),(47 84852.63),(48 85187.01),(49 88281.03),(50 89528.945),(51 89932.54),(52 89339.516),(53 88997.56),(54 89103.18),(55 90919.02),(56 91343.34),(57 90315.31),(58 88959.15),(59 86106.875),(60 84803.66),(61 85787.5),(62 86802.836),(63 87271.08),(64 86592.4),(65 84701.48),(66 82794.2),(67 83454.66),(68 84373.79),(69 82327.87),(70 81178.72),(71 80380.02),(72 81693.01),(73 83636.41),(74 83638.49),(75 84586.87),(76 85693.07),(77 87356.85),(78 88318.98),(79 86403.17),
(1 17394.59),(2 39459.91),(3 53504.082),(4 59710.188),(5 63927.855),(6 70114.63),(7 75298.44),(8 77556.8),(9 79278.97),(10 79942.375),(11 80727.8),(12 79599.56),(13 80438.44),(14 80867.15),(15 81690.34),(16 81833.91),(17 80866.1),(18 78906.25),(19 78755.32),(20 79317.25),(21 80144.57),(22 80113.16),(23 79965.164),(24 78763.43),(25 79515.87),(26 79453.734),(27 78666.22),(28 79341.95),(29 80474.15),(30 81182.24),(31 81995.734),(32 82448.54),(33 82645.625),(34 82083.414),(35 81290.25),(36 81940.05),(37 83025.266),(38 82659.836),(39 81870.54),(40 81185.734),(41 80407.36),(42 78965.836),(43 77624.47),(44 78974.16),(45 80160.03),(46 81150.94),(47 81351.99),(48 80925.945),(49 82694.55),(50 83511.44),(51 85528.85),(52 86301.95),(53 86891.15),(54 85775.086),(55 84894.03),(56 85122.086),(57 85586.89),(58 85611.305),(59 85106.38),(60 84161.02),(61 83870.516),(62 83565.22),(63 83712.58),(64 83749.336),(65 81697.234),(66 78760.46),(67 76996.95),(68 78148.82),(69 78529.71),(70 79077.32),(71 78666.41),(72 79474.984),(73 81808.71),(74 82661.14),(75 83350.836),(76 84449.66),(77 84146.81),(78 82771.73),(79 81351.95),
(1 17963.5),(2 39381.07),(3 51759.17),(4 57075.543),(5 62121.344),(6 68407.49),(7 71025.44),(8 72780.85),(9 74591.15),(10 75583.21),(11 75420.03),(12 74796.14),(13 75113.484),(14 75481.81),(15 75924.52),(16 76679.11),(17 76600.97),(18 73502.15),(19 71779.164),(20 72591.69),(21 73666.68),(22 72731.29),(23 71370.75),(24 71569.164),(25 73321.555),(26 71909.11),(27 71711.086),(28 72329.414),(29 72159.19),(30 71522.3),(31 74173.086),(32 78689.96),(33 79589.8),(34 77549.36),(35 75016.75),(36 75150.66),(37 77326.57),(38 78101.04),(39 78127.28),(40 78404.49),(41 78562.97),(42 78402.734),(43 77852.86),(44 78774.07),(45 77635.195),(46 76539.695),(47 76614.18),(48 77787.555),(49 78823.01),(50 79368.305),(51 82814.914),(52 84150.86),(53 84607.96),(54 81601.97),(55 80507.75),(56 80669.85),(57 80134.78),(58 81026.734),(59 83635.58),(60 85272.305),(61 85646.836),(62 85316.02),(63 85543.74),(64 84900.58),(65 83012.484),(66 80354.734),(67 78684),(68 79448.586),(69 79953.25),(70 80220.914),(71 79738.836),(72 80355.53),(73 80986.125),(74 81272.97),(75 83053.086),(76 84590.86),(77 84711.2),(78 82755.766),(79 81537.58),
(1 19050.877),(2 42529.574),(3 56214.668),(4 61422.17),(5 64528.89),(6 69667.98),(7 73861.51),(8 76904.195),(9 79771.95),(10 80857.02),(11 82211.71),(12 82593.58),(13 82551.71),(14 82076.766),(15 83779.38),(16 84764.19),(17 84241.586),(18 82036.94),(19 80256.164),(20 81137.57),(21 82142.41),(22 81468.19),(23 79772.57),(24 79726.29),(25 79806.17),(26 77159.28),(27 74764.13),(28 74281.08),(29 74937.836),(30 74349.71),(31 75090.88),(32 78104.06),(33 78729.94),(34 77296.27),(35 76124.2),(36 75908.37),(37 75457.39),(38 74792.555),(39 76254.47),(40 76880.02),(41 76611.39),(42 74705.85),(43 73325.086),(44 74342.164),(45 74201.6),(46 75005.5),(47 75386.56),(48 76138.766),(49 75958.984),(50 75510.695),(51 77267.414),(52 78582.24),(53 79046.15),(54 79795.766),(55 80142.95),(56 77380.445),(57 76094.73),(58 76645.88),(59 78574.08),(60 79188.17),(61 77740.42),(62 78354.27),(63 80031.73),(64 79957.89),(65 78367.24),(66 77497.8),(67 75336.88),(68 75763.68),(69 78554.94),(70 80627.49),(71 80215.38),(72 79618.11),(73 80018.99),(74 81270.4),(75 84174.31),(76 87223.08),(77 89430.46),(78 88637.055),(79 86830.18),
(1 17498.428),(2 39968.594),(3 53279.03),(4 58102.785),(5 60625.02),(6 64771.25),(7 68171.93),(8 71423.21),(9 75615.87),(10 78940.945),(11 81844.61),(12 80856.55),(13 80962.75),(14 80085.164),(15 80204.53),(16 80170.43),(17 79946.84),(18 79047.56),(19 76139.66),(20 75300.555),(21 75393.664),(22 75251.164),(23 74015.016),(24 73746.26),(25 73787.555),(26 72232.305),(27 73162.984),(28 73902.35),(29 73234.66),(30 71830.125),(31 73556.39),(32 74969.336),(33 75632.3),(34 74459.24),(35 74340.53),(36 75031.38),(37 74470.664),(38 72124.586),(39 72765.28),(40 74470.73),(41 75470.195),(42 73508.766),(43 71284.24),(44 72166.57),(45 73370.98),(46 74008.12),(47 74612.21),(48 73587.445),(49 73298.41),(50 74309.625),(51 76442.516),(52 77560.8),(53 77802.05),(54 78607.17),(55 80240.875),(56 79367.35),(57 77825.9),(58 76540.18),(59 77370.13),(60 77323.87),(61 76572.95),(62 76555.91),(63 77867.086),(64 78551.445),(65 78059.81),(66 77766.93),(67 76004.27),(68 76048.96),(69 78326.16),(70 80182.516),(71 80857.445),(72 78742.63),(73 78154.734),(74 80579.984),(75 83662.484),(76 85117.33),(77 85400.99),(78 84072.33),(79 82663.28),
(1 15544.295),(2 34903.31),(3 46313.82),(4 50732.41),(5 53844.523),(6 57849.39),(7 61372.22),(8 63993.945),(9 65738.88),(10 67672.516),(11 69426.17),(12 69933.04),(13 69875.164),(14 70284.71),(15 71692.016),(16 72892.48),(17 72629.32),(18 70526.664),(19 68181.25),(20 67696.914),(21 66402.43),(22 65532.59),(23 64453.137),(24 64232.145),(25 65845.16),(26 65867.67),(27 66441.62),(28 67275.805),(29 67878.07),(30 68047.55),(31 68615.67),(32 69209.75),(33 68686.47),(34 67836.125),(35 67997.36),(36 68963.29),(37 68949.66),(38 66912.87),(39 66729.66),(40 67582.17),(41 69081.734),(42 69101.375),(43 67882.03),(44 68203.484),(45 69197.22),(46 69560.63),(47 69821.53),(48 69588.984),(49 69428.195),(50 70838.62),(51 71764.375),(52 72073.07),(53 70725.02),(54 70167.484),(55 71655.75),(56 71604.91),(57 70735.85),(58 69492.47),(59 69490.39),(60 70850.45),(61 70697.586),(62 70013.016),(63 69679.78),(64 69705.195),(65 70730.625),(66 70726.64),(67 67768.34),(68 68152.91),(69 69579.12),(70 70471.164),(71 70601.26),(72 69874.42),(73 69180.586),(74 70942.91),(75 74239.3),(76 75759.52),(77 75345.414),(78 74670.49),(79 75803.195),
(1 16037.998),(2 35901.44),(3 48215.09),(4 53217.95),(5 55408.582),(6 58692.79),(7 60117.35),(8 60502.81),(9 60974.777),(10 63037.215),(11 64727.02),(12 65627.15),(13 66637.18),(14 67967.38),(15 69592.84),(16 70935.63),(17 70720.03),(18 70176.586),(19 68702.77),(20 68489.445),(21 67366.1),(22 66153.98),(23 64449.555),(24 62538.863),(25 63516.496),(26 63437.96),(27 65305.195),(28 65726.38),(29 65385.125),(30 64473),(31 66259.92),(32 67468.26),(33 67004.22),(34 66364.39),(35 66902.46),(36 68339.22),(37 67617.49),(38 65419.973),(39 64349.49),(40 65134.37),(41 66594.875),(42 68309.35),(43 68006.125),(44 67481.766),(45 66677.86),(46 65976.33),(47 66115.49),(48 65579.89),(49 64768.89),(50 65056.953),(51 67049.414),(52 68417.24),(53 68978.9),(54 68030.35),(55 67193.12),(56 67942.875),(57 68770.95),(58 69293.65),(59 69846.555),(60 70266.664),(61 71597.305),(62 71668.27),(63 71340.21),(64 70699.414),(65 69078.45),(66 68640.04),(67 68225.91),(68 69529.7),(69 69925.57),(70 70027.48),(71 70293.94),(72 70275.12),(73 70792.28),(74 71487.74),(75 71621.01),(76 71808.5),(77 71401.69),(78 71377.25),(79 71464.54),
(1 15457.216),(2 34322.12),(3 46816.285),(4 52101.766),(5 54794.734),(6 57451.46),(7 59713.02),(8 62020.773),(9 63515.184),(10 65456.074),(11 66361.83),(12 68082.41),(13 69059.29),(14 69237.82),(15 69151.59),(16 69251.664),(17 68192.77),(18 66776.56),(19 65749.83),(20 64557.28),(21 64499.31),(22 63957.867),(23 62921.75),(24 60773.96),(25 60516.867),(26 61752.1),(27 63408.496),(28 64099.832),(29 63981.02),(30 64363.64),(31 65568.055),(32 66040.64),(33 66066.21),(34 66921.64),(35 69184.73),(36 69954.945),(37 69467.98),(38 68437.5),(39 68576.94),(40 68845.81),(41 69197.09),(42 69872.36),(43 70597.47),(44 70915.6),(45 69865.7),(46 68337.695),(47 67880.5),(48 67334.63),(49 66977.13),(50 67503.91),(51 68327.19),(52 68999.46),(53 69042.65),(54 68594.85),(55 66803.77),(56 66495.7),(57 66571.086),(58 66781.34),(59 66958.92),(60 66745.016),(61 66011.914),(62 65422.27),(63 65917.16),(64 65488.36),(65 65804.59),(66 67293.64),(67 67613.41),(68 68319.82),(69 67876.914),(70 68236.4),(71 68081.43),(72 67101.41),(73 66608.21),(74 67747.56),(75 69215.37),(76 70388.51),(77 69726.27),(78 69950.305),(79 70557.84),
(1 16022.136),(2 34132.23),(3 44964.69),(4 49039.543),(5 51658.64),(6 54814.293),(7 57836.234),(8 60454.457),(9 63860.51),(10 65007.31),(11 65296.59),(12 65726.78),(13 66600.34),(14 67528.6),(15 68282.39),(16 68605.945),(17 68213.984),(18 67855.96),(19 68118.53),(20 68182.625),(21 67369.414),(22 65843.81),(23 64341.45),(24 64003.28),(25 64005.254),(26 64124.855),(27 65599.84),(28 65842.11),(29 65375.81),(30 65145.855),(31 65465.45),(32 66359.98),(33 67275.18),(34 67774.48),(35 69258.02),(36 69086.34),(37 67708.55),(38 66346.17),(39 66492.15),(40 67647.586),(41 68777.98),(42 69524.22),(43 69206.62),(44 69516.29),(45 68876.62),(46 68006.34),(47 67177.91),(48 68305.77),(49 69974.94),(50 68886.43),(51 67950.6),(52 67047.03),(53 66094.07),(54 65840.484),(55 64856.457),(56 65168.4),(57 65671.51),(58 65871.45),(59 66186.38),(60 67300.086),(61 68777.766),(62 69545.77),(63 70633.94),(64 71327.89),(65 72519.1),(66 74334.02),(67 74046.195),(68 74952.1),(69 74275.74),(70 72771.21),(71 72062.46),(72 72048.07),(73 71608.74),(74 71228.695),(75 73468.47),(76 75754.9),(77 77425.66),(78 77079.766),(79 76232.25),
(1 16119.106),(2 34407.586),(3 45650.316),(4 49741.47),(5 51223.21),(6 53251.832),(7 54526.945),(8 55400.656),(9 57045.4),(10 57975.8),(11 57407.734),(12 56518.887),(13 57364.277),(14 59327.113),(15 59549.258),(16 58554.47),(17 57557.266),(18 58689.313),(19 60200.61),(20 61741.49),(21 63453.875),(22 62838.53),(23 60932.367),(24 59007.137),(25 60779.637),(26 62229.887),(27 63022.7),(28 63658.12),(29 63112.137),(30 63320.367),(31 63694.875),(32 63436.78),(33 64156.652),(34 65215.348),(35 67005.6),(36 66601.12),(37 65292.414),(38 65262.074),(39 65761.41),(40 66261.72),(41 66098.17),(42 67005.63),(43 67407.28),(44 68537.805),(45 68409.85),(46 67854.04),(47 66149.88),(48 65000.875),(49 67355.56),(50 68566.4),(51 69168.516),(52 68480.5),(53 67417.5),(54 66093.62),(55 64855.82),(56 64481.277),(57 64266.336),(58 64297.254),(59 65625.25),(60 66475.45),(61 65786.8),(62 65365.69),(63 65520.543),(64 65975.805),(65 65647.05),(66 66049.06),(67 66691.47),(68 67766.54),(69 67761.36),(70 66096.555),(71 65411.758),(72 65111.52),(73 64476.613),(74 65051.41),(75 67313.04),(76 69596.33),(77 69208.88),(78 67887.46),(79 68916.89),
(1 15666.192),(2 34300.742),(3 44402.18),(4 48690.723),(5 51595.875),(6 55434.207),(7 56405.918),(8 56981.516),(9 59229.973),(10 59900.027),(11 59999.266),(12 58743.03),(13 60143.297),(14 60970.457),(15 61898.516),(16 61074.176),(17 61303.277),(18 61906.426),(19 61925.098),(20 62321.38),(21 62518.457),(22 61745.8),(23 60947.082),(24 60149.207),(25 61517.96),(26 62316.69),(27 61576.902),(28 61269.715),(29 61342.89),(30 63626.04),(31 65524.176),(32 64628.582),(33 63528.36),(34 62646.88),(35 63191.484),(36 63517.453),(37 65107.832),(38 64756.418),(39 63917.07),(40 62585.605),(41 61579.695),(42 61721.703),(43 60265.676),(44 60491.69),(45 62194.594),(46 62805.375),(47 64054.477),(48 63792.324),(49 64526.71),(50 64142.38),(51 65528.285),(52 66537.59),(53 68050.59),(54 67246.58),(55 65492.805),(56 65486.645),(57 65574.53),(58 65486.813),(59 64755.195),(60 64333.29),(61 64783.89),(62 64238.438),(63 64205.12),(64 64462.215),(65 65261.98),(66 66273.62),(67 67070.81),(68 68395.88),(69 68690.27),(70 67904.72),(71 67405.664),(72 66126.08),(73 64640.438),(74 64935.586),(75 66639.95),(76 67934.86),(77 67694.984),(78 66528.734),(79 67859.41),
