1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 59226.395),(2 83237.734),(3 196077.77),(4 272423.97),(5 396472.38),(6 493458.75),(7 627808.94),(8 751736.2),(9 894881.2),(10 1041486.8),(11 1206857.4),(12 1389469.6),(13 1581972),(14 1780224.9),(15 1991879.4),(16 2218068),(17 2430253.3),(18 2667893.8),(19 2894398.3),(20 3123809.8),(21 3358099.8),(22 3596132.8),(23 3838154.8),(24 4073779.3),(25 4309484),(26 4561691),(27 4814727.5),(28 5089818),(29 5380584),(30 5693463.5),(31 6049341.5),(32 6435304),(33 6835269.5),(34 7264499.5),(35 7717470),(36 8128674.5),(37 8526569),(38 8895612),(39 9207722),(40 9581803),(41 9938000),(42 10326504),(43 10700145),(44 11118923),(45 11551663),(46 12116312),(47 12605713),(48 13169005),(49 13693857),(50 14248869),(51 14748007),(52 15215896),(53 15578781),(54 15921837),(55 16164896),(56 16438051),(57 16762893),(58 17092018),(59 17436006),(60 17828254),(61 18258194),(62 18695842),(63 19134890),(64 19559092),(65 19987466),(66 20412732),(67 20800344),(68 21218506),(69 21573024),(70 21982746),(71 22376262),(72 22773208),(73 23135864),(74 23534608),(75 23916406),(76 24362142),(77 24770346),(78 25165856),(79 25524630),
(1 58550.125),(2 122920.73),(3 267781.5),(4 398319.94),(5 570714.5),(6 726977.6),(7 911494.8),(8 1091813),(9 1289336.4),(10 1491098.8),(11 1700001.8),(12 1908168.4),(13 2133562.5),(14 2355538.5),(15 2592217),(16 2824053.5),(17 3048586),(18 3275488.3),(19 3510194.8),(20 3735091.3),(21 3968165.3),(22 4211481.5),(23 4478792),(24 4760169),(25 5039747),(26 5339188),(27 5644619),(28 5961753.5),(29 6277429.5),(30 6592211.5),(31 6929325),(32 7271388),(33 7638308),(34 8013004),(35 8402379),(36 8768572),(37 9133882),(38 9505909),(39 9884237),(40 10259250),(41 10642363),(42 11039088),(43 11416290),(44 11814666),(45 12241594),(46 12761872),(47 13196390),(48 13712131),(49 14148456),(50 14665603),(51 15114539),(52 15578669),(53 15891834),(54 16262482),(55 16552544),(56 16904098),(57 17240006),(58 17663668),(59 18000572),(60 18411222),(61 18778056),(62 19182940),(63 19542996),(64 19961516),(65 20302700),(66 20701850),(67 21010998),(68 21388292),(69 21604742),(70 21946698),(71 22180012),(72 22524316),(73 22745612),(74 23092554),(75 23352568),(76 23750796),(77 24083788),(78 24491406),(79 24803028),
(1 47807.457),(2 105102.31),(3 230907.63),(4 350872.6),(5 511967.5),(6 665283.3),(7 845707.25),(8 1015037.5),(9 1194650.6),(10 1365812.6),(11 1537966),(12 1702732.1),(13 1870984.6),(14 2035598.1),(15 2198114.8),(16 2351697.8),(17 2495437.8),(18 2635369.3),(19 2777261.3),(20 2926275.3),(21 3073591.3),(22 3222468.8),(23 3401426),(24 3583340.3),(25 3772981.3),(26 3976783),(27 4189357.3),(28 4399322),(29 4603302.5),(30 4810167.5),(31 5029431.5),(32 5242530),(33 5468905.5),(34 5687442),(35 5909693.5),(36 6120729.5),(37 6339605.5),(38 6555758),(39 6769890),(40 6993834.5),(41 7189312),(42 7376071.5),(43 7531223.5),(44 7674060),(45 7809304),(46 7972315.5),(47 8092724),(48 8215580),(49 8301277.5),(50 8379363.5),(51 8450799),(52 8469939),(53 8442508),(54 8379926.5),(55 8331826.5),(56 8248516),(57 8194688),(58 8092866),(59 7991521.5),(60 7845865.5),(61 7734775.5),(62 7555798.5),(63 7403488),(64 7187962.5),(65 7016570.5),(66 6807281.5),(67 6640464),(68 6463617.5),(69 6331308.5),(70 6197823.5),(71 6121046),(72 6047574.5),(73 6031991.5),(74 6007914.5),(75 6035272),(76 6068240),(77 6172432),(78 6272845.5),(79 6417049.5),
(1 40078.105),(2 99861.805),(3 213859.75),(4 328623.66),(5 465521.13),(6 594570.3),(7 742541.25),(8 892807.44),(9 1053008),(10 1212599.4),(11 1388494.1),(12 1568091.5),(13 1759113.4),(14 1962545.4),(15 2172618.8),(16 2382097.5),(17 2607675),(18 2847296),(19 3088125.8),(20 3348394.5),(21 3624534.8),(22 3902128),(23 4215911),(24 4536894),(25 4874332),(26 5226914.5),(27 5600045.5),(28 6008545.5),(29 6441293),(30 6902782.5),(31 7401809.5),(32 7918205.5),(33 8446068),(34 8986382),(35 9541178),(36 10076804),(37 10643751),(38 11229764),(39 11813152),(40 12386331),(41 12959813),(42 13524208),(43 14064110),(44 14612579),(45 15161515),(46 15696249),(47 16185383),(48 16654875),(49 17063544),(50 17436216),(51 17724634),(52 17936016),(53 18063086),(54 18124256),(55 18126496),(56 18056186),(57 17981056),(58 17839336),(59 17626944),(60 17359896),(61 17098642),(62 16782856),(63 16467492),(64 16117173),(65 15779340),(66 15399154),(67 15002249),(68 14580062),(69 14159250),(70 13746589),(71 13368617),(72 12999278),(73 12677165),(74 12372702),(75 12129630),(76 11911799),(77 11741276),(78 11573410),(79 11453702),
(1 44732.26),(2 124771.6),(3 262363.44),(4 403558.9),(5 563001.75),(6 715387.44),(7 881287.75),(8 1046778),(9 1222491.1),(10 1408919.1),(11 1613329.1),(12 1816463.6),(13 2033552),(14 2256369.3),(15 2485504.8),(16 2712905),(17 2949599.8),(18 3192003.3),(19 3431547.8),(20 3687131),(21 3945345.5),(22 4200119.5),(23 4473517.5),(24 4756961),(25 5055298),(26 5355034),(27 5653823),(28 5967984),(29 6294090),(30 6628923),(31 6977105.5),(32 7317559.5),(33 7674206),(34 8036045),(35 8417376),(36 8790809),(37 9192155),(38 9600737),(39 10003664),(40 10409570),(41 10837252),(42 11264436),(43 11692525),(44 12161711),(45 12644538),(46 13128911),(47 13625423),(48 14122537),(49 14599849),(50 15045123),(51 15471014),(52 15839409),(53 16155289),(54 16397885),(55 16597002),(56 16750572),(57 16907270),(58 16997374),(59 17034188),(60 17039570),(61 17036648),(62 16997402),(63 16964814),(64 16893482),(65 16800236),(66 16675693),(67 16537178),(68 16391183),(69 16226545),(70 16075354),(71 15957836),(72 15832893),(73 15747713),(74 15703933),(75 15701007),(76 15748310),(77 15825153),(78 15885937),(79 15990289),
(1 38283.555),(2 103687.42),(3 226806.22),(4 362292.94),(5 532773.1),(6 704091.7),(7 894149.7),(8 1081398.4),(9 1279590.8),(10 1483026.6),(11 1700725.6),(12 1914063.4),(13 2126934.3),(14 2340884),(15 2546494.5),(16 2741529.8),(17 2922813.5),(18 3097783),(19 3268001.5),(20 3440256),(21 3609124.5),(22 3768386.5),(23 3925030.5),(24 4080774.5),(25 4224123.5),(26 4361096),(27 4488566),(28 4610229.5),(29 4728595.5),(30 4847716),(31 4966688),(32 5087993.5),(33 5213898.5),(34 5338896),(35 5464985),(36 5592649.5),(37 5741125),(38 5911050),(39 6104041),(40 6321091),(41 6558370),(42 6808179),(43 7064953),(44 7347161.5),(45 7642721.5),(46 7997097.5),(47 8340545.5),(48 8708312),(49 9060816),(50 9427952),(51 9790442),(52 10150128),(53 10458064),(54 10779224),(55 11085702),(56 11384783),(57 11694637),(58 12015627),(59 12316079),(60 12610704),(61 12890906),(62 13148184),(63 13413331),(64 13648579),(65 13874114),(66 14102157),(67 14316406),(68 14541078),(69 14719403),(70 14909859),(71 15074659),(72 15231998),(73 15372867),(74 15511018),(75 15639894),(76 15779264),(77 15909690),(78 16033515),(79 16141698),
(1 37487.4),(2 110192.516),(3 233936.36),(4 367610),(5 522454.63),(6 667738.94),(7 819571.3),(8 970948.4),(9 1131854.8),(10 1291756.8),(11 1457957.9),(12 1618051.5),(13 1782857.9),(14 1948451.9),(15 2113574.5),(16 2275586.3),(17 2443077.5),(18 2614521.5),(19 2795701.5),(20 2973572.5),(21 3149536),(22 3334313.3),(23 3523101.3),(24 3710053),(25 3912540.3),(26 4115468.3),(27 4326186),(28 4536601),(29 4763819.5),(30 5000100),(31 5234002.5),(32 5453237.5),(33 5677988.5),(34 5885373),(35 6078767.5),(36 6251147),(37 6428319.5),(38 6597336),(39 6756289),(40 6891146.5),(41 7018421.5),(42 7148146.5),(43 7256618),(44 7362794.5),(45 7460271.5),(46 7540132.5),(47 7620153),(48 7689807.5),(49 7769477.5),(50 7858502),(51 7946297),(52 8036301),(53 8127763),(54 8237288.5),(55 8385594),(56 8535102),(57 8735265),(58 8958682),(59 9212426),(60 9500039),(61 9835859),(62 10174310),(63 10555484),(64 10945978),(65 11387903),(66 11837887),(67 12346471),(68 12851834),(69 13384879),(70 13913628),(71 14454320),(72 14949056),(73 15422117),(74 15842289),(75 16228850),(76 16554911),(77 16870604),(78 17098212),(79 17318604),
(1 37075.547),(2 108974.016),(3 230505.17),(4 361245.88),(5 512600.2),(6 660486.3),(7 822055.6),(8 991243.4),(9 1180152.5),(10 1381794.9),(11 1597829.5),(12 1814267.3),(13 2046537.4),(14 2280446.5),(15 2527120.3),(16 2782177.3),(17 3049022.3),(18 3331266.8),(19 3620015),(20 3898992),(21 4177973),(22 4434498),(23 4689106.5),(24 4925867.5),(25 5147501),(26 5365171),(27 5565987),(28 5761906.5),(29 5965976),(30 6174109.5),(31 6372894),(32 6548788.5),(33 6719265.5),(34 6861952),(35 6973903.5),(36 7065675.5),(37 7143362.5),(38 7191379.5),(39 7235998),(40 7251111.5),(41 7251440),(42 7237040),(43 7210664),(44 7169367),(45 7106961),(46 7002018.5),(47 6907334.5),(48 6785127.5),(49 6670642),(50 6542266),(51 6441744),(52 6318262),(53 6236309),(54 6149391.5),(55 6123595),(56 6091026.5),(57 6113704.5),(58 6131924.5),(59 6206873.5),(60 6263313),(61 6388069.5),(62 6501211),(63 6664393),(64 6823999),(65 7039125),(66 7226497),(67 7481993.5),(68 7714788.5),(69 8005597.5),(70 8257955),(71 8548511),(72 8790590),(73 9060314),(74 9267922),(75 9503936),(76 9662185),(77 9825884),(78 9915200),(79 10013371),
(1 39666.14),(2 119865.234),(3 249072.94),(4 389273.6),(5 550681.3),(6 707326.75),(7 878393.1),(8 1055906.1),(9 1251929),(10 1451667.4),(11 1660719.6),(12 1874333),(13 2101112.3),(14 2325856.3),(15 2553684.3),(16 2782149),(17 3009144.3),(18 3237853.3),(19 3460779.8),(20 3664286.5),(21 3851615.3),(22 4009382),(23 4158727.5),(24 4283758.5),(25 4400813),(26 4503260.5),(27 4599790),(28 4685540),(29 4779688.5),(30 4855040),(31 4923358),(32 4982888.5),(33 5042490.5),(34 5093614),(35 5146484.5),(36 5185414),(37 5241340.5),(38 5304743.5),(39 5375253.5),(40 5465508),(41 5568821.5),(42 5708827.5),(43 5841622.5),(44 5985994.5),(45 6145313.5),(46 6293157.5),(47 6467128.5),(48 6611794.5),(49 6773969),(50 6910100),(51 7073797),(52 7206032),(53 7360735.5),(54 7495496),(55 7663309),(56 7785420.5),(57 7938676.5),(58 8048334),(59 8191012.5),(60 8297712),(61 8458962),(62 8555667),(63 8688971),(64 8785644),(65 8918965),(66 8999283),(67 9121240),(68 9206507),(69 9340446),(70 9432438),(71 9583491),(72 9695667),(73 9849414),(74 9954438),(75 10100781),(76 10192163),(77 10332205),(78 10405156),(79 10536231),
(1 47817.117),(2 152942.72),(3 316610.94),(4 491761.94),(5 682438.4),(6 870399.8),(7 1071166.3),(8 1284488.6),(9 1504739.9),(10 1722879.6),(11 1955490.3),(12 2185986.3),(13 2434869),(14 2681717),(15 2930314.8),(16 3184040.8),(17 3444318.3),(18 3700852.3),(19 3960119),(20 4202815),(21 4430431),(22 4635243.5),(23 4838838),(24 5037122.5),(25 5233264),(26 5421546.5),(27 5595893.5),(28 5768340.5),(29 5935521),(30 6088923.5),(31 6247658),(32 6387006),(33 6527426),(34 6658640),(35 6793347.5),(36 6929703.5),(37 7080617),(38 7231750),(39 7380859),(40 7523338.5),(41 7675594.5),(42 7838140.5),(43 8001492.5),(44 8166960),(45 8348535),(46 8531044),(47 8729253),(48 8924896),(49 9126821),(50 9324644),(51 9511381),(52 9679048),(53 9831147),(54 9973483),(55 10115091),(56 10232999),(57 10348891),(58 10452306),(59 10543173),(60 10629209),(61 10727124),(62 10792564),(63 10865916),(64 10922913),(65 11002387),(66 11059083),(67 11139621),(68 11234743),(69 11350516),(70 11456628),(71 11597221),(72 11740485),(73 11886228),(74 12046274),(75 12220025),(76 12377067),(77 12533268),(78 12657452),(79 12795839),
(1 46990.656),(2 149581.38),(3 315008.16),(4 498407.72),(5 706689.9),(6 913557.2),(7 1134998.4),(8 1361714.6),(9 1600606),(10 1844756.5),(11 2102324.3),(12 2359286.8),(13 2627441.8),(14 2895606),(15 3164353.5),(16 3431195.8),(17 3703020.8),(18 3975182),(19 4244986.5),(20 4505133.5),(21 4743097.5),(22 4969703.5),(23 5181660),(24 5380214.5),(25 5557030),(26 5724522),(27 5872746.5),(28 6012734),(29 6147683),(30 6271823),(31 6397560.5),(32 6511486),(33 6624072),(34 6736773.5),(35 6854430),(36 6965672.5),(37 7082301.5),(38 7203972.5),(39 7312047),(40 7419941.5),(41 7525068),(42 7636927),(43 7742403),(44 7848340),(45 7966546),(46 8102771),(47 8237204.5),(48 8383644),(49 8527518),(50 8680323),(51 8813399),(52 8939134),(53 9032529),(54 9134527),(55 9233368),(56 9334139),(57 9435038),(58 9545725),(59 9626935),(60 9715080),(61 9799992),(62 9881646),(63 9956552),(64 10051144),(65 10152952),(66 10267867),(67 10393505),(68 10538194),(69 10667133),(70 10805735),(71 10950517),(72 11116864),(73 11281305),(74 11488446),(75 11684136),(76 11902863),(77 12087636),(78 12251955),(79 12394556),
