1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 36584.53),(2 52445.51),(3 57100.824),(4 116089.72),(5 145881.28),(6 165328.6),(7 234895.92),(8 265822.94),(9 286273.5),(10 352961.25),(11 379943.4),(12 391519.4),(13 455663.78),(14 471431.84),(15 475169.25),(16 534033.5),(17 536276.06),(18 545563.75),(19 597373.3),(20 587241.44),(21 575146.56),(22 609576.94),(23 584200.9),(24 577258.7),(25 623925.7),(26 600892.8),(27 590330.06),(28 630559.2),(29 608566.1),(30 606228.06),(31 659076.7),(32 652672.06),(33 703129),(34 773393),(35 789624.5),(36 838000.2),(37 937912.75),(38 973965.3),(39 1046399.3),(40 1155124),(41 1217866.9),(42 1319664.6),(43 1468280.6),(44 1539136.4),(45 1660954.4),(46 1816987),(47 1898694.6),(48 2027323.9),(49 2177143.3),(50 2234384.3),(51 2333895),(52 2456230.3),(53 2520535),(54 2615508.5),(55 2758421),(56 2838998.8),(57 2957898),(58 3103662),(59 3201806.8),(60 3311023.3),(61 3490328),(62 3603925.8),(63 3879276),(64 4076531.3),(65 4238932),(66 4483977.5),(67 4768297.5),(68 5162328.5),(69 5568489),(70 5938184),(71 6331193.5),(72 6740951.5),(73 7165580),(74 7560990.5),(75 8036585.5),(76 8465592),(77 8912737),(78 9431413),(79 9922895),
(1 38197.645),(2 59738.04),(3 68020.46),(4 135405.08),(5 185788.84),(6 213889.8),(7 301463),(8 372381.34),(9 416653.84),(10 510736.7),(11 589143.7),(12 637952.75),(13 737679.1),(14 813215.5),(15 865514.6),(16 959163),(17 1028772.5),(18 1095749.4),(19 1182340),(20 1261611.8),(21 1317734.8),(22 1414648.4),(23 1507050.8),(24 1581557.8),(25 1698934.4),(26 1812636.4),(27 1911008.8),(28 2044323.4),(29 2175630.5),(30 2293932.5),(31 2445491.5),(32 2603003.3),(33 2813952.3),(34 2992710.5),(35 3180957.5),(36 3363972.8),(37 3550480.8),(38 3743124.8),(39 3932153.5),(40 4118249.3),(41 4313281),(42 4523557),(43 4737127),(44 4959055.5),(45 5190005),(46 5397191),(47 5618061.5),(48 5892777),(49 6105497),(50 6331388.5),(51 6549193),(52 6738956),(53 6962913.5),(54 7167036),(55 7376621),(56 7617196),(57 7863072),(58 8087000),(59 8348978.5),(60 8602366),(61 8868716),(62 9151380),(63 9554974),(64 9816749),(65 10110994),(66 10442849),(67 10697906),(68 11043920),(69 11378026),(70 11645618),(71 11962230),(72 12284622),(73 12556621),(74 12899945),(75 13261099),(76 13569128),(77 13891723),(78 14298970),(79 14569549),
(1 34127.777),(2 74927.04),(3 129294.51),(4 231626.69),(5 333482.44),(6 435766),(7 580721.4),(8 718010.06),(9 848921.3),(10 1009993.3),(11 1161885.3),(12 1312034.8),(13 1485575.6),(14 1645918.4),(15 1801725.4),(16 1975857.1),(17 2136178.3),(18 2307007.3),(19 2481987.3),(20 2639964.8),(21 2807844),(22 2995209),(23 3162686.8),(24 3335271),(25 3536213.3),(26 3730071.8),(27 3945343.8),(28 4172378.3),(29 4379199),(30 4598582),(31 4827325.5),(32 5052173.5),(33 5334147.5),(34 5599192),(35 5852984.5),(36 6100557.5),(37 6337836),(38 6571253.5),(39 6811582),(40 7039551.5),(41 7268156.5),(42 7490446.5),(43 7716177.5),(44 7941495.5),(45 8183220),(46 8413507),(47 8652416),(48 8919220),(49 9150412),(50 9377046),(51 9583375),(52 9774119),(53 9973413),(54 10148835),(55 10311317),(56 10478298),(57 10643251),(58 10785537),(59 10964499),(60 11135679),(61 11291009),(62 11460768),(63 11710332),(64 11859941),(65 12028651),(66 12205689),(67 12291865),(68 12433115),(69 12576005),(70 12651024),(71 12771877),(72 12904275),(73 12979928),(74 13104528),(75 13263216),(76 13396535),(77 13506200),(78 13696691),(79 13748712),
(1 28829.363),(2 78622.914),(3 156947.69),(4 274414.47),(5 405891.63),(6 555309.56),(7 740564.75),(8 931528.6),(9 1129986.5),(10 1356150.6),(11 1584346.6),(12 1812967.9),(13 2064253.8),(14 2320016.3),(15 2566482.3),(16 2830987),(17 3097000.5),(18 3346027),(19 3608528),(20 3855053),(21 4097563.5),(22 4342450.5),(23 4582039),(24 4813503.5),(25 5055494),(26 5291411),(27 5523430),(28 5777731),(29 6028035),(30 6276223.5),(31 6537138.5),(32 6795070),(33 7062251.5),(34 7338573.5),(35 7600375),(36 7842391),(37 8094044.5),(38 8332044.5),(39 8548524),(40 8780741),(41 9007967),(42 9220939),(43 9464489),(44 9706476),(45 9931617),(46 10182741),(47 10435214),(48 10683180),(49 10934288),(50 11164915),(51 11364209),(52 11586770),(53 11807547),(54 11986370),(55 12176988),(56 12371119),(57 12550557),(58 12756164),(59 12966404),(60 13150635),(61 13362953),(62 13594198),(63 13779910),(64 13984967),(65 14197065),(66 14373835),(67 14580592),(68 14809005),(69 14972325),(70 15188382),(71 15414535),(72 15597323),(73 15819701),(74 16052852),(75 16246023),(76 16492828),(77 16745028),(78 16964426),(79 17227886),
(1 25493.988),(2 71791.14),(3 140709.69),(4 245028.73),(5 364798.88),(6 495882.6),(7 658817.94),(8 826133.6),(9 998584.44),(10 1195684.6),(11 1391705.5),(12 1592524.4),(13 1813097.9),(14 2025594.9),(15 2232352.5),(16 2459206),(17 2673317.8),(18 2874296.8),(19 3090487.3),(20 3282233.5),(21 3462811),(22 3665593.5),(23 3844999.3),(24 4018580.3),(25 4213586.5),(26 4386427),(27 4561200),(28 4750619.5),(29 4929604.5),(30 5099612.5),(31 5286407.5),(32 5454327.5),(33 5612846),(34 5776177.5),(35 5925222.5),(36 6065420.5),(37 6226286),(38 6366061),(39 6509701),(40 6673701),(41 6831443.5),(42 6990583.5),(43 7175371.5),(44 7344763.5),(45 7530452.5),(46 7732840.5),(47 7925991.5),(48 8132488.5),(49 8354185.5),(50 8558195),(51 8755903),(52 8981609),(53 9202980),(54 9437991),(55 9707674),(56 9989401),(57 10273790),(58 10587571),(59 10908636),(60 11222063),(61 11560698),(62 11909249),(63 12250175),(64 12589683),(65 12932390),(66 13282865),(67 13645465),(68 14014355),(69 14364212),(70 14737201),(71 15080468),(72 15433888),(73 15797129),(74 16134832),(75 16465277),(76 16788434),(77 17085286),(78 17387406),(79 17685256),
(1 18968.996),(2 56530.35),(3 108095.83),(4 184148.84),(5 272826.28),(6 370993.8),(7 486143.34),(8 613416),(9 743284.4),(10 886012.9),(11 1030447.2),(12 1175674.3),(13 1329296.8),(14 1484366.3),(15 1644205.8),(16 1805885.8),(17 1975059.3),(18 2141511.3),(19 2312716),(20 2495649.5),(21 2677423.8),(22 2865109),(23 3058566.5),(24 3267231.5),(25 3480286.8),(26 3703578),(27 3941152.8),(28 4174759.3),(29 4417283.5),(30 4665007),(31 4909977),(32 5173135),(33 5461719),(34 5741306.5),(35 6059947),(36 6386222.5),(37 6716132),(38 7067479),(39 7446770.5),(40 7806354.5),(41 8183984),(42 8574995),(43 8947816),(44 9329427),(45 9735319),(46 10115033),(47 10511701),(48 10946651),(49 11344454),(50 11755098),(51 12170518),(52 12569536),(53 12963575),(54 13357016),(55 13735254),(56 14105235),(57 14473792),(58 14809120),(59 15139843),(60 15439829),(61 15728483),(62 16032920),(63 16322514),(64 16548403),(65 16765952),(66 16973964),(67 17157888),(68 17329944),(69 17500380),(70 17630892),(71 17720668),(72 17823102),(73 17917680),(74 18001620),(75 18096618),(76 18189402),(77 18256356),(78 18358484),(79 18421642),
(1 16426.037),(2 50247.383),(3 99060.64),(4 169742.17),(5 255129.83),(6 351833.78),(7 469271.78),(8 597938.8),(9 738298.1),(10 891634.6),(11 1054290),(12 1225620.3),(13 1410618.8),(14 1612274.9),(15 1817487.5),(16 2036599.1),(17 2257556.3),(18 2486397.5),(19 2725268.5),(20 2974496),(21 3227835.5),(22 3501651),(23 3784223.8),(24 4090125.3),(25 4405623),(26 4733420),(27 5075916),(28 5425010),(29 5781963),(30 6143082.5),(31 6505674),(32 6883927),(33 7272112.5),(34 7660717),(35 8060598),(36 8440155),(37 8821623),(38 9193964),(39 9555995),(40 9915594),(41 10262831),(42 10601045),(43 10917102),(44 11218384),(45 11491154),(46 11733470),(47 11972774),(48 12187380),(49 12375494),(50 12556085),(51 12704873),(52 12827585),(53 12916764),(54 12980726),(55 13026145),(56 13045402),(57 13050756),(58 13054369),(59 13059020),(60 13077334),(61 13110869),(62 13156826),(63 13219020),(64 13280071),(65 13350113),(66 13430550),(67 13516377),(68 13617333),(69 13737324),(70 13855570),(71 13978482),(72 14099020),(73 14236935),(74 14400076),(75 14563196),(76 14738518),(77 14926378),(78 15138549),(79 15349558),
(1 18540.85),(2 60918.34),(3 127169.48),(4 216773.33),(5 326909.1),(6 452232.5),(7 598045.2),(8 761573.06),(9 938013.56),(10 1127774.1),(11 1327416.3),(12 1538609.9),(13 1765532.9),(14 2004229.8),(15 2257131),(16 2520998.8),(17 2793710.8),(18 3088563.3),(19 3381733.3),(20 3696110.3),(21 4011781.3),(22 4330620.5),(23 4677535),(24 5029886),(25 5392931),(26 5765881.5),(27 6140713),(28 6517078),(29 6909586),(30 7300991),(31 7693101.5),(32 8096330.5),(33 8502720),(34 8893901),(35 9282780),(36 9662325),(37 10020900),(38 10369022),(39 10695582),(40 10997984),(41 11285046),(42 11545922),(43 11782857),(44 11989916),(45 12184326),(46 12344785),(47 12493910),(48 12623469),(49 12738352),(50 12834763),(51 12909779),(52 12959487),(53 12991031),(54 12995099),(55 12990969),(56 12975428),(57 12953653),(58 12925408),(59 12898416),(60 12876668),(61 12851417),(62 12836565),(63 12819175),(64 12807153),(65 12811422),(66 12809159),(67 12818212),(68 12821071),(69 12819297),(70 12814891),(71 12803842),(72 12794423),(73 12787946),(74 12786926),(75 12779797),(76 12791645),(77 12785555),(78 12776404),(79 12765957),
(1 16945.766),(2 57375.168),(3 122978.54),(4 209998.03),(5 318859.56),(6 448860.78),(7 597575.4),(8 764327.25),(9 945631.5),(10 1143430.4),(11 1348691.8),(12 1565951),(13 1795288.5),(14 2034158.9),(15 2282314.3),(16 2545782.8),(17 2816579.3),(18 3096572.8),(19 3378407.8),(20 3671790),(21 3978554.3),(22 4286699),(23 4607954.5),(24 4929669.5),(25 5254537),(26 5581194),(27 5898951.5),(28 6216087),(29 6531044),(30 6840724),(31 7144878),(32 7431549),(33 7719808.5),(34 7990898),(35 8249977.5),(36 8490878),(37 8709147),(38 8903909),(39 9075742),(40 9234227),(41 9369505),(42 9483438),(43 9587036),(44 9667008),(45 9734454),(46 9790237),(47 9839257),(48 9903505),(49 9958783),(50 10012359),(51 10055349),(52 10091733),(53 10119870),(54 10133533),(55 10152975),(56 10159531),(57 10177180),(58 10209253),(59 10237002),(60 10265403),(61 10309442),(62 10343918),(63 10367667),(64 10397872),(65 10432088),(66 10456261),(67 10483988),(68 10500307),(69 10495002),(70 10483028),(71 10448504),(72 10400105),(73 10357442),(74 10307881),(75 10239469),(76 10184834),(77 10126607),(78 10053206),(79 9993578),
(1 20826.146),(2 73418.3),(3 158278.6),(4 269760.44),(5 408169.53),(6 572378.2),(7 758122.1),(8 966138.3),(9 1196127.5),(10 1443301.5),(11 1708990.5),(12 1988989.1),(13 2284299),(14 2590640.5),(15 2910420.5),(16 3235085),(17 3572357.3),(18 3928253.8),(19 4284250),(20 4652858),(21 5024150),(22 5385882),(23 5744295),(24 6090910.5),(25 6425183),(26 6758126.5),(27 7077871),(28 7375314.5),(29 7668100.5),(30 7941234.5),(31 8184172.5),(32 8405872),(33 8619117),(34 8793670),(35 8955180),(36 9084145),(37 9187820),(38 9267076),(39 9312379),(40 9323641),(41 9312298),(42 9274232),(43 9222370),(44 9163054),(45 9093564),(46 9005719),(47 8920259),(48 8825254),(49 8731932),(50 8640162),(51 8544836),(52 8461369),(53 8387025),(54 8312812.5),(55 8245584),(56 8189127),(57 8149862),(58 8125851.5),(59 8118884.5),(60 8124679),(61 8149042),(62 8180596.5),(63 8228211.5),(64 8266665),(65 8323256),(66 8378412.5),(67 8444639),(68 8519017),(69 8587173),(70 8653529),(71 8722491),(72 8779169),(73 8840206),(74 8904894),(75 8960269),(76 9018233),(77 9077678),(78 9116536),(79 9160199),
(1 20996.766),(2 74210.11),(3 159174.36),(4 273904.47),(5 417100.25),(6 585699.25),(7 786190.8),(8 1010402.4),(9 1255764.4),(10 1523682.6),(11 1806177.6),(12 2105682.3),(13 2422322.8),(14 2742410),(15 3073298.8),(16 3414925.3),(17 3760562.3),(18 4100902.5),(19 4453393.5),(20 4793931.5),(21 5133160.5),(22 5474301.5),(23 5790328.5),(24 6080316.5),(25 6366649.5),(26 6623088.5),(27 6846659),(28 7050347),(29 7229623.5),(30 7382769.5),(31 7514092),(32 7620733.5),(33 7702233),(34 7762055.5),(35 7800284),(36 7812267.5),(37 7814341.5),(38 7790356),(39 7753602.5),(40 7705207.5),(41 7645613.5),(42 7587404),(43 7529252.5),(44 7475600),(45 7435833.5),(46 7392031.5),(47 7360169.5),(48 7345545),(49 7345210.5),(50 7355185),(51 7375338.5),(52 7401325),(53 7432832),(54 7475328),(55 7519805.5),(56 7569483),(57 7626425),(58 7676064),(59 7719170.5),(60 7747386.5),(61 7769823),(62 7782593),(63 7794623.5),(64 7777860),(65 7767817),(66 7734859.5),(67 7698533),(68 7642547),(69 7589608.5),(70 7525395),(71 7458094.5),(72 7385581),(73 7311199.5),(74 7238297.5),(75 7160989),(76 7086119.5),(77 7024205),(78 6973023),(79 6933392.5),
