1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 27250.838),(2 61165.25),(3 104545.1),(4 185348.92),(5 265863.97),(6 350038.1),(7 472925.22),(8 587863.94),(9 713500.8),(10 881769.3),(11 1048224.2),(12 1225511.3),(13 1435808.4),(14 1655319.4),(15 1879238.4),(16 2133094),(17 2395378.5),(18 2650415.8),(19 2963627.3),(20 3253355.3),(21 3531192),(22 3842218.3),(23 4139713.3),(24 4401514),(25 4697228.5),(26 5009807.5),(27 5277302),(28 5579734.5),(29 5888609.5),(30 6143188),(31 6407365.5),(32 6658666.5),(33 6866189.5),(34 7108047.5),(35 7317350.5),(36 7481052),(37 7689424.5),(38 7868841.5),(39 8004968.5),(40 8140684.5),(41 8256725.5),(42 8325915.5),(43 8411247),(44 8476451),(45 8495715),(46 8521365),(47 8539363),(48 8516887),(49 8506336),(50 8493224),(51 8450426),(52 8424551),(53 8429122),(54 8384098),(55 8393483),(56 8403060),(57 8409791),(58 8435658),(59 8473579),(60 8498621),(61 8545326),(62 8628368),(63 8715452),(64 8802560),(65 8925683),(66 9052964),(67 9190276),(68 9342509),(69 9488795),(70 9650756),(71 9784952),(72 9924317),(73 10095203),(74 10292992),(75 10509865),(76 10722669),(77 10972943),(78 11254061),(79 11516577),
(1 26043.953),(2 64496.895),(3 115334),(4 198778.6),(5 285406.3),(6 374941.44),(7 494475.5),(8 614290.44),(9 738238.8),(10 899191.4),(11 1070855.4),(12 1249762.4),(13 1468361.4),(14 1685774.8),(15 1921919),(16 2184368.8),(17 2454316.3),(18 2731943.5),(19 3059362.5),(20 3369609.5),(21 3674645.5),(22 3987009.5),(23 4296553),(24 4594659),(25 4934406),(26 5281371),(27 5624778),(28 5993869.5),(29 6354016),(30 6689673),(31 7030605),(32 7352168),(33 7658308),(34 7975124),(35 8278370.5),(36 8552031),(37 8867294),(38 9139622),(39 9387734),(40 9629479),(41 9850631),(42 10050725),(43 10278963),(44 10476446),(45 10661832),(46 10859243),(47 11060689),(48 11249294),(49 11445441),(50 11642935),(51 11851386),(52 12066421),(53 12305594),(54 12506702),(55 12743824),(56 12979143),(57 13195567),(58 13428746),(59 13652947),(60 13850709),(61 14094450),(62 14355005),(63 14610778),(64 14864578),(65 15153107),(66 15422442),(67 15705453),(68 15994789),(69 16261347),(70 16507274),(71 16743066),(72 16945972),(73 17167888),(74 17391440),(75 17608288),(76 17835312),(77 18093660),(78 18333920),(79 18542306),
(1 23959.352),(2 72641.29),(3 139771.98),(4 242128.2),(5 361170.88),(6 493070.6),(7 658151.3),(8 845206.56),(9 1038757.3),(10 1260501.9),(11 1506232.4),(12 1756002),(13 2033513),(14 2326711.8),(15 2626632.5),(16 2950110),(17 3301284),(18 3644871.3),(19 4025254.8),(20 4412990.5),(21 4785014.5),(22 5172982.5),(23 5593442.5),(24 5989970.5),(25 6398665.5),(26 6832718.5),(27 7246814),(28 7644348.5),(29 8058337.5),(30 8428233),(31 8779613),(32 9137197),(33 9457465),(34 9777685),(35 10125475),(36 10428028),(37 10747657),(38 11085357),(39 11378229),(40 11650380),(41 11947749),(42 12227783),(43 12472733),(44 12712767),(45 12942325),(46 13155925),(47 13379413),(48 13582871),(49 13781212),(50 13980864),(51 14194584),(52 14386061),(53 14650701),(54 14922863),(55 15205781),(56 15497056),(57 15766373),(58 16033072),(59 16326103),(60 16632443),(61 16963378),(62 17321464),(63 17688474),(64 18057440),(65 18454040),(66 18857408),(67 19271092),(68 19705098),(69 20180274),(70 20604318),(71 21061766),(72 21517450),(73 21985216),(74 22441674),(75 22906122),(76 23360576),(77 23814394),(78 24274846),(79 24707566),
(1 20076.742),(2 68940.375),(3 143862.06),(4 249742.5),(5 378391.13),(6 527871.06),(7 707673.25),(8 908685.25),(9 1124045.1),(10 1367826.3),(11 1630023.9),(12 1911511.4),(13 2217088.5),(14 2536995.3),(15 2872330.3),(16 3221198.3),(17 3583506.3),(18 3959701.8),(19 4358751),(20 4737156.5),(21 5107283.5),(22 5493951),(23 5885281),(24 6264515.5),(25 6640319),(26 7011660.5),(27 7367356.5),(28 7731474),(29 8102279),(30 8459268),(31 8823823),(32 9183946),(33 9541308),(34 9915623),(35 10281756),(36 10617431),(37 10949339),(38 11281429),(39 11611109),(40 11917281),(41 12212169),(42 12512204),(43 12801140),(44 13100977),(45 13389682),(46 13683056),(47 13962040),(48 14237391),(49 14514848),(50 14778601),(51 15035652),(52 15293593),(53 15563989),(54 15844156),(55 16121721),(56 16396146),(57 16651708),(58 16935368),(59 17200626),(60 17473928),(61 17764190),(62 18081744),(63 18402026),(64 18732840),(65 19038932),(66 19378610),(67 19729418),(68 20067716),(69 20404596),(70 20744972),(71 21070606),(72 21393660),(73 21724914),(74 22040066),(75 22357704),(76 22664806),(77 22947078),(78 23247908),(79 23522734),
(1 22589.182),(2 80442.88),(3 172430.39),(4 301724.53),(5 461314.8),(6 651386.9),(7 876393.6),(8 1131201.3),(9 1412103.9),(10 1726449.9),(11 2082038),(12 2463764.3),(13 2882867.8),(14 3326997.5),(15 3795563),(16 4288814),(17 4801095),(18 5327334.5),(19 5876599.5),(20 6423483.5),(21 6997021),(22 7588817.5),(23 8194008.5),(24 8800647),(25 9395069),(26 9987424),(27 10570939),(28 11138765),(29 11716035),(30 12252625),(31 12767703),(32 13266266),(33 13746257),(34 14192717),(35 14624998),(36 15029219),(37 15432378),(38 15811636),(39 16188649),(40 16536144),(41 16869310),(42 17187090),(43 17475466),(44 17750680),(45 18018426),(46 18232450),(47 18416664),(48 18589908),(49 18759042),(50 18907628),(51 19056998),(52 19189930),(53 19359700),(54 19546020),(55 19738338),(56 19919518),(57 20091826),(58 20260548),(59 20423854),(60 20593868),(61 20758844),(62 20969022),(63 21206400),(64 21441886),(65 21700678),(66 21983556),(67 22283340),(68 22600284),(69 22930040),(70 23259040),(71 23619554),(72 23982788),(73 24352488),(74 24739352),(75 25137210),(76 25532174),(77 25932078),(78 26370782),(79 26777908),
(1 34234.707),(2 125147.14),(3 272265.16),(4 473891.94),(5 721034.4),(6 1014736.8),(7 1348808.9),(8 1720322),(9 2133861.8),(10 2592815.3),(11 3088372.5),(12 3614324.5),(13 4183528.8),(14 4777215),(15 5397565.5),(16 6043183.5),(17 6719146.5),(18 7406568),(19 8123854.5),(20 8839866),(21 9579777),(22 10335628),(23 11086982),(24 11815710),(25 12521574),(26 13224478),(27 13903605),(28 14530176),(29 15147022),(30 15696874),(31 16205875),(32 16669771),(33 17104366),(34 17493756),(35 17850810),(36 18174702),(37 18471858),(38 18711610),(39 18913454),(40 19079194),(41 19204240),(42 19274286),(43 19284412),(44 19244410),(45 19185064),(46 19100874),(47 18988496),(48 18863908),(49 18729436),(50 18581366),(51 18440204),(52 18304124),(53 18176662),(54 18058798),(55 17945536),(56 17827996),(57 17713726),(58 17593956),(59 17465184),(60 17336614),(61 17221892),(62 17107266),(63 17008394),(64 16938710),(65 16895344),(66 16903914),(67 16940438),(68 16987538),(69 17067804),(70 17141120),(71 17216424),(72 17292396),(73 17393798),(74 17485810),(75 17592288),(76 17721220),(77 17863616),(78 18022604),(79 18201084),
(1 26759.604),(2 99169.79),(3 212597.52),(4 365114.47),(5 550959.44),(6 768686.1),(7 1013583.06),(8 1285489),(9 1580180),(10 1900947.8),(11 2238919.5),(12 2589045.3),(13 2960081),(14 3340435),(15 3728039.8),(16 4119781),(17 4511732),(18 4904007.5),(19 5308223.5),(20 5698354.5),(21 6080597),(22 6464715),(23 6840256.5),(24 7199613.5),(25 7549258.5),(26 7891728),(27 8221039.5),(28 8542643),(29 8863100),(30 9154543),(31 9429050),(32 9676291),(33 9924508),(34 10172708),(35 10402934),(36 10630022),(37 10875998),(38 11130210),(39 11361345),(40 11594783),(41 11831241),(42 12048729),(43 12270606),(44 12476747),(45 12675044),(46 12874256),(47 13084236),(48 13276873),(49 13451070),(50 13595569),(51 13728191),(52 13860318),(53 13986172),(54 14106454),(55 14212874),(56 14296628),(57 14350363),(58 14396681),(59 14425956),(60 14424577),(61 14429947),(62 14431204),(63 14426225),(64 14396624),(65 14368182),(66 14343030),(67 14315116),(68 14283202),(69 14246681),(70 14219294),(71 14203834),(72 14191364),(73 14192005),(74 14203596),(75 14235610),(76 14293250),(77 14387172),(78 14505622),(79 14650592),
(1 33124.195),(2 124143.82),(3 265079.88),(4 449905),(5 672582.25),(6 931198.4),(7 1222808),(8 1542063.3),(9 1896647.6),(10 2282023),(11 2699987.3),(12 3132587.3),(13 3590346.3),(14 4068070.8),(15 4562805.5),(16 5072247),(17 5600779),(18 6144915.5),(19 6720112),(20 7271842.5),(21 7807299),(22 8342726.5),(23 8875306),(24 9409966),(25 9941524),(26 10456371),(27 10964272),(28 11454692),(29 11943757),(30 12403866),(31 12854373),(32 13261303),(33 13659695),(34 14039458),(35 14391226),(36 14708755),(37 15015020),(38 15284610),(39 15505710),(40 15693737),(41 15859006),(42 15959105),(43 16037792),(44 16063077),(45 16054468),(46 16011157),(47 15956831),(48 15875836),(49 15778330),(50 15644635),(51 15490788),(52 15313630),(53 15123927),(54 14927965),(55 14708402),(56 14478137),(57 14226282),(58 13952966),(59 13685510),(60 13396574),(61 13117446),(62 12846794),(63 12589171),(64 12339597),(65 12102619),(66 11876928),(67 11650912),(68 11437561),(69 11221396),(70 11017355),(71 10828292),(72 10643722),(73 10474620),(74 10322506),(75 10181422),(76 10061694),(77 9955790),(78 9868245),(79 9790995),
(1 31273.709),(2 120171.266),(3 263540.94),(4 459340.9),(5 703714.6),(6 998199.75),(7 1335045),(8 1715033.3),(9 2142152.8),(10 2608015.8),(11 3114402.5),(12 3646636.5),(13 4203400.5),(14 4779961),(15 5365083.5),(16 5956373.5),(17 6552906),(18 7149916.5),(19 7755761.5),(20 8325688.5),(21 8895069),(22 9447198),(23 9958112),(24 10452401),(25 10907539),(26 11343452),(27 11735017),(28 12087415),(29 12424279),(30 12697284),(31 12939287),(32 13143550),(33 13321638),(34 13460973),(35 13581552),(36 13673096),(37 13758097),(38 13809286),(39 13828836),(40 13819695),(41 13797082),(42 13734598),(43 13656013),(44 13549823),(45 13428883),(46 13287470),(47 13139071),(48 12979405),(49 12812893),(50 12632006),(51 12449028),(52 12250675),(53 12070581),(54 11888730),(55 11700486),(56 11494240),(57 11265573),(58 11022061),(59 10784312),(60 10537085),(61 10291804),(62 10056719),(63 9826430),(64 9593075),(65 9366371),(66 9143355),(67 8926711),(68 8710097),(69 8492058),(70 8284338),(71 8085843),(72 7879733),(73 7691481),(74 7514838.5),(75 7351678),(76 7210960),(77 7087100),(78 6982796),(79 6893865.5),
(1 26055.53),(2 97690.72),(3 211083.39),(4 361710.1),(5 546692.25),(6 763072.4),(7 1006632.9),(8 1272580.6),(9 1557254.4),(10 1865281.4),(11 2191760.8),(12 2533129),(13 2887972.3),(14 3250635.3),(15 3616303),(16 3984370.8),(17 4345208.5),(18 4709506.5),(19 5076403.5),(20 5424195),(21 5770479),(22 6099155),(23 6412266.5),(24 6709419.5),(25 6992491.5),(26 7254351.5),(27 7499449),(28 7729187.5),(29 7936485.5),(30 8126863),(31 8295621.5),(32 8454155),(33 8595530),(34 8713740),(35 8808356),(36 8886091),(37 8942017),(38 8978235),(39 8985564),(40 8980311),(41 8962576),(42 8921937),(43 8875202),(44 8807557),(45 8723794),(46 8620702),(47 8519154),(48 8416932),(49 8306640),(50 8184274.5),(51 8059650),(52 7939722.5),(53 7824599),(54 7717074.5),(55 7608452.5),(56 7496342),(57 7376571.5),(58 7242786),(59 7110992),(60 6987786.5),(61 6864050),(62 6746342.5),(63 6628669.5),(64 6513531),(65 6404635.5),(66 6312073),(67 6231620),(68 6161342),(69 6100727),(70 6047120),(71 6007654.5),(72 5970281),(73 5957063),(74 5957721),(75 5972745),(76 6000363.5),(77 6045596.5),(78 6111549.5),(79 6182042.5),
(1 25471.266),(2 96340.97),(3 209158.69),(4 360121.97),(5 545558.94),(6 764458.5),(7 1008184.4),(8 1276577),(9 1565059),(10 1867550.1),(11 2182218.5),(12 2503419.3),(13 2822731.8),(14 3146133.3),(15 3466099),(16 3773997),(17 4072699.8),(18 4367624.5),(19 4656646.5),(20 4931917.5),(21 5205008),(22 5458166.5),(23 5687017),(24 5918230),(25 6143032.5),(26 6351069),(27 6535321),(28 6704573.5),(29 6842414),(30 6961801.5),(31 7058715),(32 7132933),(33 7201220),(34 7258046),(35 7311306),(36 7368230.5),(37 7429299),(38 7498353),(39 7568453),(40 7632980.5),(41 7697063.5),(42 7733661.5),(43 7773895),(44 7794924),(45 7816511),(46 7837596),(47 7847297.5),(48 7858823.5),(49 7876077),(50 7883535),(51 7897123),(52 7913319.5),(53 7931089),(54 7943885),(55 7953185),(56 7949103),(57 7924101.5),(58 7875678),(59 7821409),(60 7747860.5),(61 7669126.5),(62 7580853),(63 7494372),(64 7403426),(65 7300245.5),(66 7200633),(67 7100670.5),(68 6992789),(69 6886210),(70 6773307.5),(71 6661917),(72 6548222),(73 6450641),(74 6357852.5),(75 6282352),(76 6228066.5),(77 6194236),(78 6187555),(79 6203957),
