1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13912.488),(2 38476.418),(3 80534.33),(4 131528.73),(5 190333.75),(6 251524.05),(7 321239.72),(8 390023.97),(9 458951.63),(10 512203.9),(11 565689),(12 605275.56),(13 655740.75),(14 699691.56),(15 739067.25),(16 776095.25),(17 806072.2),(18 836497.3),(19 876425.5),(20 904392.8),(21 955757),(22 1008479.2),(23 1071150.8),(24 1129289),(25 1201192.5),(26 1283074.9),(27 1361233.1),(28 1454137.6),(29 1541096.5),(30 1626212),(31 1698804.1),(32 1777019.9),(33 1857691.4),(34 1909824.1),(35 1948071),(36 1982477),(37 2018528.9),(38 2070049),(39 2119930),(40 2189180.8),(41 2265143.3),(42 2355994.3),(43 2458635.3),(44 2556811.3),(45 2672496),(46 2778777.5),(47 2887075.3),(48 3004463.8),(49 3110384),(50 3209592.3),(51 3322729.3),(52 3454767.8),(53 3571553.3),(54 3678128.8),(55 3797792),(56 3938688),(57 4107888.3),(58 4262921.5),(59 4421085.5),(60 4565127.5),(61 4694815),(62 4814382.5),(63 4927547),(64 5048199.5),(65 5152193.5),(66 5278110.5),(67 5397560.5),(68 5506882.5),(69 5629526.5),(70 5736057.5),(71 5857501.5),(72 5954063.5),(73 6053629.5),(74 6160818.5),(75 6263424.5),(76 6416907.5),(77 6559513.5),(78 6702068),(79 6874746.5),
(1 2310.508),(2 5267.03),(3 6731.3994),(4 7071.7188),(5 7074.6455),(6 7338.754),(7 7705.3374),(8 8169.416),(9 8425.067),(10 8267.787),(11 8177.223),(12 8084.174),(13 8145.2217),(14 8197.237),(15 8246.8545),(16 8350.527),(17 8303.604),(18 8205.168),(19 8298.615),(20 8410.986),(21 8543.8125),(22 8524.306),(23 8503.109),(24 8664.476),(25 8761.631),(26 8704.371),(27 8551.957),(28 8533.779),(29 8562.233),(30 8725.792),(31 8819.388),(32 8880.061),(33 8975.435),(34 8972.588),(35 8911.352),(36 8956.764),(37 9007.276),(38 9067.315),(39 9045.5625),(40 9048.11),(41 9056.383),(42 9102.831),(43 9221.628),(44 9178.549),(45 9152.618),(46 9073.52),(47 9084.214),(48 9223.315),(49 9388.716),(50 9372.801),(51 9289.915),(52 9144.121),(53 9117.836),(54 9080.475),(55 9038.815),(56 8991.868),(57 9133.156),(58 9217.56),(59 9148.188),(60 9130.1),(61 9126.389),(62 9355.716),(63 9422.069),(64 9387.473),(65 9359.544),(66 9336.32),(67 9358.383),(68 9503.442),(69 9709.667),(70 9771.166),(71 9631.968),(72 9530.237),(73 9486.468),(74 9414.536),(75 9526.142),(76 9537.617),(77 9472.584),(78 9482.152),(79 9645.68),
(1 2261.28),(2 5115.4785),(3 6523.3037),(4 6777.8364),(5 6877.4067),(6 7085.716),(7 7349.234),(8 7711.5063),(9 7917.083),(10 7966.946),(11 7889.135),(12 7699.1973),(13 7647.448),(14 7781.257),(15 7782.481),(16 7981.577),(17 8181.1235),(18 8255.722),(19 8312.613),(20 8348.901),(21 8333.661),(22 8251.646),(23 8280.403),(24 8317.574),(25 8369.017),(26 8355.135),(27 8375.025),(28 8524.154),(29 8662.874),(30 8890.183),(31 8894.137),(32 8823.709),(33 8792.646),(34 8693.449),(35 8681.228),(36 8831.48),(37 9098.9795),(38 9158.963),(39 9076.982),(40 8993.324),(41 9092.143),(42 9489.305),(43 9585.394),(44 9488.59),(45 9390.305),(46 9219.126),(47 9126.318),(48 9196.926),(49 9260.664),(50 9360.819),(51 9343.51),(52 9124.955),(53 8983.131),(54 8863.2),(55 8931.469),(56 8941.932),(57 8900.412),(58 8937.933),(59 9062.619),(60 9187.417),(61 9358.065),(62 9567.654),(63 9662.688),(64 9535.618),(65 9472.685),(66 9377.634),(67 9312.515),(68 9242.741),(69 9207.809),(70 9216.619),(71 9218.889),(72 9281.609),(73 9418.69),(74 9427.588),(75 9333.447),(76 9292.291),(77 9326.219),(78 9350.564),(79 9340.462),
(1 2251.6523),(2 5092.7544),(3 6464.8784),(4 6749.799),(5 6787.994),(6 6944.519),(7 7224.315),(8 7502.5117),(9 7683.482),(10 7780.2715),(11 7754.7695),(12 7611.623),(13 7557.2456),(14 7623.1563),(15 7739.3066),(16 8037.609),(17 8225.843),(18 8215.879),(19 8211.613),(20 8282.937),(21 8195.161),(22 8032.652),(23 8046.924),(24 8053.51),(25 7973.4966),(26 7869.837),(27 7869.179),(28 8064.179),(29 8251.946),(30 8464.417),(31 8629.695),(32 8666.68),(33 8661.773),(34 8741.35),(35 8795.88),(36 8895.407),(37 8874.101),(38 8769.809),(39 8684.995),(40 8902.535),(41 8993.015),(42 9031.505),(43 8867.267),(44 8826.992),(45 8921.969),(46 9043.97),(47 9083.549),(48 8995.624),(49 9108.291),(50 9106.581),(51 8948.841),(52 8877.156),(53 8871.293),(54 8818.103),(55 8882.408),(56 8940.342),(57 8950.864),(58 8885.647),(59 8876.79),(60 8987.512),(61 8982.34),(62 9164.312),(63 9376.417),(64 9363.272),(65 9312.194),(66 9155.426),(67 9099.808),(68 9114.369),(69 9120.42),(70 9001.124),(71 8888.761),(72 8941.26),(73 8911.278),(74 8917.445),(75 9041.095),(76 9161.413),(77 9233.401),(78 9338.784),(79 9343.493),
(1 2147.5188),(2 4864.535),(3 6152.4297),(4 6249.7075),(5 6134.7085),(6 6337.1743),(7 6730.9233),(8 6979.615),(9 7020.929),(10 7068.533),(11 7129.9526),(12 6987.359),(13 7010.0913),(14 7102.2676),(15 7205.9043),(16 7369.4243),(17 7382.047),(18 7472.9277),(19 7634.8276),(20 7797.893),(21 7658.888),(22 7522.2593),(23 7726.0776),(24 7940.912),(25 7884.3994),(26 7628.9966),(27 7496.0747),(28 7599.179),(29 7940.246),(30 8196.663),(31 8233.387),(32 8177.213),(33 8151.7646),(34 8214.638),(35 8203.381),(36 8249.068),(37 8300.629),(38 8310.649),(39 8468.31),(40 8627.33),(41 8458.554),(42 8313.136),(43 8319.821),(44 8374.7705),(45 8440.276),(46 8485.571),(47 8523.586),(48 8487.527),(49 8404.504),(50 8317.707),(51 8392.03),(52 8462.627),(53 8334.097),(54 8363.858),(55 8430.333),(56 8501.457),(57 8518.318),(58 8400.39),(59 8386.095),(60 8340.615),(61 8293.083),(62 8285.48),(63 8532.789),(64 8795.697),(65 8766.974),(66 8614.106),(67 8541.638),(68 8525.521),(69 8571.573),(70 8510.453),(71 8471.395),(72 8452.126),(73 8490.195),(74 8660.454),(75 8807.746),(76 8839.445),(77 8782.803),(78 8630.611),(79 8539.281),
(1 2149.406),(2 4798.536),(3 5956.983),(4 6037.1567),(5 5982.478),(6 6246.9414),(7 6609.701),(8 6893.486),(9 6953.848),(10 6969.935),(11 6985.205),(12 6928.829),(13 7001.8843),(14 7115.171),(15 7121.9976),(16 7113.291),(17 7129.2056),(18 7263.9263),(19 7365.116),(20 7585.6826),(21 7531.939),(22 7358.6494),(23 7466.615),(24 7640.545),(25 7630.512),(26 7481.8584),(27 7446.945),(28 7572.2793),(29 7717.249),(30 7700.571),(31 7479.26),(32 7331.421),(33 7344.845),(34 7351.52),(35 7318.083),(36 7355.927),(37 7480.5166),(38 7564.137),(39 7649.001),(40 7799.7876),(41 7770.106),(42 7836.9136),(43 7908.3486),(44 7897.032),(45 7901.6772),(46 7951.8726),(47 8027.151),(48 8244.838),(49 8354.685),(50 8340.903),(51 8273.053),(52 8386.649),(53 8445.029),(54 8498.806),(55 8330.626),(56 8255.013),(57 8403.808),(58 8517.303),(59 8489.671),(60 8376.143),(61 8279.363),(62 8386.287),(63 8539.373),(64 8707.454),(65 8779.649),(66 8863.086),(67 8872.194),(68 8741.606),(69 8609.644),(70 8535.755),(71 8452.706),(72 8382.353),(73 8349.176),(74 8370.246),(75 8373.565),(76 8425.46),(77 8544.755),(78 8568.263),(79 8510.9795),
(1 2056.8457),(2 4517.2993),(3 5645.7427),(4 5921.6245),(5 6005.7896),(6 6113.8657),(7 6248.4404),(8 6455.5806),(9 6591.9316),(10 6579.9575),(11 6546.5825),(12 6574.624),(13 6584.9805),(14 6661.1396),(15 6775.252),(16 6959.121),(17 6978.8477),(18 7051.0864),(19 7097.4043),(20 7102.5444),(21 7142.385),(22 7177.194),(23 7391.5625),(24 7328.5176),(25 7255.837),(26 7056.906),(27 7020.719),(28 7212.15),(29 7401.397),(30 7429.5254),(31 7339.8623),(32 7242.522),(33 7391.037),(34 7563.2104),(35 7670.8975),(36 7706.9927),(37 7673.4897),(38 7674.626),(39 7850.3193),(40 8067.3066),(41 8042.152),(42 7951.569),(43 8029.915),(44 8086.706),(45 8140.196),(46 8147.0176),(47 8194.662),(48 8242.352),(49 8138.7856),(50 8010.793),(51 7885.528),(52 7850.359),(53 7845.7783),(54 7772.376),(55 7846.729),(56 8008.534),(57 8131.6685),(58 8199.467),(59 8203.705),(60 8298.081),(61 8273.777),(62 8319.232),(63 8438.162),(64 8542.625),(65 8626.432),(66 8650.441),(67 8631.54),(68 8702.14),(69 8775.726),(70 8612.279),(71 8524.837),(72 8446.55),(73 8386.901),(74 8431.211),(75 8344.791),(76 8396.14),(77 8466.204),(78 8609.946),(79 8703.127),
(1 1998.2418),(2 4406.5635),(3 5553.8657),(4 5821.8745),(5 5910.3545),(6 6063.759),(7 6312.7183),(8 6532.015),(9 6656.6655),(10 6768.0435),(11 6712.4546),(12 6650.965),(13 6753.5713),(14 6981.1694),(15 6998.7534),(16 7052.5566),(17 7082.7817),(18 7118.429),(19 7161.8223),(20 7374.2925),(21 7399.6514),(22 7345.7046),(23 7337.726),(24 7289.943),(25 7206.477),(26 7153.691),(27 7211.421),(28 7289.8228),(29 7375.2085),(30 7316.116),(31 7250.0454),(32 7197.798),(33 7259.414),(34 7407.11),(35 7446.2046),(36 7439.6074),(37 7336.1455),(38 7408.3594),(39 7611.5444),(40 7602.444),(41 7598.025),(42 7617.4897),(43 7763.881),(44 7841.313),(45 7904.383),(46 7967.3916),(47 8086.1753),(48 8118.511),(49 7975.738),(50 7857.9316),(51 7807.41),(52 7849.6396),(53 7843.3237),(54 7902.32),(55 8051.142),(56 8137.69),(57 8148.8506),(58 8115.392),(59 8117.611),(60 8077.835),(61 8030.5796),(62 8079.2866),(63 8176.659),(64 8061.591),(65 7947.342),(66 7996.153),(67 7995.9077),(68 8031.904),(69 8079.3438),(70 7923.661),(71 7899.4297),(72 8005.927),(73 8040.7095),(74 8020.9575),(75 7945.839),(76 7965.6763),(77 8047.775),(78 8170.842),(79 8209.692),
(1 1992.3193),(2 4410.7466),(3 5508.698),(4 5649.606),(5 5684.901),(6 5923.5156),(7 6221.425),(8 6368.5244),(9 6350.518),(10 6359.3755),(11 6446.557),(12 6445.3345),(13 6561.6),(14 6779.6284),(15 6867.413),(16 6931.8584),(17 6945.175),(18 7082.993),(19 7199.2124),(20 7211.823),(21 7017.6494),(22 6905.233),(23 6971.8037),(24 7051.766),(25 6989.5464),(26 6990.556),(27 7139.7173),(28 7246.2476),(29 7293.582),(30 7195.76),(31 7084.3213),(32 7001.562),(33 7131.9214),(34 7131.99),(35 7047.304),(36 7073.734),(37 7220.325),(38 7402.93),(39 7463.1753),(40 7360.9033),(41 7365.751),(42 7527.216),(43 7808.9717),(44 7896.4453),(45 7827.264),(46 7734.257),(47 7774.181),(48 7773.9775),(49 7804.138),(50 7819.95),(51 7869.153),(52 7790.839),(53 7772.6855),(54 7828.3276),(55 7927.1074),(56 7988.977),(57 7956.4517),(58 7898.8813),(59 7902.627),(60 7865.535),(61 7877.6865),(62 7951.344),(63 8014.4175),(64 7983.9053),(65 7946.5654),(66 7941.1553),(67 7990.767),(68 8035.9014),(69 8116.1587),(70 7936.704),(71 7803.055),(72 7790.523),(73 7794.2935),(74 7888.499),(75 7924.106),(76 7992.482),(77 7935.9805),(78 7733.6523),(79 7601.2476),
(1 1903.2701),(2 4195.1733),(3 5284.2905),(4 5500.352),(5 5614.007),(6 5818.126),(7 6072.411),(8 6207.7905),(9 6155.8804),(10 6176.4917),(11 6233.8755),(12 6310.5547),(13 6369.5615),(14 6413.221),(15 6529.2217),(16 6551.947),(17 6476.38),(18 6596.8755),(19 6634.802),(20 6712.1543),(21 6740.12),(22 6746.0425),(23 6830.5156),(24 6850.335),(25 6895.833),(26 6976.164),(27 7048.0615),(28 7009.7095),(29 6832.9385),(30 6760.9683),(31 6732.5234),(32 6664.305),(33 6606.115),(34 6595.6543),(35 6626.737),(36 6702.5728),(37 6714.34),(38 6772.145),(39 6913.5034),(40 6974.0913),(41 7053.112),(42 7119.059),(43 7226.762),(44 7265.119),(45 7331.2227),(46 7312.5635),(47 7375.961),(48 7322.3916),(49 7137.178),(50 7129.928),(51 7161.0684),(52 7103.9365),(53 7006.4106),(54 7065.0957),(55 7190.1743),(56 7231.136),(57 7219.448),(58 7143.0576),(59 7124.1563),(60 7276.2656),(61 7365.7075),(62 7523.9604),(63 7554.4907),(64 7543.0615),(65 7520.1733),(66 7536.848),(67 7590.859),(68 7605.401),(69 7596.3823),(70 7490.214),(71 7477.164),(72 7591.2173),(73 7535.629),(74 7649.9487),(75 7751.755),(76 7708.239),(77 7651.475),(78 7646.171),(79 7641.811),
(1 1932.9247),(2 4240.5254),(3 5297.7515),(4 5471.1367),(5 5641.41),(6 5890.258),(7 6143.5195),(8 6221.8984),(9 6209.869),(10 6146.9365),(11 6099.949),(12 6133.8804),(13 6215.871),(14 6253.299),(15 6231.1694),(16 6334.595),(17 6399.73),(18 6578.7446),(19 6619.4316),(20 6611.3237),(21 6520.76),(22 6557.4673),(23 6702.7944),(24 6698.5874),(25 6708.085),(26 6666.3906),(27 6658.1484),(28 6701.1274),(29 6755.475),(30 6757.138),(31 6775.634),(32 6816.033),(33 6844.214),(34 6897.481),(35 6820.288),(36 6875.4663),(37 6906.4424),(38 6980.185),(39 6967.675),(40 6869.409),(41 6836.2197),(42 6953.9404),(43 7139.208),(44 7231.1885),(45 7326.8735),(46 7261.671),(47 7214.97),(48 7350.841),(49 7397.1685),(50 7328.1763),(51 7314.026),(52 7314.5586),(53 7344.7617),(54 7422.042),(55 7486.1387),(56 7449.205),(57 7363.103),(58 7186.8496),(59 7117.9844),(60 7218.91),(61 7352.885),(62 7451.41),(63 7385.011),(64 7345.632),(65 7360.6025),(66 7376.117),(67 7345.343),(68 7456.906),(69 7442.028),(70 7447.0234),(71 7479.934),(72 7562.092),(73 7565.4907),(74 7560.155),(75 7561.343),(76 7467.522),(77 7436.5684),(78 7444.663),(79 7427.3125),
(1 1952.7904),(2 4218.913),(3 5313.923),(4 5411.997),(5 5402.804),(6 5535.292),(7 5784.8774),(8 5985.5605),(9 6005.151),(10 5982.5635),(11 5900.3926),(12 6116.8022),(13 6215.6763),(14 6187.67),(15 6292.21),(16 6450.0464),(17 6536.593),(18 6578.658),(19 6564.375),(20 6562.391),(21 6590.1953),(22 6612.212),(23 6669.7813),(24 6632.3447),(25 6638.657),(26 6666.0845),(27 6688.137),(28 6871.2085),(29 6800.9814),(30 6657.305),(31 6604.461),(32 6709.0117),(33 6743.738),(34 6656.9326),(35 6564.1167),(36 6514.0405),(37 6553.9404),(38 6645.828),(39 6563.2886),(40 6524.1226),(41 6519.2803),(42 6697.7974),(43 6804.7246),(44 6808.5234),(45 6800.982),(46 6890.747),(47 6939.7217),(48 7114.6157),(49 7008.367),(50 6897.922),(51 6862.256),(52 6871.981),(53 6870.116),(54 6882.7026),(55 6940.198),(56 6879.288),(57 6793.7773),(58 6761.108),(59 6957.656),(60 7151.7637),(61 7196.333),(62 7160.213),(63 7004.4424),(64 6921.959),(65 6884.7915),(66 6901.521),(67 6937.811),(68 7037.929),(69 6966.309),(70 6888.4033),(71 6923.979),(72 6981.659),(73 7062.146),(74 7170.8555),(75 7321.3936),(76 7431.417),(77 7415.153),(78 7298.0654),(79 7243.437),
(1 1897.668),(2 4111.4316),(3 5024.3394),(4 5136.0464),(5 5066.5767),(6 5209.9805),(7 5475.219),(8 5630.882),(9 5708.4087),(10 5651.325),(11 5601.632),(12 5682.7407),(13 5747.5615),(14 5869.041),(15 6053.907),(16 6155.9346),(17 6103.3745),(18 6034.3525),(19 5990.391),(20 5937.156),(21 6045.9683),(22 6181.028),(23 6216.137),(24 6128.984),(25 6052.796),(26 6098.4653),(27 6187.482),(28 6248.43),(29 6162.5327),(30 6073.7295),(31 6081.692),(32 6075.213),(33 6113.288),(34 6152.829),(35 6107.16),(36 6207.958),(37 6235.4536),(38 6285.6025),(39 6383.174),(40 6322.4297),(41 6313.1826),(42 6481.482),(43 6586.621),(44 6589.2983),(45 6654.139),(46 6747.7764),(47 6777.3926),(48 6867.826),(49 6738.058),(50 6799.9023),(51 6782.7554),(52 6719.0244),(53 6689.449),(54 6825.292),(55 6841.04),(56 6757.8765),(57 6759.578),(58 6872.942),(59 6999.8325),(60 7078.9873),(61 7105.2827),(62 7098.312),(63 6963.38),(64 6858.2617),(65 6746.443),(66 6737.407),(67 6654.5566),(68 6570.0137),(69 6589.92),(70 6634.9624),(71 6651.7227),(72 6614.7813),(73 6768.924),(74 7007.906),(75 7034.831),(76 6984.0313),(77 6908.121),(78 6835.4604),(79 6795.18),
(1 1842.517),(2 3968.8237),(3 4815.877),(4 4897.9063),(5 4952.8315),(6 5164.582),(7 5451.8403),(8 5607.309),(9 5593.5522),(10 5567.9824),(11 5558.6216),(12 5602.9917),(13 5594.499),(14 5602.37),(15 5693.8433),(16 5753.4746),(17 5774.246),(18 5877.088),(19 5962.9966),(20 5963.5313),(21 6003.2007),(22 6152.7944),(23 6126.574),(24 6019.796),(25 5952.5454),(26 5989.7188),(27 5975.877),(28 5956.4097),(29 5939.2627),(30 5884.3496),(31 5931.128),(32 5932.072),(33 5931.01),(34 5974.394),(35 5991.996),(36 5978.9375),(37 5957.906),(38 6024.0996),(39 5995.5576),(40 6041.252),(41 6194.2295),(42 6343.1436),(43 6319.3955),(44 6343.085),(45 6485.124),(46 6618.3535),(47 6605.46),(48 6605.107),(49 6592.0503),(50 6594.2393),(51 6616.6665),(52 6599.345),(53 6619.418),(54 6594.958),(55 6483.801),(56 6520.4727),(57 6583.318),(58 6575.8896),(59 6675.181),(60 6757.2466),(61 6820.4497),(62 6820.9355),(63 6814.9727),(64 6766.7915),(65 6755.883),(66 6711.715),(67 6595.724),(68 6481.292),(69 6475.836),(70 6527.3857),(71 6587.639),(72 6585.4863),(73 6646.1436),(74 6754.3228),(75 6748.4873),(76 6764.522),(77 6712.606),(78 6718.8643),(79 6741.126),
(1 1812.466),(2 3851.5322),(3 4734.707),(4 4784.991),(5 4853.1714),(6 5048.257),(7 5230.7495),(8 5257.932),(9 5264.604),(10 5192.453),(11 5247.521),(12 5398.349),(13 5418.8896),(14 5420.46),(15 5576.983),(16 5749.775),(17 5812.0596),(18 5836.9546),(19 5880.638),(20 5822.632),(21 5780.802),(22 5821.024),(23 5830.4253),(24 5774.3506),(25 5738.7563),(26 5734.466),(27 5718.2446),(28 5725.057),(29 5718.839),(30 5775.772),(31 5857.77),(32 5827.946),(33 5894.7134),(34 5838.9385),(35 5808.1733),(36 5814.1606),(37 5955.643),(38 5934.5806),(39 5929.148),(40 5974.0244),(41 6113.8833),(42 6251.869),(43 6258.08),(44 6229.44),(45 6282.088),(46 6314.695),(47 6339.572),(48 6388.755),(49 6389.621),(50 6448.6265),(51 6444.575),(52 6390.835),(53 6359.448),(54 6347.082),(55 6303.958),(56 6331.194),(57 6373.6357),(58 6353.1895),(59 6377.5947),(60 6408.9697),(61 6523.524),(62 6549.9155),(63 6490.7207),(64 6363.9688),(65 6258.902),(66 6252.886),(67 6292.433),(68 6247.3213),(69 6161.5522),(70 6113.652),(71 6051.529),(72 6100.784),(73 6168.597),(74 6291.938),(75 6366.2954),(76 6369.384),(77 6314.8794),(78 6333.805),(79 6394.02),
(1 1752.9727),(2 3719.5845),(3 4538.8213),(4 4560.6987),(5 4488.1475),(6 4557.9233),(7 4776.496),(8 4840.817),(9 4858.558),(10 4892.632),(11 4958.483),(12 5140.968),(13 5193.9272),(14 5223.756),(15 5305.285),(16 5322.4526),(17 5304.844),(18 5268.9556),(19 5262.3516),(20 5227.5757),(21 5209.4316),(22 5237.7427),(23 5336.095),(24 5386.953),(25 5468.5425),(26 5496.699),(27 5570.259),(28 5662.004),(29 5715.9443),(30 5683.6763),(31 5636.5522),(32 5568.393),(33 5652.2837),(34 5689.5864),(35 5731.1396),(36 5776.1616),(37 5885.3315),(38 5954.449),(39 5881.182),(40 5802.4917),(41 5882.6885),(42 6115.9336),(43 6265.8823),(44 6302.574),(45 6366.1997),(46 6322.5693),(47 6246.364),(48 6265.905),(49 6336.2134),(50 6412.9487),(51 6306.537),(52 6225.515),(53 6275.951),(54 6369.525),(55 6361.4434),(56 6289.5005),(57 6262.9893),(58 6332.7974),(59 6320.4814),(60 6348.1743),(61 6283.5854),(62 6305.457),(63 6323.9067),(64 6312.81),(65 6244.0933),(66 6163.675),(67 6148.6157),(68 6138.0176),(69 6180.404),(70 6109.885),(71 6143.7476),(72 6246.9863),(73 6369.8765),(74 6399.6494),(75 6296.5327),(76 6270.4106),(77 6342.9795),(78 6309.363),(79 6361.3354),
(1 1724.8678),(2 3648.5703),(3 4463.427),(4 4566.672),(5 4576.418),(6 4729.1357),(7 4894.058),(8 4943.1714),(9 4867.1895),(10 4844.999),(11 4899.012),(12 5029.181),(13 5051.211),(14 5036.639),(15 5050.535),(16 5091.053),(17 5102.508),(18 5086.3394),(19 5076.917),(20 5093.3286),(21 5208.0566),(22 5282.437),(23 5237.78),(24 5252.6094),(25 5252.8687),(26 5195.597),(27 5181.368),(28 5309.8843),(29 5328.8164),(30 5269.4985),(31 5267.4746),(32 5279.8184),(33 5355.002),(34 5254.977),(35 5281.6797),(36 5365.502),(37 5478.027),(38 5485.2886),(39 5440.5215),(40 5425.7925),(41 5463.3213),(42 5572.0503),(43 5571.6924),(44 5573.116),(45 5626.1465),(46 5639.957),(47 5619.2236),(48 5658.129),(49 5693.1133),(50 5722.3325),(51 5685.1514),(52 5695.3584),(53 5674.767),(54 5754.203),(55 5770.5107),(56 5712.5933),(57 5706.5356),(58 5735.5933),(59 5836.2603),(60 5852.2305),(61 5849.336),(62 5858.168),(63 5830.972),(64 5799.7085),(65 5745.465),(66 5721.9087),(67 5787.416),(68 5776.042),(69 5765.476),(70 5763.3516),(71 5826.611),(72 5910.9033),(73 6035.0015),(74 6080.606),(75 6051.471),(76 5946.767),(77 5862.206),(78 5855.49),(79 5952.514),
(1 1752.8618),(2 3687.6836),(3 4466.4746),(4 4489.54),(5 4464.371),(6 4659.786),(7 4930.0264),(8 4963.8687),(9 4809.904),(10 4764.132),(11 4829.7554),(12 4946.1187),(13 4970.518),(14 4944.306),(15 5051.3804),(16 5078.1616),(17 5136.747),(18 5213.686),(19 5313.1),(20 5292.0684),(21 5355.9287),(22 5411.1724),(23 5391.72),(24 5427.8843),(25 5408.079),(26 5377.883),(27 5370.75),(28 5462.5625),(29 5453.897),(30 5444.581),(31 5384.5923),(32 5330.98),(33 5308.707),(34 5220.156),(35 5305.5107),(36 5401.393),(37 5501.386),(38 5531.6133),(39 5542.965),(40 5569.497),(41 5511.221),(42 5536.0273),(43 5592.209),(44 5680.826),(45 5752.2056),(46 5737.302),(47 5691.9775),(48 5724.7417),(49 5708.358),(50 5740.5854),(51 5803.3423),(52 5808.9624),(53 5816.0054),(54 5882.085),(55 5884.439),(56 5885.435),(57 5898.502),(58 5883.9937),(59 5860.6646),(60 5848.459),(61 5896.235),(62 5982.9854),(63 6048.229),(64 6047.3296),(65 6048.27),(66 6020.0015),(67 6054.6294),(68 5958.7837),(69 5891.679),(70 5886.958),(71 5963.269),(72 6007.9365),(73 6037.2446),(74 6057.4785),(75 6063.5737),(76 6047.958),(77 6093.0234),(78 6118.8896),(79 6099.7173),
