1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11462.945),(2 37147.92),(3 75030.195),(4 119878.445),(5 173397.08),(6 229960.19),(7 291694.9),(8 355182.6),(9 418068.84),(10 476375.25),(11 531091.8),(12 577358.3),(13 614807.06),(14 652565),(15 685591),(16 709644.94),(17 735206),(18 742322.8),(19 759621.75),(20 776791.94),(21 790953.8),(22 804295.5),(23 813030.2),(24 827127.8),(25 848751.06),(26 869630.94),(27 899886),(28 934828.25),(29 990585.2),(30 1044786.2),(31 1104995.4),(32 1172073),(33 1244495.4),(34 1314836.4),(35 1391375.8),(36 1462138.6),(37 1541757.4),(38 1608717),(39 1680000),(40 1744774),(41 1821707.6),(42 1888564),(43 1960652.6),(44 2029661.4),(45 2084975.9),(46 2134579),(47 2170400),(48 2185609.3),(49 2214393.3),(50 2229915.3),(51 2257514.5),(52 2270373.8),(53 2294427.3),(54 2326912.8),(55 2378149.3),(56 2411373),(57 2445587.5),(58 2473102.3),(59 2505991.3),(60 2541535.8),(61 2577868),(62 2617213.5),(63 2646270.3),(64 2684767),(65 2725180.3),(66 2756269.5),(67 2819741.3),(68 2879114),(69 2938201.3),(70 2989674),(71 3040069.8),(72 3073438.8),(73 3111904.3),(74 3145615.3),(75 3167358.8),(76 3184993.3),(77 3209357.8),(78 3217822.8),(79 3248281.3),
(1 8624.791),(2 28371.863),(3 59167.977),(4 93133.82),(5 131517.47),(6 173735.83),(7 220238.25),(8 269523.84),(9 323613.75),(10 376837.06),(11 431050.8),(12 481044.7),(13 532265.5),(14 590815.5),(15 645020.6),(16 686986.7),(17 724385),(18 754494.5),(19 780111.75),(20 810434.9),(21 833360.2),(22 851798.2),(23 864232),(24 879554.6),(25 891199.3),(26 907789.5),(27 923863),(28 943044.6),(29 964046.8),(30 986880.8),(31 1018563.8),(32 1061015),(33 1115070.6),(34 1177149.1),(35 1237933.6),(36 1298609.4),(37 1369429.4),(38 1444384.8),(39 1522539.3),(40 1598375.1),(41 1678311.6),(42 1743372.3),(43 1810891.6),(44 1866296),(45 1921079.8),(46 1973001.6),(47 2009292),(48 2043878.6),(49 2074045.6),(50 2088365.8),(51 2100360.5),(52 2114798),(53 2133654.8),(54 2149939),(55 2167603.3),(56 2174122),(57 2185086.5),(58 2205754),(59 2227279.3),(60 2244522.5),(61 2253963.5),(62 2257061.5),(63 2255372.5),(64 2255112.3),(65 2246658.5),(66 2240298.5),(67 2242951.8),(68 2228033.3),(69 2219830.8),(70 2202254.5),(71 2186850.8),(72 2172320.8),(73 2155319.8),(74 2140595.8),(75 2131468),(76 2130918),(77 2129546),(78 2125850.5),(79 2127997),
(1 8378.9795),(2 26700.734),(3 52759.285),(4 81855.87),(5 114523.25),(6 148823.02),(7 186909.81),(8 227478.42),(9 270901.4),(10 317429.06),(11 365798.66),(12 413937.84),(13 467424.03),(14 529279.4),(15 585326.7),(16 633386.2),(17 675151.06),(18 710741.5),(19 741528.7),(20 770434.94),(21 792394.2),(22 805343.7),(23 821906.94),(24 834932.7),(25 844426.94),(26 854248),(27 856469.7),(28 861609.8),(29 860437.8),(30 863772.8),(31 870136.8),(32 879950.75),(33 905283.5),(34 933960.7),(35 965624.75),(36 998518.3),(37 1033829),(38 1074126.4),(39 1116626.4),(40 1156237.1),(41 1193204.5),(42 1220706.6),(43 1258845.1),(44 1296529.6),(45 1333716.3),(46 1377066.1),(47 1417078.6),(48 1461128.5),(49 1500340.9),(50 1544000.6),(51 1580390),(52 1624418.4),(53 1673733.4),(54 1712842.9),(55 1759631.4),(56 1796522.4),(57 1837519.4),(58 1885375.5),(59 1929971.6),(60 1974552.6),(61 2017581.6),(62 2061827),(63 2104022),(64 2154183.3),(65 2193152.8),(66 2231860),(67 2268746.5),(68 2302384.8),(69 2331686.3),(70 2348067.3),(71 2360476.8),(72 2370732.8),(73 2375337.3),(74 2381843.8),(75 2401325.8),(76 2431143.8),(77 2463056.8),(78 2505719.3),(79 2549126.8),
(1 9178.066),(2 29788.365),(3 59375.707),(4 92652.2),(5 128228.54),(6 162089.22),(7 199198.81),(8 237952.33),(9 278961.72),(10 324874.13),(11 372599.5),(12 420806.5),(13 474034.63),(14 527471.3),(15 588343.56),(16 645876.6),(17 701539),(18 756208.75),(19 816096.8),(20 870098.94),(21 917023.75),(22 966254.75),(23 1014592),(24 1067650.1),(25 1119359.5),(26 1162574.3),(27 1214888.8),(28 1267886.3),(29 1325374.1),(30 1392061),(31 1453464.9),(32 1523784),(33 1594879.5),(34 1662626),(35 1735455.8),(36 1806577.1),(37 1876246),(38 1945087.8),(39 2014206.3),(40 2072530.6),(41 2129227),(42 2177431.5),(43 2228449.3),(44 2286679.5),(45 2338002.5),(46 2386085),(47 2444303.8),(48 2508518.8),(49 2560948.5),(50 2623770.3),(51 2674971.8),(52 2729598.3),(53 2784721.5),(54 2825377.3),(55 2876308.3),(56 2922681.3),(57 2974657),(58 3032705.5),(59 3094643.8),(60 3153356),(61 3212794.3),(62 3276356.5),(63 3341521.8),(64 3411866.8),(65 3474608.5),(66 3531963),(67 3578837.3),(68 3626520),(69 3663687.5),(70 3695146.3),(71 3717363),(72 3744801),(73 3766618.3),(74 3789984),(75 3822183.5),(76 3853783),(77 3890888),(78 3930013),(79 3967230.3),
(1 10748.688),(2 36003.746),(3 74871.32),(4 124905.125),(5 182785.9),(6 244779.89),(7 310984.78),(8 380890.78),(9 453438.47),(10 534988.2),(11 617834.6),(12 702485.4),(13 800178.25),(14 899457.4),(15 1005271.8),(16 1112270.9),(17 1214198.5),(18 1319845.1),(19 1422944.6),(20 1522200.9),(21 1616488.8),(22 1706440.9),(23 1789774.9),(24 1869610.1),(25 1949434.5),(26 2022163.5),(27 2101435),(28 2175011),(29 2255313.5),(30 2342498.8),(31 2425773),(32 2514442.3),(33 2613005),(34 2711733.5),(35 2814980.3),(36 2907451),(37 3002035.5),(38 3090939),(39 3176747),(40 3253512.8),(41 3328863),(42 3397314.3),(43 3480014.5),(44 3572129.5),(45 3658457.5),(46 3738160),(47 3830663),(48 3936977.5),(49 4020158.5),(50 4111155),(51 4200858.5),(52 4278919.5),(53 4362974),(54 4438020.5),(55 4514774),(56 4595124.5),(57 4680891.5),(58 4768867.5),(59 4866244.5),(60 4966634.5),(61 5068685),(62 5176870),(63 5294080),(64 5397569.5),(65 5508758.5),(66 5603728),(67 5696231.5),(68 5792567.5),(69 5868900.5),(70 5943360.5),(71 6011073.5),(72 6086036),(73 6153041.5),(74 6212907.5),(75 6272142.5),(76 6320085),(77 6373028.5),(78 6404158.5),(79 6433628.5),
(1 10714.758),(2 34896.805),(3 70604.55),(4 116394.27),(5 170333.03),(6 233456.63),(7 301491.78),(8 373078.8),(9 447892.66),(10 524358.94),(11 604058.2),(12 679921.6),(13 759090.4),(14 843132.5),(15 929102.6),(16 1015858.7),(17 1096808.6),(18 1181743),(19 1262199.6),(20 1336741.8),(21 1415137.3),(22 1481899.9),(23 1547945.1),(24 1609163),(25 1670920),(26 1734016.8),(27 1794983.8),(28 1860015.6),(29 1926695.3),(30 1992018),(31 2049101.4),(32 2106647.3),(33 2168102.8),(34 2231802),(35 2292938.5),(36 2345668.5),(37 2398126.8),(38 2455165.5),(39 2511799.8),(40 2569996),(41 2631383.3),(42 2683421.5),(43 2741446.8),(44 2806451.3),(45 2866229.8),(46 2927312.5),(47 2983052.5),(48 3042395.5),(49 3080161.3),(50 3105184.5),(51 3120736.8),(52 3124619),(53 3128367.8),(54 3120912.8),(55 3107388.8),(56 3091854.5),(57 3075521.3),(58 3064448),(59 3058614.3),(60 3057532.3),(61 3057738.5),(62 3060516),(63 3073121.3),(64 3080044),(65 3093535.8),(66 3112525.3),(67 3117496.5),(68 3134371.8),(69 3146524.8),(70 3164488.3),(71 3184640),(72 3203732),(73 3225092.8),(74 3248279.5),(75 3276224.3),(76 3305840),(77 3329576.5),(78 3356791.3),(79 3382401.5),
(1 10936.488),(2 36121.17),(3 73487.586),(4 118764.36),(5 172987.58),(6 233796.97),(7 299043),(8 366109.88),(9 434979.63),(10 505513),(11 570525.9),(12 631487.06),(13 694102.4),(14 752892.1),(15 816212.4),(16 876328.1),(17 934494.6),(18 991023.06),(19 1048139.44),(20 1098986.3),(21 1147044.8),(22 1202556.8),(23 1251391.3),(24 1308504.1),(25 1371283.5),(26 1431584.5),(27 1505340.5),(28 1573068.3),(29 1654885.1),(30 1738275.3),(31 1813506.8),(32 1901719.9),(33 1991923.3),(34 2092374.3),(35 2195571.8),(36 2292512.8),(37 2394170.8),(38 2496136.3),(39 2604997.3),(40 2713205),(41 2818294.3),(42 2916553),(43 3014873.8),(44 3121046.8),(45 3218925),(46 3310628.3),(47 3408026.8),(48 3509669.3),(49 3588621.8),(50 3675897),(51 3744272.5),(52 3810836.3),(53 3880149.8),(54 3925909.3),(55 3963886.5),(56 3997007.5),(57 4027948.5),(58 4066901.8),(59 4104377.5),(60 4135269.5),(61 4160720),(62 4194081.3),(63 4222772.5),(64 4252537),(65 4280415),(66 4295893),(67 4310608.5),(68 4327071),(69 4329463.5),(70 4330772),(71 4329730.5),(72 4323754),(73 4316092.5),(74 4314703.5),(75 4313858),(76 4326726.5),(77 4351183),(78 4370069),(79 4392139.5),
(1 11181.722),(2 38363.457),(3 79486.88),(4 130587.9),(5 192727.56),(6 265623.63),(7 348453.22),(8 445287.78),(9 551155.8),(10 667463.4),(11 789528.75),(12 912185.06),(13 1038333.3),(14 1171606.9),(15 1312281.3),(16 1456004.5),(17 1605818.9),(18 1759179.5),(19 1915163.5),(20 2065130),(21 2207833.8),(22 2354136.3),(23 2482111),(24 2617301.8),(25 2761330.3),(26 2889331),(27 3038876.8),(28 3167764.8),(29 3298509.3),(30 3419930.5),(31 3522569.5),(32 3623884.8),(33 3718742.5),(34 3815499.3),(35 3913656),(36 4000310.3),(37 4078075.3),(38 4147671),(39 4205436.5),(40 4247309.5),(41 4281706.5),(42 4305972.5),(43 4327924.5),(44 4350827.5),(45 4370970),(46 4384010.5),(47 4389413),(48 4385513.5),(49 4373292.5),(50 4358014),(51 4335241),(52 4316556.5),(53 4307929.5),(54 4289333.5),(55 4277077.5),(56 4267631.5),(57 4261693),(58 4258061.5),(59 4264833),(60 4278889),(61 4300479.5),(62 4342514),(63 4381025),(64 4425344.5),(65 4474170),(66 4511741),(67 4558433.5),(68 4605273.5),(69 4654889.5),(70 4701321.5),(71 4748937.5),(72 4796057),(73 4837241.5),(74 4876102.5),(75 4910400),(76 4941487),(77 4975052.5),(78 5000711),(79 5026136),
(1 10221.5625),(2 34135.06),(3 68131.8),(4 109526.28),(5 157482.55),(6 212955.75),(7 272455.2),(8 337754.66),(9 405077.88),(10 477545.2),(11 549134.5),(12 619939.06),(13 692310.94),(14 765509.2),(15 841318.7),(16 915149.7),(17 991090),(18 1070640.1),(19 1145340.9),(20 1220824.8),(21 1299107.1),(22 1374790.1),(23 1446312.6),(24 1524858.6),(25 1603053),(26 1675168.5),(27 1755298.6),(28 1823637),(29 1890700.5),(30 1952146.9),(31 2003922.6),(32 2058294.1),(33 2119396.3),(34 2183739.3),(35 2255552.3),(36 2325185.5),(37 2400790),(38 2474256.5),(39 2542442),(40 2609272.3),(41 2675760.5),(42 2738920.3),(43 2799566.5),(44 2862519),(45 2917995.8),(46 2969210.3),(47 3018732.3),(48 3064435.8),(49 3098106.3),(50 3133733),(51 3156282.3),(52 3184842),(53 3219778.3),(54 3238161),(55 3262147.5),(56 3287043),(57 3307582.8),(58 3328795.3),(59 3352344.5),(60 3375308.3),(61 3401403.5),(62 3428755.5),(63 3459074.5),(64 3488623.5),(65 3517549.3),(66 3540285.3),(67 3567806.5),(68 3591247.5),(69 3607535.8),(70 3620492.8),(71 3633597.8),(72 3650005.8),(73 3664829.8),(74 3679445.8),(75 3696278),(76 3716746.3),(77 3742684.3),(78 3766898.5),(79 3785889.5),
(1 9743.96),(2 31462.084),(3 61878.734),(4 98957.68),(5 142898.86),(6 193611.53),(7 251360.97),(8 318459.5),(9 391996.13),(10 477117.06),(11 565837.9),(12 662500.1),(13 766040.44),(14 870790.9),(15 989311.1),(16 1109253.1),(17 1239130.6),(18 1367194.9),(19 1507268.4),(20 1646928.9),(21 1783865.8),(22 1934339.1),(23 2072376.5),(24 2219101),(25 2373517),(26 2510915.5),(27 2659237.3),(28 2779538.3),(29 2899137.5),(30 3013983.3),(31 3108945.3),(32 3202576),(33 3289430.3),(34 3375116),(35 3454491.3),(36 3514987.5),(37 3572167.8),(38 3617659),(39 3656131.5),(40 3679182.3),(41 3691830.3),(42 3699928.5),(43 3692901.5),(44 3679063),(45 3664041.5),(46 3646178.3),(47 3617222.3),(48 3576555),(49 3537193.3),(50 3502101),(51 3459749.3),(52 3427277),(53 3398311.5),(54 3369533),(55 3356693.5),(56 3346025.3),(57 3342988),(58 3342076),(59 3354077.3),(60 3363826.3),(61 3373559.3),(62 3388629),(63 3401093.5),(64 3422679.8),(65 3444240.8),(66 3461454.8),(67 3486847),(68 3505835),(69 3518122.3),(70 3527651),(71 3532547),(72 3542574.5),(73 3550980),(74 3562297.3),(75 3573489.3),(76 3587671),(77 3603966.3),(78 3617063.3),(79 3630654.5),
(1 11906.728),(2 39084.043),(3 80290.39),(4 131745.94),(5 193720.05),(6 264958.03),(7 345484.25),(8 434580.53),(9 531214.5),(10 637848.3),(11 749283.75),(12 869761.56),(13 995047.3),(14 1122119.3),(15 1260127),(16 1398133.8),(17 1543235.1),(18 1692230.1),(19 1848589.1),(20 2011326.4),(21 2178730),(22 2366700.3),(23 2542721.5),(24 2737054.3),(25 2942698),(26 3132414.8),(27 3339285),(28 3525105),(29 3722584),(30 3914776),(31 4085106.8),(32 4247741.5),(33 4401307.5),(34 4552593),(35 4706746),(36 4840424),(37 4965285.5),(38 5076244),(39 5166317.5),(40 5242778.5),(41 5296743),(42 5336148.5),(43 5357156.5),(44 5376769),(45 5385551),(46 5370347),(47 5344063),(48 5297865.5),(49 5247252.5),(50 5190373.5),(51 5126723),(52 5065519.5),(53 5010415),(54 4955620),(55 4904230),(56 4849478.5),(57 4795219),(58 4741667),(59 4685875),(60 4625784.5),(61 4563197),(62 4500403.5),(63 4437417.5),(64 4376768),(65 4310360.5),(66 4231003.5),(67 4159301.3),(68 4075430.5),(69 3994367.5),(70 3909446.8),(71 3821922.5),(72 3739278),(73 3656946),(74 3572834.3),(75 3494867.3),(76 3423450),(77 3358564.8),(78 3294053.3),(79 3230879.8),
