1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 804108),(2 2892562),(3 6133662.5),(4 10046876),(5 14117093),(6 18094128),(7 21990826),(8 25542960),(9 28313320),(10 30673066),(11 33013278),(12 35473940),(13 38249610),(14 41123020),(15 44353764),(16 48406720),(17 53351440),(18 59329040),(19 66023628),(20 73757740),(21 80886090),(22 88410320),(23 97156540),(24 105422940),(25 114157770),(26 123730456),(27 133150710),(28 142803060),(29 152946740),(30 162443920),(31 171832300),(32 181821940),(33 191080690),(34 200745340),(35 211291310),(36 221594940),(37 231903020),(38 242151680),(39 252250800),(40 263303300),(41 273194460),(42 283043840),(43 293087000),(44 302560670),(45 311903360),(46 320959460),(47 329783580),(48 338242620),(49 346423460),(50 354178430),(51 361809300),(52 368758370),(53 376030300),(54 383257600),(55 390236770),(56 397532900),(57 405235500),(58 413850880),(59 423216900),(60 433607260),(61 444843520),(62 455737250),(63 466978530),(64 478323170),(65 490807200),(66 503275260),(67 514690800),(68 526736500),(69 539343400),(70 551147260),(71 560338240),(72 569314900),(73 576660540),(74 582574140),(75 587249300),(76 590135040),(77 591917100),(78 592153000),(79 590582460),
(1 981858.9),(2 3735124.5),(3 8024835),(4 13418568),(5 19242992),(6 24986496),(7 30617472),(8 35996044),(9 40772268),(10 45172184),(11 49200104),(12 53199772),(13 57362840),(14 61648756),(15 66429324),(16 71889620),(17 78135090),(18 85169576),(19 92508750),(20 100126590),(21 107692760),(22 115355670),(23 123202030),(24 130783490),(25 138215140),(26 145536080),(27 152992100),(28 160432600),(29 167629060),(30 174051040),(31 180007300),(32 186241890),(33 192507220),(34 199165620),(35 206128340),(36 213241760),(37 220671780),(38 229191090),(39 237581820),(40 246310740),(41 255335420),(42 264360800),(43 273741630),(44 283288220),(45 292565500),(46 301783580),(47 310997440),(48 320212300),(49 329216700),(50 337935300),(51 346707260),(52 354810620),(53 362558270),(54 369717340),(55 376030370),(56 381795900),(57 386909440),(58 391553860),(59 395057200),(60 398271230),(61 401507140),(62 405066700),(63 409011700),(64 413728060),(65 419218620),(66 425049020),(67 431382700),(68 437910460),(69 444904770),(70 451430660),(71 456150270),(72 459397950),(73 461370980),(74 461969340),(75 460948300),(76 459156540),(77 456622400),(78 453528060),(79 450051840),
(1 775191.3),(2 2921556),(3 6177585.5),(4 10235925),(5 14518805),(6 18509530),(7 22249984),(8 25688482),(9 28750930),(10 31636826),(11 34086930),(12 36367660),(13 38735356),(14 41090564),(15 43527828),(16 46128960),(17 48767988),(18 51385948),(19 54050956),(20 56891970),(21 60179700),(22 63855410),(23 67921900),(24 72367320),(25 77030920),(26 81691210),(27 86522536),(28 91222440),(29 95787490),(30 100027840),(31 104190010),(32 108474570),(33 112929110),(34 117488744),(35 122029450),(36 126716760),(37 131514136),(38 136819540),(39 142022660),(40 147238220),(41 152568910),(42 157994100),(43 163496910),(44 169088830),(45 174541800),(46 180038030),(47 185562610),(48 190976000),(49 196247570),(50 201345460),(51 206328780),(52 210755470),(53 214736830),(54 218093100),(55 220603090),(56 222646260),(57 224297580),(58 225240200),(59 225215820),(60 224860110),(61 224411780),(62 223908220),(63 223519060),(64 223968460),(65 225567340),(66 228120270),(67 231441100),(68 234788940),(69 238312000),(70 241417600),(71 242869970),(72 242546300),(73 241050240),(74 238469380),(75 234708050),(76 230547820),(77 226006270),(78 221368270),(79 216792580),
(1 644364.25),(2 2431194.8),(3 5135866.5),(4 8444849),(5 11886119),(6 15068050),(7 17946250),(8 20552196),(9 22818710),(10 24799064),(11 26325564),(12 27594748),(13 28814728),(14 29884064),(15 30948744),(16 32113066),(17 33374344),(18 34711580),(19 36171628),(20 37901504),(21 40127004),(22 42812336),(23 45884024),(24 49405696),(25 53105892),(26 56908030),(27 60666624),(28 64203016),(29 67403260),(30 70102350),(31 72452536),(32 74536024),(33 76356030),(34 77934050),(35 79361060),(36 80710344),(37 81894184),(38 83090460),(39 84069890),(40 85064664),(41 85961510),(42 86807384),(43 87822850),(44 88961280),(45 90045050),(46 91397640),(47 93000010),(48 94886376),(49 97262690),(50 100050390),(51 103436640),(52 107400680),(53 111856390),(54 116810664),(55 122170620),(56 127873790),(57 133459384),(58 138453820),(59 142748800),(60 146304260),(61 149304660),(62 152063200),(63 154500510),(64 157223440),(65 160470460),(66 164526400),(67 169760340),(68 175200720),(69 180686320),(70 185801900),(71 189403070),(72 191427520),(73 192179400),(74 191675200),(75 189670300),(76 186624880),(77 182611090),(78 177937010),(79 173065120),
(1 691554.75),(2 2605789.5),(3 5448236.5),(4 8844304),(5 12327737),(6 15557929),(7 18445114),(8 20888152),(9 22869786),(10 24493458),(11 25726598),(12 26752558),(13 27774924),(14 28657536),(15 29495208),(16 30350056),(17 31248308),(18 32113530),(19 33004754),(20 34116570),(21 35549988),(22 37408772),(23 39682116),(24 42328850),(25 45147004),(26 48039236),(27 50797068),(28 53306856),(29 55379420),(30 56998332),(31 58279056),(32 59359580),(33 60282880),(34 61220316),(35 62184332),(36 63198336),(37 64241420),(38 65351064),(39 66516736),(40 67642370),(41 68711940),(42 69784140),(43 70821390),(44 71939780),(45 73137850),(46 74438430),(47 75903490),(48 77541600),(49 79345896),(50 81240056),(51 83329224),(52 85457590),(53 87528290),(54 89618890),(55 91473250),(56 93196120),(57 94515620),(58 95416056),(59 95920184),(60 96083100),(61 96137020),(62 96080120),(63 95900570),(64 96145780),(65 96712520),(66 97954940),(67 99955016),(68 102120390),(69 104436410),(70 106765256),(71 108604620),(72 109672330),(73 110130940),(74 109888420),(75 109006540),(76 107862376),(77 106490080),(78 105171256),(79 104006330),
(1 792409.44),(2 2932809.5),(3 5979031),(4 9462424),(5 12876258),(6 15891843),(7 18376772),(8 20244628),(9 21649924),(10 22824196),(11 23727482),(12 24586740),(13 25525202),(14 26464524),(15 27496140),(16 28588086),(17 29693872),(18 30765196),(19 31869564),(20 33140348),(21 34704504),(22 36724692),(23 39228750),(24 42076830),(25 45040544),(26 47924216),(27 50433676),(28 52401140),(29 53691576),(30 54231870),(31 54234944),(32 53869800),(33 53326816),(34 52693588),(35 52008716),(36 51415412),(37 50961300),(38 50671468),(39 50532544),(40 50493524),(41 50521576),(42 50697680),(43 50992600),(44 51473344),(45 52113916),(46 52963020),(47 53977496),(48 55167092),(49 56590440),(50 58139596),(51 59807820),(52 61542784),(53 63225548),(54 64946370),(55 66567750),(56 68005120),(57 69192210),(58 70033510),(59 70287760),(60 70231590),(61 70089360),(62 69884880),(63 69872110),(64 70420820),(65 71519544),(66 73075500),(67 75209210),(68 77847120),(69 80453620),(70 82567530),(71 83905000),(72 84340696),(73 83844400),(74 82524220),(75 80576840),(76 78309160),(77 75907380),(78 73651350),(79 71769660),
(1 622905.94),(2 2293518),(3 4655648.5),(4 7336093),(5 9908356),(6 12112629),(7 13932624),(8 15332854),(9 16486545),(10 17559126),(11 18709490),(12 20031962),(13 21547368),(14 23184168),(15 24757596),(16 26131036),(17 27152278),(18 27792564),(19 28154232),(20 28538478),(21 29220044),(22 30301124),(23 31844438),(24 33754744),(25 35852810),(26 37868580),(27 39456536),(28 40421370),(29 40786550),(30 40599090),(31 40118620),(32 39443388),(33 38701216),(34 37976316),(35 37413344),(36 36964616),(37 36635212),(38 36417380),(39 36264708),(40 36077676),(41 35764124),(42 35387388),(43 34956028),(44 34569750),(45 34295828),(46 34258264),(47 34572744),(48 35264976),(49 36462330),(50 38131972),(51 40204056),(52 42555116),(53 44999050),(54 47405576),(55 49625296),(56 51454164),(57 52713940),(58 53405330),(59 53543170),(60 53221670),(61 52732776),(62 52318788),(63 52089320),(64 52191656),(65 52682732),(66 53862212),(67 55503320),(68 57299540),(69 58985024),(70 60231030),(71 60788360),(72 60377660),(73 59103492),(74 57199750),(75 55010220),(76 52943084),(77 51294696),(78 50356636),(79 50203120),
(1 582863.3),(2 2145254.3),(3 4350917.5),(4 6794469.5),(5 9004197),(6 10643105),(7 11698006),(8 12206814),(9 12428427),(10 12796514),(11 13519325),(12 14672062),(13 16176450),(14 17766036),(15 19182164),(16 20240026),(17 20742220),(18 20676242),(19 20228458),(20 19668820),(21 19275500),(22 19204626),(23 19575010),(24 20368810),(25 21406006),(26 22481112),(27 23414638),(28 24056280),(29 24459724),(30 24621976),(31 24696328),(32 24800568),(33 24935972),(34 25231746),(35 25677582),(36 26265228),(37 26936952),(38 27684040),(39 28454604),(40 29264178),(41 30063914),(42 30874404),(43 31697080),(44 32503754),(45 33276380),(46 34000720),(47 34673268),(48 35319716),(49 35977364),(50 36663910),(51 37422164),(52 38295504),(53 39276584),(54 40371420),(55 41499836),(56 42447748),(57 43039556),(58 43205144),(59 42595068),(60 41198804),(61 39211436),(62 36960036),(63 34850530),(64 33153162),(65 32070310),(66 31500874),(67 31461638),(68 31943814),(69 32834690),(70 33788064),(71 34466950),(72 34754310),(73 34609580),(74 34085810),(75 33363742),(76 32672558),(77 32233152),(78 32126240),(79 32330324),
(1 541263.6),(2 1997345.6),(3 4059558.5),(4 6327143.5),(5 8304780),(6 9584100),(7 10204728),(8 10388371),(9 10473947),(10 10882244),(11 11750703),(12 13138231),(13 14915662),(14 16784798),(15 18499718),(16 19771222),(17 20402750),(18 20351804),(19 19792058),(20 19004438),(21 18292752),(22 17811916),(23 17715898),(24 17971066),(25 18434624),(26 18939752),(27 19378172),(28 19597908),(29 19627436),(30 19515876),(31 19377364),(32 19290458),(33 19266372),(34 19313468),(35 19385642),(36 19497356),(37 19632560),(38 19739508),(39 19834898),(40 19911920),(41 19994288),(42 20142882),(43 20395330),(44 20642630),(45 20868984),(46 21008414),(47 21013942),(48 20793298),(49 20445416),(50 19998604),(51 19577708),(52 19283566),(53 19229306),(54 19471012),(55 19950200),(56 20599320),(57 21232396),(58 21749456),(59 21847076),(60 21501250),(61 20823868),(62 20018264),(63 19282496),(64 18724722),(65 18540204),(66 18838390),(67 19665994),(68 20894928),(69 22235312),(70 23380326),(71 24170896),(72 24536282),(73 24483588),(74 24179668),(75 23883512),(76 23749712),(77 23928600),(78 24430046),(79 25216878),
(1 567811.7),(2 2106730.5),(3 4262738.5),(4 6531449.5),(5 8376982),(6 9428212),(7 9775764),(8 9685673),(9 9585047),(10 9887668),(11 10721607),(12 12143886),(13 13985976),(14 16032313),(15 17986190),(16 19475150),(17 20371176),(18 20607886),(19 20311760),(20 19709720),(21 19177504),(22 18832040),(23 18728984),(24 18817458),(25 18987538),(26 19145680),(27 19288056),(28 19343836),(29 19316360),(30 19200584),(31 19020548),(32 18809512),(33 18572320),(34 18275658),(35 17907008),(36 17469374),(37 17008454),(38 16516932),(39 16094727),(40 15800615),(41 15755561),(42 15985851),(43 16492821),(44 17170408),(45 17952406),(46 18650780),(47 19123782),(48 19217630),(49 18876378),(50 18185096),(51 17261318),(52 16401988),(53 15852816),(54 15762937),(55 16255111),(56 17336854),(57 18743182),(58 20225450),(59 21189416),(60 21416744),(61 20979538),(62 20315028),(63 19713248),(64 19365332),(65 19299492),(66 19401656),(67 19845472),(68 20518130),(69 21281756),(70 21867400),(71 22170856),(72 22133082),(73 21847544),(74 21416426),(75 21050326),(76 20871550),(77 20901590),(78 21103824),(79 21366154),
(1 576085.6),(2 2133479.3),(3 4288402),(4 6538113),(5 8355251),(6 9401867),(7 9786360),(8 9789732),(9 9740127),(10 9999489),(11 10707759),(12 11904917),(13 13434701),(14 15100101),(15 16588875),(16 17647648),(17 18228454),(18 18330278),(19 18066736),(20 17615724),(21 17134954),(22 16773696),(23 16600318),(24 16536226),(25 16490935),(26 16468439),(27 16542609),(28 16658601),(29 16753075),(30 16817476),(31 16875638),(32 16959056),(33 17052710),(34 17114868),(35 17106060),(36 16949368),(37 16646409),(38 16209843),(39 15715391),(40 15264770),(41 14953258),(42 14859537),(43 15031077),(44 15418384),(45 15968608),(46 16532333),(47 16959092),(48 17116752),(49 16944584),(50 16520911),(51 15984130),(52 15542193),(53 15378310),(54 15623863),(55 16263657),(56 17205142),(57 18303312),(58 19285898),(59 19741358),(60 19607090),(61 19054242),(62 18273642),(63 17559184),(64 17168946),(65 17197128),(66 17583814),(67 18124040),(68 18684724),(69 19206256),(70 19514458),(71 19556510),(72 19268506),(73 18683354),(74 18000088),(75 17415012),(76 17033182),(77 16973238),(78 17176452),(79 17488970),
