1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 76690.66),(2 95744.9),(3 79649.46),(4 177868.75),(5 214952.67),(6 194637.55),(7 373091.34),(8 455458.66),(9 494075.47),(10 618638),(11 699254.06),(12 735061),(13 854533.2),(14 926090.3),(15 975468.2),(16 1130615.1),(17 1238981.1),(18 1328382.6),(19 1493616.5),(20 1622970.6),(21 1703521),(22 1880635),(23 2003346.6),(24 2079502.6),(25 2251832.8),(26 2341640.3),(27 2398095.5),(28 2522905),(29 2569546.3),(30 2580517.3),(31 2713173.8),(32 2771675.3),(33 2831038.8),(34 2988170.8),(35 3090798),(36 3152736.8),(37 3362865.3),(38 3493060),(39 3604169),(40 3830513.3),(41 3998673.8),(42 4159090.8),(43 4435742.5),(44 4643945),(45 4832269.5),(46 5112370.5),(47 5340747.5),(48 5610278),(49 5957070),(50 6222931.5),(51 6508616),(52 6921814.5),(53 7022194.5),(54 7251874.5),(55 7594549.5),(56 7860425.5),(57 8108798.5),(58 8452159),(59 8709208),(60 8927563),(61 9274244),(62 9477505),(63 9744624),(64 10047738),(65 10258910),(66 10470845),(67 10786050),(68 11048595),(69 11289753),(70 11619648),(71 11872603),(72 12109248),(73 12409772),(74 12704303),(75 13001631),(76 13380561),(77 13705952),(78 14029228),(79 14277891),
(1 74869.59),(2 90996.41),(3 67565.625),(4 171681.33),(5 207044.66),(6 199356.58),(7 383652.3),(8 443037.5),(9 462625.75),(10 606123.2),(11 672277.2),(12 701978.3),(13 858787.8),(14 941816.4),(15 990098.4),(16 1172358.3),(17 1282505.1),(18 1369772),(19 1587473.3),(20 1736026.3),(21 1838405.8),(22 2085837.4),(23 2260078.5),(24 2386166),(25 2658610.8),(26 2866834.5),(27 3031487),(28 3291893.3),(29 3493848),(30 3654129.5),(31 3938404),(32 4163417.5),(33 4380347),(34 4709213),(35 4987341),(36 5239595.5),(37 5630609),(38 5958301),(39 6256226.5),(40 6673969),(41 7048935),(42 7412143),(43 7895966.5),(44 8331423),(45 8735161),(46 9239837),(47 9703006),(48 10213779),(49 10774086),(50 11304356),(51 11851014),(52 12509042),(53 13025270),(54 13576498),(55 14271606),(56 14940102),(57 15617629),(58 16374408),(59 17114006),(60 17829488),(61 18660010),(62 19385556),(63 20216266),(64 20983986),(65 21727830),(66 22407462),(67 23179804),(68 23912470),(69 24611312),(70 25398810),(71 26190968),(72 26933722),(73 27736246),(74 28529018),(75 29249600),(76 30025754),(77 30724816),(78 31465860),(79 32096020),
(1 48417.184),(2 74929.555),(3 97463.1),(4 193545.33),(5 253855.3),(6 305372.5),(7 486917.84),(8 585881),(9 679933.6),(10 839201.3),(11 956600),(12 1070523.6),(13 1243540.9),(14 1370973.4),(15 1496370.5),(16 1674782),(17 1808868.6),(18 1950682),(19 2136666.5),(20 2282664.3),(21 2428424.8),(22 2616004.8),(23 2773618.3),(24 2928614.8),(25 3130176.8),(26 3330976.3),(27 3548734.3),(28 3785735.3),(29 4010627.8),(30 4258937.5),(31 4543570),(32 4810225.5),(33 5117620),(34 5427124),(35 5740616),(36 6049326.5),(37 6418747.5),(38 6761220.5),(39 7127630.5),(40 7516672),(41 7910337.5),(42 8312207.5),(43 8742319),(44 9160817),(45 9594495),(46 10027928),(47 10435971),(48 10900295),(49 11304285),(50 11691405),(51 12101619),(52 12494880),(53 12976777),(54 13390603),(55 13810981),(56 14211856),(57 14653429),(58 15060888),(59 15484169),(60 15901707),(61 16314665),(62 16706864),(63 17194786),(64 17599800),(65 17990420),(66 18387466),(67 18781136),(68 19173536),(69 19571304),(70 19978818),(71 20410618),(72 20834174),(73 21219502),(74 21573670),(75 21909622),(76 22220954),(77 22521718),(78 22882178),(79 23147842),
(1 36378.355),(2 83518.164),(3 144247.56),(4 261001.17),(5 373671.75),(6 488477.34),(7 746708.75),(8 931393.3),(9 1119517.8),(10 1351958.9),(11 1572087.5),(12 1804745.5),(13 2072647.1),(14 2319871.5),(15 2578758.3),(16 2877272.8),(17 3157576.3),(18 3454341.3),(19 3788317.8),(20 4094232),(21 4416098.5),(22 4771033),(23 5102325.5),(24 5462462.5),(25 5860549.5),(26 6235341),(27 6640327),(28 7010922),(29 7346686.5),(30 7704839),(31 8100996.5),(32 8493753),(33 8930421),(34 9379802),(35 9830036),(36 10308228),(37 10824135),(38 11312583),(39 11830608),(40 12361319),(41 12865690),(42 13382228),(43 13922093),(44 14422411),(45 14942784),(46 15476025),(47 15965964),(48 16471410),(49 16960964),(50 17387422),(51 17853934),(52 18325810),(53 18638966),(54 18998770),(55 19385784),(56 19694868),(57 20011004),(58 20319496),(59 20557572),(60 20783384),(61 21031120),(62 21188220),(63 21398088),(64 21596742),(65 21712244),(66 21821284),(67 21971020),(68 22024382),(69 22075720),(70 22193736),(71 22230578),(72 22264966),(73 22327588),(74 22377024),(75 22452808),(76 22586440),(77 22623384),(78 22698422),(79 22839730),
(1 30731.025),(2 81676.08),(3 155747.23),(4 278521.88),(5 410396.38),(6 550758.5),(7 776851.2),(8 964454),(9 1150448.1),(10 1382687.5),(11 1603761.9),(12 1829418.5),(13 2096809.5),(14 2339122),(15 2588312.3),(16 2873742),(17 3141324),(18 3425460),(19 3749281),(20 4046793.5),(21 4352491),(22 4694936),(23 5007339),(24 5336805.5),(25 5705915.5),(26 6036719.5),(27 6380974),(28 6773265.5),(29 7128842),(30 7503539),(31 7906560),(32 8297265.5),(33 8720563),(34 9153859),(35 9585452),(36 10032566),(37 10503242),(38 10949203),(39 11422388),(40 11909743),(41 12366156),(42 12832454),(43 13321159),(44 13783235),(45 14239377),(46 14695820),(47 15138794),(48 15609087),(49 16063940),(50 16497725),(51 16949508),(52 17419298),(53 17828566),(54 18249608),(55 18683758),(56 19083182),(57 19472142),(58 19846396),(59 20196652),(60 20503252),(61 20818182),(62 21090312),(63 21361960),(64 21610068),(65 21839506),(66 22067152),(67 22318240),(68 22541834),(69 22723784),(70 22939376),(71 23109732),(72 23235822),(73 23355224),(74 23434424),(75 23492462),(76 23567622),(77 23600106),(78 23595368),(79 23661912),
(1 26137.738),(2 74815.07),(3 150594.67),(4 270915.6),(5 405375.9),(6 557988.1),(7 801048),(8 1017170),(9 1245514.5),(10 1518298),(11 1801166.4),(12 2101268.8),(13 2453150.5),(14 2805790.5),(15 3177716.8),(16 3610376),(17 4032408),(18 4467687),(19 4951842),(20 5432721.5),(21 5910159.5),(22 6420781),(23 6917856),(24 7420577.5),(25 7960577.5),(26 8479077),(27 9005935),(28 9513644),(29 9994180),(30 10475307),(31 10977818),(32 11483784),(33 11986252),(34 12483621),(35 12956247),(36 13397700),(37 13836221),(38 14257149),(39 14667123),(40 15054288),(41 15412662),(42 15762206),(43 16104627),(44 16425646),(45 16719101),(46 16987162),(47 17203682),(48 17380372),(49 17530708),(50 17640298),(51 17733372),(52 17797226),(53 17884970),(54 17909220),(55 17923494),(56 17903860),(57 17887428),(58 17858684),(59 17798830),(60 17709908),(61 17610966),(62 17486230),(63 17329206),(64 17197708),(65 17056458),(66 16917066),(67 16792644),(68 16681994),(69 16572158),(70 16485917),(71 16399766),(72 16320102),(73 16262405),(74 16205370),(75 16161923),(76 16119717),(77 16064611),(78 16014280),(79 15969373),
(1 26855.238),(2 84594.99),(3 172933.36),(4 304924.4),(5 454695.94),(6 626790.06),(7 897241.7),(8 1137580),(9 1388054.3),(10 1671146.9),(11 1958677.4),(12 2252199.5),(13 2575969.8),(14 2903856),(15 3238796.5),(16 3613466.5),(17 3984153.5),(18 4367812.5),(19 4784172.5),(20 5193908.5),(21 5594970),(22 6017122.5),(23 6423194),(24 6812105),(25 7233933),(26 7637226),(27 8043743),(28 8439777),(29 8823625),(30 9189447),(31 9569402),(32 9935860),(33 10295266),(34 10658823),(35 10998325),(36 11305316),(37 11620535),(38 11915474),(39 12183225),(40 12446320),(41 12691995),(42 12913584),(43 13150539),(44 13359281),(45 13548566),(46 13728604),(47 13883084),(48 14007606),(49 14139883),(50 14242671),(51 14344751),(52 14454158),(53 14413126),(54 14450873),(55 14495499),(56 14531301),(57 14576048),(58 14605086),(59 14642970),(60 14660443),(61 14698629),(62 14714855),(63 14701404),(64 14686505),(65 14644172),(66 14586518),(67 14541696),(68 14503403),(69 14473387),(70 14463294),(71 14451287),(72 14429753),(73 14419388),(74 14433803),(75 14445145),(76 14454625),(77 14452619),(78 14433001),(79 14404900),
(1 22764.13),(2 77240.89),(3 163850.5),(4 283275.63),(5 428742.78),(6 596228.3),(7 846399.94),(8 1075004.4),(9 1313246.5),(10 1576762.8),(11 1847592.9),(12 2130587),(13 2431389),(14 2746549.3),(15 3064093),(16 3397768.3),(17 3736468.3),(18 4081185.5),(19 4440373.5),(20 4795520),(21 5136094.5),(22 5485247.5),(23 5818085),(24 6137993.5),(25 6457626.5),(26 6754560.5),(27 7041197.5),(28 7298741),(29 7546688),(30 7777511.5),(31 8021280),(32 8241430.5),(33 8438571),(34 8646062),(35 8824203),(36 8982836),(37 9154339),(38 9305511),(39 9436246),(40 9587966),(41 9726153),(42 9847266),(43 9983267),(44 10102515),(45 10208959),(46 10334910),(47 10446957),(48 10542935),(49 10656689),(50 10748257),(51 10821968),(52 10906948),(53 10925850),(54 10966133),(55 11008514),(56 11047758),(57 11078859),(58 11121518),(59 11152238),(60 11159158),(61 11184003),(62 11182318),(63 11167850),(64 11163985),(65 11134831),(66 11101357),(67 11081067),(68 11045185),(69 11026515),(70 11018231),(71 11009147),(72 10984761),(73 10988463),(74 11002887),(75 11023162),(76 11058067),(77 11080190),(78 11094214),(79 11105611),
(1 23598.033),(2 81758),(3 171804.4),(4 296686.97),(5 449820.2),(6 625511.25),(7 863262.94),(8 1096251.6),(9 1341628.5),(10 1607499),(11 1885418.9),(12 2176785.5),(13 2482767.5),(14 2807545),(15 3140066.8),(16 3482689.5),(17 3842210.3),(18 4217383.5),(19 4598872),(20 4992000),(21 5391154),(22 5778683),(23 6171484),(24 6563756),(25 6938206),(26 7317066.5),(27 7690722),(28 8055015.5),(29 8412996),(30 8726696),(31 9033907),(32 9332897),(33 9626196),(34 9892018),(35 10156045),(36 10395755),(37 10622879),(38 10845232),(39 11040367),(40 11218141),(41 11377599),(42 11513752),(43 11633460),(44 11741982),(45 11826231),(46 11901600),(47 11960864),(48 12002693),(49 12016228),(50 12027004),(51 12011898),(52 11976452),(53 11891945),(54 11823543),(55 11744163),(56 11658540),(57 11576087),(58 11474383),(59 11368287),(60 11251923),(61 11134135),(62 11030114),(63 10941624),(64 10845944),(65 10755420),(66 10682451),(67 10609370),(68 10534815),(69 10470309),(70 10411074),(71 10356083),(72 10300054),(73 10243773),(74 10180412),(75 10116743),(76 10042588),(77 9964136),(78 9889576),(79 9809411),
(1 20638.527),(2 72220.29),(3 154636.92),(4 266153.3),(5 402234.88),(6 559787),(7 794085.25),(8 1016645.3),(9 1252800.6),(10 1509309.6),(11 1780323.8),(12 2059287.1),(13 2360360.5),(14 2676889),(15 3003625.5),(16 3345951.3),(17 3697979),(18 4061437),(19 4448589),(20 4835774.5),(21 5237598),(22 5647849),(23 6054322),(24 6461709.5),(25 6876181),(26 7279791),(27 7676247),(28 8048853.5),(29 8405812),(30 8734263),(31 9056145),(32 9351806),(33 9637224),(34 9895681),(35 10133399),(36 10354244),(37 10562847),(38 10742732),(39 10899801),(40 11034823),(41 11130681),(42 11203337),(43 11267299),(44 11304668),(45 11319948),(46 11332515),(47 11325110),(48 11298525),(49 11272142),(50 11214160),(51 11135893),(52 11055761),(53 10928935),(54 10797431),(55 10669547),(56 10520044),(57 10366121),(58 10220668),(59 10066572),(60 9905394),(61 9766720),(62 9608836),(63 9449179),(64 9305744),(65 9155547),(66 9003073),(67 8865813),(68 8710075),(69 8561813),(70 8419611),(71 8280053.5),(72 8152120),(73 8041558),(74 7945332.5),(75 7860552),(76 7789954),(77 7719730.5),(78 7660964.5),(79 7622263),
(1 20097.541),(2 69948.35),(3 150605.81),(4 263185.88),(5 404322.13),(6 574802.06),(7 819036.9),(8 1058031.6),(9 1316112.5),(10 1595365.1),(11 1890186.5),(12 2196886),(13 2517313.8),(14 2838675.8),(15 3166971),(16 3503644.3),(17 3831850.5),(18 4156117.3),(19 4478570.5),(20 4788088),(21 5082236),(22 5367457),(23 5640944),(24 5898106.5),(25 6142363.5),(26 6372155.5),(27 6582340.5),(28 6758115),(29 6921015.5),(30 7050197.5),(31 7172753.5),(32 7282542),(33 7377181.5),(34 7455279),(35 7532336.5),(36 7590837.5),(37 7640245.5),(38 7693603.5),(39 7738650.5),(40 7780499),(41 7829907),(42 7868528),(43 7908689),(44 7950855.5),(45 7991809),(46 8042402),(47 8096933.5),(48 8141719.5),(49 8197259.5),(50 8251563.5),(51 8314906.5),(52 8377698),(53 8391262),(54 8446739),(55 8506773),(56 8565194),(57 8626098),(58 8683784),(59 8740350),(60 8811462),(61 8883320),(62 8938386),(63 9000230),(64 9048389),(65 9077360),(66 9110077),(67 9144628),(68 9156500),(69 9168593),(70 9162664),(71 9128779),(72 9089899),(73 9042536),(74 8982158),(75 8912744),(76 8825552),(77 8718955),(78 8601339),(79 8481816),
