1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 140023.63),(2 412909.75),(3 879992.2),(4 1410987.4),(5 2101296.8),(6 2736349.3),(7 3481004.8),(8 4196453.5),(9 5052018),(10 5842146),(11 6721536),(12 7547444),(13 8470875),(14 9274825),(15 10231351),(16 11063889),(17 11993848),(18 12834764),(19 13705401),(20 14511744),(21 15405236),(22 16224680),(23 17189586),(24 17872590),(25 18682750),(26 19339662),(27 20211034),(28 20925634),(29 21863784),(30 22563584),(31 23446158),(32 24070656),(33 25004670),(34 25734250),(35 26806870),(36 27881970),(37 29142442),(38 30333360),(39 31744170),(40 33101776),(41 34696430),(42 36219372),(43 38112904),(44 39794468),(45 41483090),(46 42989190),(47 44435956),(48 45768240),(49 47237948),(50 48092692),(51 49067564),(52 49711424),(53 50494660),(54 51018164),(55 51699216),(56 52231964),(57 52599724),(58 52787180),(59 53011730),(60 53127500),(61 53283740),(62 53476064),(63 53629924),(64 53799296),(65 53931340),(66 54192308),(67 54431060),(68 54621876),(69 54710996),(70 54670016),(71 54840852),(72 54998676),(73 55304524),(74 55771908),(75 56749268),(76 57465380),(77 58212524),(78 59092052),(79 59915228),
(1 107760.04),(2 342649.34),(3 676610.7),(4 1087462.4),(5 1566656.3),(6 2047776),(7 2583618.8),(8 3198971.3),(9 3931882.5),(10 4640766),(11 5298384),(12 5923552),(13 6543635),(14 7152497),(15 7807020),(16 8496088),(17 9224947),(18 10094706),(19 11012109),(20 11987298),(21 13074812),(22 14326507),(23 15600030),(24 16715418),(25 18161456),(26 19419634),(27 20764916),(28 22212108),(29 23659222),(30 24981804),(31 26126298),(32 27346528),(33 28718660),(34 30247324),(35 31944732),(36 33806010),(37 35705304),(38 37824424),(39 39917304),(40 42072776),(41 44114070),(42 46335190),(43 48525816),(44 50749376),(45 53059320),(46 55200630),(47 57272170),(48 59458164),(49 61808224),(50 64444416),(51 66540524),(52 68669336),(53 70696600),(54 72811070),(55 74845350),(56 76835710),(57 78508670),(58 80265944),(59 82067350),(60 83687050),(61 85284610),(62 87051470),(63 88667970),(64 90232024),(65 91625500),(66 93043080),(67 94457440),(68 95652420),(69 96810740),(70 98145120),(71 99297840),(72 100365170),(73 101489890),(74 102659230),(75 104075020),(76 105383120),(77 106587864),(78 108086210),(79 109597870),
(1 101355.01),(2 333851.78),(3 649922.56),(4 1036329.94),(5 1513906.6),(6 2014411.6),(7 2583188.3),(8 3199402),(9 3868353.3),(10 4499741),(11 5074172),(12 5555961.5),(13 6016668),(14 6475770.5),(15 6912406.5),(16 7416394.5),(17 7940294.5),(18 8530350),(19 9171835),(20 9880583),(21 10652535),(22 11573272),(23 12508788),(24 13380917),(25 14381569),(26 15343400),(27 16339931),(28 17379578),(29 18461096),(30 19520934),(31 20535820),(32 21570952),(33 22726510),(34 23894406),(35 25217808),(36 26536080),(37 27935112),(38 29290000),(39 30602368),(40 31925174),(41 33273032),(42 34660820),(43 35782356),(44 36908268),(45 38160256),(46 39350972),(47 40544130),(48 41700604),(49 42893132),(50 44078820),(51 45015628),(52 45944092),(53 46971532),(54 47928430),(55 48935824),(56 49775296),(57 50617250),(58 51286700),(59 51954944),(60 52498292),(61 52836700),(62 53200076),(63 53504224),(64 53774460),(65 54008860),(66 54063116),(67 54057136),(68 53920452),(69 53728656),(70 53506284),(71 53196356),(72 52794590),(73 52483424),(74 52107584),(75 51867932),(76 51519364),(77 51218236),(78 50860628),(79 50565652),
(1 99108.22),(2 333574.4),(3 671991.56),(4 1089821.5),(5 1595312.5),(6 2131304.3),(7 2662475),(8 3214576.3),(9 3767688.5),(10 4290654),(11 4724224),(12 5118617),(13 5492993),(14 5874088.5),(15 6237275.5),(16 6619351.5),(17 6984209.5),(18 7387828.5),(19 7782690),(20 8217235.5),(21 8697033),(22 9287085),(23 9861406),(24 10422694),(25 10918447),(26 11433308),(27 11887090),(28 12361544),(29 12870357),(30 13369851),(31 13850067),(32 14417111),(33 15001108),(34 15649221),(35 16338695),(36 17072796),(37 17823612),(38 18570236),(39 19298632),(40 20062520),(41 20805010),(42 21633004),(43 22398712),(44 23161160),(45 23954762),(46 24765258),(47 25619104),(48 26438852),(49 27316520),(50 28141720),(51 28896562),(52 29716258),(53 30715434),(54 31795976),(55 32750840),(56 33718228),(57 34679724),(58 35556440),(59 36506024),(60 37388940),(61 38363064),(62 39464044),(63 40674110),(64 41904850),(65 43118600),(66 44404908),(67 45675148),(68 46872324),(69 48123664),(70 49354004),(71 50672884),(72 51932930),(73 53224972),(74 54433556),(75 55649500),(76 56789012),(77 57852510),(78 58805364),(79 59683150),
(1 110442.58),(2 388298),(3 799982.2),(4 1314046),(5 1950883.6),(6 2652629.5),(7 3406149),(8 4187153),(9 4979082),(10 5760400.5),(11 6482826),(12 7135095.5),(13 7762039.5),(14 8388205),(15 8967145),(16 9443005),(17 9860817),(18 10292377),(19 10681155),(20 11102065),(21 11492547),(22 11922536),(23 12353961),(24 12746455),(25 13174409),(26 13515689),(27 13899846),(28 14226668),(29 14559040),(30 14930289),(31 15247200),(32 15585868),(33 15947555),(34 16321878),(35 16714947),(36 17129150),(37 17568258),(38 17966508),(39 18314796),(40 18666888),(41 18999514),(42 19413096),(43 19936640),(44 20468224),(45 21017990),(46 21541826),(47 22088688),(48 22648424),(49 23290998),(50 23907282),(51 24452066),(52 25005108),(53 25613958),(54 26275922),(55 26925184),(56 27558046),(57 28115096),(58 28635770),(59 29237400),(60 29801204),(61 30510664),(62 31248192),(63 31981740),(64 32640180),(65 33294370),(66 33956508),(67 34561070),(68 35142590),(69 35665164),(70 36134760),(71 36698200),(72 37202370),(73 37769740),(74 38344500),(75 38957464),(76 39468852),(77 39971500),(78 40501490),(79 41063784),
(1 112341.85),(2 405329.3),(3 822043),(4 1361854.9),(5 1992474),(6 2647261.5),(7 3365735.5),(8 4147078.8),(9 4969735),(10 5782242.5),(11 6532678),(12 7222141),(13 7871115),(14 8513403),(15 9170538),(16 9731301),(17 10343371),(18 10964658),(19 11595741),(20 12205346),(21 12792042),(22 13294114),(23 13732813),(24 14056701),(25 14433594),(26 14722656),(27 14948982),(28 15103208),(29 15178814),(30 15228931),(31 15284739),(32 15297342),(33 15349360),(34 15408899),(35 15432088),(36 15477808),(37 15515184),(38 15542269),(39 15574528),(40 15625341),(41 15720013),(42 15771246),(43 15869282),(44 15962035),(45 16058157),(46 16138006),(47 16186462),(48 16224750),(49 16242280),(50 16312381),(51 16339386),(52 16414131),(53 16444104),(54 16487670),(55 16556667),(56 16667368),(57 16732978),(58 16856776),(59 16997212),(60 17204652),(61 17376032),(62 17559396),(63 17654384),(64 17711104),(65 17695482),(66 17686294),(67 17676934),(68 17670252),(69 17654018),(70 17632752),(71 17643636),(72 17655532),(73 17653886),(74 17682032),(75 17787136),(76 17830134),(77 17892780),(78 17970812),(79 18002778),
(1 115067.08),(2 401987.53),(3 822436.3),(4 1355395.8),(5 2013736.8),(6 2695140),(7 3434953.8),(8 4250144),(9 5136447.5),(10 6013778),(11 6870405),(12 7714797.5),(13 8539623),(14 9353610),(15 10156207),(16 10880633),(17 11586775),(18 12260711),(19 12893054),(20 13490534),(21 14065364),(22 14595675),(23 15047348),(24 15472198),(25 15830102),(26 16150246),(27 16462574),(28 16738201),(29 17013106),(30 17234386),(31 17408428),(32 17504126),(33 17581764),(34 17653900),(35 17633104),(36 17558236),(37 17390978),(38 17218982),(39 17002232),(40 16750336),(41 16550540),(42 16345319),(43 16146478),(44 15998754),(45 15846722),(46 15695807),(47 15598346),(48 15483002),(49 15446078),(50 15444009),(51 15461301),(52 15532671),(53 15706092),(54 15899178),(55 16124926),(56 16413650),(57 16736324),(58 17103646),(59 17523346),(60 18009816),(61 18506664),(62 19003616),(63 19481212),(64 19942948),(65 20397544),(66 20834592),(67 21275084),(68 21723282),(69 22171218),(70 22567614),(71 22892000),(72 23165280),(73 23345928),(74 23506286),(75 23665686),(76 23691224),(77 23653142),(78 23557188),(79 23471810),
(1 122935.35),(2 436490.44),(3 888190.2),(4 1438870.9),(5 2082119.9),(6 2765220.8),(7 3482769.5),(8 4266417.5),(9 5079030.5),(10 5896307),(11 6638378),(12 7360569.5),(13 8005917),(14 8592245),(15 9102314),(16 9544389),(17 9905709),(18 10186727),(19 10410832),(20 10558562),(21 10702037),(22 10841638),(23 10928164),(24 10973927),(25 10974292),(26 11075202),(27 11231199),(28 11428010),(29 11618511),(30 11772064),(31 11906379),(32 11991391),(33 11980156),(34 11906273),(35 11782922),(36 11636290),(37 11483103),(38 11281908),(39 11001574),(40 10698695),(41 10419821),(42 10197839),(43 10001986),(44 9935815),(45 9923578),(46 9958571),(47 10008478),(48 10102109),(49 10162290),(50 10274201),(51 10285897),(52 10280736),(53 10284544),(54 10305502),(55 10376092),(56 10461790),(57 10562761),(58 10672479),(59 10845267),(60 11105502),(61 11382050),(62 11659565),(63 11979141),(64 12264692),(65 12561229),(66 12847091),(67 13156937),(68 13492621),(69 13804395),(70 14120053),(71 14392789),(72 14659398),(73 14961438),(74 15241681),(75 15627526),(76 15879919),(77 16116405),(78 16371706),(79 16588970),
(1 136627.42),(2 500439.4),(3 1065959.3),(4 1823189),(5 2729032.8),(6 3693095.5),(7 4693217),(8 5701115),(9 6671034.5),(10 7597348.5),(11 8448078),(12 9149343),(13 9739469),(14 10241859),(15 10604514),(16 10866168),(17 10975063),(18 10991117),(19 10954202),(20 10825009),(21 10664928),(22 10525353),(23 10373318),(24 10194408),(25 10113067),(26 9994826),(27 9965869),(28 9986601),(29 10113562),(30 10316397),(31 10595486),(32 10905611),(33 11301190),(34 11708690),(35 12146695),(36 12617205),(37 13080587),(38 13534526),(39 14047154),(40 14530351),(41 14983012),(42 15419983),(43 15707771),(44 15927475),(45 16070274),(46 16164518),(47 16159834),(48 16090018),(49 15919947),(50 15664889),(51 15425345),(52 15177455),(53 14950348),(54 14691007),(55 14396050),(56 14175640),(57 13968305),(58 13847611),(59 13788528),(60 13830581),(61 13983763),(62 14223164),(63 14519834),(64 14889918),(65 15339258),(66 15879949),(67 16383925),(68 16869826),(69 17321442),(70 17752132),(71 18140356),(72 18462878),(73 18667708),(74 18785234),(75 18833796),(76 18773308),(77 18609952),(78 18415656),(79 18184308),
(1 148588.84),(2 538075.25),(3 1150067.5),(4 1957573.1),(5 2932333.3),(6 4033193),(7 5240737.5),(8 6475721),(9 7671588.5),(10 8775222),(11 9903355),(12 10966086),(13 11868155),(14 12548251),(15 13003509),(16 13237406),(17 13260076),(18 13144270),(19 12852113),(20 12433362),(21 11938340),(22 11396953),(23 10884297),(24 10380918),(25 10006747),(26 9631566),(27 9375600),(28 9244867),(29 9245890),(30 9374244),(31 9612466),(32 9949352),(33 10352647),(34 10798761),(35 11270545),(36 11782880),(37 12303500),(38 12804002),(39 13272379),(40 13643436),(41 13926238),(42 14242861),(43 14489100),(44 14668620),(45 14767077),(46 14723257),(47 14542363),(48 14307851),(49 14044108),(50 13760469),(51 13477878),(52 13223125),(53 13012158),(54 12848732),(55 12749984),(56 12735070),(57 12787640),(58 12953095),(59 13226773),(60 13540142),(61 13960940),(62 14415291),(63 14846373),(64 15220944),(65 15552866),(66 15838256),(67 16048116),(68 16185520),(69 16224916),(70 16168469),(71 16001385),(72 15757870),(73 15475456),(74 15163424),(75 14896629),(76 14605378),(77 14356764),(78 14145722),(79 13982389),
(1 164856.3),(2 590689.3),(3 1248244.6),(4 2093511.5),(5 3067959.5),(6 4162337),(7 5354431.5),(8 6545394),(9 7761102),(10 8860077),(11 9879692),(12 10805330),(13 11668656),(14 12348876),(15 12756139),(16 12973294),(17 12929564),(18 12758169),(19 12420433),(20 12058573),(21 11747096),(22 11426245),(23 11082771),(24 10846891),(25 10687292),(26 10593837),(27 10594874),(28 10678916),(29 10852894),(30 11094124),(31 11325665),(32 11559981),(33 11845080),(34 12132806),(35 12338447),(36 12500315),(37 12642520),(38 12708681),(39 12725177),(40 12654765),(41 12491566),(42 12286369),(43 12034801),(44 11815785),(45 11651866),(46 11440727),(47 11259908),(48 11094621),(49 10958345),(50 10874760),(51 10833861),(52 10800885),(53 10776689),(54 10718611),(55 10619958),(56 10534962),(57 10469975),(58 10429602),(59 10445358),(60 10505525),(61 10642131),(62 10780728),(63 10888274),(64 10973790),(65 11021554),(66 10990968),(67 10931048),(68 10826332),(69 10680557),(70 10568117),(71 10422028),(72 10271392),(73 10165945),(74 10083184),(75 10074099),(76 10126586),(77 10281182),(78 10453760),(79 10666451),
