1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 79968.5),(2 287553.34),(3 640973.9),(4 1111552.9),(5 1710631.1),(6 2453861.8),(7 3313199.8),(8 4320218.5),(9 5494197),(10 6846318.5),(11 8387188),(12 10069677),(13 11898195),(14 13872037),(15 15899707),(16 17921342),(17 20020182),(18 22022088),(19 24213294),(20 26380534),(21 28526650),(22 30733712),(23 33042440),(24 35233404),(25 37494820),(26 39685050),(27 41890860),(28 44160948),(29 46418436),(30 48585196),(31 50680684),(32 52646524),(33 54641876),(34 56541108),(35 58317180),(36 60120212),(37 62060140),(38 63999904),(39 66142196),(40 68131750),(41 70288970),(42 72712776),(43 75359510),(44 78035280),(45 80679704),(46 83507400),(47 86574920),(48 90051800),(49 93386376),(50 96836344),(51 100344310),(52 103803130),(53 107344960),(54 111064260),(55 114724184),(56 118458530),(57 122194090),(58 125825410),(59 129769090),(60 133703144),(61 137699140),(62 141749060),(63 146303000),(64 150635870),(65 154837490),(66 159026510),(67 162896860),(68 166535550),(69 169629860),(70 172510500),(71 175399730),(72 177938050),(73 180311150),(74 182514480),(75 184564420),(76 186591700),(77 188452220),(78 190081740),(79 191178930),
(1 154929.84),(2 598896.5),(3 1355276.6),(4 2378791.8),(5 3645749.3),(6 5176122.5),(7 6957673.5),(8 8978929),(9 11234294),(10 13637472),(11 16172861),(12 18793864),(13 21477286),(14 24142256),(15 26791622),(16 29421930),(17 31994848),(18 34574550),(19 37138444),(20 39533930),(21 41751270),(22 43851610),(23 45792136),(24 47518724),(25 49109624),(26 50589940),(27 51938892),(28 53130260),(29 54137050),(30 54992330),(31 55726484),(32 56342664),(33 56922156),(34 57508724),(35 58067276),(36 58696076),(37 59313640),(38 59972300),(39 60669630),(40 61412256),(41 62230028),(42 63083060),(43 63923784),(44 64866100),(45 65895732),(46 67032350),(47 68327720),(48 69867336),(49 71481130),(50 73055920),(51 74737896),(52 76400560),(53 78079180),(54 79754470),(55 81476930),(56 83259950),(57 85151660),(58 87086510),(59 89158940),(60 91251650),(61 93288690),(62 95296210),(63 97339680),(64 99373580),(65 101415850),(66 103371780),(67 105215500),(68 106981224),(69 108455150),(70 109452056),(71 110356904),(72 111202260),(73 112090730),(74 113083260),(75 114203090),(76 115329430),(77 116435304),(78 117556940),(79 118695120),
(1 171616.23),(2 660589.7),(3 1469019.1),(4 2568009),(5 3919053.3),(6 5548316.5),(7 7439137.5),(8 9613065),(9 12089076),(10 14744219),(11 17559922),(12 20546098),(13 23627200),(14 26808640),(15 30046862),(16 33304544),(17 36608990),(18 40047188),(19 43473444),(20 46656116),(21 49593620),(22 52447040),(23 55077908),(24 57601020),(25 60133140),(26 62649364),(27 65078290),(28 67463170),(29 69767880),(30 71890490),(31 73817736),(32 75666710),(33 77352890),(34 78989590),(35 80313496),(36 81559080),(37 82579896),(38 83431610),(39 83884920),(40 84042680),(41 84091144),(42 84087170),(43 83877096),(44 83707390),(45 83450400),(46 83130970),(47 82685560),(48 82106820),(49 81486340),(50 80780330),(51 80182490),(52 79526080),(53 78925510),(54 78381740),(55 78008440),(56 77784570),(57 77665550),(58 77742050),(59 77936440),(60 78279800),(61 78726300),(62 79250870),(63 79859816),(64 80535784),(65 81467330),(66 82429700),(67 83340136),(68 84502830),(69 85619096),(70 86642870),(71 87713850),(72 88747130),(73 89804504),(74 90940810),(75 92092376),(76 93160730),(77 94216730),(78 95290410),(79 96403624),
(1 152889.69),(2 582989.25),(3 1263389.5),(4 2179786),(5 3302671.5),(6 4629465),(7 6140094),(8 7857706.5),(9 9773031),(10 11791001),(11 13930752),(12 16212476),(13 18615024),(14 21138454),(15 23703702),(16 26297998),(17 28936472),(18 31612910),(19 34318640),(20 36798080),(21 39141490),(22 41525444),(23 43920824),(24 46292132),(25 48748430),(26 51257104),(27 53757772),(28 56323708),(29 58805720),(30 61166590),(31 63435564),(32 65587250),(33 67540136),(34 69349440),(35 70861970),(36 72177090),(37 73260450),(38 74180680),(39 74786580),(40 75135016),(41 75367530),(42 75543280),(43 75554560),(44 75498280),(45 75312160),(46 74989940),(47 74531320),(48 73967500),(49 73308020),(50 72564730),(51 71924790),(52 71310880),(53 70818060),(54 70387090),(55 70132620),(56 69933920),(57 69806970),(58 69793190),(59 69818936),(60 69882460),(61 69941100),(62 70006420),(63 70103920),(64 70220104),(65 70508180),(66 70817224),(67 71164810),(68 71606584),(69 72099100),(70 72490620),(71 72975176),(72 73418570),(73 73817630),(74 74177340),(75 74487750),(76 74725890),(77 74949180),(78 75140220),(79 75339390),
(1 176813.19),(2 674892.75),(3 1454760.1),(4 2482297.5),(5 3709828.3),(6 5131099.5),(7 6708358),(8 8436317),(9 10283041),(10 12224801),(11 14251993),(12 16359665),(13 18497528),(14 20625104),(15 22739746),(16 24826850),(17 26898338),(18 29000876),(19 31071384),(20 33045762),(21 34937296),(22 36814616),(23 38626264),(24 40337676),(25 42032564),(26 43732852),(27 45413364),(28 47111960),(29 48718420),(30 50208060),(31 51625572),(32 52917180),(33 54008680),(34 54966276),(35 55712024),(36 56352196),(37 56774530),(38 57116164),(39 57273308),(40 57281360),(41 57171184),(42 57009988),(43 56705510),(44 56370308),(45 55929412),(46 55358464),(47 54698256),(48 53943760),(49 53133860),(50 52196828),(51 51290940),(52 50379010),(53 49502580),(54 48640188),(55 47855492),(56 47092612),(57 46346800),(58 45688228),(59 45086388),(60 44550492),(61 44079250),(62 43668664),(63 43288532),(64 42968816),(65 42757652),(66 42536404),(67 42306508),(68 42112540),(69 41898430),(70 41592576),(71 41264336),(72 40895644),(73 40523708),(74 40135256),(75 39753880),(76 39380030),(77 39056780),(78 38727940),(79 38407120),
(1 178934.03),(2 677807.6),(3 1453532.8),(4 2457825.5),(5 3646173.3),(6 5019684),(7 6571743),(8 8302601),(9 10218432),(10 12230982),(11 14294315),(12 16450262),(13 18619412),(14 20690840),(15 22684950),(16 24623752),(17 26508428),(18 28396602),(19 30188212),(20 31759194),(21 33115168),(22 34268024),(23 35268744),(24 36075610),(25 36774930),(26 37316630),(27 37723444),(28 38016090),(29 38164050),(30 38153056),(31 37977136),(32 37665652),(33 37182710),(34 36602664),(35 35945320),(36 35288624),(37 34628664),(38 34012344),(39 33361012),(40 32664372),(41 32018778),(42 31421242),(43 30807948),(44 30238294),(45 29659104),(46 28990644),(47 28205664),(48 27349508),(49 26430364),(50 25445110),(51 24460138),(52 23504390),(53 22577168),(54 21695248),(55 20905412),(56 20200880),(57 19581092),(58 19092016),(59 18767166),(60 18591798),(61 18537932),(62 18610284),(63 18773980),(64 19015012),(65 19347764),(66 19710746),(67 20082512),(68 20524790),(69 20932444),(70 21251802),(71 21549780),(72 21865524),(73 22244870),(74 22607854),(75 22983188),(76 23341412),(77 23757446),(78 24163468),(79 24537738),
(1 192621.77),(2 739018.56),(3 1607436.3),(4 2729045.5),(5 4054144.5),(6 5584112.5),(7 7273136.5),(8 9096045),(9 11041841),(10 12999286),(11 14856527),(12 16646585),(13 18348914),(14 19896332),(15 21259932),(16 22458860),(17 23498848),(18 24419926),(19 25142532),(20 25674924),(21 26017672),(22 26164308),(23 26157962),(24 26042556),(25 25854092),(26 25579294),(27 25272466),(28 24927122),(29 24564778),(30 24249204),(31 24004542),(32 23862144),(33 23827544),(34 23872714),(35 24045772),(36 24338882),(37 24695186),(38 25169022),(39 25710194),(40 26303058),(41 26891902),(42 27417422),(43 27860092),(44 28229896),(45 28495668),(46 28624706),(47 28598744),(48 28391390),(49 28091260),(50 27710400),(51 27241276),(52 26652642),(53 25958244),(54 25174474),(55 24412484),(56 23702794),(57 23075254),(58 22537346),(59 22069016),(60 21661212),(61 21342078),(62 21081300),(63 20883112),(64 20725038),(65 20650506),(66 20617906),(67 20607568),(68 20684316),(69 20803512),(70 20888740),(71 20925334),(72 20958584),(73 21047864),(74 21145536),(75 21288446),(76 21420956),(77 21546516),(78 21702542),(79 21919476),
(1 164820.61),(2 630109.1),(3 1368758.9),(4 2337830.5),(5 3491117.5),(6 4819272.5),(7 6274401),(8 7802341),(9 9340766),(10 10838765),(11 12210301),(12 13453067),(13 14574752),(14 15531488),(15 16307572),(16 16917100),(17 17360028),(18 17672342),(19 17867068),(20 17967570),(21 17983410),(22 17942130),(23 17812414),(24 17635768),(25 17458734),(26 17259458),(27 17035756),(28 16767877),(29 16460781),(30 16177189),(31 15946769),(32 15830195),(33 15846039),(34 16003968),(35 16311940),(36 16760747),(37 17254470),(38 17817922),(39 18335186),(40 18876740),(41 19406808),(42 19817266),(43 20143524),(44 20387544),(45 20607968),(46 20855810),(47 21092850),(48 21269862),(49 21410086),(50 21469574),(51 21508534),(52 21473634),(53 21350600),(54 21092138),(55 20797708),(56 20438810),(57 20029526),(58 19648602),(59 19253266),(60 18906606),(61 18614882),(62 18344472),(63 18119076),(64 17891670),(65 17688718),(66 17431896),(67 17113668),(68 16736823),(69 16318089),(70 15848421),(71 15399972),(72 14959795),(73 14529615),(74 14096657),(75 13690537),(76 13293330),(77 12890310),(78 12490290),(79 12134999),
(1 151911.33),(2 577331),(3 1236075.8),(4 2083272.8),(5 3079723.5),(6 4206215.5),(7 5422550.5),(8 6701539.5),(9 7966340.5),(10 9189048),(11 10316623),(12 11303891),(13 12154920),(14 12871928),(15 13496691),(16 14051534),(17 14537135),(18 14936425),(19 15271152),(20 15555678),(21 15797421),(22 15975716),(23 16086837),(24 16156698),(25 16184094),(26 16161566),(27 16087872),(28 15953231),(29 15710349),(30 15405214),(31 15043438),(32 14678193),(33 14318507),(34 13978160),(35 13633211),(36 13274278),(37 12858936),(38 12408316),(39 11965958),(40 11592095),(41 11303392),(42 11080605),(43 10956718),(44 10929297),(45 10984057),(46 11080393),(47 11195964),(48 11287480),(49 11359582),(50 11374605),(51 11373431),(52 11360250),(53 11323546),(54 11272617),(55 11223700),(56 11194284),(57 11211201),(58 11309621),(59 11501319),(60 11794880),(61 12153587),(62 12548481),(63 12967969),(64 13363837),(65 13725664),(66 14019551),(67 14226112),(68 14366820),(69 14439652),(70 14432615),(71 14372747),(72 14287238),(73 14189267),(74 14068136),(75 13923785),(76 13756752),(77 13573540),(78 13380516),(79 13201426),
(1 154231.47),(2 580732.7),(3 1217050.5),(4 2005685.8),(5 2899184),(6 3856231),(7 4836040.5),(8 5815097),(9 6749431),(10 7608245.5),(11 8357609),(12 8965651),(13 9429472),(14 9791072),(15 10090926),(16 10376288),(17 10663662),(18 10948606),(19 11235124),(20 11514251),(21 11762053),(22 11944218),(23 12071702),(24 12163594),(25 12266018),(26 12361466),(27 12433525),(28 12474820),(29 12447099),(30 12358191),(31 12204327),(32 12000697),(33 11762713),(34 11518489),(35 11276638),(36 10992484),(37 10665852),(38 10308172),(39 9965371),(40 9666752),(41 9419996),(42 9231191),(43 9098196),(44 9050796),(45 9070116),(46 9099859),(47 9131812),(48 9136450),(49 9123657),(50 9089984),(51 9056006),(52 9014025),(53 8969068),(54 8910583),(55 8850644),(56 8788864),(57 8754241),(58 8775970),(59 8870341),(60 9033532),(61 9254774),(62 9528143),(63 9809288),(64 10094807),(65 10352970),(66 10559097),(67 10723005),(68 10851502),(69 10966715),(70 11049640),(71 11101533),(72 11156418),(73 11219938),(74 11287627),(75 11337662),(76 11363764),(77 11374612),(78 11370731),(79 11356709),
(1 155054.27),(2 596173.6),(3 1288951.8),(4 2172725),(5 3196574),(6 4363303),(7 5606959.5),(8 6913393),(9 8261055),(10 9526350),(11 10638908),(12 11593909),(13 12366401),(14 12970257),(15 13404902),(16 13703311),(17 13890639),(18 13964695),(19 13973801),(20 13935571),(21 13835983),(22 13661830),(23 13427393),(24 13138362),(25 12842319),(26 12538396),(27 12210588),(28 11853143),(29 11465658),(30 11007741),(31 10504158),(32 9995851),(33 9493308),(34 9031168),(35 8622854),(36 8241474),(37 7890083),(38 7584270),(39 7335512.5),(40 7154464.5),(41 7016180),(42 6895824.5),(43 6804577),(44 6779675.5),(45 6818382),(46 6905106),(47 7030628),(48 7172677.5),(49 7349078.5),(50 7522168.5),(51 7689868.5),(52 7845153),(53 7990503.5),(54 8114094),(55 8241933),(56 8384470.5),(57 8550582),(58 8756623),(59 8999584),(60 9270143),(61 9565556),(62 9870144),(63 10158412),(64 10416813),(65 10610466),(66 10742884),(67 10825147),(68 10867518),(69 10892920),(70 10898622),(71 10907192),(72 10933212),(73 10977214),(74 11027057),(75 11076499),(76 11116593),(77 11124088),(78 11123103),(79 11091194),
