1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 5585.331),(2 9529.028),(3 11334.762),(4 12488.838),(5 13383.836),(6 14577.064),(7 15947.1),(8 17145.494),(9 18508.988),(10 19373.525),(11 20057.047),(12 20931.82),(13 21800.105),(14 22346.484),(15 22638.664),(16 23076.72),(17 23479.314),(18 23895.777),(19 23960.037),(20 24341.643),(21 24907.94),(22 25425.979),(23 25953.818),(24 26669.36),(25 27267.057),(26 27907.082),(27 28288.975),(28 28837.723),(29 29421.215),(30 30123.654),(31 30373.938),(32 30785.434),(33 31021.344),(34 31093.404),(35 30898.68),(36 30870.36),(37 30771.09),(38 30469.967),(39 30378.453),(40 29844.94),(41 29209.38),(42 28936.297),(43 28298.764),(44 27528.03),(45 26819.67),(46 26274.512),(47 25991.768),(48 25629.531),(49 24866.287),(50 24318.846),(51 24047.334),(52 23470.318),(53 23128.281),(54 22535.604),(55 21949.379),(56 21929.99),(57 22117.127),(58 22126.215),(59 22106.777),(60 22111.72),(61 22034.066),(62 22540.76),(63 22914.01),(64 22904.441),(65 23224.71),(66 23204.033),(67 23373.732),(68 23669.137),(69 23803.188),(70 23942.24),(71 24478.44),(72 24832.057),(73 24818.373),(74 24889.195),(75 24998.023),(76 24984.377),(77 24964.21),(78 25252.127),(79 25263.39),
(1 5478.137),(2 9717.002),(3 11721.361),(4 12977.763),(5 14073.167),(6 14996.384),(7 16537.465),(8 17688.568),(9 18772.158),(10 19818.465),(11 20534.574),(12 21389.316),(13 21901.965),(14 22622.244),(15 23218.563),(16 23856.648),(17 24169.35),(18 24603.164),(19 24915.42),(20 25287.938),(21 25898.324),(22 26515.994),(23 26980.256),(24 27951.242),(25 28707.398),(26 28964.75),(27 29377.377),(28 29935.139),(29 30454.37),(30 30857.871),(31 31170.004),(32 31535.758),(33 32074.7),(34 32096.754),(35 31889.406),(36 31997.63),(37 32105.072),(38 31934.992),(39 31615.623),(40 30714.629),(41 30161.883),(42 29509.395),(43 29022.645),(44 28500.824),(45 28031.64),(46 27552.537),(47 26958.252),(48 26648.488),(49 25953.428),(50 25098.281),(51 24651.58),(52 24289.74),(53 23925.873),(54 23174.357),(55 22780.777),(56 22934.268),(57 22904.611),(58 22917.865),(59 22604.371),(60 22504.908),(61 22565.27),(62 22729.555),(63 23069.248),(64 23586.992),(65 23504.496),(66 23464.285),(67 23771.168),(68 24063.615),(69 24105.453),(70 24179.12),(71 24370.73),(72 24691.822),(73 24616.934),(74 24631.607),(75 24690.34),(76 24992.719),(77 25077.5),(78 25233.107),(79 25279.963),
(1 5420.68),(2 9525.109),(3 11673.079),(4 12836.2295),(5 13758.781),(6 14908.756),(7 16395.68),(8 17708.137),(9 18593.82),(10 19404.748),(11 20248.807),(12 20743.139),(13 21425.223),(14 22038.246),(15 22706.139),(16 23181.293),(17 23692.156),(18 24281.605),(19 24913.432),(20 25708.047),(21 26130.844),(22 26662.912),(23 27305.232),(24 28058.42),(25 28906.736),(26 29052.06),(27 29542.871),(28 30156.813),(29 30820.701),(30 31378.715),(31 31942.5),(32 32205.959),(33 32243.541),(34 32276.32),(35 32082.035),(36 31819.195),(37 31812.387),(38 31544.168),(39 30806.465),(40 30021.416),(41 29417.371),(42 28589.9),(43 28039.9),(44 27388.54),(45 26636.805),(46 26204.283),(47 26053.912),(48 25596.78),(49 25023.182),(50 24369.256),(51 23833.912),(52 23673.06),(53 23119.377),(54 22711.563),(55 22538.424),(56 22446.684),(57 22330.701),(58 22419.383),(59 22355.846),(60 22041.314),(61 22184.64),(62 22617.566),(63 23035.002),(64 23221.984),(65 23000.64),(66 23360.9),(67 23571.879),(68 23672.799),(69 23801.82),(70 24027.166),(71 24262.344),(72 24655.98),(73 24692.617),(74 24515.834),(75 24515.205),(76 24731.018),(77 24551.064),(78 24448.986),(79 24933.346),
(1 5570.338),(2 9780.504),(3 12055.121),(4 13437.322),(5 14257.974),(6 15175.96),(7 16831.598),(8 18267.479),(9 19659.281),(10 20560.03),(11 21241.479),(12 21689.064),(13 22138.389),(14 22770.422),(15 23477.836),(16 23858.018),(17 24483.178),(18 24943.55),(19 25191.39),(20 25679.521),(21 26127.22),(22 26403.492),(23 27092.238),(24 27907.408),(25 28325.15),(26 28514.604),(27 29249.762),(28 29608.785),(29 30006.357),(30 30410.664),(31 30985.232),(32 31205.244),(33 31436.248),(34 31439.662),(35 31441.287),(36 31576.686),(37 31357.855),(38 31173.936),(39 30786.938),(40 30494.209),(41 30017.992),(42 29376.137),(43 29027.793),(44 28396.629),(45 27492.037),(46 27171.383),(47 26919.043),(48 26212.107),(49 25667.729),(50 25146.744),(51 24578.592),(52 24033.29),(53 23724.508),(54 23420.744),(55 23218.314),(56 22945.318),(57 22891.781),(58 22967.246),(59 23014.537),(60 23065.71),(61 23182.025),(62 23647.893),(63 24002.242),(64 23951.668),(65 23827.045),(66 24181.271),(67 23940.898),(68 23641.55),(69 23904.896),(70 24393.258),(71 24537.36),(72 24768.557),(73 25074.37),(74 25233.63),(75 25144.494),(76 25243.152),(77 24998.928),(78 25113.285),(79 25476.82),
(1 5402.0586),(2 9336.258),(3 11645.245),(4 12836.256),(5 13389.338),(6 14250.249),(7 15534.971),(8 16808.17),(9 18018.74),(10 18885.494),(11 19289.805),(12 19724.037),(13 19911.447),(14 20271.088),(15 21004.824),(16 21461.03),(17 22103.361),(18 22601.234),(19 22707.756),(20 22826.115),(21 23313.645),(22 23771.422),(23 24390.492),(24 25107.697),(25 25692.53),(26 25810.004),(27 26271.047),(28 26872.234),(29 27341.047),(30 27542.719),(31 27805.805),(32 28221.395),(33 28373.05),(34 28466.781),(35 28483.21),(36 28488.963),(37 28574.117),(38 28197.963),(39 27922.271),(40 27819.322),(41 27353.996),(42 27053.229),(43 26767.553),(44 26247.943),(45 25892.537),(46 25875.47),(47 25324.756),(48 24666.857),(49 24485),(50 23895.58),(51 23205.068),(52 22800.057),(53 22309.262),(54 22021.662),(55 21993.705),(56 21624.686),(57 21500.305),(58 21285.781),(59 21366.86),(60 21476.602),(61 21592.49),(62 21925.887),(63 22533.688),(64 22668.578),(65 22958.225),(66 23077.078),(67 23230.53),(68 23311.172),(69 23663.672),(70 23837.275),(71 23712.03),(72 23832.492),(73 24357.967),(74 24360.557),(75 24383.475),(76 23952.395),(77 23784.766),(78 24027.707),(79 24173.266),
(1 5322.3867),(2 9299.018),(3 11208.029),(4 12239.2705),(5 12740.956),(6 13623.783),(7 14861.184),(8 16043.578),(9 17412.59),(10 18436.34),(11 19139.326),(12 19503.695),(13 19933.686),(14 20462.893),(15 21148.027),(16 21770.49),(17 22654.168),(18 23188.148),(19 23454.17),(20 23815.205),(21 24268.352),(22 24904.6),(23 25828.469),(24 26711.033),(25 27605.855),(26 28319.043),(27 29168.64),(28 29791.709),(29 30280.428),(30 30912.889),(31 31718.002),(32 32144.557),(33 32445.102),(34 32434.592),(35 32508.39),(36 32345.502),(37 32093.893),(38 31494.818),(39 30862.35),(40 30469.576),(41 29686.262),(42 28841.219),(43 28197.016),(44 27381.752),(45 26553.002),(46 25854.53),(47 25062.791),(48 24435.922),(49 23696.021),(50 22847.824),(51 21952.404),(52 21125.707),(53 20457.027),(54 20105.945),(55 19489.04),(56 19093.994),(57 18994.379),(58 18600.498),(59 18433.7),(60 18759.025),(61 18831.059),(62 19165.432),(63 19663.553),(64 19993.98),(65 20230.83),(66 20464.182),(67 20682.566),(68 20967.762),(69 21199.146),(70 21694.672),(71 22042.146),(72 22233.12),(73 22406.672),(74 22565.473),(75 22718.195),(76 22779.018),(77 22840.975),(78 22979.756),(79 23372.08),
(1 5267.312),(2 9208.766),(3 10928.07),(4 11556.1875),(5 12136.769),(6 13118.538),(7 14448.121),(8 15448.232),(9 16519.54),(10 17199.53),(11 17726.139),(12 18220.209),(13 18627.752),(14 19278.1),(15 19773.258),(16 20117.46),(17 20664.668),(18 21162.895),(19 21442.219),(20 21821.28),(21 22088.045),(22 22456.03),(23 23342.04),(24 24149.125),(25 24729.086),(26 25085.314),(27 25643.35),(28 26017.893),(29 26363.092),(30 27021.572),(31 27602.72),(32 27630.498),(33 27561.924),(34 27549.719),(35 27475.88),(36 27384.887),(37 27419.137),(38 27080.5),(39 26969.146),(40 26851.055),(41 26411.732),(42 25938.145),(43 25252.715),(44 24687.58),(45 24365.645),(46 23760.723),(47 23369.41),(48 23043.322),(49 22636.033),(50 22240.031),(51 21529.629),(52 20978.246),(53 20478.014),(54 20242.688),(55 20098.309),(56 19785.846),(57 19795.012),(58 19834.738),(59 19708.355),(60 19841.59),(61 19929.012),(62 19954.426),(63 20198.803),(64 20508.693),(65 20787.832),(66 20878.74),(67 21179.242),(68 21457.373),(69 21676.44),(70 21791.74),(71 21959.2),(72 22121.902),(73 22159.51),(74 22249.518),(75 22190.188),(76 22260.121),(77 22563.588),(78 22678.693),(79 22699.91),
(1 5053.676),(2 8788.129),(3 10538.332),(4 11246.667),(5 12071.136),(6 12968.904),(7 14360.835),(8 15218.252),(9 16098.411),(10 16954.127),(11 17727.822),(12 18509.963),(13 18911.834),(14 19207.22),(15 19783.434),(16 20007.424),(17 20469.799),(18 21055.643),(19 21310.787),(20 21441.936),(21 21926.354),(22 22454.36),(23 23122.127),(24 23960.018),(25 24568.672),(26 24862.752),(27 25315.707),(28 25804.2),(29 26384.994),(30 27052.55),(31 27618.035),(32 27699.705),(33 27679.852),(34 27836.014),(35 27864.436),(36 27836.133),(37 27659.12),(38 27069.37),(39 26779.648),(40 26386.936),(41 25999.867),(42 25422.816),(43 24869.625),(44 24349.273),(45 23715.906),(46 23208.08),(47 22576.396),(48 22015.506),(49 21566.318),(50 21073.193),(51 20400.24),(52 19672.633),(53 19281.094),(54 19090.246),(55 18863.215),(56 18654.498),(57 18502.387),(58 18457.014),(59 18272.336),(60 18320.756),(61 18585.111),(62 18793.008),(63 19120.855),(64 19652.73),(65 19857.06),(66 20200.357),(67 20605.44),(68 20886.582),(69 21207.357),(70 21401.29),(71 21509.36),(72 21790.59),(73 22079.604),(74 22055.734),(75 22058.504),(76 22076.125),(77 22247.213),(78 22350.705),(79 22320.496),
(1 5035.209),(2 8587.748),(3 10275.258),(4 11025.263),(5 11734.523),(6 12724.787),(7 14045.721),(8 15127.66),(9 16006.034),(10 16645.605),(11 17370.445),(12 18104.877),(13 18452.156),(14 18663.342),(15 19115.613),(16 19818.64),(17 20433.656),(18 20698.74),(19 20932.623),(20 21112.047),(21 21564.402),(22 22013.813),(23 22506.74),(24 23183.063),(25 23896.238),(26 24130.775),(27 24413.201),(28 25058.97),(29 25838.926),(30 26243.713),(31 26584.846),(32 26692.45),(33 26780.37),(34 26807.732),(35 26685.334),(36 26703.664),(37 26481.473),(38 26130.99),(39 26134.412),(40 25639.723),(41 25081.594),(42 24597.762),(43 24169.695),(44 23672.807),(45 23054.336),(46 22615.578),(47 22040.186),(48 21254.568),(49 20996.367),(50 20469.367),(51 20339.984),(52 19943.598),(53 19491.084),(54 19284.592),(55 19316.268),(56 19415.611),(57 19132.313),(58 18951.617),(59 18947.72),(60 19037.693),(61 19355.67),(62 19584.486),(63 19813.104),(64 19796.943),(65 19985.795),(66 20211.24),(67 20241.709),(68 20464.584),(69 20854.734),(70 20962.479),(71 21126.135),(72 21430.406),(73 21517.84),(74 21318.992),(75 21513.426),(76 21581.63),(77 21789.957),(78 22087.434),(79 21978.752),
(1 4783.3735),(2 8115.5605),(3 9880.0205),(4 10672.323),(5 11417.049),(6 12582.456),(7 13985.695),(8 14872.582),(9 15644.463),(10 16486.084),(11 17361.658),(12 18123.465),(13 18719.533),(14 18839.531),(15 19115.107),(16 19679.193),(17 20261.098),(18 20493.389),(19 20790.455),(20 21202.738),(21 21653.018),(22 22027.422),(23 22718.205),(24 23446.324),(25 24187.395),(26 24563.805),(27 24834.385),(28 25415.494),(29 26081.67),(30 26740.91),(31 26819.65),(32 27094.068),(33 27428.371),(34 27598.201),(35 27728.537),(36 27531.969),(37 27121.654),(38 26962.105),(39 26842.637),(40 26382.234),(41 25808.188),(42 25245.615),(43 24723.078),(44 24116.387),(45 23610.148),(46 22834.643),(47 22188.893),(48 21628.314),(49 21202.754),(50 20647.084),(51 20254.979),(52 19902.775),(53 19493.32),(54 19052.832),(55 18972.04),(56 19083.375),(57 18959.969),(58 18837),(59 18909.494),(60 19095.094),(61 19121.953),(62 19626.357),(63 19736.67),(64 19820.18),(65 20090.225),(66 20339.041),(67 20304.166),(68 20516.002),(69 20952.662),(70 21127.602),(71 21239.992),(72 21347.512),(73 21342.506),(74 21266.646),(75 21373.848),(76 21244.676),(77 21410.68),(78 21722.39),(79 21996.99),
(1 4553.6626),(2 7691.216),(3 9413.673),(4 10225.857),(5 10808.6),(6 11863.73),(7 13158.791),(8 13996.334),(9 14963.6875),(10 15790.53),(11 16903.576),(12 17464.967),(13 17669.682),(14 18040.281),(15 18432.436),(16 18886.42),(17 19326.613),(18 19538.98),(19 19845.275),(20 20079.209),(21 20298.695),(22 20575.568),(23 20939.676),(24 21551.926),(25 22318.277),(26 22660.059),(27 22888.455),(28 23251.48),(29 23892.645),(30 24446.496),(31 24741.758),(32 24938.436),(33 25190.348),(34 25392.402),(35 25493.422),(36 25422.705),(37 25212.97),(38 25081.037),(39 24910.764),(40 24449.479),(41 23902.994),(42 23376.85),(43 22760.135),(44 22602.41),(45 22283.857),(46 21599.082),(47 21189.895),(48 20495.732),(49 19860.102),(50 19462.33),(51 18801.02),(52 18322.98),(53 17965.063),(54 17810.674),(55 17894.691),(56 17632.768),(57 17209.875),(58 16918.271),(59 16629.281),(60 16843.53),(61 17136.975),(62 17407.832),(63 17739.73),(64 18174.385),(65 18310.008),(66 18458.148),(67 18782.46),(68 18990.95),(69 19157.55),(70 19187.355),(71 19297.984),(72 19339.494),(73 19312.963),(74 19458.213),(75 19335.021),(76 19507.875),(77 19900.813),(78 19799.094),(79 19939.863),
(1 4529.3306),(2 7728.073),(3 9398.576),(4 10014.855),(5 10448.908),(6 11311.501),(7 12570.764),(8 13684.7),(9 14680.217),(10 15303.476),(11 16094.785),(12 16618.521),(13 17061.559),(14 17632.176),(15 18094.557),(16 18841.822),(17 19348.582),(18 19750.861),(19 20017.992),(20 20361.104),(21 20789.994),(22 21394.293),(23 21997.592),(24 22606.14),(25 23288.814),(26 23938.13),(27 24465.57),(28 24926.629),(29 25840.855),(30 26339.42),(31 26750.488),(32 26948.143),(33 27106.096),(34 27186.836),(35 27291.023),(36 26917.348),(37 26548.652),(38 26083.213),(39 25614.54),(40 25298.953),(41 24724.047),(42 23635.828),(43 22852.61),(44 22313.818),(45 21488.662),(46 20842.791),(47 20457.975),(48 20240.252),(49 19647.502),(50 19305.227),(51 18802.893),(52 18444.97),(53 18206.576),(54 18043.77),(55 18252.78),(56 18010.654),(57 17806.33),(58 17838.986),(59 17909.816),(60 17986.674),(61 18208.807),(62 18716.848),(63 18910.195),(64 19228.252),(65 19509.172),(66 19725.736),(67 20193.037),(68 20570.918),(69 20716.299),(70 20742.754),(71 21025.98),(72 21033.709),(73 20952.861),(74 20842.121),(75 20969.18),(76 21295.748),(77 21454.502),(78 21578.084),(79 21707.012),
(1 4372.933),(2 7325.8745),(3 8977.923),(4 9798.136),(5 10416.542),(6 11295.174),(7 12564.763),(8 13637.221),(9 14576.411),(10 15441.683),(11 16325.557),(12 16874.506),(13 17310.3),(14 17764.117),(15 18368.898),(16 18874.844),(17 19360.316),(18 19610.05),(19 19841.877),(20 20200.791),(21 20689.805),(22 21220.273),(23 21871.37),(24 22413.555),(25 23048.172),(26 23519.746),(27 23944.756),(28 24382.875),(29 25166.773),(30 25778.344),(31 26070.508),(32 26166.127),(33 26265.436),(34 26600.72),(35 26555.607),(36 26105.592),(37 25907.488),(38 25524.055),(39 25022.078),(40 24544.383),(41 23977.459),(42 22958.568),(43 22325.768),(44 21783.121),(45 20901.373),(46 20371.428),(47 20119.832),(48 19699.01),(49 19285.264),(50 18582.932),(51 18042.277),(52 17731.537),(53 17620.059),(54 17548.557),(55 17419.217),(56 17222.332),(57 17426.203),(58 17115.66),(59 17065.588),(60 17347.314),(61 17638.914),(62 18015.184),(63 18376.094),(64 18744.2),(65 19102.102),(66 19251.635),(67 19650.75),(68 19918.973),(69 20176.121),(70 20217.555),(71 20271.396),(72 20150.725),(73 19998.074),(74 20038.691),(75 20446.473),(76 20625.156),(77 20735.941),(78 20732.785),(79 20901.318),
(1 4466.669),(2 7371.5107),(3 8975.616),(4 9717.183),(5 10243.71),(6 11151.537),(7 12227.714),(8 13122.186),(9 14218.555),(10 15153.482),(11 15737.281),(12 16300.504),(13 16661.99),(14 17114.764),(15 17697.615),(16 18463.84),(17 18908.68),(18 19271.197),(19 19662.582),(20 19959.855),(21 20549.438),(22 21082.78),(23 21594.281),(24 22177.508),(25 22658.941),(26 23093.857),(27 23257.404),(28 23542.213),(29 24417.541),(30 24954.46),(31 25115.814),(32 25240.002),(33 25242.021),(34 25283.19),(35 25195.1),(36 24919.625),(37 24714.727),(38 24254.412),(39 23796.54),(40 23261.03),(41 22588.117),(42 21917.625),(43 21301.676),(44 20624.025),(45 20122.783),(46 19894.596),(47 19419.662),(48 18968.563),(49 18721.363),(50 18207.682),(51 17741.23),(52 17494.072),(53 17358.412),(54 17335.895),(55 17097.28),(56 16925.188),(57 16942.96),(58 16976.732),(59 17187.496),(60 17547.973),(61 18054.908),(62 18323.016),(63 18630.023),(64 19006.15),(65 19084.504),(66 19245.625),(67 19566.852),(68 19757.16),(69 20040.408),(70 20165.117),(71 20095.611),(72 20084.94),(73 20200.69),(74 20074.805),(75 20559.117),(76 20845.023),(77 21076.063),(78 21071.85),(79 21414.557),
(1 4311.2124),(2 7272.4785),(3 8688.405),(4 9256.847),(5 9679.774),(6 10733.401),(7 11829.005),(8 12727.296),(9 13747.691),(10 14508.36),(11 14954.706),(12 15388.625),(13 15667.804),(14 16173.391),(15 16546.938),(16 16949.393),(17 17309.193),(18 17537.338),(19 17461.834),(20 17848.5),(21 18406.266),(22 18852.486),(23 19371.027),(24 19838.979),(25 20454.186),(26 20741.428),(27 21155.633),(28 21803.654),(29 22648.832),(30 23104.19),(31 23303.805),(32 23466.49),(33 23491.371),(34 23597.402),(35 23777.047),(36 23653.3),(37 23329.172),(38 23167.373),(39 22797.102),(40 22186.574),(41 21557.686),(42 20889.875),(43 20189.553),(44 19473.041),(45 19024.01),(46 18638.096),(47 18136.088),(48 17802.406),(49 17514.266),(50 17019.043),(51 16472.885),(52 16387.322),(53 16339.112),(54 16153.726),(55 16051.124),(56 16012.25),(57 15875.186),(58 16062.849),(59 16292.426),(60 16551.719),(61 17077.717),(62 17286.365),(63 17455.271),(64 17900.035),(65 18013.488),(66 18378.123),(67 18860.514),(68 19217.97),(69 19525.389),(70 19691.193),(71 19754.412),(72 19714.775),(73 19746.537),(74 19728.68),(75 20177.232),(76 20343.408),(77 20448.832),(78 20591.998),(79 20602.996),
(1 4158.5806),(2 6924.293),(3 8285.418),(4 8755.416),(5 9377.528),(6 10376.473),(7 11624.574),(8 12528.1455),(9 13407.259),(10 13932.867),(11 14490.717),(12 15156.346),(13 15610.899),(14 16296.808),(15 16671.158),(16 17011.393),(17 17429.494),(18 17626.285),(19 17689.496),(20 18183.607),(21 18657.17),(22 19024.623),(23 19367.998),(24 19768.889),(25 20323.447),(26 20666.625),(27 20960.416),(28 21414.438),(29 22266.715),(30 22770.967),(31 22990.035),(32 23050.365),(33 23080.008),(34 23151.695),(35 23198.283),(36 23297.76),(37 22978.732),(38 22501.416),(39 22104.012),(40 21507.117),(41 21030.357),(42 20501.54),(43 19879.178),(44 19166.533),(45 18523.467),(46 17965.348),(47 17471.75),(48 17085.479),(49 16744.373),(50 16415.926),(51 16157.014),(52 16073.38),(53 15882.323),(54 15808.821),(55 15853.189),(56 15769.197),(57 15897.756),(58 15984.303),(59 16025.253),(60 16219.428),(61 16465.791),(62 16630.86),(63 17118.342),(64 17384.729),(65 17628.629),(66 17825.424),(67 18258.943),(68 18674.787),(69 18678.871),(70 18642.787),(71 18672.396),(72 18876.494),(73 19015.441),(74 19111.352),(75 19386.86),(76 19591.16),(77 19781.396),(78 19811.648),(79 20040.42),
(1 4254.432),(2 7156.606),(3 8331.67),(4 8704.53),(5 9277.11),(6 10409.464),(7 11565.962),(8 12515.21),(9 13456.341),(10 14201.089),(11 14914.487),(12 15391.355),(13 16114.0205),(14 16708.236),(15 17306.326),(16 17600.258),(17 17916.326),(18 18140.533),(19 18207.34),(20 18731.293),(21 19267.969),(22 19684.06),(23 20089.102),(24 20515.467),(25 20964.596),(26 21454.59),(27 21693.523),(28 22291.084),(29 23106.902),(30 23685.865),(31 23861.742),(32 23822.45),(33 23869.428),(34 24146.178),(35 24055.11),(36 23902.309),(37 23615.305),(38 23038.271),(39 22571.422),(40 21992.553),(41 21367.895),(42 20641.03),(43 19940.07),(44 19192.22),(45 18509.234),(46 17989.943),(47 17563.666),(48 17099.486),(49 16890.76),(50 16598.512),(51 16221.716),(52 16047.614),(53 16017.143),(54 15992.61),(55 15952.406),(56 15920.257),(57 16067.052),(58 15986.019),(59 16264.857),(60 16445.2),(61 16762.145),(62 17062.385),(63 17547.19),(64 17777.904),(65 17947.033),(66 18309.72),(67 18648.514),(68 18988.072),(69 19263.756),(70 19243.084),(71 19224.697),(72 19404.236),(73 19522.014),(74 19798.875),(75 20165.746),(76 20358.063),(77 20250.361),(78 20371.436),(79 20612.96),
(1 4101.4736),(2 6965.84),(3 8324.177),(4 8944.052),(5 9634.43),(6 10772.092),(7 11834.716),(8 12722.209),(9 13631.998),(10 14221.611),(11 14954.101),(12 15452.668),(13 15931.89),(14 16567.441),(15 16964.389),(16 17217.03),(17 17439.463),(18 17661.8),(19 18123.926),(20 18599.918),(21 19160.42),(22 19582.176),(23 20080.908),(24 20517.873),(25 20685.107),(26 21188.816),(27 21574.744),(28 22164.504),(29 22553.52),(30 23033.047),(31 23200.7),(32 23296.588),(33 23447.102),(34 23489.725),(35 23171.68),(36 22907.469),(37 22713.19),(38 22008.531),(39 21410.092),(40 20996.553),(41 20295.938),(42 19791.295),(43 18920.037),(44 18377.338),(45 17854.932),(46 17403.553),(47 17146.51),(48 16685.57),(49 16435.537),(50 16258.4),(51 16133.985),(52 16027.946),(53 15809.295),(54 15812.153),(55 15847.494),(56 15903.471),(57 16067.519),(58 16335.155),(59 16487.018),(60 16533.463),(61 16875.064),(62 17471.795),(63 17904.604),(64 18008.46),(65 18406.03),(66 18706.482),(67 18981),(68 19276.23),(69 19440.232),(70 19592.283),(71 19437.35),(72 19453.852),(73 19532.375),(74 19572.295),(75 19858.826),(76 20005.035),(77 20304.096),(78 20440.531),(79 20770.195),
