1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 3688.8962),(2 9294.407),(3 15611.237),(4 22432.25),(5 29780.666),(6 37683.86),(7 47253.24),(8 57758.965),(9 70020.586),(10 82446.164),(11 94369.23),(12 107312.68),(13 123683.21),(14 140292.83),(15 158418.48),(16 178718.38),(17 196260.2),(18 217242.31),(19 242310.5),(20 265022.84),(21 287613.9),(22 315614.75),(23 345011.53),(24 368343.25),(25 399978.88),(26 425003.03),(27 447532.66),(28 469306.78),(29 485618.34),(30 500332.34),(31 510392.25),(32 520801.53),(33 531118.25),(34 537778.1),(35 544912),(36 550306.56),(37 549189.56),(38 548283.2),(39 543884),(40 538470.94),(41 530782.56),(42 523282.25),(43 509458.9),(44 499308.34),(45 489112.25),(46 476881.16),(47 460892.84),(48 442004.72),(49 420440.16),(50 403067.9),(51 385499.78),(52 371585.6),(53 358970.53),(54 349765.25),(55 346954.56),(56 346899.5),(57 351344.25),(58 347647.13),(59 355690),(60 368246.72),(61 385505.16),(62 403931.1),(63 422198.03),(64 451976.34),(65 478305.84),(66 505318),(67 538502.06),(68 572933.75),(69 613231.44),(70 650179.44),(71 691681.44),(72 736318.3),(73 782400.94),(74 818518.25),(75 858887.7),(76 904604.06),(77 941821.44),(78 969749),(79 999842),
(1 3932.9448),(2 10803.501),(3 20071.035),(4 30975.865),(5 44890.914),(6 61142.2),(7 79775.95),(8 100116.85),(9 123770.336),(10 150625.2),(11 175642.25),(12 200109.6),(13 228044.78),(14 256433.25),(15 283866.5),(16 313482.66),(17 344096.47),(18 377320.72),(19 412674.06),(20 447506.8),(21 481500.8),(22 515899.1),(23 547463.44),(24 580326),(25 610564.5),(26 635713.3),(27 657655.5),(28 673258.7),(29 689753),(30 701594.1),(31 704419.1),(32 709006.3),(33 711631.9),(34 709604.2),(35 708690.6),(36 707271.9),(37 701523.4),(38 694228),(39 685461.4),(40 674060),(41 659044.9),(42 647097.8),(43 632983.9),(44 621314.4),(45 611322.7),(46 603772.7),(47 596210.94),(48 587608.1),(49 581929.1),(50 578453.75),(51 576175),(52 577942.4),(53 578507),(54 582341.56),(55 584865.4),(56 588489.1),(57 592586.2),(58 592140.75),(59 594291.3),(60 598083.25),(61 601838.9),(62 600888.6),(63 602604.6),(64 605726.8),(65 608817.8),(66 610121.1),(67 612798.94),(68 620300.4),(69 629542.5),(70 638811.56),(71 652744.2),(72 669199.5),(73 682234.4),(74 693866.56),(75 710316.06),(76 734130.6),(77 751204.25),(78 768746.4),(79 786654.6),
(1 4153.3784),(2 13399.578),(3 25496.146),(4 40013.348),(5 55058.8),(6 72026.54),(7 91775.555),(8 112858.81),(9 134703.27),(10 158570.98),(11 181226.98),(12 203132.42),(13 225606.77),(14 248190.58),(15 271831.97),(16 293778.5),(17 314744.75),(18 335442.6),(19 354311.84),(20 371630.9),(21 388963.03),(22 405771.63),(23 420382),(24 432775.9),(25 444949.75),(26 455533.5),(27 465850.34),(28 469828.47),(29 473388.53),(30 474327.78),(31 469655.1),(32 467656.1),(33 467304.6),(34 468159.34),(35 466561.4),(36 468195.13),(37 471297.6),(38 474399.63),(39 477867),(40 480707.9),(41 484844.9),(42 488293),(43 492899.34),(44 496785.13),(45 504280.88),(46 514409.47),(47 523260.34),(48 528838.6),(49 536331.56),(50 543663.25),(51 551885.75),(52 561288.44),(53 570134.06),(54 575204.2),(55 578340.2),(56 583814.6),(57 590764.8),(58 596762.3),(59 599006.5),(60 598478.25),(61 597945.94),(62 594374.7),(63 594414.56),(64 592535.8),(65 592404.56),(66 593595.4),(67 594161.8),(68 596950.3),(69 600251.7),(70 603153.06),(71 611873.56),(72 626485.25),(73 638616.2),(74 646791.5),(75 657700.2),(76 674503.8),(77 687236.06),(78 701534.3),(79 717389.44),
(1 3823.7322),(2 12058.574),(3 22850.729),(4 34606.07),(5 47403.305),(6 61277.516),(7 76182.93),(8 90410.07),(9 104354.47),(10 117937.07),(11 131881.8),(12 146065.58),(13 162451.14),(14 178306.95),(15 195210.97),(16 208815.72),(17 223371.78),(18 238166.22),(19 255442),(20 269838.22),(21 282914.88),(22 292508.97),(23 305922.66),(24 320244.72),(25 331506.3),(26 342980.66),(27 352765.88),(28 359257),(29 370332.2),(30 376591.16),(31 382951.06),(32 392052.66),(33 403029.8),(34 416726.34),(35 424997.06),(36 436722.06),(37 452543.56),(38 473034.38),(39 492149.28),(40 511188),(41 531055.4),(42 551389.56),(43 577510.06),(44 597993.8),(45 619069.8),(46 639750.06),(47 658105.25),(48 674371.25),(49 690996),(50 703016.7),(51 711079.56),(52 719187.2),(53 727898.9),(54 731309.25),(55 732294),(56 733184.5),(57 738841.94),(58 750315.1),(59 752774.25),(60 755203.1),(61 759878.56),(62 764523.25),(63 775866.8),(64 782142.2),(65 790317.1),(66 798818.75),(67 809699),(68 818919.4),(69 826555.3),(70 837526.1),(71 849485.56),(72 864055.25),(73 889187.75),(74 907632.4),(75 928151.3),(76 951466.3),(77 981358.44),(78 1004264.44),(79 1028108.25),
(1 4034.9978),(2 12121.246),(3 23225.12),(4 35352.566),(5 49681.31),(6 65256.125),(7 81686.76),(8 98281.88),(9 114994.52),(10 131247.67),(11 148012.81),(12 166128.78),(13 183746.66),(14 201968.69),(15 221528.55),(16 238700),(17 257528.27),(18 275540.72),(19 295067.03),(20 312133.5),(21 329147.03),(22 343998.53),(23 363641.6),(24 381668.22),(25 398958.88),(26 415957.47),(27 431172.4),(28 450806.4),(29 472476.78),(30 489536.8),(31 507182.28),(32 528033.6),(33 552514.06),(34 579497.56),(35 601029.44),(36 625204.44),(37 649737.6),(38 680594.9),(39 710953.8),(40 740756.06),(41 771565.2),(42 804132.75),(43 838417.06),(44 867738.25),(45 899313.44),(46 928515.2),(47 954515.6),(48 978492.56),(49 998192.06),(50 1010373.2),(51 1015964),(52 1021098.56),(53 1025802.56),(54 1026983.06),(55 1024670.44),(56 1021300.75),(57 1019889.8),(58 1023226.94),(59 1018743.56),(60 1017972.2),(61 1019540.6),(62 1019846.4),(63 1029328.25),(64 1034952.4),(65 1038235.6),(66 1039589.44),(67 1042650.44),(68 1041196.75),(69 1040432.4),(70 1043650.2),(71 1051247.6),(72 1062391.6),(73 1081003.6),(74 1093301.3),(75 1107946.1),(76 1123339.5),(77 1145380.8),(78 1165489.6),(79 1183803.4),
(1 3803.4634),(2 10994.834),(3 20388.803),(4 30569.088),(5 42030.617),(6 53801.395),(7 65664.8),(8 77512.805),(9 88397.19),(10 98919.01),(11 111625.61),(12 124354.4),(13 137348.2),(14 149476.78),(15 161996.6),(16 174319.72),(17 187869.6),(18 201752.17),(19 214906.1),(20 227220.45),(21 240089.4),(22 251272.84),(23 264792.16),(24 276504.06),(25 289755.7),(26 302334.8),(27 315587.56),(28 330671.56),(29 346168.2),(30 363404.5),(31 379993.78),(32 398330.2),(33 420018.5),(34 442554.16),(35 461865.3),(36 484850.4),(37 506662),(38 529785.9),(39 553551.3),(40 577169.4),(41 601369.3),(42 624137.4),(43 649786),(44 670734.4),(45 696589.6),(46 722506.9),(47 747140.1),(48 770652.94),(49 793661.4),(50 813498.5),(51 834354.7),(52 854667.9),(53 875335.1),(54 895275),(55 911636.6),(56 928775),(57 948045.8),(58 970129.3),(59 987361.3),(60 1007532.5),(61 1027805.6),(62 1046452.1),(63 1068661.8),(64 1087964.6),(65 1106911.8),(66 1123076.3),(67 1139024.4),(68 1155359.6),(69 1170136.1),(70 1183900.3),(71 1203907.6),(72 1226859.8),(73 1248782.9),(74 1268165.3),(75 1284543.4),(76 1299281.3),(77 1316479.4),(78 1331773.4),(79 1344408.8),
(1 3829.814),(2 11156.342),(3 20746.41),(4 30842.246),(5 41829.14),(6 53014.727),(7 64136.566),(8 76289.9),(9 87721.95),(10 99403.484),(11 112212.125),(12 124668.234),(13 138987.81),(14 152192.6),(15 165789.39),(16 179728.36),(17 194737.94),(18 210268),(19 229253.33),(20 247739.36),(21 267318.66),(22 284176.72),(23 303043.16),(24 323466.97),(25 341679.97),(26 361914.2),(27 384990.84),(28 408270.16),(29 432650.38),(30 458421.78),(31 483200),(32 512333.34),(33 541709.1),(34 571775.75),(35 600660.7),(36 633445.56),(37 666600.4),(38 701061.9),(39 732906.1),(40 764681.9),(41 799636.4),(42 833567.3),(43 872085.44),(44 909174.9),(45 950474.6),(46 999183.7),(47 1043455.94),(48 1087470.6),(49 1131541.4),(50 1175375.9),(51 1216794.9),(52 1260031.3),(53 1307702.8),(54 1353605.9),(55 1400633.1),(56 1446550.5),(57 1493017.4),(58 1544904.1),(59 1595942.3),(60 1644338.5),(61 1691624.3),(62 1736272.6),(63 1774238.3),(64 1815277.8),(65 1857155.1),(66 1890093.3),(67 1921876.5),(68 1952720.5),(69 1977964.8),(70 2002950.3),(71 2028183.9),(72 2057078.5),(73 2086555.3),(74 2114544),(75 2138215.8),(76 2156975.3),(77 2173809.5),(78 2188891.5),(79 2200918.3),
(1 3880.0964),(2 11497.288),(3 21650.459),(4 33322.965),(5 46538.375),(6 60200.46),(7 75054.2),(8 90639.914),(9 107320.87),(10 124781.984),(11 142543.33),(12 161311.61),(13 181370.73),(14 199670.53),(15 217816.03),(16 236219.22),(17 253575.7),(18 271618.63),(19 290595.4),(20 309855.7),(21 326258.53),(22 341854.53),(23 357807.97),(24 373479.44),(25 387785.2),(26 406022),(27 425766.47),(28 446927.6),(29 468051.88),(30 489483.94),(31 511199.28),(32 534863.56),(33 560147.25),(34 584300.3),(35 610434.75),(36 637477),(37 660575.56),(38 687208.56),(39 716916.9),(40 746136.94),(41 777628.44),(42 811211),(43 844178),(44 879522.56),(45 914813.2),(46 960668.94),(47 1000745.4),(48 1039693.1),(49 1080233.8),(50 1121738.4),(51 1159150.9),(52 1198342.9),(53 1242384.8),(54 1282797.8),(55 1322975.3),(56 1363582.3),(57 1401341.3),(58 1438539.5),(59 1480541.6),(60 1519106.3),(61 1558547.1),(62 1598819.8),(63 1630450),(64 1665262.9),(65 1692786.6),(66 1719221.6),(67 1743351.5),(68 1762790.1),(69 1773029.4),(70 1785482.4),(71 1794870),(72 1810583.6),(73 1828973.9),(74 1841223.8),(75 1855785.4),(76 1869605.9),(77 1883256),(78 1897825.6),(79 1914958.8),
(1 3804.4788),(2 11520.643),(3 20692.879),(4 31440.613),(5 43279.1),(6 55541.598),(7 69699.586),(8 83576.305),(9 96912.9),(10 111146.65),(11 126043.93),(12 140862.45),(13 157402.75),(14 171481.3),(15 185262.88),(16 198953.1),(17 213696.1),(18 229005.14),(19 246215.38),(20 260562.94),(21 273278.94),(22 286313.7),(23 300578.75),(24 313832.56),(25 326588.2),(26 340538.56),(27 355631.94),(28 367656.63),(29 381189.16),(30 395849.4),(31 410682.44),(32 426461.25),(33 442291.72),(34 459210.4),(35 477266.72),(36 495294.66),(37 513543.72),(38 532131.06),(39 551772.5),(40 571991.75),(41 593212.25),(42 615109.6),(43 639032.94),(44 662956.3),(45 690475.4),(46 721575.9),(47 751760.3),(48 783019.1),(49 819081.9),(50 848486.94),(51 878217.5),(52 909952.4),(53 940073.56),(54 970440.9),(55 1000857.06),(56 1033355.75),(57 1060823.5),(58 1095402.5),(59 1124944.8),(60 1155239.9),(61 1186039.4),(62 1219665.1),(63 1246005.4),(64 1273413.6),(65 1297581.1),(66 1319357.9),(67 1337916.1),(68 1356682.6),(69 1370325.4),(70 1381336.9),(71 1391178.6),(72 1400984),(73 1404975.8),(74 1406995.5),(75 1407146.4),(76 1412121.3),(77 1417277.8),(78 1426457.9),(79 1433583.8),
(1 3441.5442),(2 9947.067),(3 17923.678),(4 27350.508),(5 37705.332),(6 48806.793),(7 61419.867),(8 74016.125),(9 87077.586),(10 100302.58),(11 114101.5),(12 128451.086),(13 145214.56),(14 158612.94),(15 172513.36),(16 185017.73),(17 199186),(18 212475.97),(19 226433.13),(20 237782.72),(21 249635.08),(22 261395.47),(23 274475.75),(24 286512.53),(25 295822.22),(26 304702),(27 313412.28),(28 321408.44),(29 329214.5),(30 338238.22),(31 345263.5),(32 352048.63),(33 359939.63),(34 369231),(35 377306.3),(36 384092.72),(37 390861.72),(38 397668.72),(39 403458.56),(40 408722.56),(41 415030),(42 421183.72),(43 428236.28),(44 435387.63),(45 443748),(46 456136.75),(47 469706.88),(48 484613),(49 503992.94),(50 525483.3),(51 549404.5),(52 574197),(53 598061),(54 622903),(55 647840.6),(56 672612.75),(57 697037.7),(58 724818.44),(59 750308.5),(60 778030.9),(61 805624.9),(62 832407.3),(63 854921.75),(64 879864.3),(65 901145.4),(66 916805.5),(67 927572.25),(68 937208.3),(69 944797.75),(70 948207),(71 948234.1),(72 946852.56),(73 942406.3),(74 936984.9),(75 933451.56),(76 928655.6),(77 924576.1),(78 920809.25),(79 914410),
(1 3438.2715),(2 9434.881),(3 17383.266),(4 26835.871),(5 37423.902),(6 48886.434),(7 61887.69),(8 75790.18),(9 91327.94),(10 107252.31),(11 124828.65),(12 142363.98),(13 162924.03),(14 181897.14),(15 200264.33),(16 218957.06),(17 237808.27),(18 256947.6),(19 277633.25),(20 297405.63),(21 316263.7),(22 335463.38),(23 352531.28),(24 371955.25),(25 388084.75),(26 401144.06),(27 413892.66),(28 428471.63),(29 440138.47),(30 453345.3),(31 464448.6),(32 474834.22),(33 484969.6),(34 495627.25),(35 502924.75),(36 510251.06),(37 517241.88),(38 523464.53),(39 530941.3),(40 538910.94),(41 550805.3),(42 561591.4),(43 573385.5),(44 588120.56),(45 602097.9),(46 618187.94),(47 636934),(48 653742),(49 671755.44),(50 691170.75),(51 715113.5),(52 737936),(53 760566.5),(54 785694.4),(55 809402.4),(56 834531.8),(57 855722.1),(58 880527.2),(59 903711.9),(60 930595.25),(61 955655.6),(62 976333.8),(63 995993.44),(64 1017782.4),(65 1037878.8),(66 1056297.1),(67 1073005),(68 1086911.8),(69 1101701.8),(70 1111582),(71 1117140),(72 1123891.4),(73 1126422.8),(74 1131706.9),(75 1137622.4),(76 1147820.8),(77 1156288),(78 1163043.3),(79 1172570),
