1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 66292.805),(2 84721.9),(3 49769.49),(4 127652.75),(5 155575.83),(6 124768.9),(7 203755.67),(8 246352.5),(9 205140.06),(10 283483.72),(11 311983.22),(12 283493.25),(13 372274.34),(14 382246.13),(15 346697.78),(16 424197.9),(17 452925.6),(18 421610.72),(19 504061.84),(20 528511.7),(21 496923.47),(22 577643),(23 647810.5),(24 598639.2),(25 694920.06),(26 752571.3),(27 727022.94),(28 837315.94),(29 898859.7),(30 863505.8),(31 979123.8),(32 1052100.4),(33 1031276.44),(34 1143472.8),(35 1238548.5),(36 1215229.6),(37 1349159.6),(38 1494794),(39 1470079.5),(40 1604021.1),(41 1719586.9),(42 1708392),(43 1855952),(44 1971279.4),(45 1985034),(46 2142359.5),(47 2289405.3),(48 2313432.3),(49 2479145.8),(50 2640170.3),(51 2685763),(52 2881170),(53 3109619.8),(54 3153779.8),(55 3367962),(56 3553165.8),(57 3631363),(58 3781772.8),(59 3942202.3),(60 4002759.3),(61 4187044),(62 4366251.5),(63 4446550),(64 4633640),(65 4813984.5),(66 4894544),(67 5062742.5),(68 5282247.5),(69 5336976.5),(70 5491710.5),(71 5633272.5),(72 5663090.5),(73 5800301.5),(74 5888817.5),(75 5895992.5),(76 5993356),(77 6108322.5),(78 6098696.5),(79 6238019.5),
(1 63700.977),(2 81706.71),(3 54597.76),(4 141085.3),(5 176297.28),(6 165130.1),(7 263858),(8 318910.84),(9 302919.25),(10 411090.3),(11 460568.5),(12 448435.34),(13 562017.2),(14 600334.94),(15 587570.4),(16 698777.8),(17 753260.94),(18 747945.7),(19 862433.5),(20 922349.8),(21 930843),(22 1064671.4),(23 1166678.3),(24 1182845.3),(25 1332092.6),(26 1431566.1),(27 1453518.3),(28 1624022.6),(29 1735073.8),(30 1760377),(31 1946619.6),(32 2075587.3),(33 2125709.8),(34 2319726.8),(35 2463933.3),(36 2514711),(37 2731278),(38 2903283),(39 2955326.5),(40 3179459.5),(41 3351883.5),(42 3440476.8),(43 3693963.5),(44 3892100),(45 3994064),(46 4278244),(47 4491844),(48 4610573),(49 4880843),(50 5081237),(51 5199212),(52 5484533),(53 5706478.5),(54 5826311),(55 6109955),(56 6325544.5),(57 6468308),(58 6815984),(59 7057230.5),(60 7221207),(61 7540593.5),(62 7811812),(63 7971634.5),(64 8332919),(65 8591390),(66 8754258),(67 9075194),(68 9339837),(69 9494280),(70 9832050),(71 10071522),(72 10220080),(73 10551566),(74 10782663),(75 10928739),(76 11248694),(77 11477864),(78 11593498),(79 11888340),
(1 40293.324),(2 64650.09),(3 71641.58),(4 148266.69),(5 204907.08),(6 238082.42),(7 342204.9),(8 435339.78),(9 491205.16),(10 616311.06),(11 722389.56),(12 802750.7),(13 949617.7),(14 1076740.6),(15 1181884.6),(16 1351549.1),(17 1514089.5),(18 1644160.4),(19 1837741.1),(20 2027430.6),(21 2201460.3),(22 2436294.3),(23 2679110.3),(24 2894442),(25 3169336.8),(26 3436814),(27 3686386),(28 4005181.3),(29 4298289.5),(30 4553792),(31 4889665.5),(32 5207276.5),(33 5511953.5),(34 5867314.5),(35 6214599.5),(36 6507340.5),(37 6864209.5),(38 7211220),(39 7499622.5),(40 7857732.5),(41 8196330),(42 8471095),(43 8827314),(44 9160657),(45 9417633),(46 9762550),(47 10067219),(48 10304700),(49 10590681),(50 10845605),(51 11039645),(52 11300496),(53 11533027),(54 11695007),(55 11933981),(56 12128107),(57 12267297),(58 12481120),(59 12666381),(60 12801760),(61 13028085),(62 13228144),(63 13349060),(64 13549312),(65 13709699),(66 13805657),(67 13986979),(68 14145072),(69 14256765),(70 14452224),(71 14613333),(72 14715979),(73 14906589),(74 15051011),(75 15123661),(76 15285611),(77 15407205),(78 15466959),(79 15619187),
(1 28857.602),(2 62287.055),(3 98555.086),(4 185418.42),(5 271944.13),(6 361707.63),(7 495822.78),(8 629388.56),(9 762770.9),(10 938157.1),(11 1111801.9),(12 1293612.8),(13 1513399.3),(14 1727774.5),(15 1950946.5),(16 2202378.8),(17 2452617.3),(18 2701916),(19 2972422.8),(20 3237205),(21 3504354),(22 3786375),(23 4060312),(24 4322834),(25 4607087),(26 4873441.5),(27 5129004),(28 5411450),(29 5674650),(30 5930482.5),(31 6214266),(32 6469930),(33 6715583),(34 6970278),(35 7192686),(36 7392613.5),(37 7595952),(38 7778544),(39 7926866),(40 8103941.5),(41 8253442),(42 8379206),(43 8533998),(44 8674511),(45 8796828),(46 8961292),(47 9113566),(48 9234606),(49 9381541),(50 9504374),(51 9599747),(52 9712937),(53 9833749),(54 9911145),(55 10017532),(56 10112551),(57 10182583),(58 10352153),(59 10474531),(60 10576606),(61 10725075),(62 10851670),(63 10965609),(64 11097108),(65 11205553),(66 11303230),(67 11440508),(68 11548919),(69 11664757),(70 11825036),(71 11983422),(72 12139633),(73 12347846),(74 12522012),(75 12711047),(76 12931897),(77 13116275),(78 13302622),(79 13508096),
(1 24292.033),(2 62395.465),(3 113702.05),(4 207564.9),(5 310190.13),(6 421678.22),(7 571453.4),(8 725419),(9 881380.94),(10 1070637.6),(11 1258673.4),(12 1452830.9),(13 1676679.3),(14 1899096.8),(15 2127043.8),(16 2384284.3),(17 2645394.3),(18 2905402.5),(19 3194194.5),(20 3479980.3),(21 3755189.8),(22 4058091),(23 4369115.5),(24 4661067),(25 4980914),(26 5294913),(27 5590845),(28 5913447.5),(29 6234152),(30 6546551.5),(31 6894416),(32 7237691.5),(33 7576718.5),(34 7935427),(35 8298472),(36 8624548),(37 8979606),(38 9338140),(39 9664591),(40 10008124),(41 10332844),(42 10640495),(43 10958678),(44 11256332),(45 11539068),(46 11858241),(47 12170557),(48 12478547),(49 12798927),(50 13121975),(51 13413769),(52 13701769),(53 13985087),(54 14218890),(55 14457332),(56 14684852),(57 14915485),(58 15110842),(59 15331933),(60 15543993),(61 15762865),(62 15980609),(63 16206957),(64 16428308),(65 16642330),(66 16864870),(67 17097480),(68 17316440),(69 17519384),(70 17744770),(71 17952210),(72 18138380),(73 18358406),(74 18548728),(75 18757780),(76 18982970),(77 19162120),(78 19332008),(79 19548468),
(1 20247.457),(2 48257.57),(3 82160.125),(4 144990.28),(5 208816.31),(6 274788.66),(7 366646.88),(8 458467.94),(9 545672.1),(10 662746.1),(11 773032.7),(12 879934.8),(13 1019638.6),(14 1152762.4),(15 1287634.8),(16 1454487),(17 1617901.4),(18 1776482.3),(19 1967329.4),(20 2165908),(21 2348212.8),(22 2568166.8),(23 2801383.3),(24 3013062.5),(25 3271424.5),(26 3518344),(27 3738579.3),(28 3995387.3),(29 4243444),(30 4481129.5),(31 4766910.5),(32 5035716),(33 5278692),(34 5561079),(35 5841465.5),(36 6080041.5),(37 6355337.5),(38 6630646.5),(39 6877022.5),(40 7176101.5),(41 7441981),(42 7675464),(43 7933317),(44 8163837),(45 8370494.5),(46 8623574),(47 8870528),(48 9114707),(49 9399332),(50 9695430),(51 9985134),(52 10315766),(53 10623914),(54 10917930),(55 11237614),(56 11540794),(57 11841153),(58 12089235),(59 12393325),(60 12681368),(61 12992309),(62 13281914),(63 13574246),(64 13892611),(65 14200501),(66 14509498),(67 14839024),(68 15169738),(69 15472915),(70 15806669),(71 16118411),(72 16386250),(73 16675920),(74 16952646),(75 17221456),(76 17511872),(77 17752954),(78 17963424),(79 18212844),
(1 19358.117),(2 55670.754),(3 110503.086),(4 194494.53),(5 289125.6),(6 400753.47),(7 531055.5),(8 673354.6),(9 825027.56),(10 994225),(11 1174389.1),(12 1368393.9),(13 1580345.5),(14 1795346.8),(15 2023963.4),(16 2262469.5),(17 2503412.5),(18 2764461.5),(19 3035326.3),(20 3303098.3),(21 3584133.3),(22 3882130.8),(23 4191161.8),(24 4496972),(25 4821448.5),(26 5140583.5),(27 5459754),(28 5795173),(29 6114661.5),(30 6447154),(31 6789168),(32 7127464.5),(33 7476846),(34 7826231.5),(35 8170607.5),(36 8497107),(37 8851323),(38 9189729),(39 9516430),(40 9852229),(41 10174665),(42 10498437),(43 10833870),(44 11146578),(45 11471402),(46 11814295),(47 12132934),(48 12466583),(49 12815558),(50 13158027),(51 13524688),(52 13902358),(53 14263295),(54 14618535),(55 14982932),(56 15309450),(57 15673450),(58 16059062),(59 16377249),(60 16724514),(61 17068496),(62 17379864),(63 17728362),(64 18085470),(65 18411074),(66 18751758),(67 19081568),(68 19371468),(69 19681166),(70 19980908),(71 20228444),(72 20456604),(73 20687958),(74 20856622),(75 21014148),(76 21159346),(77 21267264),(78 21358440),(79 21437112),
(1 16233.963),(2 51144.24),(3 105032.13),(4 182440.53),(5 273657.03),(6 381339.47),(7 507608.13),(8 649394.4),(9 802804.94),(10 971137.25),(11 1147632.4),(12 1340126.4),(13 1541363.1),(14 1749352.9),(15 1966702.4),(16 2187414.3),(17 2413565),(18 2656617.8),(19 2889992.5),(20 3122174.8),(21 3362754.3),(22 3601257.5),(23 3843987.3),(24 4085484.5),(25 4323120),(26 4559200),(27 4799653.5),(28 5033332.5),(29 5252066),(30 5464377.5),(31 5678486),(32 5877031),(33 6073811.5),(34 6269228.5),(35 6451855),(36 6625048.5),(37 6801573.5),(38 6965552.5),(39 7117130.5),(40 7251844.5),(41 7369770.5),(42 7466579.5),(43 7554377),(44 7629047),(45 7696551.5),(46 7770880.5),(47 7838676.5),(48 7901690),(49 7960973.5),(50 8030010.5),(51 8079902),(52 8131982),(53 8187402.5),(54 8208924.5),(55 8243285.5),(56 8280896),(57 8311265),(58 8323592.5),(59 8376873.5),(60 8423649),(61 8486204),(62 8560890),(63 8621720),(64 8697899),(65 8780212),(66 8841532),(67 8906102),(68 8983989),(69 9040307),(70 9106117),(71 9171581),(72 9214800),(73 9285950),(74 9344165),(75 9399303),(76 9466592),(77 9536672),(78 9594271),(79 9644701),
(1 19768.229),(2 66890.79),(3 141601.06),(4 247121.38),(5 374805.06),(6 520672.47),(7 687538.06),(8 874931.06),(9 1078097),(10 1294813),(11 1522838.5),(12 1763133.9),(13 2013438.4),(14 2271670.8),(15 2537780),(16 2805477.5),(17 3077465.5),(18 3352030.5),(19 3620935),(20 3886885.3),(21 4151175.5),(22 4397241),(23 4638540),(24 4872313.5),(25 5096840.5),(26 5315135),(27 5531722),(28 5743639.5),(29 5948428),(30 6139071.5),(31 6330679),(32 6508377),(33 6676182.5),(34 6830053.5),(35 6976163),(36 7096922),(37 7217027),(38 7332020.5),(39 7436954),(40 7523084.5),(41 7618091),(42 7691493.5),(43 7776600.5),(44 7868759.5),(45 7944126),(46 8013538),(47 8086897),(48 8136800),(49 8194994),(50 8235992.5),(51 8260019),(52 8283759),(53 8307048.5),(54 8294462),(55 8294336),(56 8296200.5),(57 8282421.5),(58 8261782.5),(59 8245583),(60 8206180.5),(61 8180752),(62 8144164.5),(63 8098224),(64 8059108.5),(65 8019814.5),(66 7971247),(67 7923825),(68 7874316.5),(69 7827519),(70 7776125),(71 7730319),(72 7678052),(73 7636865),(74 7603823),(75 7572882),(76 7541201),(77 7518566.5),(78 7498031),(79 7488705.5),
(1 23975.818),(2 85383.84),(3 180300.31),(4 313656.72),(5 475189.78),(6 660399.7),(7 874511.9),(8 1111774.9),(9 1368442.4),(10 1643097.4),(11 1928264.6),(12 2219152),(13 2520420),(14 2829160.5),(15 3148069),(16 3467366.8),(17 3782232),(18 4099793),(19 4412162),(20 4716472),(21 5014566),(22 5300484.5),(23 5577058),(24 5846613),(25 6104257),(26 6349893.5),(27 6582935),(28 6788242),(29 6972655),(30 7138027.5),(31 7276919),(32 7391122),(33 7500880),(34 7573801),(35 7628941.5),(36 7665226),(37 7677198),(38 7681902),(39 7680529),(40 7651824),(41 7613368),(42 7563690),(43 7499834.5),(44 7439098.5),(45 7384802),(46 7316498),(47 7261256),(48 7216966),(49 7167249),(50 7124858),(51 7099584),(52 7067243),(53 7043954),(54 7018395.5),(55 6989316.5),(56 6982371),(57 6973643.5),(58 6929678),(59 6913564),(60 6895642.5),(61 6885594),(62 6890080),(63 6904663),(64 6915307.5),(65 6936965),(66 6956414),(67 6970592),(68 6989942),(69 7021442),(70 7032100.5),(71 7045517.5),(72 7050222.5),(73 7047951.5),(74 7056009),(75 7065487.5),(76 7061906.5),(77 7060619),(78 7057197.5),(79 7067554.5),
(1 25125.002),(2 89159.62),(3 188186.42),(4 325245.13),(5 491878.66),(6 681258.8),(7 896783.75),(8 1134153),(9 1382613.6),(10 1654584.3),(11 1932094),(12 2214304.3),(13 2513245.3),(14 2811545),(15 3112395.8),(16 3421319.5),(17 3739311.8),(18 4065172.8),(19 4382028.5),(20 4684499),(21 4976892),(22 5249413.5),(23 5507099.5),(24 5748516.5),(25 5980865),(26 6197001.5),(27 6410212.5),(28 6589126.5),(29 6749559.5),(30 6896469),(31 7009882.5),(32 7112837.5),(33 7219613),(34 7302757.5),(35 7374440.5),(36 7432508.5),(37 7463097.5),(38 7474858.5),(39 7483563.5),(40 7455638),(41 7417005),(42 7376395),(43 7325708),(44 7272507.5),(45 7226424),(46 7171143.5),(47 7127713),(48 7097459.5),(49 7052213),(50 7012867),(51 6987998),(52 6957406.5),(53 6924594),(54 6896931),(55 6853099.5),(56 6813064.5),(57 6786121.5),(58 6709534),(59 6663381.5),(60 6631050),(61 6599649),(62 6580128),(63 6588407),(64 6582932.5),(65 6593787),(66 6606331),(67 6607921),(68 6607981.5),(69 6608936.5),(70 6589779.5),(71 6575079.5),(72 6556318),(73 6532598.5),(74 6513197.5),(75 6485675),(76 6449348),(77 6417698),(78 6378149),(79 6342292.5),
