1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 80120.06),(2 216411.8),(3 407789.34),(4 701719.7),(5 985827.8),(6 1287097.6),(7 1648004),(8 1994989),(9 2330686.5),(10 2710764.8),(11 3060194.8),(12 3384686.8),(13 3726406.3),(14 4049348.8),(15 4348848),(16 4681786.5),(17 5017947.5),(18 5311162),(19 5681136.5),(20 6096229.5),(21 6520672),(22 7045890.5),(23 7600447.5),(24 8136474),(25 8756471),(26 9427535),(27 10135456),(28 11002026),(29 11832800),(30 12629225),(31 13489179),(32 14402467),(33 15250984),(34 16210903),(35 17147934),(36 18048524),(37 19011562),(38 20028058),(39 20950142),(40 21856258),(41 22783054),(42 23608494),(43 24395552),(44 25322922),(45 26202378),(46 27085514),(47 28008694),(48 28843970),(49 29712954),(50 30743736),(51 31686352),(52 32726040),(53 34060080),(54 35329092),(55 36885760),(56 38683080),(57 40417412),(58 42374236),(59 44374390),(60 46251132),(61 48325540),(62 50453120),(63 52368400),(64 54520588),(65 56727004),(66 58775332),(67 60861492),(68 62826804),(69 64252492),(70 65734484),(71 67286840),(72 68697704),(73 70319800),(74 71872616),(75 73099290),(76 74409390),(77 75625610),(78 76544050),(79 77440024),
(1 78599.17),(2 241619.05),(3 473771),(4 820965.3),(5 1187196.4),(6 1570682.3),(7 2014450.4),(8 2462068.5),(9 2892238.5),(10 3373733.5),(11 3799438.5),(12 4171476.8),(13 4561817),(14 4923542.5),(15 5214656),(16 5510949),(17 5813053),(18 6080223),(19 6396580),(20 6763856),(21 7128957),(22 7528781.5),(23 7990873),(24 8401939),(25 8834684),(26 9333678),(27 9883748),(28 10519638),(29 11242750),(30 11961817),(31 12772926),(32 13694662),(33 14593918),(34 15588386),(35 16659739),(36 17672452),(37 18782162),(38 20002404),(39 21126256),(40 22379140),(41 23708148),(42 24974624),(43 26295878),(44 27815882),(45 29413376),(46 31205868),(47 33149548),(48 35081388),(49 37297000),(50 39618490),(51 41851170),(52 44183656),(53 46690484),(54 49069892),(55 51776012),(56 54678508),(57 57662868),(58 60893096),(59 64199530),(60 67457520),(61 70843700),(62 74124720),(63 77258940),(64 80692940),(65 84240790),(66 87600370),(67 91082640),(68 94492824),(69 97824820),(70 101116720),(71 104324750),(72 107460070),(73 110641384),(74 113666330),(75 116614870),(76 119457460),(77 122163944),(78 124720664),(79 127128910),
(1 82138.71),(2 277579.25),(3 582133.3),(4 1040772.8),(5 1580573),(6 2208971.8),(7 2956944.8),(8 3765908),(9 4627691),(10 5618261.5),(11 6648471.5),(12 7707202.5),(13 8840512),(14 9992297),(15 11154626),(16 12346801),(17 13560224),(18 14754719),(19 15985668),(20 17259384),(21 18521240),(22 19829246),(23 21128822),(24 22362366),(25 23624128),(26 24898154),(27 26171688),(28 27425334),(29 28667770),(30 29841582),(31 31028390),(32 32207258),(33 33367298),(34 34537136),(35 35700428),(36 36783612),(37 37849950),(38 38905110),(39 39961596),(40 41016180),(41 42012196),(42 42966596),(43 43890644),(44 44807508),(45 45757124),(46 46697420),(47 47629550),(48 48463052),(49 49339724),(50 50147828),(51 50925644),(52 51653172),(53 52344556),(54 52968564),(55 53579460),(56 54149680),(57 54783564),(58 55413460),(59 56127412),(60 56862244),(61 57632580),(62 58427680),(63 59278224),(64 60219972),(65 61247796),(66 62252130),(67 63314500),(68 64571776),(69 65924364),(70 67293000),(71 68657530),(72 70177260),(73 71715590),(74 73272530),(75 74927656),(76 76550850),(77 78198216),(78 79850630),(79 81392424),
(1 97447.47),(2 362360.88),(3 789483.7),(4 1386210),(5 2142630.8),(6 3061238.3),(7 4137781.8),(8 5359142),(9 6694439.5),(10 8156942),(11 9731879),(12 11407077),(13 13161380),(14 14974745),(15 16841270),(16 18726422),(17 20692178),(18 22740054),(19 24843244),(20 26998386),(21 29225078),(22 31504228),(23 33816420),(24 36088504),(25 38331110),(26 40481948),(27 42670044),(28 44797944),(29 46866224),(30 48829640),(31 50699988),(32 52440256),(33 54096456),(34 55643868),(35 57098704),(36 58438080),(37 59711404),(38 60799560),(39 61792548),(40 62698140),(41 63445704),(42 64018260),(43 64475236),(44 64838228),(45 65193380),(46 65528064),(47 65804900),(48 65941760),(49 66064212),(50 66090896),(51 66143132),(52 66111532),(53 66022024),(54 65942556),(55 65952200),(56 66001116),(57 66094364),(58 66209684),(59 66385864),(60 66609052),(61 66900964),(62 67246300),(63 67701280),(64 68254810),(65 68894296),(66 69585280),(67 70347680),(68 71166984),(69 72118960),(70 73089760),(71 74123550),(72 75386610),(73 76803560),(74 78246210),(75 79852670),(76 81508450),(77 83144290),(78 84798600),(79 86407800),
(1 97839.37),(2 363944.75),(3 783974.8),(4 1350272.5),(5 2039530.9),(6 2843280.3),(7 3754199.3),(8 4745854),(9 5809966),(10 6957787.5),(11 8143599.5),(12 9373177),(13 10655151),(14 11901505),(15 13132521),(16 14351558),(17 15545380),(18 16746822),(19 17973628),(20 19172976),(21 20355730),(22 21533844),(23 22710568),(24 23874562),(25 25090542),(26 26267180),(27 27491852),(28 28751730),(29 30039070),(30 31313102),(31 32590430),(32 33826620),(33 35043876),(34 36228990),(35 37404410),(36 38604110),(37 39817504),(38 40976100),(39 42107812),(40 43263692),(41 44362790),(42 45345956),(43 46289530),(44 47292596),(45 48335950),(46 49421390),(47 50435456),(48 51457430),(49 52502540),(50 53526990),(51 54589230),(52 55608336),(53 56624708),(54 57688296),(55 58893820),(56 60142290),(57 61481370),(58 62766812),(59 63963004),(60 65153028),(61 66265070),(62 67330104),(63 68466390),(64 69562820),(65 70586990),(66 71623980),(67 72555736),(68 73421980),(69 74382790),(70 75280570),(71 76109544),(72 76916320),(73 77682184),(74 78368970),(75 79091940),(76 79720730),(77 80299400),(78 80845320),(79 81321784),
(1 108022.19),(2 413962.06),(3 897091.2),(4 1548628.3),(5 2345636.5),(6 3267296),(7 4295438.5),(8 5429745.5),(9 6636762.5),(10 7922389),(11 9258166),(12 10641865),(13 12084048),(14 13518206),(15 14947715),(16 16368459),(17 17766808),(18 19127384),(19 20459418),(20 21727476),(21 22929236),(22 24145898),(23 25311426),(24 26402776),(25 27438636),(26 28453958),(27 29418032),(28 30336716),(29 31143392),(30 31825068),(31 32526492),(32 33179936),(33 33793548),(34 34338508),(35 34805996),(36 35215830),(37 35606810),(38 35940396),(39 36257450),(40 36595320),(41 36874904),(42 37047292),(43 37226590),(44 37424172),(45 37648620),(46 37916680),(47 38212428),(48 38485590),(49 38759840),(50 38971670),(51 39241790),(52 39576304),(53 39858330),(54 40153990),(55 40613090),(56 41143680),(57 41722024),(58 42341940),(59 42937428),(60 43509030),(61 44087876),(62 44597140),(63 45164908),(64 45715470),(65 46183244),(66 46565052),(67 46893184),(68 47095416),(69 47299744),(70 47391370),(71 47397570),(72 47334150),(73 47204376),(74 46952916),(75 46586720),(76 46144440),(77 45586640),(78 44907916),(79 44164680),
(1 109974.766),(2 418176.03),(3 906965.06),(4 1552795.9),(5 2319117.8),(6 3193568.3),(7 4151153.5),(8 5182712),(9 6301743),(10 7487309),(11 8659291),(12 9819042),(13 10983866),(14 12119530),(15 13220357),(16 14269796),(17 15269040),(18 16243500),(19 17226644),(20 18167784),(21 19069710),(22 19978228),(23 20891416),(24 21804406),(25 22738956),(26 23713042),(27 24719342),(28 25745668),(29 26775214),(30 27749308),(31 28673582),(32 29545144),(33 30350146),(34 31032276),(35 31623412),(36 32109924),(37 32544292),(38 32871988),(39 33125468),(40 33345128),(41 33543744),(42 33711224),(43 33842428),(44 33888436),(45 33907336),(46 33886416),(47 33803268),(48 33712224),(49 33552914),(50 33343724),(51 33140910),(52 32925408),(53 32685564),(54 32425890),(55 32160590),(56 31867460),(57 31600812),(58 31303380),(59 31018100),(60 30758260),(61 30477612),(62 30144556),(63 29844556),(64 29566420),(65 29348754),(66 29174164),(67 29040118),(68 28915338),(69 28848160),(70 28771214),(71 28739500),(72 28723306),(73 28714216),(74 28678538),(75 28666764),(76 28620770),(77 28498914),(78 28397546),(79 28306340),
(1 120845.25),(2 462967.9),(3 1005159.6),(4 1723727.4),(5 2588181),(6 3585323.3),(7 4692999),(8 5890714),(9 7155224),(10 8446962),(11 9730559),(12 10996650),(13 12213585),(14 13333803),(15 14357647),(16 15243685),(17 16006733),(18 16631211),(19 17172486),(20 17603510),(21 17924744),(22 18177064),(23 18361672),(24 18459036),(25 18512420),(26 18517642),(27 18491520),(28 18468190),(29 18434582),(30 18382142),(31 18371880),(32 18388814),(33 18389770),(34 18440890),(35 18521374),(36 18566146),(37 18690892),(38 18850444),(39 19040226),(40 19321284),(41 19579128),(42 19821094),(43 20106684),(44 20362548),(45 20586852),(46 20799842),(47 20940314),(48 21033212),(49 21097646),(50 21111012),(51 21092514),(52 21067640),(53 20991022),(54 20896572),(55 20838910),(56 20768468),(57 20713182),(58 20682474),(59 20659676),(60 20661244),(61 20668940),(62 20718490),(63 20823680),(64 20969826),(65 21182976),(66 21444096),(67 21713306),(68 21985092),(69 22298510),(70 22636384),(71 22997384),(72 23346426),(73 23734744),(74 24119924),(75 24475892),(76 24786134),(77 25031512),(78 25273810),(79 25529846),
(1 101325.664),(2 384981.06),(3 831199.6),(4 1415110.8),(5 2111859.8),(6 2913351),(7 3810603.5),(8 4780742.5),(9 5812927),(10 6901921),(11 8027825),(12 9151309),(13 10239435),(14 11272100),(15 12263452),(16 13167125),(17 14010064),(18 14780437),(19 15466335),(20 16089182),(21 16631763),(22 17096124),(23 17489952),(24 17814916),(25 18082346),(26 18271440),(27 18394542),(28 18495036),(29 18559902),(30 18584972),(31 18556672),(32 18463616),(33 18336578),(34 18182318),(35 18010256),(36 17816124),(37 17626044),(38 17433508),(39 17223868),(40 17037142),(41 16899060),(42 16774989),(43 16712041),(44 16707224),(45 16749602),(46 16845594),(47 16989402),(48 17138416),(49 17285558),(50 17412022),(51 17526280),(52 17600286),(53 17682726),(54 17762208),(55 17877430),(56 17956384),(57 18013508),(58 18074776),(59 18132650),(60 18159696),(61 18144528),(62 18101146),(63 18032412),(64 17994360),(65 17955448),(66 17911378),(67 17872338),(68 17840208),(69 17804942),(70 17789806),(71 17769304),(72 17728638),(73 17756888),(74 17800728),(75 17855536),(76 17910366),(77 17983570),(78 18094930),(79 18244062),
(1 87508.97),(2 328125.1),(3 698061.8),(4 1184785),(5 1760765.4),(6 2407777),(7 3114078.3),(8 3858836.5),(9 4640384),(10 5463793.5),(11 6312277.5),(12 7168547.5),(13 8016607),(14 8831017),(15 9644804),(16 10414649),(17 11117819),(18 11735932),(19 12271640),(20 12719564),(21 13111159),(22 13441200),(23 13692482),(24 13881573),(25 14038940),(26 14123263),(27 14172066),(28 14186030),(29 14171220),(30 14174955),(31 14194391),(32 14194285),(33 14212267),(34 14231339),(35 14240836),(36 14277505),(37 14337442),(38 14396624),(39 14435971),(40 14496474),(41 14556626),(42 14654668),(43 14789536),(44 14918695),(45 15058777),(46 15210137),(47 15366944),(48 15528178),(49 15685572),(50 15808217),(51 15925552),(52 16033264),(53 16119504),(54 16190882),(55 16251604),(56 16284859),(57 16287685),(58 16261147),(59 16199502),(60 16142994),(61 16095572),(62 16015559),(63 15966804),(64 15927660),(65 15908542),(66 15898955),(67 15908553),(68 15949276),(69 16010745),(70 16063385),(71 16124110),(72 16198510),(73 16257893),(74 16289691),(75 16317653),(76 16357847),(77 16431317),(78 16519164),(79 16657077),
(1 118641.31),(2 444466.66),(3 933112.56),(4 1553116),(5 2262746),(6 3022185.5),(7 3808969.8),(8 4601583),(9 5396084.5),(10 6166059),(11 6881247),(12 7561004),(13 8191234),(14 8740243),(15 9241118),(16 9693189),(17 10103864),(18 10484230),(19 10843087),(20 11146952),(21 11390791),(22 11582447),(23 11749989),(24 11879097),(25 11982680),(26 12059249),(27 12154935),(28 12277032),(29 12452350),(30 12645320),(31 12870729),(32 13152339),(33 13488466),(34 13871571),(35 14264994),(36 14683406),(37 15143595),(38 15582850),(39 15985124),(40 16316568),(41 16578906),(42 16838772),(43 17063344),(44 17220858),(45 17338014),(46 17402812),(47 17428950),(48 17465076),(49 17483104),(50 17473310),(51 17444316),(52 17375368),(53 17258902),(54 17100236),(55 16878446),(56 16623112),(57 16347563),(58 16063612),(59 15757234),(60 15479127),(61 15235861),(62 15036621),(63 14864789),(64 14729434),(65 14662061),(66 14645425),(67 14669667),(68 14708015),(69 14760785),(70 14785088),(71 14790054),(72 14760205),(73 14661824),(74 14498375),(75 14299848),(76 14075971),(77 13861860),(78 13673651),(79 13523247),
