1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 80683.2),(2 142426.64),(3 170870.75),(4 327259.16),(5 462068.13),(6 564329.44),(7 802569.2),(8 1001106.2),(9 1136308),(10 1436710.1),(11 1683298.6),(12 1887292.1),(13 2277041.3),(14 2613894.3),(15 2878750.8),(16 3310506.8),(17 3709327),(18 4005518),(19 4461050),(20 4875692.5),(21 5195545.5),(22 5660862.5),(23 6128000.5),(24 6459972),(25 6909380),(26 7350064),(27 7702360.5),(28 8153977.5),(29 8596518),(30 8994322),(31 9491741),(32 10045294),(33 10469315),(34 10949291),(35 11454373),(36 11871784),(37 12312545),(38 12794285),(39 13180248),(40 13667821),(41 14176733),(42 14564155),(43 15043376),(44 15552733),(45 15966580),(46 16434584),(47 16974210),(48 17413576),(49 17941954),(50 18555270),(51 19055898),(52 19631928),(53 20265432),(54 20737538),(55 21367408),(56 22033968),(57 22535072),(58 23179104),(59 23861638),(60 24410742),(61 25062486),(62 25775890),(63 26413098),(64 27175334),(65 27978966),(66 28623002),(67 29479562),(68 30398568),(69 31113648),(70 32014126),(71 32962982),(72 33769404),(73 34642416),(74 35638630),(75 36481376),(76 37411908),(77 38378950),(78 39251236),(79 40203670),
(1 36791.676),(2 73740.09),(3 113217.1),(4 197005.03),(5 279458.9),(6 368561.2),(7 503532.6),(8 653316.6),(9 811129.3),(10 1039740.2),(11 1288034),(12 1595111.8),(13 1980431.3),(14 2374380.8),(15 2826629.5),(16 3313040.8),(17 3833125.3),(18 4372129),(19 4937399),(20 5516304.5),(21 6127756),(22 6781294.5),(23 7420598.5),(24 8055716),(25 8768376),(26 9450366),(27 10150880),(28 10868925),(29 11605454),(30 12367280),(31 13160688),(32 13948693),(33 14699824),(34 15420189),(35 16098029),(36 16759907),(37 17412006),(38 18056384),(39 18706214),(40 19321990),(41 19969644),(42 20577686),(43 21216940),(44 21905702),(45 22548934),(46 23244118),(47 23964566),(48 24697072),(49 25464240),(50 26232924),(51 27000272),(52 27715482),(53 28475444),(54 29223180),(55 29884076),(56 30591882),(57 31315958),(58 31998714),(59 32737306),(60 33498422),(61 34244508),(62 35051916),(63 35951750),(64 36856250),(65 37780256),(66 38764788),(67 39686056),(68 40702476),(69 41722540),(70 42651316),(71 43617736),(72 44572780),(73 45511550),(74 46537372),(75 47624652),(76 48702904),(77 49854704),(78 51028496),(79 52220492),
(1 38934.48),(2 119946.32),(3 248286.31),(4 438206.03),(5 671765.3),(6 966607.5),(7 1324649.4),(8 1737839.4),(9 2203387.8),(10 2741242.5),(11 3324984.8),(12 3986952),(13 4691112.5),(14 5430862),(15 6210321.5),(16 7045176),(17 7915264),(18 8822388),(19 9774845),(20 10768129),(21 11744584),(22 12730229),(23 13772675),(24 14793357),(25 15795915),(26 16808254),(27 17801432),(28 18769838),(29 19705654),(30 20590778),(31 21485914),(32 22393392),(33 23255918),(34 24120882),(35 25012762),(36 25889376),(37 26700726),(38 27480024),(39 28213886),(40 28922106),(41 29596906),(42 30230394),(43 30876950),(44 31517770),(45 32071886),(46 32618842),(47 33204166),(48 33759156),(49 34333364),(50 34941776),(51 35563700),(52 36120828),(53 36692876),(54 37151188),(55 37616732),(56 38023332),(57 38461616),(58 38832676),(59 39268084),(60 39770092),(61 40212708),(62 40695420),(63 41229776),(64 41738344),(65 42273540),(66 42745668),(67 43292780),(68 43823240),(69 44256370),(70 44656108),(71 45006220),(72 45345604),(73 45618864),(74 45937468),(75 46337120),(76 46707660),(77 47123920),(78 47569170),(79 48020396),
(1 55061.855),(2 188156.22),(3 397378.28),(4 686907),(5 1032949.1),(6 1436196.1),(7 1903413.1),(8 2420819.8),(9 2983836.5),(10 3614113.3),(11 4280711.5),(12 4989130.5),(13 5702040.5),(14 6426262),(15 7158699.5),(16 7903622),(17 8664087),(18 9428717),(19 10213171),(20 11006293),(21 11755075),(22 12466988),(23 13188973),(24 13867755),(25 14552211),(26 15243148),(27 15923029),(28 16563481),(29 17191680),(30 17800800),(31 18383132),(32 18997950),(33 19617316),(34 20260502),(35 20960110),(36 21689302),(37 22404542),(38 23158200),(39 23886738),(40 24570536),(41 25264040),(42 25936952),(43 26585864),(44 27281444),(45 27947368),(46 28545034),(47 29143478),(48 29670530),(49 30201834),(50 30774958),(51 31317028),(52 31879012),(53 32426358),(54 32882510),(55 33311396),(56 33675030),(57 33998844),(58 34256030),(59 34485130),(60 34681476),(61 34879484),(62 35050560),(63 35184816),(64 35284280),(65 35348860),(66 35335570),(67 35357164),(68 35310044),(69 35276750),(70 35309308),(71 35332572),(72 35330720),(73 35317744),(74 35306096),(75 35281668),(76 35256430),(77 35239660),(78 35185296),(79 35095004),
(1 55369.24),(2 200089.14),(3 430413.2),(4 749815.56),(5 1143976.9),(6 1609675.3),(7 2147338.5),(8 2760617.5),(9 3436451),(10 4188627.8),(11 5004220.5),(12 5877109),(13 6768190.5),(14 7674451.5),(15 8608891),(16 9571161),(17 10542288),(18 11534305),(19 12537725),(20 13568172),(21 14559363),(22 15491590),(23 16451850),(24 17382728),(25 18264386),(26 19098022),(27 19959468),(28 20776990),(29 21546664),(30 22325752),(31 23051202),(32 23787528),(33 24560894),(34 25321800),(35 26124224),(36 26963624),(37 27781152),(38 28633042),(39 29450494),(40 30260882),(41 30978818),(42 31672576),(43 32347666),(44 33017722),(45 33664680),(46 34246084),(47 34767908),(48 35282044),(49 35814400),(50 36321340),(51 36810908),(52 37348910),(53 37849556),(54 38275280),(55 38669852),(56 38964530),(57 39198856),(58 39387710),(59 39523772),(60 39663708),(61 39748468),(62 39798180),(63 39854516),(64 39864804),(65 39812788),(66 39732060),(67 39733620),(68 39695388),(69 39687110),(70 39836396),(71 39956308),(72 40066530),(73 40153550),(74 40224504),(75 40296936),(76 40353372),(77 40376756),(78 40393428),(79 40329496),
(1 51782.836),(2 193587.16),(3 419737.6),(4 732852.9),(5 1121410.6),(6 1576790.8),(7 2101956),(8 2700551.3),(9 3358692.8),(10 4083327.3),(11 4860082),(12 5694285),(13 6536776),(14 7384599),(15 8234249),(16 9106085),(17 9967491),(18 10826122),(19 11698398),(20 12559740),(21 13394301),(22 14194371),(23 14976517),(24 15729003),(25 16441446),(26 17101914),(27 17731428),(28 18349552),(29 18900278),(30 19416566),(31 19915106),(32 20404828),(33 20882940),(34 21354426),(35 21809398),(36 22243620),(37 22672842),(38 23069754),(39 23430646),(40 23773884),(41 24040922),(42 24257828),(43 24472946),(44 24649220),(45 24795436),(46 24904070),(47 24933360),(48 24959470),(49 24999748),(50 24983956),(51 24977062),(52 24958784),(53 24911978),(54 24795344),(55 24671738),(56 24468620),(57 24232470),(58 23970566),(59 23699386),(60 23433524),(61 23142038),(62 22828060),(63 22535498),(64 22235948),(65 21915780),(66 21599872),(67 21370232),(68 21101142),(69 20870196),(70 20711692),(71 20544164),(72 20368840),(73 20221918),(74 20081094),(75 19964190),(76 19900652),(77 19855678),(78 19826162),(79 19814288),
(1 45631.758),(2 172396.89),(3 375115.66),(4 655054.25),(5 1000220.25),(6 1402861.9),(7 1859654),(8 2360239.5),(9 2909586.3),(10 3499617),(11 4115764.3),(12 4759070),(13 5406173),(14 6044042.5),(15 6692223.5),(16 7316694),(17 7922998),(18 8491404),(19 9044312),(20 9564577),(21 10060590),(22 10521287),(23 10948716),(24 11348326),(25 11721380),(26 12045302),(27 12344050),(28 12621589),(29 12876351),(30 13115759),(31 13340988),(32 13562623),(33 13790420),(34 14026741),(35 14258016),(36 14477815),(37 14706182),(38 14930393),(39 15152876),(40 15399161),(41 15644674),(42 15875614),(43 16134561),(44 16407513),(45 16696834),(46 16987732),(47 17287092),(48 17598650),(49 17946154),(50 18283738),(51 18629260),(52 18986030),(53 19346248),(54 19692756),(55 20046084),(56 20354860),(57 20653700),(58 20911412),(59 21156416),(60 21394562),(61 21591012),(62 21745348),(63 21875004),(64 21947858),(65 21955074),(66 21874340),(67 21839602),(68 21742574),(69 21618428),(70 21517290),(71 21385156),(72 21228434),(73 21066568),(74 20898296),(75 20722858),(76 20573458),(77 20431550),(78 20291152),(79 20143410),
(1 67101.54),(2 253190.14),(3 556230.1),(4 977624.25),(5 1492496.5),(6 2104080),(7 2803099.3),(8 3578450.5),(9 4412919),(10 5306291),(11 6232427.5),(12 7198320),(13 8167889.5),(14 9134383),(15 10106901),(16 11087123),(17 12054468),(18 13001350),(19 13953074),(20 14882406),(21 15791895),(22 16634468),(23 17473098),(24 18259918),(25 18990152),(26 19688524),(27 20307904),(28 20868124),(29 21355026),(30 21745374),(31 22081848),(32 22377514),(33 22615082),(34 22806980),(35 22933978),(36 22978830),(37 22962820),(38 22871492),(39 22686488),(40 22489542),(41 22230922),(42 21862876),(43 21478592),(44 21058758),(45 20591436),(46 20120664),(47 19630956),(48 19113578),(49 18627482),(50 18143978),(51 17691228),(52 17259774),(53 16871160),(54 16498150),(55 16182614),(56 15901610),(57 15638366),(58 15423067),(59 15244315),(60 15074790),(61 14962191),(62 14888971),(63 14858416),(64 14855157),(65 14869317),(66 14896845),(67 14982850),(68 15083422),(69 15208150),(70 15405334),(71 15618321),(72 15808153),(73 15990569),(74 16181380),(75 16360025),(76 16529308),(77 16707998),(78 16884804),(79 17028790),
(1 68143.234),(2 257268.2),(3 558561.5),(4 970445.44),(5 1465745.3),(6 2048030.4),(7 2702294),(8 3405262),(9 4151890.8),(10 4937873.5),(11 5745203),(12 6569071),(13 7398117.5),(14 8212757.5),(15 9012439),(16 9824067),(17 10611025),(18 11377419),(19 12143652),(20 12874172),(21 13545297),(22 14164654),(23 14757448),(24 15301981),(25 15806287),(26 16251994),(27 16635612),(28 16976768),(29 17259478),(30 17468994),(31 17642424),(32 17762706),(33 17855484),(34 17922960),(35 17952336),(36 17961750),(37 17944776),(38 17907246),(39 17866816),(40 17838438),(41 17790678),(42 17715010),(43 17657844),(44 17605686),(45 17559498),(46 17519176),(47 17470080),(48 17427784),(49 17407840),(50 17386242),(51 17382476),(52 17374306),(53 17365794),(54 17345232),(55 17350258),(56 17344692),(57 17328486),(58 17305642),(59 17271230),(60 17210252),(61 17142544),(62 17040746),(63 16912424),(64 16760088),(65 16604501),(66 16408171),(67 16238172),(68 16078818),(69 15925636),(70 15820800),(71 15714088),(72 15599338),(73 15511639),(74 15450021),(75 15397096),(76 15381800),(77 15385227),(78 15402563),(79 15442330),
(1 58503.59),(2 224641.56),(3 489904.44),(4 847302),(5 1279726.3),(6 1781774.5),(7 2341898.5),(8 2955347),(9 3601780.5),(10 4283695.5),(11 4985223),(12 5696406),(13 6404667),(14 7084474.5),(15 7746243.5),(16 8407211),(17 9026735),(18 9603448),(19 10169929),(20 10686054),(21 11150245),(22 11538074),(23 11897918),(24 12210997),(25 12452380),(26 12641223),(27 12756332),(28 12832196),(29 12850480),(30 12808528),(31 12729859),(32 12607351),(33 12464097),(34 12272759),(35 12054187),(36 11823901),(37 11575929),(38 11315572),(39 11040612),(40 10771932),(41 10502950),(42 10239304),(43 10020633),(44 9824892),(45 9645970),(46 9483535),(47 9338684),(48 9222193),(49 9132153),(50 9069236),(51 9033956),(52 9024043),(53 9034721),(54 9053248),(55 9102939),(56 9153630),(57 9226402),(58 9295593),(59 9360676),(60 9425919),(61 9503289),(62 9576599),(63 9657575),(64 9727374),(65 9803284),(66 9882812),(67 9987255),(68 10113945),(69 10254513),(70 10422796),(71 10575146),(72 10720898),(73 10875114),(74 11056418),(75 11268393),(76 11488124),(77 11720274),(78 11936596),(79 12132886),
(1 58089.887),(2 227826.7),(3 507165.2),(4 892458.4),(5 1365332.1),(6 1925172.5),(7 2560510),(8 3252506.8),(9 3986076.3),(10 4755565.5),(11 5533396.5),(12 6309837),(13 7067628.5),(14 7803425.5),(15 8502723),(16 9171119),(17 9803159),(18 10380265),(19 10920207),(20 11415676),(21 11850909),(22 12222538),(23 12547518),(24 12803319),(25 12987324),(26 13126386),(27 13213040),(28 13248224),(29 13253447),(30 13219543),(31 13146344),(32 13062118),(33 12949109),(34 12829787),(35 12704053),(36 12561299),(37 12416635),(38 12273199),(39 12096433),(40 11914779),(41 11739236),(42 11567388),(43 11403857),(44 11251208),(45 11121507),(46 11012189),(47 10904493),(48 10812204),(49 10744565),(50 10690636),(51 10646393),(52 10617617),(53 10602829),(54 10588640),(55 10593690),(56 10597489),(57 10601164),(58 10607848),(59 10616386),(60 10649372),(61 10696455),(62 10755095),(63 10806701),(64 10844284),(65 10888446),(66 10914588),(67 10969203),(68 11001478),(69 11019720),(70 11022549),(71 11002683),(72 10952521),(73 10890545),(74 10810101),(75 10713304),(76 10594731),(77 10467838),(78 10321096),(79 10161602),
