1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 112273.336),(2 400510.1),(3 830002.2),(4 1374749.1),(5 2031796),(6 2776146),(7 3599654),(8 4501152),(9 5458514.5),(10 6488553.5),(11 7593072),(12 8785651),(13 9985285),(14 11244196),(15 12631297),(16 14054553),(17 15449356),(18 17087206),(19 18567516),(20 20079584),(21 21509238),(22 22954838),(23 24435224),(24 26002310),(25 27499032),(26 29083216),(27 30727008),(28 32307326),(29 33814556),(30 35283076),(31 36713676),(32 38186150),(33 39634612),(34 41020236),(35 42428100),(36 43745036),(37 44892988),(38 46039996),(39 47093470),(40 48187090),(41 49224132),(42 50255964),(43 51322676),(44 52440044),(45 53488640),(46 54504972),(47 55480944),(48 56514372),(49 57348612),(50 58242868),(51 59222868),(52 60218644),(53 61124130),(54 62025364),(55 62842172),(56 63472660),(57 63941980),(58 64435520),(59 64983460),(60 65515824),(61 65995652),(62 66649636),(63 67323960),(64 68090280),(65 68761310),(66 69502090),(67 70350020),(68 71225270),(69 71975030),(70 72675256),(71 73490856),(72 74367120),(73 75151670),(74 75898290),(75 76632340),(76 77345760),(77 77991270),(78 78880264),(79 79687120),
(1 19026.314),(2 34807.97),(3 43304.31),(4 48126.574),(5 50473.535),(6 52453.688),(7 53865.81),(8 54929.06),(9 55503.25),(10 56687.16),(11 56835.316),(12 57178.418),(13 56979.875),(14 57703.355),(15 58415.215),(16 58267),(17 58617.313),(18 57831.574),(19 57138.484),(20 57327.082),(21 57855.25),(22 58517.324),(23 59545.816),(24 59781.83),(25 59110.047),(26 58698.082),(27 58640.277),(28 58651.176),(29 58746.125),(30 58922.62),(31 58963.676),(32 59745.684),(33 60483.402),(34 60728.906),(35 60920.28),(36 61231.13),(37 61067.8),(38 60859.137),(39 61184.418),(40 60740.207),(41 61095.813),(42 61538.723),(43 62062.203),(44 62211.473),(45 62486.645),(46 63195.17),(47 62724.344),(48 62435.563),(49 62109.887),(50 61637.438),(51 61496.016),(52 60906.72),(53 60315.375),(54 59439.457),(55 59058.863),(56 58636.293),(57 58647.45),(58 58449.83),(59 57632.766),(60 57190.984),(61 57330.426),(62 57097.215),(63 56473.75),(64 55815.813),(65 55829.375),(66 55143.656),(67 54289.563),(68 54409.13),(69 54594.906),(70 54254.043),(71 53763.37),(72 53178.51),(73 52961.02),(74 53134.55),(75 53304.863),(76 53338.797),(77 53876.7),(78 54098.277),(79 54237.83),
(1 18185.688),(2 33836.824),(3 41993.2),(4 46377.938),(5 48976.42),(6 50595.12),(7 51334.15),(8 52447.438),(9 53125.03),(10 53913.938),(11 54073.8),(12 54166.848),(13 54610.21),(14 55268.406),(15 55946.89),(16 55707.37),(17 55854.16),(18 56004.867),(19 56048.82),(20 56573.79),(21 56670.563),(22 57014.42),(23 57844.793),(24 58398.105),(25 58306.348),(26 58625.086),(27 59455.777),(28 60190.25),(29 60588.387),(30 61206.582),(31 61483.98),(32 61654.414),(33 62229.145),(34 62167.492),(35 61811.195),(36 61823.387),(37 61758.81),(38 62060.117),(39 61571.453),(40 61625.4),(41 62367.402),(42 62515.016),(43 62124.375),(44 62630.535),(45 63249.64),(46 63149.703),(47 62690.996),(48 62635.133),(49 61907.97),(50 61385.48),(51 60329.617),(52 58951.863),(53 57696.344),(54 57368.117),(55 56363.184),(56 55606.57),(57 56031.855),(58 56771.75),(59 56549.027),(60 56199.69),(61 55858.12),(62 54987.004),(63 54669.254),(64 54571.45),(65 54729.004),(66 54069.668),(67 53113.355),(68 52866.168),(69 52516.92),(70 52790.7),(71 52523.75),(72 52348.938),(73 52339.11),(74 52587.69),(75 52742.805),(76 53578.434),(77 54029.938),(78 54075.87),(79 53909.21),
(1 18299.494),(2 34154.535),(3 41965.027),(4 46410.62),(5 49008.62),(6 50738.71),(7 51222.523),(8 51871.164),(9 51996.777),(10 52469.258),(11 53256.242),(12 54108.406),(13 55233.316),(14 55800.926),(15 56233.902),(16 56054.492),(17 56071.145),(18 56597.58),(19 56416.8),(20 56462.62),(21 56828.234),(22 57493.293),(23 58234.555),(24 58666.387),(25 58333.926),(26 59263.145),(27 60286.918),(28 60411.082),(29 60211.914),(30 59338.055),(31 59779.004),(32 60666.418),(33 61026.273),(34 60704.85),(35 60636.695),(36 59522.59),(37 59110.86),(38 58449.67),(39 57990.49),(40 58875.637),(41 58854.293),(42 58205.105),(43 56958.496),(44 57494.46),(45 57916.684),(46 57689.844),(47 56773.78),(48 56481.477),(49 56907.406),(50 56448.836),(51 54833.086),(52 52961.098),(53 52069.945),(54 51838.855),(55 52313.785),(56 52186.734),(57 52168.9),(58 52387.656),(59 52617.184),(60 51874.914),(61 51240.813),(62 50589.176),(63 50043.47),(64 50401.223),(65 50704.77),(66 50266.723),(67 49473.715),(68 49589.13),(69 49983.855),(70 49985.75),(71 50084.535),(72 49816.723),(73 50033.332),(74 50966.477),(75 51241.883),(76 51943.234),(77 51771.15),(78 52695.83),(79 53160.39),
(1 18889.332),(2 35030.8),(3 42048.18),(4 46157.52),(5 48434.363),(6 48981.473),(7 49959.2),(8 51066.195),(9 50759.734),(10 51549.98),(11 52528.848),(12 52764.05),(13 54391.46),(14 55446.406),(15 55247.344),(16 54643.08),(17 54243.668),(18 54834.516),(19 55650.117),(20 56451.168),(21 56772.438),(22 56897.12),(23 56795.184),(24 56608.02),(25 56811.566),(26 57924.156),(27 58108.48),(28 58142.246),(29 57868.203),(30 58218.297),(31 58748.83),(32 58710.355),(33 58776.348),(34 58832.055),(35 58815.004),(36 58459.418),(37 57600.83),(38 56491.22),(39 56126.21),(40 56589.332),(41 56576.066),(42 56062.586),(43 55254.57),(44 55358.01),(45 54689.637),(46 53941.746),(47 53899.117),(48 53956.816),(49 54563.594),(50 54157.5),(51 52661.473),(52 51124.78),(53 50904.24),(54 51372.684),(55 51665.72),(56 51762.586),(57 50854.348),(58 51519.25),(59 51438.406),(60 50936.67),(61 50981.38),(62 51302.914),(63 51457.15),(64 52065.25),(65 51413.96),(66 50991.7),(67 50163.15),(68 50194.15),(69 50542.105),(70 50353.918),(71 50872.17),(72 51397.52),(73 52335.684),(74 53340.355),(75 53302.92),(76 52710.816),(77 52891.65),(78 53807.402),(79 54064.566),
(1 17640.79),(2 31613.549),(3 37910.45),(4 42059.406),(5 44811.824),(6 46509.016),(7 47513.92),(8 48219.574),(9 48823.33),(10 50633.426),(11 52285.363),(12 52495.145),(13 53996.49),(14 54420.55),(15 53662.406),(16 52542.43),(17 52422.305),(18 52988.55),(19 53824.055),(20 54875.074),(21 54885.28),(22 54763.71),(23 54521.445),(24 53966.227),(25 54033.793),(26 53770.42),(27 53020.293),(28 52814.31),(29 52974.75),(30 53270.535),(31 52854.53),(32 52924.035),(33 53026.75),(34 53128.3),(35 53199.926),(36 53521.137),(37 53078.445),(38 51980.434),(39 52035.605),(40 52409.88),(41 52296.43),(42 51880.434),(43 51083.09),(44 50242.637),(45 49925.414),(46 50101.18),(47 49837.926),(48 49390.836),(49 49158.383),(50 48862.94),(51 48598.273),(52 48053.1),(53 47913.426),(54 47872.668),(55 48020.15),(56 47601.84),(57 47469.33),(58 47757.9),(59 48861.168),(60 49341.434),(61 49104.957),(62 49089.594),(63 49567.105),(64 49508.758),(65 48942.137),(66 48494.535),(67 47898.96),(68 47386.008),(69 46829.777),(70 46647.207),(71 46792.473),(72 47882.63),(73 49005.69),(74 49341.598),(75 48511.965),(76 48157.06),(77 48507.027),(78 48897.82),(79 49047.086),
(1 17561.436),(2 31751.879),(3 38799.984),(4 42675.55),(5 45855.395),(6 47703.168),(7 48977.25),(8 50117.227),(9 50669.465),(10 53476.637),(11 54352.457),(12 54666.906),(13 55450.016),(14 55443.293),(15 54362.15),(16 54123.145),(17 54242.11),(18 54943.543),(19 54877.63),(20 54700.938),(21 55677.688),(22 55978.785),(23 55161.793),(24 54536.59),(25 54200.66),(26 52577.086),(27 51995.063),(28 52041.95),(29 53022.99),(30 53190.773),(31 52875.703),(32 52509.805),(33 51963.8),(34 50968.668),(35 50973.215),(36 51674.25),(37 51449.047),(38 51293.75),(39 51668.816),(40 51801.82),(41 51483.98),(42 50689.8),(43 50409.082),(44 49752.78),(45 49766.9),(46 49823.176),(47 49360.344),(48 48322.355),(49 48335.22),(50 48129.3),(51 47434.58),(52 47180.19),(53 48226.082),(54 49151.605),(55 49064.945),(56 48919.734),(57 48328.67),(58 48125.56),(59 48696.61),(60 49197.98),(61 49281.758),(62 49405.31),(63 49787.242),(64 49531.805),(65 49276.184),(66 49191.15),(67 48350.125),(68 47947.684),(69 48141.29),(70 47813.49),(71 48246.36),(72 48444.2),(73 48787.277),(74 48432.707),(75 47956.52),(76 47542.348),(77 47568.496),(78 48498.723),(79 48514.723),
(1 16940.973),(2 31645.33),(3 38882.793),(4 41933.51),(5 45025.656),(6 47373.203),(7 48293.145),(8 49385.563),(9 50958.28),(10 52338.195),(11 53231.684),(12 52942.13),(13 52946.04),(14 52440.945),(15 52283.816),(16 52345.152),(17 52672.28),(18 52815.625),(19 52954.98),(20 53695.703),(21 53869.156),(22 53602.414),(23 53117.734),(24 53222.344),(25 52402.04),(26 50832.25),(27 49558.355),(28 50106.4),(29 50728.504),(30 50982.73),(31 50414.582),(32 50046.586),(33 49492.016),(34 49120.203),(35 49688.094),(36 50335.99),(37 49741.85),(38 49804.734),(39 49787.176),(40 49667.785),(41 49407.508),(42 49299.223),(43 49473.266),(44 48861.13),(45 48354.906),(46 48632.543),(47 48872.055),(48 48668.848),(49 48201.355),(50 46816.9),(51 46053.64),(52 46476.805),(53 46523.4),(54 46905.97),(55 47513.45),(56 47685.863),(57 47590.39),(58 47953.42),(59 48150.64),(60 48409.152),(61 48593.58),(62 48547.207),(63 48626.64),(64 48263.813),(65 48476.563),(66 48947.535),(67 48829.51),(68 48930.477),(69 48779.977),(70 48515.637),(71 48686.797),(72 48138.29),(73 48430.133),(74 48354.81),(75 48135.395),(76 48104.47),(77 48633.598),(78 48768.6),(79 49117.363),
(1 17081.684),(2 31189.623),(3 38273.406),(4 41923.215),(5 43893.07),(6 45290.5),(7 45968.496),(8 46528.67),(9 47964.29),(10 49623.246),(11 50680.61),(12 50253.99),(13 49441.895),(14 49051.273),(15 49765.277),(16 50205.38),(17 50127.33),(18 50180.984),(19 50540.063),(20 51100.1),(21 51027.395),(22 50534.652),(23 50888.5),(24 51348.727),(25 51119.254),(26 49892.32),(27 49545.49),(28 49895.09),(29 50727.027),(30 51436.094),(31 51216.727),(32 50443.895),(33 49981.465),(34 49698.56),(35 49733.26),(36 49781.758),(37 49994.285),(38 50240.246),(39 50210.19),(40 49503.97),(41 48898.594),(42 49249.883),(43 49787.3),(44 49420.17),(45 48818.9),(46 49321.027),(47 49566.848),(48 49135.3),(49 48760.41),(50 47817.465),(51 47276.043),(52 47398.35),(53 47267.26),(54 47390.92),(55 47420.758),(56 47505.383),(57 47493.504),(58 48218.277),(59 49231.11),(60 50043.48),(61 50268.184),(62 49775.816),(63 49645.414),(64 49578.863),(65 49620.1),(66 49953.484),(67 49814.863),(68 50161.03),(69 49712.2),(70 49725.363),(71 49905.65),(72 49806.906),(73 49707.81),(74 49692.68),(75 49469.42),(76 49905.984),(77 50474.793),(78 50682.69),(79 50545.01),
(1 16323.493),(2 30322.707),(3 37292.734),(4 40880.633),(5 42663.113),(6 44389.824),(7 44811.152),(8 45674.98),(9 47291.316),(10 48415.805),(11 48064.684),(12 47608.66),(13 46806.04),(14 46187.375),(15 46364.836),(16 47239.086),(17 47124.746),(18 47732.36),(19 48300.984),(20 47834.8),(21 47403.367),(22 47418.742),(23 47717.063),(24 47643.426),(25 47324.88),(26 47010.81),(27 46496.094),(28 46068.805),(29 46182.215),(30 46709.566),(31 46428.3),(32 46747.063),(33 47386.176),(34 46896.203),(35 46369.355),(36 46255.457),(37 46135.83),(38 46215.523),(39 45957.395),(40 45863.543),(41 46004.816),(42 47409.51),(43 48227.543),(44 47872.508),(45 47090.62),(46 47378.766),(47 46848.08),(48 46634.195),(49 46490.652),(50 45522.957),(51 45512.953),(52 45999.766),(53 46418.867),(54 46492.684),(55 46158.84),(56 46250.145),(57 46792.67),(58 47254.37),(59 47680.836),(60 47511.277),(61 46698.055),(62 46025.08),(63 45791.96),(64 46359.59),(65 46666.258),(66 46474.664),(67 45902.98),(68 46011.086),(69 45828.094),(70 45642.953),(71 45634.938),(72 45659.96),(73 45059.152),(74 45334.31),(75 45064.504),(76 45283.83),(77 45819.414),(78 45958.332),(79 45836.164),
(1 15647.932),(2 28990.004),(3 35934.36),(4 39595.95),(5 41598.035),(6 43287.04),(7 43286.066),(8 44294.223),(9 46157.79),(10 47218.527),(11 47477.844),(12 47329.16),(13 46834.68),(14 46465.918),(15 46197.902),(16 46167.875),(17 46657.555),(18 46997.11),(19 47066.668),(20 46021.832),(21 45608.137),(22 45959.633),(23 45592.25),(24 45175.824),(25 45133.598),(26 45789.2),(27 45750.88),(28 45063.16),(29 45672.29),(30 46390.67),(31 45894.633),(32 45812.977),(33 45998.914),(34 46959.996),(35 47215.598),(36 46934.285),(37 46541.246),(38 45904.63),(39 45850.223),(40 46027.75),(41 46433.508),(42 47188.395),(43 47232.926),(44 47059.625),(45 46587.855),(46 46992.125),(47 46819.375),(48 47888.57),(49 48025.33),(50 47400.086),(51 47586.637),(52 48092.082),(53 48294.617),(54 47634.31),(55 46924.69),(56 47444.75),(57 47816.35),(58 47231.332),(59 46992.727),(60 46519.492),(61 45620.227),(62 44741.75),(63 43955.914),(64 44624.668),(65 45295.574),(66 45871.34),(67 46386.816),(68 46852.91),(69 46063.008),(70 45411.77),(71 45232.523),(72 44931.605),(73 44636.11),(74 44159.145),(75 44287.58),(76 44575.934),(77 45096.59),(78 45052.707),(79 44545.496),
(1 15211.187),(2 28387.844),(3 34922.375),(4 38542.313),(5 40341.598),(6 41723.4),(7 42190.88),(8 43272.332),(9 45273.52),(10 46689.777),(11 47396.754),(12 47462.684),(13 47375.02),(14 46519.395),(15 46264.418),(16 46057.926),(17 46463.094),(18 46558.785),(19 46605.465),(20 45674.96),(21 45345.746),(22 45349.625),(23 45094.92),(24 45383.1),(25 45803.656),(26 46542.94),(27 46371.375),(28 45761.504),(29 45233.676),(30 45227.3),(31 45420.457),(32 45704.594),(33 45139.465),(34 45300.44),(35 45198.58),(36 45189.98),(37 45309.023),(38 44599.047),(39 44227.6),(40 45032.777),(41 45244.258),(42 45289.918),(43 45522.543),(44 45616.074),(45 45704.5),(46 45751.703),(47 46086.125),(48 46533.008),(49 45905.066),(50 45258.24),(51 45787.492),(52 46389.074),(53 46569.445),(54 46207.48),(55 46803.44),(56 47066.184),(57 46852.34),(58 46182.156),(59 45660.395),(60 45326.723),(61 44316.523),(62 43861.66),(63 43417.875),(64 43644.066),(65 43960.758),(66 44627.38),(67 45512.668),(68 45425.008),(69 44356.848),(70 44458.3),(71 44563.66),(72 44793.613),(73 44291.86),(74 44411.563),(75 44780.992),(76 44164.688),(77 43796.473),(78 43704.438),(79 44003.855),
(1 14929.723),(2 27252.582),(3 33492.84),(4 36854.69),(5 38905.473),(6 40247.473),(7 40293.883),(8 41232.047),(9 42858.574),(10 44363.242),(11 44667.8),(12 44247.05),(13 44411.332),(14 43976.43),(15 43288.16),(16 43517.773),(17 43618.355),(18 43832.04),(19 43501.117),(20 43223.645),(21 43507.246),(22 43456.105),(23 43515.504),(24 43312.113),(25 43257.668),(26 44098.906),(27 44722.574),(28 44283.223),(29 43831.23),(30 43867.223),(31 44203.777),(32 44647.445),(33 44634.305),(34 44951.85),(35 44644.387),(36 44533.64),(37 44238.125),(38 43867.953),(39 43914.51),(40 44325.77),(41 44768.97),(42 44490.66),(43 44450.348),(44 45114.66),(45 45258.69),(46 45352.69),(47 45548.387),(48 45317.38),(49 44803.754),(50 44498.285),(51 44897.836),(52 45643.22),(53 46128.563),(54 45763.94),(55 45905.95),(56 46614.77),(57 46598.105),(58 45767.64),(59 45668),(60 45084.996),(61 44428.938),(62 43757.246),(63 44263.094),(64 44881.8),(65 45357.996),(66 45945.516),(67 45791.96),(68 45217.273),(69 44631.94),(70 44951.67),(71 45334.164),(72 45436.137),(73 44959.203),(74 44512.44),(75 43862.688),(76 42908.414),(77 42741.617),(78 42740.438),(79 42799.957),
(1 14955.105),(2 27527.773),(3 33430.754),(4 36569.227),(5 38264.1),(6 39228.88),(7 40056.58),(8 40896.957),(9 42186.49),(10 43242.945),(11 43404.492),(12 43506.344),(13 43465.06),(14 43513.89),(15 43215.41),(16 42873.45),(17 43528.137),(18 44078.53),(19 43997.51),(20 44333.96),(21 45204.582),(22 45563.99),(23 45594.098),(24 45245.53),(25 44717.81),(26 44388.465),(27 44234.37),(28 43985.813),(29 44051.297),(30 44526.32),(31 44535.418),(32 43823.813),(33 43423.72),(34 43606.383),(35 43667.62),(36 43380.547),(37 43364.492),(38 42839.316),(39 43225.676),(40 43531.547),(41 43595.21),(42 43425.285),(43 43861.75),(44 44383.41),(45 44120.566),(46 43840.73),(47 44244.813),(48 44514.64),(49 44718.305),(50 44652.77),(51 44394.246),(52 45072.74),(53 45238.805),(54 44014.527),(55 43974.664),(56 44546.176),(57 44437.902),(58 44292.11),(59 43826.566),(60 43636.438),(61 43630.063),(62 43428.965),(63 44117.617),(64 45060.13),(65 45351.17),(66 45009.523),(67 44501.605),(68 44250.297),(69 43676.465),(70 43653.137),(71 44012.176),(72 44288.69),(73 44044.016),(74 43352.926),(75 43356.496),(76 42442.402),(77 41903.344),(78 42099.43),(79 41833.625),
(1 14253.897),(2 25933.205),(3 31370.164),(4 34540.977),(5 36155.492),(6 37101.67),(7 37165.8),(8 38353.906),(9 38926.65),(10 39213.387),(11 39804.543),(12 39921.555),(13 40014.668),(14 40122.164),(15 40560.51),(16 41317.105),(17 41720.953),(18 40975.508),(19 40733.992),(20 41100.21),(21 41708.38),(22 41897.02),(23 41688.457),(24 41374.313),(25 41020.156),(26 41307.824),(27 41799.793),(28 41500.84),(29 41107.086),(30 41162.8),(31 41176.24),(32 40882.176),(33 40895.496),(34 40719.17),(35 40836.93),(36 41129.617),(37 40619.336),(38 40318.277),(39 40436.156),(40 40618.793),(41 40612.766),(42 40810.113),(43 41423.375),(44 41564.516),(45 41385.8),(46 41168.082),(47 41212.754),(48 41044.613),(49 40802),(50 40592.26),(51 40620.754),(52 40947.195),(53 41270.08),(54 40728.098),(55 41041.76),(56 41395.566),(57 41076.504),(58 41161.125),(59 40882.504),(60 40883.465),(61 40986.69),(62 40916.773),(63 40972.258),(64 41445.17),(65 41003.89),(66 41260.49),(67 41459.76),(68 41416.74),(69 41293.805),(70 41100.33),(71 41161.88),(72 41526.703),(73 41373.613),(74 41345.297),(75 41017.88),(76 39733.484),(77 39031.617),(78 39061.906),(79 39340.62),
(1 13984.97),(2 25639.613),(3 30539.66),(4 32931.133),(5 35093.297),(6 35912.62),(7 35875.11),(8 36584.254),(9 37339.184),(10 38492.637),(11 39050.79),(12 39174.094),(13 39207.18),(14 40129.637),(15 40610.93),(16 40752.07),(17 40227.03),(18 39270.547),(19 38987.38),(20 39058.32),(21 39536.027),(22 40104.77),(23 40397.88),(24 40148.188),(25 39519.504),(26 39869.047),(27 40113.176),(28 40245.855),(29 40328.805),(30 40130.37),(31 39685.23),(32 39085.246),(33 38877.73),(34 39064.34),(35 39314.418),(36 39705.168),(37 39170.402),(38 38797.31),(39 39031.082),(40 38659.07),(41 38967.04),(42 39564.18),(43 40171.523),(44 40685.246),(45 40540.043),(46 40732.277),(47 40669.05),(48 39921.18),(49 39704.996),(50 39155.133),(51 39434.055),(52 39840.617),(53 39441.523),(54 39328.914),(55 39425.406),(56 39389.047),(57 39355.24),(58 39351.098),(59 39262.426),(60 38730.8),(61 38578.14),(62 38475.676),(63 38668.34),(64 38525.074),(65 38162.9),(66 38609.23),(67 38635.152),(68 38422.5),(69 38436.418),(70 38888.06),(71 38987.97),(72 38749.527),(73 38478.71),(74 38976.707),(75 38988.504),(76 38517.855),(77 37621.75),(78 37728.906),(79 37864.332),
(1 14218.855),(2 25596.348),(3 30701.672),(4 32823.098),(5 34683.53),(6 35161.01),(7 35339.137),(8 36461.88),(9 37661.21),(10 38842.02),(11 38920.523),(12 38856.098),(13 39241.67),(14 39751.426),(15 40422.746),(16 40347.395),(17 39390.633),(18 38957.48),(19 38960.375),(20 39268.066),(21 39130.4),(22 38976.813),(23 39221.88),(24 39079.58),(25 39210.844),(26 39340.207),(27 39711.21),(28 39473.773),(29 39508.184),(30 39253.66),(31 38989.4),(32 38290.457),(33 37970.797),(34 38028.063),(35 38246.527),(36 38611.367),(37 38350.664),(38 38039.77),(39 37772.816),(40 37476.75),(41 37428.887),(42 37726.656),(43 38321.957),(44 38551.75),(45 38469.41),(46 38373.08),(47 38004.023),(48 37754.086),(49 37397.44),(50 37999.707),(51 38795.742),(52 38433.43),(53 38073.535),(54 38162.85),(55 38617.41),(56 38252.957),(57 38341.742),(58 38872.563),(59 39434.996),(60 39179.54),(61 39020.793),(62 39020.906),(63 39025.863),(64 38989.285),(65 38531.203),(66 37337.61),(67 37140.902),(68 36520.27),(69 37299.97),(70 37683.77),(71 37214.81),(72 36797.08),(73 37285.08),(74 37405.75),(75 37209.17),(76 36995.86),(77 36659.38),(78 36379.656),(79 36329.7),
(1 13160.801),(2 23852.072),(3 28747.691),(4 30792.691),(5 32216.594),(6 33166.2),(7 33623.645),(8 34773.164),(9 35817.555),(10 36587.68),(11 36692.594),(12 36816.688),(13 37126.715),(14 37765.05),(15 38438.633),(16 38617.355),(17 38043.156),(18 37129.14),(19 37503.89),(20 37959.793),(21 37477.273),(22 37088.54),(23 37354.73),(24 37561.04),(25 37908.17),(26 38061.063),(27 38213.203),(28 38093.55),(29 38101.867),(30 38025.723),(31 38070.938),(32 38045.402),(33 38400.645),(34 38424.65),(35 38265.426),(36 37979.883),(37 37615.46),(38 37540.617),(39 37000.582),(40 36744.566),(41 36764.523),(42 36389.18),(43 36198.64),(44 36296.813),(45 36307.113),(46 36296.844),(47 36415.117),(48 36646.918),(49 36432.664),(50 36859.324),(51 37164.95),(52 36838.473),(53 36349.902),(54 36862.49),(55 37036.97),(56 37157.45),(57 36955.645),(58 37334.78),(59 37620.426),(60 37577.1),(61 37478.066),(62 37819.13),(63 38094.76),(64 38139.305),(65 37661.4),(66 36612.867),(67 36207.984),(68 35874.29),(69 36246.86),(70 36451.99),(71 36333.65),(72 36190.14),(73 36240.883),(74 36198.906),(75 35958.55),(76 35910.332),(77 35376.336),(78 34911.707),(79 34576.504),
(1 12939.069),(2 24207.354),(3 28732.467),(4 30808.424),(5 32400.209),(6 33786.875),(7 34462.06),(8 36068.81),(9 37165.742),(10 37602.477),(11 36885.535),(12 37075.695),(13 37664.035),(14 37831.8),(15 37767.746),(16 37984.543),(17 37394.746),(18 36696.01),(19 36782.83),(20 36880.54),(21 36761.45),(22 37210.42),(23 37289.43),(24 37450.277),(25 37853.88),(26 38298.543),(27 38727.453),(28 38545.48),(29 38104.2),(30 37671.86),(31 37305.582),(32 37098.305),(33 37601.32),(34 37034.492),(35 37016.793),(36 37030.18),(37 37358.043),(38 37234.063),(39 36434.17),(40 35902.59),(41 35860.652),(42 35753.883),(43 35602.145),(44 35789.203),(45 36022.27),(46 35879.133),(47 36234.605),(48 36093.004),(49 36241.14),(50 36265.684),(51 36084.34),(52 35856.836),(53 36528.81),(54 36826.02),(55 36664.23),(56 36565.58),(57 36568.656),(58 37249.5),(59 37231.95),(60 36800.344),(61 36952.844),(62 37065.203),(63 37259.06),(64 37254.555),(65 36689.492),(66 36326.49),(67 36033.152),(68 35609.06),(69 35371.035),(70 35300.56),(71 34943.39),(72 35394.125),(73 35606.074),(74 35694.9),(75 35560.555),(76 35696.254),(77 35232.86),(78 34453.027),(79 33917.31),
