1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 204745.39),(2 734819),(3 1532139.1),(4 2511584),(5 3600810),(6 4775723.5),(7 6041482.5),(8 7435982.5),(9 8899128),(10 10493669),(11 12164048),(12 13866745),(13 15607523),(14 17426250),(15 19223238),(16 21025678),(17 22784342),(18 24700698),(19 26588614),(20 28430800),(21 30180950),(22 31652384),(23 33314054),(24 34657630),(25 36008780),(26 37700500),(27 39724404),(28 41837980),(29 44116068),(30 46497868),(31 48717116),(32 50728180),(33 52618228),(34 54145004),(35 55520884),(36 56944560),(37 57935796),(38 58894916),(39 59707404),(40 60391180),(41 61172588),(42 61947724),(43 62961852),(44 63704172),(45 64786830),(46 66170690),(47 67778170),(48 69450790),(49 71133080),(50 73294856),(51 75884520),(52 79033480),(53 82912824),(54 86620870),(55 90596700),(56 94809880),(57 99677510),(58 105027010),(59 111048510),(60 117170184),(61 123376700),(62 129844120),(63 136872850),(64 144225870),(65 152200340),(66 159737390),(67 167332130),(68 175390540),(69 183296720),(70 191226930),(71 198733230),(72 205971650),(73 211904340),(74 216961400),(75 220759700),(76 224843280),(77 229064880),(78 232459410),(79 235455660),
(1 159005.08),(2 555086.8),(3 1154970.6),(4 1910920.8),(5 2797006.8),(6 3734936),(7 4749628),(8 5835621.5),(9 6896934.5),(10 7994575),(11 9015690),(12 10018784),(13 10960003),(14 11869643),(15 12666649),(16 13334802),(17 13929664),(18 14448008),(19 14878469),(20 15161706),(21 15234496),(22 15378258),(23 15660842),(24 15897238),(25 16151731),(26 16484922),(27 16960802),(28 17596412),(29 18348422),(30 19301668),(31 20360186),(32 21524940),(33 22660792),(34 23707754),(35 24681826),(36 25760944),(37 26411498),(38 27217348),(39 27872852),(40 28552420),(41 29284656),(42 29932492),(43 30628292),(44 31455782),(45 32235014),(46 33093306),(47 33949720),(48 34785816),(49 35779664),(50 36952964),(51 38231160),(52 39590920),(53 41282504),(54 42948456),(55 44821484),(56 46835480),(57 48932490),(58 51311020),(59 54086880),(60 56920812),(61 59787370),(62 62602068),(63 65471990),(64 68497480),(65 71683810),(66 74782060),(67 77948890),(68 81451096),(69 84955680),(70 88548980),(71 91827270),(72 94920050),(73 98100110),(74 101079860),(75 104011760),(76 106877900),(77 109639770),(78 112110910),(79 114490904),
(1 220059.88),(2 813074.3),(3 1725208.1),(4 2885524),(5 4219118),(6 5684844),(7 7324957.5),(8 9167509),(9 11094285),(10 13098052),(11 15081560),(12 17047238),(13 19027688),(14 20991754),(15 22741702),(16 24333330),(17 25690544),(18 26908090),(19 28031448),(20 28928362),(21 29326442),(22 30028736),(23 30583874),(24 30886976),(25 31087440),(26 31233920),(27 31485366),(28 31912978),(29 32462818),(30 32938046),(31 33323894),(32 33784780),(33 34254616),(34 34733228),(35 35246724),(36 35936330),(37 36441744),(38 37129460),(39 37786572),(40 38385390),(41 38947790),(42 39277390),(43 39559876),(44 39900556),(45 39950748),(46 39988540),(47 40062784),(48 40152860),(49 40408784),(50 40653890),(51 40815020),(52 40879250),(53 40932936),(54 40933340),(55 40843030),(56 40692260),(57 40551492),(58 40435556),(59 40306970),(60 40212224),(61 40110044),(62 40012384),(63 39997840),(64 40081988),(65 40238650),(66 40367908),(67 40562636),(68 40823756),(69 41107588),(70 41417940),(71 41685644),(72 41865828),(73 42259396),(74 42806404),(75 43339108),(76 43860516),(77 44264300),(78 44704492),(79 45138880),
(1 224647.03),(2 853520.44),(3 1821132.4),(4 3044693),(5 4458594),(6 6025718.5),(7 7776946),(8 9651594),(9 11595506),(10 13518487),(11 15488075),(12 17532582),(13 19684616),(14 21921326),(15 23995912),(16 25986904),(17 27879442),(18 29569384),(19 31145656),(20 32612330),(21 33829484),(22 35325296),(23 36943496),(24 38521550),(25 40082640),(26 41472470),(27 42595520),(28 43580976),(29 44397588),(30 45027150),(31 45411184),(32 45603664),(33 45600696),(34 45419756),(35 45182148),(36 44720860),(37 44359804),(38 44086484),(39 43824440),(40 43598228),(41 43366336),(42 43036780),(43 42756990),(44 42446904),(45 41894068),(46 41200704),(47 40616860),(48 40287280),(49 40065108),(50 39971650),(51 39847892),(52 39754644),(53 39638524),(54 39444224),(55 39370724),(56 39250990),(57 39275300),(58 39512284),(59 39730900),(60 39947440),(61 40189988),(62 40460876),(63 40857916),(64 41242550),(65 41556536),(66 41905976),(67 42287572),(68 42620024),(69 42905664),(70 43139056),(71 43351120),(72 43441720),(73 43565450),(74 43643000),(75 43764876),(76 43795404),(77 43858164),(78 43976484),(79 43992020),
(1 170067.23),(2 634385.4),(3 1346844),(4 2259773.8),(5 3345685),(6 4556606.5),(7 5954408.5),(8 7443336.5),(9 9066569),(10 10741471),(11 12503487),(12 14400393),(13 16486711),(14 18762770),(15 21005480),(16 23159618),(17 25299508),(18 27197586),(19 28893132),(20 30568640),(21 32220448),(22 34006960),(23 35862428),(24 37597516),(25 39362660),(26 40941450),(27 42295180),(28 43468290),(29 44491060),(30 45408350),(31 46282864),(32 47065740),(33 47810588),(34 48548016),(35 49149172),(36 49503470),(37 49801936),(38 49891748),(39 49843560),(40 49758116),(41 49622360),(42 49370650),(43 49107060),(44 48707964),(45 48177530),(46 47398972),(47 46523812),(48 45621604),(49 44696256),(50 43806452),(51 42897830),(52 41911820),(53 40818892),(54 39646436),(55 38412132),(56 37243628),(57 36167104),(58 35215536),(59 34327068),(60 33590636),(61 32952680),(62 32445452),(63 32092364),(64 31797894),(65 31590260),(66 31444088),(67 31342912),(68 31226170),(69 31077812),(70 30892264),(71 30682630),(72 30441960),(73 30250636),(74 30103774),(75 29990452),(76 29878202),(77 29836968),(78 29860486),(79 29953854),
(1 189897.72),(2 697734.7),(3 1445704.5),(4 2363788.5),(5 3444445.5),(6 4625444),(7 5886903),(8 7173308),(9 8557106),(10 10007230),(11 11440712),(12 12815166),(13 14184480),(14 15551491),(15 16900336),(16 18138352),(17 19286566),(18 20272140),(19 21186204),(20 21949728),(21 22590228),(22 23282164),(23 23920860),(24 24336524),(25 24584874),(26 24719660),(27 24756818),(28 24807392),(29 24884984),(30 25113384),(31 25425840),(32 25821428),(33 26307780),(34 26843996),(35 27361556),(36 27809466),(37 28269676),(38 28714170),(39 29178752),(40 29742244),(41 30376164),(42 31062646),(43 31737036),(44 32465706),(45 33114676),(46 33824400),(47 34487468),(48 35086708),(49 35597790),(50 36090548),(51 36496980),(52 36845716),(53 37108950),(54 37272344),(55 37339468),(56 37419800),(57 37400452),(58 37290330),(59 37078636),(60 36793812),(61 36504790),(62 36225450),(63 35933130),(64 35639230),(65 35259316),(66 34860940),(67 34486520),(68 34069464),(69 33639750),(70 33216266),(71 32894854),(72 32610324),(73 32352564),(74 32124218),(75 31969584),(76 31893012),(77 31964160),(78 32112608),(79 32330156),
(1 265282.22),(2 1007790.1),(3 2133155.5),(4 3552765),(5 5198015.5),(6 6946463),(7 8759831),(8 10633178),(9 12587776),(10 14647847),(11 16793090),(12 18976386),(13 21164852),(14 23423500),(15 25724128),(16 27871990),(17 29944882),(18 31824956),(19 33682150),(20 35402160),(21 36857116),(22 38323144),(23 39506170),(24 40308972),(25 40802136),(26 41210880),(27 41522030),(28 41870570),(29 42194600),(30 42578744),(31 42948764),(32 43314304),(33 43607510),(34 43997720),(35 44246680),(36 44305640),(37 44263210),(38 44140270),(39 43885412),(40 43584896),(41 43221868),(42 42774404),(43 42208904),(44 41589680),(45 41103380),(46 40831812),(47 40599540),(48 40441516),(49 40332370),(50 40350600),(51 40419772),(52 40522636),(53 40735416),(54 41021140),(55 41404720),(56 41768656),(57 41969344),(58 41947308),(59 41794140),(60 41613824),(61 41470788),(62 41411670),(63 41454150),(64 41581292),(65 41700964),(66 41785170),(67 41837180),(68 41824464),(69 41776550),(70 41705160),(71 41654492),(72 41586250),(73 41532804),(74 41326596),(75 41063956),(76 40784716),(77 40467064),(78 40164776),(79 39972012),
(1 246706.2),(2 932464.9),(3 1977385.4),(4 3281925.5),(5 4789870.5),(6 6394783.5),(7 8050069.5),(8 9697974),(9 11300173),(10 12899257),(11 14489307),(12 16078014),(13 17663034),(14 19299706),(15 20937280),(16 22460198),(17 23915106),(18 25236420),(19 26521450),(20 27775228),(21 28976648),(22 30220866),(23 31452970),(24 32612702),(25 33706396),(26 34810948),(27 35826292),(28 36792124),(29 37686092),(30 38597650),(31 39407856),(32 40139240),(33 40756532),(34 41316250),(35 41696268),(36 42013452),(37 42101450),(38 42009450),(39 41789908),(40 41563190),(41 41273300),(42 40860372),(43 40379910),(44 39829836),(45 39078410),(46 38175496),(47 37186740),(48 36099136),(49 35009124),(50 33975864),(51 32945716),(52 31959456),(53 31071042),(54 30267394),(55 29606520),(56 29060718),(57 28599768),(58 28280294),(59 28132736),(60 28076458),(61 28121540),(62 28246752),(63 28463006),(64 28742694),(65 29040568),(66 29352218),(67 29652282),(68 29856520),(69 30047038),(70 30166268),(71 30216006),(72 30202334),(73 30125678),(74 29880202),(75 29529416),(76 29093350),(77 28561390),(78 27991292),(79 27452698),
(1 182183.14),(2 675175.5),(3 1438460.8),(4 2390886),(5 3472723),(6 4588438.5),(7 5717564),(8 6804350.5),(9 7790447),(10 8687893),(11 9519976),(12 10331651),(13 11093483),(14 11911682),(15 12693256),(16 13464904),(17 14168315),(18 14731567),(19 15208563),(20 15625629),(21 15967268),(22 16357395),(23 16690432),(24 16940730),(25 17052632),(26 17050778),(27 16947184),(28 16791010),(29 16598807),(30 16432203),(31 16282481),(32 16224606),(33 16300064),(34 16507036),(35 16699458),(36 16832470),(37 16970406),(38 17129116),(39 17283896),(40 17480382),(41 17736760),(42 18026376),(43 18283984),(44 18649406),(45 19039412),(46 19393042),(47 19728762),(48 20058554),(49 20321072),(50 20543868),(51 20708698),(52 20826314),(53 20890398),(54 20917928),(55 20892502),(56 20837148),(57 20772578),(58 20667398),(59 20560252),(60 20412526),(61 20270262),(62 20115922),(63 19948810),(64 19773958),(65 19544496),(66 19282288),(67 19041710),(68 18795926),(69 18591244),(70 18466456),(71 18419830),(72 18403916),(73 18387458),(74 18361890),(75 18381020),(76 18446402),(77 18512450),(78 18586706),(79 18680910),
(1 187310.03),(2 691470.94),(3 1444662.1),(4 2370795.5),(5 3390939),(6 4453870),(7 5529125.5),(8 6565884.5),(9 7545152),(10 8457822),(11 9270460),(12 10001822),(13 10666192),(14 11324324),(15 11983458),(16 12673833),(17 13393017),(18 14095255),(19 14755497),(20 15348185),(21 15896263),(22 16451236),(23 16965280),(24 17369276),(25 17664746),(26 17888534),(27 18034254),(28 18204552),(29 18427268),(30 18698260),(31 18977858),(32 19310332),(33 19720168),(34 20159022),(35 20505748),(36 20834074),(37 21143830),(38 21348248),(39 21431496),(40 21464348),(41 21439932),(42 21344362),(43 21158620),(44 20951320),(45 20740636),(46 20507018),(47 20277448),(48 20084036),(49 19904216),(50 19726784),(51 19531292),(52 19339306),(53 19147242),(54 18937706),(55 18737686),(56 18548558),(57 18407336),(58 18233440),(59 18032078),(60 17824508),(61 17646272),(62 17486106),(63 17374720),(64 17334472),(65 17333814),(66 17305048),(67 17279384),(68 17221722),(69 17182990),(70 17152598),(71 17108700),(72 17059480),(73 16961486),(74 16849282),(75 16725481),(76 16636462),(77 16566002),(78 16487808),(79 16424309),
(1 200758.38),(2 730753.9),(3 1516234.9),(4 2466094),(5 3534116.5),(6 4670493.5),(7 5815467.5),(8 6942342.5),(9 8014370),(10 9011802),(11 9922574),(12 10764683),(13 11493777),(14 12150221),(15 12783932),(16 13458665),(17 14139559),(18 14749454),(19 15292224),(20 15787650),(21 16269489),(22 16786384),(23 17249118),(24 17692258),(25 18135520),(26 18612852),(27 19106932),(28 19594518),(29 19995472),(30 20218780),(31 20306056),(32 20416256),(33 20585928),(34 20790820),(35 20984410),(36 21182516),(37 21317346),(38 21510506),(39 21675746),(40 21785698),(41 21758286),(42 21617686),(43 21337166),(44 20999156),(45 20552934),(46 20013268),(47 19440678),(48 18836730),(49 18259422),(50 17736838),(51 17303304),(52 16990214),(53 16741867),(54 16536168),(55 16422786),(56 16398135),(57 16448696),(58 16569180),(59 16665288),(60 16689090),(61 16735716),(62 16730799),(63 16694472),(64 16606984),(65 16441532),(66 16300755),(67 16151665),(68 15924120),(69 15633112),(70 15295160),(71 14916811),(72 14532179),(73 14092322),(74 13656571),(75 13234581),(76 12906573),(77 12651244),(78 12476738),(79 12409709),
