1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 88144.18),(2 308513),(3 689130.25),(4 1203762.8),(5 1868418.4),(6 2669820.5),(7 3606745),(8 4688546.5),(9 5933285.5),(10 7275392),(11 8762200),(12 10375569),(13 12136365),(14 13960424),(15 15881539),(16 17828814),(17 19785106),(18 21798664),(19 23862830),(20 25932278),(21 28030930),(22 30172610),(23 32368448),(24 34553460),(25 36735156),(26 38917084),(27 41096840),(28 43351650),(29 45674516),(30 47965236),(31 50346508),(32 52743840),(33 55261630),(34 57751790),(35 60299316),(36 62935460),(37 65705716),(38 68621780),(39 71686970),(40 74789050),(41 78087200),(42 81526216),(43 85256776),(44 89271850),(45 93489150),(46 97820030),(47 102430760),(48 107355096),(49 112512490),(50 117558616),(51 122864280),(52 128178296),(53 133492936),(54 138916380),(55 144401230),(56 150159280),(57 156289490),(58 162548880),(59 168815090),(60 175454740),(61 182059710),(62 188474240),(63 195209840),(64 202094670),(65 209052240),(66 216186110),(67 223221390),(68 230142320),(69 236450130),(70 242968770),(71 248935760),(72 254723970),(73 260590930),(74 266666690),(75 272770600),(76 279272300),(77 285785300),(78 292492200),(79 298787940),
(1 81074.27),(2 310813),(3 686724.94),(4 1207531),(5 1878983.4),(6 2706124.5),(7 3673752.8),(8 4772730),(9 6073784),(10 7518297.5),(11 9105627),(12 10860427),(13 12817946),(14 14900851),(15 17131316),(16 19420672),(17 21732766),(18 24243394),(19 26831930),(20 29510406),(21 32227940),(22 35108150),(23 38069310),(24 41113750),(25 44184030),(26 47317910),(27 50467770),(28 53725236),(29 57071510),(30 60439190),(31 63758868),(32 67038570),(33 70408440),(34 73640880),(35 76835870),(36 79988940),(37 83127550),(38 86343470),(39 89530070),(40 92734810),(41 95977710),(42 99140264),(43 102615180),(44 106086670),(45 109644800),(46 113225360),(47 116671336),(48 120106130),(49 123406950),(50 126280090),(51 129162216),(52 131757850),(53 134310030),(54 136868020),(55 139369660),(56 141927740),(57 144545460),(58 147111730),(59 149362110),(60 151861500),(61 154087400),(62 156094720),(63 158082530),(64 159934580),(65 161651470),(66 163318780),(67 164909340),(68 166543520),(69 167800140),(70 169122260),(71 170253100),(72 171208420),(73 172184600),(74 173270620),(75 174372260),(76 175526510),(77 176363300),(78 177400880),(79 178253330),
(1 77055.3),(2 297637.13),(3 660769.9),(4 1163103.6),(5 1812772.1),(6 2616039.3),(7 3550302.3),(8 4632787.5),(9 5907450.5),(10 7327000.5),(11 8890816),(12 10605773),(13 12487988),(14 14489263),(15 16637895),(16 18864676),(17 21156438),(18 23591862),(19 26144202),(20 28817462),(21 31557888),(22 34423040),(23 37340732),(24 40295348),(25 43243440),(26 46183884),(27 49058000),(28 51885964),(29 54727970),(30 57495504),(31 60214164),(32 62849004),(33 65432270),(34 67902696),(35 70264670),(36 72498080),(37 74694910),(38 76839420),(39 78923370),(40 80879030),(41 82762910),(42 84517270),(43 86290136),(44 87967430),(45 89602456),(46 91147080),(47 92669750),(48 94207510),(49 95797150),(50 97251384),(51 98815784),(52 100266120),(53 101748650),(54 103215460),(55 104698680),(56 106241720),(57 107840120),(58 109430940),(59 110897570),(60 112528984),(61 114071320),(62 115499510),(63 116934400),(64 118269480),(65 119564584),(66 120896424),(67 122256900),(68 123727960),(69 124978050),(70 126177176),(71 127158616),(72 127858070),(73 128380056),(74 128827140),(75 129128770),(76 129332890),(77 129150850),(78 128815496),(79 128317800),
(1 47355.59),(2 185756.47),(3 417735.16),(4 742566.1),(5 1161346.5),(6 1673582.3),(7 2264720),(8 2925609.8),(9 3699968.5),(10 4546212.5),(11 5465557.5),(12 6467839.5),(13 7540457),(14 8681495),(15 9880684),(16 11101669),(17 12360329),(18 13724974),(19 15147323),(20 16623282),(21 18121970),(22 19654792),(23 21184518),(24 22710972),(25 24198844),(26 25662030),(27 27087026),(28 28498744),(29 29874510),(30 31189810),(31 32448132),(32 33650852),(33 34785350),(34 35843464),(35 36820810),(36 37734456),(37 38613220),(38 39464760),(39 40281660),(40 41029816),(41 41713444),(42 42399060),(43 43125396),(44 43851556),(45 44575440),(46 45302536),(47 46068290),(48 46898870),(49 47800510),(50 48710390),(51 49692856),(52 50676376),(53 51717480),(54 52761650),(55 53845640),(56 54961452),(57 56112430),(58 57265132),(59 58325028),(60 59439696),(61 60512144),(62 61499684),(63 62483530),(64 63432464),(65 64346596),(66 65267052),(67 66230730),(68 67273670),(69 68254810),(70 69263410),(71 70159944),(72 70958600),(73 71575700),(74 72119830),(75 72550340),(76 72892310),(77 73042260),(78 73179304),(79 73218420),
(1 42010.504),(2 160994.47),(3 353523.28),(4 615584.44),(5 943891.8),(6 1340772.9),(7 1799396.8),(8 2309830.3),(9 2889006.5),(10 3533335),(11 4237672),(12 5014918.5),(13 5859490),(14 6748971),(15 7689773),(16 8641876),(17 9633261),(18 10684524),(19 11769222),(20 12870682),(21 13975657),(22 15078598),(23 16170784),(24 17254904),(25 18306906),(26 19353976),(27 20398546),(28 21398234),(29 22382692),(30 23323992),(31 24200980),(32 25022446),(33 25751130),(34 26388882),(35 26959646),(36 27447454),(37 27868690),(38 28202050),(39 28449448),(40 28622120),(41 28699118),(42 28723288),(43 28732386),(44 28702900),(45 28668332),(46 28639732),(47 28643936),(48 28681268),(49 28759160),(50 28845778),(51 28982942),(52 29119526),(53 29300096),(54 29533120),(55 29813004),(56 30090498),(57 30387630),(58 30667214),(59 30891322),(60 31110400),(61 31250702),(62 31261324),(63 31238526),(64 31220878),(65 31180056),(66 31142516),(67 31123584),(68 31075168),(69 30953858),(70 30803436),(71 30571262),(72 30278522),(73 29910740),(74 29524002),(75 29065754),(76 28549288),(77 27977076),(78 27464050),(79 26960908),
(1 36052.992),(2 136578.6),(3 295566.84),(4 513181.16),(5 782954.6),(6 1105676.9),(7 1485697.3),(8 1916289),(9 2401776.5),(10 2945448.3),(11 3544020.8),(12 4198923.5),(13 4926132.5),(14 5740441.5),(15 6631608.5),(16 7584473.5),(17 8622182),(18 9736237),(19 10912541),(20 12145317),(21 13447018),(22 14803104),(23 16190616),(24 17632378),(25 19080956),(26 20540396),(27 22008300),(28 23452080),(29 24902112),(30 26339612),(31 27768652),(32 29129836),(33 30438228),(34 31705548),(35 32873996),(36 33930690),(37 34890024),(38 35734480),(39 36455708),(40 37045104),(41 37523020),(42 37875930),(43 38120404),(44 38263640),(45 38303940),(46 38301376),(47 38223744),(48 38086490),(49 37931240),(50 37691180),(51 37446284),(52 37109216),(53 36723370),(54 36332024),(55 35931216),(56 35480370),(57 35069710),(58 34690070),(59 34302372),(60 33941064),(61 33554496),(62 33180000),(63 32713428),(64 32194016),(65 31716300),(66 31235078),(67 30756218),(68 30248896),(69 29756100),(70 29292646),(71 28806012),(72 28312764),(73 27819076),(74 27361676),(75 26905808),(76 26488090),(77 26100720),(78 25800980),(79 25580308),
(1 40666.086),(2 156380.73),(3 342700.22),(4 591370.94),(5 897459.56),(6 1254265.4),(7 1651339.9),(8 2093606.6),(9 2575399.5),(10 3102910.8),(11 3671176),(12 4289735.5),(13 4959402),(14 5685250),(15 6480911.5),(16 7307707),(17 8180274.5),(18 9089292),(19 10033982),(20 11000361),(21 11985342),(22 13031771),(23 14096532),(24 15151919),(25 16173926),(26 17151416),(27 18082504),(28 18967980),(29 19822828),(30 20625842),(31 21393636),(32 22092440),(33 22713836),(34 23272494),(35 23745788),(36 24101590),(37 24402820),(38 24636074),(39 24783332),(40 24860028),(41 24892594),(42 24853720),(43 24791348),(44 24656978),(45 24472078),(46 24256074),(47 24035220),(48 23812024),(49 23577372),(50 23276792),(51 22956568),(52 22577750),(53 22210410),(54 21837892),(55 21467090),(56 21087702),(57 20728522),(58 20374226),(59 20021150),(60 19697400),(61 19431204),(62 19207616),(63 19027236),(64 18849838),(65 18668544),(66 18490370),(67 18337944),(68 18197460),(69 18069948),(70 18001112),(71 17960814),(72 17949102),(73 17955166),(74 17986894),(75 18037786),(76 18123414),(77 18192548),(78 18278746),(79 18369586),
(1 43145.453),(2 165346),(3 361371.94),(4 625069.6),(5 942310.56),(6 1309387.1),(7 1725246.4),(8 2180622.3),(9 2678449),(10 3218720),(11 3800132.8),(12 4420549.5),(13 5069449.5),(14 5733982.5),(15 6425522.5),(16 7110359.5),(17 7788110.5),(18 8458777),(19 9106313),(20 9736346),(21 10357615),(22 10975255),(23 11571135),(24 12129733),(25 12622812),(26 13075202),(27 13476017),(28 13804924),(29 14114155),(30 14400213),(31 14677284),(32 14960691),(33 15251244),(34 15548811),(35 15835173),(36 16073001),(37 16272479),(38 16442372),(39 16553397),(40 16608225),(41 16639871),(42 16624097),(43 16585046),(44 16518281),(45 16426138),(46 16273861),(47 16066479),(48 15802916),(49 15493939),(50 15141245),(51 14769453),(52 14379541),(53 14002941),(54 13621587),(55 13261700),(56 12914421),(57 12577462),(58 12249121),(59 11977225),(60 11756416),(61 11618903),(62 11545759),(63 11559463),(64 11655116),(65 11820594),(66 12070492),(67 12428738),(68 12843134),(69 13323034),(70 13858225),(71 14440928),(72 15063527),(73 15743874),(74 16460563),(75 17205174),(76 17958868),(77 18670216),(78 19397430),(79 20113654),
(1 45102.824),(2 172518.52),(3 376071.3),(4 643789.94),(5 965253.06),(6 1335000.4),(7 1750056.8),(8 2211651),(9 2718657.3),(10 3271653.8),(11 3871827.5),(12 4511315),(13 5178747),(14 5860766.5),(15 6562660.5),(16 7255323.5),(17 7936841.5),(18 8586340),(19 9216072),(20 9829459),(21 10412174),(22 10993563),(23 11544353),(24 12073532),(25 12570453),(26 13064444),(27 13532437),(28 13971264),(29 14400563),(30 14808116),(31 15205433),(32 15599462),(33 15996171),(34 16407663),(35 16817808),(36 17176978),(37 17493402),(38 17748574),(39 17968062),(40 18138484),(41 18268134),(42 18323540),(43 18304188),(44 18201016),(45 18015348),(46 17743348),(47 17425408),(48 17044768),(49 16647959),(50 16228757),(51 15789288),(52 15360151),(53 14957619),(54 14583763),(55 14252804),(56 13973466),(57 13758635),(58 13616401),(59 13529675),(60 13517990),(61 13557528),(62 13616958),(63 13731247),(64 13914174),(65 14155527),(66 14448552),(67 14781432),(68 15125713),(69 15452184),(70 15782664),(71 16102319),(72 16414059),(73 16731061),(74 17023624),(75 17307854),(76 17560554),(77 17756636),(78 17903602),(79 18023208),
(1 42859.965),(2 164750.2),(3 358562),(4 608313.1),(5 907346.75),(6 1244495.6),(7 1610783.6),(8 2003060.5),(9 2423122.8),(10 2872526.3),(11 3346673.3),(12 3843769),(13 4343842.5),(14 4833144.5),(15 5318361.5),(16 5782866),(17 6210442.5),(18 6604299.5),(19 6968042.5),(20 7292761),(21 7570901.5),(22 7824475.5),(23 8043793),(24 8211967),(25 8341569),(26 8438187),(27 8503762),(28 8536796),(29 8549423),(30 8548829),(31 8543929),(32 8546780),(33 8565399),(34 8606592),(35 8669808),(36 8725382),(37 8777199),(38 8814213),(39 8823215),(40 8816334),(41 8803940),(42 8762641),(43 8700914),(44 8608256),(45 8485396),(46 8339134),(47 8190104),(48 8030682.5),(49 7886410.5),(50 7737154),(51 7604322.5),(52 7497409),(53 7405197.5),(54 7324769),(55 7258507.5),(56 7220010.5),(57 7209849.5),(58 7222229),(59 7264435),(60 7368229.5),(61 7512277.5),(62 7662034.5),(63 7826780.5),(64 8035251.5),(65 8271744),(66 8515424),(67 8761248),(68 8995588),(69 9200668),(70 9414582),(71 9607095),(72 9797804),(73 10005257),(74 10237283),(75 10466868),(76 10660315),(77 10797491),(78 10929550),(79 11045687),
(1 51055.934),(2 196787.33),(3 427718.88),(4 725395.3),(5 1085356.8),(6 1492102.1),(7 1938718.6),(8 2415781.3),(9 2923606.3),(10 3461403.8),(11 4017792.5),(12 4599086),(13 5205132),(14 5820644),(15 6447398.5),(16 7048977),(17 7617578.5),(18 8150422.5),(19 8635821),(20 9079691),(21 9464180),(22 9814961),(23 10114616),(24 10354305),(25 10554665),(26 10709598),(27 10835191),(28 10929246),(29 10997890),(30 11056834),(31 11129778),(32 11186547),(33 11252891),(34 11306765),(35 11359880),(36 11407910),(37 11466177),(38 11510353),(39 11548111),(40 11588237),(41 11640207),(42 11677126),(43 11724625),(44 11726999),(45 11684218),(46 11594552),(47 11474971),(48 11336877),(49 11168787),(50 10987859),(51 10819903),(52 10658624),(53 10500808),(54 10352212),(55 10201146),(56 10060346),(57 9943381),(58 9842573),(59 9761658),(60 9708132),(61 9691753),(62 9715080),(63 9771543),(64 9854232),(65 9985103),(66 10157841),(67 10345269),(68 10558616),(69 10768567),(70 10995253),(71 11206148),(72 11390056),(73 11528579),(74 11651613),(75 11748776),(76 11793617),(77 11783281),(78 11751216),(79 11684303),
