1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 373241.63),(2 359001.28),(3 334877.38),(4 342591.8),(5 359757.53),(6 355119.56),(7 359481.63),(8 354692.13),(9 339007.56),(10 353814.72),(11 349280.53),(12 349107.28),(13 353240.34),(14 359198.44),(15 348976.72),(16 355978.38),(17 351363),(18 355831.53),(19 347723.88),(20 348947.16),(21 356589.63),(22 346109.66),(23 358781.28),(24 354387.34),(25 349951),(26 342034.34),(27 351453.8),(28 345466.8),(29 348763.7),(30 342389.1),(31 353251),(32 352915.25),(33 350571.38),(34 357390.72),(35 351934.28),(36 357515.5),(37 361185.88),(38 352816.1),(39 363149.88),(40 363793.78),(41 361360.06),(42 358494.88),(43 363715.84),(44 357179.8),(45 359527.28),(46 358811.8),(47 360835.13),(48 364240.1),(49 359660.34),(50 364512.84),(51 362724.56),(52 361857.4),(53 369853.66),(54 358824.78),(55 356956.34),(56 356920.84),(57 365373.5),(58 366392.56),(59 355325.3),(60 357598.22),(61 364190.5),(62 362700.56),(63 362857),(64 368209.13),(65 358913.53),(66 376394.6),(67 362751.1),(68 361893.2),(69 363964.6),(70 361301.22),(71 363976.97),(72 363710.72),(73 364696.97),(74 361317.13),(75 362202.94),(76 360049.7),(77 370207.06),(78 366070.34),(79 349213.66),
(1 375875.03),(2 345921.94),(3 327379.5),(4 336570.3),(5 343213.47),(6 334345.88),(7 345162.97),(8 345815.72),(9 326970.28),(10 341602.38),(11 346552.75),(12 337873.9),(13 345996.25),(14 339749.88),(15 339084.03),(16 345200.72),(17 339880.56),(18 349106.44),(19 342108.94),(20 336007.06),(21 345527.28),(22 348742.2),(23 345117.84),(24 349592.84),(25 355449.94),(26 352748.38),(27 346446.25),(28 343202.72),(29 356489.53),(30 345029.97),(31 351162.25),(32 345699.97),(33 354114.34),(34 352640.25),(35 357845.63),(36 353670.53),(37 341686.63),(38 354276.53),(39 349699.1),(40 349267.84),(41 351428.9),(42 352492.72),(43 346068.56),(44 350051.25),(45 362561.4),(46 350631.25),(47 349119.44),(48 357582.56),(49 352146.8),(50 345658.44),(51 357269.34),(52 350395.06),(53 355059.22),(54 345026.84),(55 351287.75),(56 350791.66),(57 352550.8),(58 349301.7),(59 342699.47),(60 355609.4),(61 348288.03),(62 357492.44),(63 354441.66),(64 345998.16),(65 342290.56),(66 356475.9),(67 342131.25),(68 345498.56),(69 348666.53),(70 348392.88),(71 338754.25),(72 347444.4),(73 337102.63),(74 340056.38),(75 358610.3),(76 342843.16),(77 347510.97),(78 345785.22),(79 346810),
(1 353614.75),(2 344837.28),(3 324554.22),(4 337337.7),(5 341198.88),(6 331876.4),(7 337650.5),(8 335074.1),(9 325596.4),(10 339936.88),(11 338020.4),(12 335386.88),(13 338793.06),(14 330352.4),(15 328857.38),(16 337522.4),(17 332766.88),(18 342215.4),(19 332976.28),(20 329534.66),(21 336896),(22 332588.9),(23 337231.5),(24 330013.44),(25 342045.34),(26 340618.8),(27 335616.78),(28 328087.63),(29 322734.63),(30 334499.34),(31 324936.6),(32 329248.22),(33 328691.03),(34 326187.34),(35 328307.53),(36 326548.66),(37 334192.75),(38 332691.78),(39 332267.4),(40 333474.94),(41 335195.16),(42 337578.5),(43 335076.3),(44 335842.66),(45 331498.1),(46 336545.6),(47 330167.06),(48 341592.16),(49 326818.63),(50 328510.4),(51 335959.7),(52 335824.88),(53 335890),(54 332293.72),(55 340643.44),(56 341441.8),(57 344679.8),(58 336088.75),(59 331117.66),(60 351428.44),(61 341254.66),(62 338992.9),(63 342336.47),(64 345119.44),(65 338616.3),(66 341652.94),(67 333803.25),(68 337952.34),(69 332200.2),(70 334581.97),(71 340196.6),(72 331616.38),(73 333585.78),(74 330177.94),(75 339930.7),(76 322794.13),(77 336817.13),(78 340775.75),(79 330498.8),
(1 317771.5),(2 320385.6),(3 310154.38),(4 323311.5),(5 322080.44),(6 307748.5),(7 312010.6),(8 313683.66),(9 320217.56),(10 319808.9),(11 315699.34),(12 321569.7),(13 321326.5),(14 323767.4),(15 314247.88),(16 322155.16),(17 317175.9),(18 317043.3),(19 316207.1),(20 319967.13),(21 319208.88),(22 306834.72),(23 315243.1),(24 321449.16),(25 316341.53),(26 311829.7),(27 316521.8),(28 317679.28),(29 316665.47),(30 315438.6),(31 313989.66),(32 314297.75),(33 314209.9),(34 307189.53),(35 317620.63),(36 321725.84),(37 322800.66),(38 322856.94),(39 316276.53),(40 322553.44),(41 327298.53),(42 324220),(43 325681.53),(44 321942.13),(45 317185),(46 321689.6),(47 326743.3),(48 325651.2),(49 323292.25),(50 321158.53),(51 314775.78),(52 316556.16),(53 315709.75),(54 316393.13),(55 325361.16),(56 332327.2),(57 329841.16),(58 330305.72),(59 323425.75),(60 326331.84),(61 316247.28),(62 318272.03),(63 315705.88),(64 319875.8),(65 327553.22),(66 316577.16),(67 312084.44),(68 319129.13),(69 316319.78),(70 315216.6),(71 326235.38),(72 324980.5),(73 322351.63),(74 330489.94),(75 332775.3),(76 322456.78),(77 319092.13),(78 324438.47),(79 327881.06),
(1 325421.7),(2 324125.25),(3 310423.47),(4 313266.94),(5 318379.8),(6 315153),(7 320172.13),(8 319781.25),(9 320758.44),(10 318881.7),(11 324857.84),(12 316971.9),(13 311452.8),(14 314260.8),(15 318892.78),(16 325059.6),(17 325772.56),(18 319134.78),(19 314058.97),(20 310805.22),(21 316893.84),(22 311213.38),(23 313570),(24 315459.63),(25 319218.63),(26 316503.3),(27 312708.56),(28 325277),(29 319453.06),(30 321559.5),(31 319812.4),(32 311847.22),(33 310162.97),(34 313101),(35 317541),(36 314551.66),(37 319867.84),(38 322174.44),(39 312429.7),(40 317374.7),(41 311045.13),(42 308698.28),(43 309523.88),(44 314934.78),(45 313274.3),(46 314357.28),(47 319937.78),(48 326904.78),(49 315791.88),(50 316877.78),(51 310679.97),(52 309664.53),(53 309170.63),(54 319943.56),(55 320213.56),(56 312666.97),(57 316040.72),(58 324737),(59 315052.72),(60 324599),(61 327260.4),(62 318599.28),(63 321170.7),(64 314075),(65 323303.3),(66 328597.3),(67 328240.78),(68 321151.47),(69 314464.53),(70 321807.56),(71 321539.75),(72 320249.3),(73 323671.1),(74 319293.5),(75 329843.84),(76 323053.56),(77 320979.66),(78 324108.75),(79 327212.97),
(1 304139.7),(2 312409.6),(3 291710.75),(4 298539.84),(5 299859.13),(6 301148.1),(7 309424.34),(8 301402.22),(9 299412.53),(10 305678.97),(11 297605),(12 299311.9),(13 291635.63),(14 300688.2),(15 296714.63),(16 301088.97),(17 311098.8),(18 300446.4),(19 294884.1),(20 302268.72),(21 314636.6),(22 305939.7),(23 308643.1),(24 308462.63),(25 311284.6),(26 310473.6),(27 306216.1),(28 309501.44),(29 309451.47),(30 307707.97),(31 311138.5),(32 304556.47),(33 302313.16),(34 306956.22),(35 306824.53),(36 310228.1),(37 310427.1),(38 313272.03),(39 308820.75),(40 308279.2),(41 302807.16),(42 304428.16),(43 304982.28),(44 303795.8),(45 301412.3),(46 304776.34),(47 309430.88),(48 305747.75),(49 302864.63),(50 310554.94),(51 305247.38),(52 300906.4),(53 308597),(54 305029.78),(55 300303.88),(56 312977.66),(57 306129.88),(58 309873.53),(59 302170.6),(60 316510.5),(61 309291.53),(62 307980.84),(63 302868.06),(64 303503.84),(65 305111.78),(66 318277),(67 315467.94),(68 312382.06),(69 311983.88),(70 308038),(71 315497.3),(72 321777.16),(73 320189.94),(74 313228.34),(75 320482.44),(76 308986.3),(77 312936.66),(78 308048.28),(79 313941.47),
(1 298411.56),(2 300424.06),(3 281218.63),(4 286671.9),(5 288507.53),(6 291874.7),(7 286210.72),(8 289022.25),(9 282423.8),(10 289822.9),(11 288920.28),(12 289219.06),(13 282625.66),(14 282370.1),(15 291843.94),(16 291068.22),(17 291352.4),(18 289737.72),(19 294590.66),(20 293453.38),(21 296535.56),(22 292920.3),(23 294659.44),(24 287475.47),(25 286818.28),(26 292391.3),(27 293341.47),(28 290318.34),(29 291400.25),(30 289567.06),(31 293631.16),(32 292039.28),(33 292599.97),(34 302182.28),(35 290002.6),(36 292298.03),(37 300300.56),(38 301469.4),(39 301634.03),(40 298294.66),(41 296304.34),(42 301232.56),(43 295529.1),(44 300442),(45 305880.1),(46 293427.72),(47 292764.5),(48 295975.47),(49 297324.53),(50 299542.56),(51 290503.13),(52 292070.9),(53 301058.44),(54 302062),(55 291101.84),(56 296117.97),(57 297050.28),(58 293317),(59 302118.28),(60 300315.1),(61 292567.47),(62 291504.78),(63 299823.2),(64 307945.8),(65 302611.34),(66 301073.44),(67 294516.06),(68 301187.78),(69 296727.2),(70 296382.6),(71 301806.6),(72 297326.63),(73 300313.13),(74 297410.16),(75 303072.53),(76 295567.9),(77 290541.94),(78 301763.78),(79 302248.2),
(1 270005.3),(2 280627.7),(3 271350.53),(4 273800.94),(5 282458.6),(6 281022.84),(7 276836.56),(8 272411.88),(9 267011.03),(10 275099.8),(11 279149.22),(12 278384.3),(13 275735.38),(14 281812.56),(15 288757.13),(16 283653.72),(17 283988.22),(18 275977.7),(19 274903.28),(20 279112.3),(21 286684.8),(22 282825.7),(23 288995.78),(24 279739.9),(25 280343.34),(26 282923),(27 281608.2),(28 280462.34),(29 279289.97),(30 279455.66),(31 282418.44),(32 285252.9),(33 284843.88),(34 282567.34),(35 285909.47),(36 281621.84),(37 282667.22),(38 292187.66),(39 287575.22),(40 289926.53),(41 287632.88),(42 284927.66),(43 287110.38),(44 287411.22),(45 292185.16),(46 285269.2),(47 280589.75),(48 285572.16),(49 278877.25),(50 285044.88),(51 282662.5),(52 278570.75),(53 280886.03),(54 282439.03),(55 278909.94),(56 283638.03),(57 285097.38),(58 280684.72),(59 279369.3),(60 282917.25),(61 281994.38),(62 276978.13),(63 285132.16),(64 296546.78),(65 292627.34),(66 288276.34),(67 289811.16),(68 291015.2),(69 289987.44),(70 290681.22),(71 295775.1),(72 287823.63),(73 288723.47),(74 290686.6),(75 293939.22),(76 288900.72),(77 293213.03),(78 294427.25),(79 290017.56),
(1 271078.6),(2 281430.6),(3 269808.53),(4 274322.7),(5 275942.4),(6 273230.1),(7 277567.75),(8 271994.1),(9 267707.6),(10 273972.13),(11 273034.25),(12 273229.2),(13 276765.53),(14 276331.75),(15 280028.66),(16 280457),(17 275557.44),(18 283116.53),(19 277454.8),(20 274019.56),(21 287056.84),(22 276470.16),(23 277790.44),(24 279627.28),(25 280658.06),(26 274918.84),(27 272815.2),(28 281126.97),(29 276718.3),(30 279488.72),(31 280069.56),(32 284622.06),(33 276454.97),(34 276431.56),(35 280599.28),(36 273177.25),(37 277517.06),(38 274094.8),(39 275841.9),(40 282337.56),(41 283890.6),(42 277774.25),(43 277737.38),(44 280131.78),(45 284090.4),(46 280256.56),(47 280346.8),(48 282849.53),(49 280254.34),(50 280898.16),(51 274707.28),(52 273684.03),(53 282648.7),(54 276944.06),(55 278583.75),(56 279360.3),(57 277162.9),(58 277773.8),(59 270988.25),(60 279287.44),(61 280236.78),(62 278482.16),(63 287496.53),(64 278381.13),(65 276683.75),(66 281720.22),(67 284725.75),(68 283945.38),(69 282792.3),(70 283914),(71 283351.16),(72 284641.72),(73 284286.2),(74 286190.44),(75 281344.6),(76 286985.6),(77 294245.75),(78 292662.72),(79 286132.28),
(1 266707.13),(2 275607.6),(3 269109.3),(4 267037.75),(5 271482.56),(6 273456.94),(7 268091.3),(8 272060.5),(9 266166.44),(10 266476.78),(11 265936.72),(12 264897.8),(13 268985.34),(14 267668.94),(15 270139.94),(16 273174.94),(17 271420.34),(18 270151.94),(19 272416.44),(20 264555.25),(21 273323.7),(22 264081.6),(23 266948.84),(24 264217.72),(25 274466.06),(26 269094.88),(27 265746.7),(28 278882.53),(29 266946.25),(30 264842.72),(31 265492.97),(32 267727.88),(33 265834.06),(34 274243.28),(35 268310.97),(36 270900.03),(37 267403.53),(38 274848.5),(39 277994.13),(40 273732.63),(41 273277.03),(42 274314.9),(43 281622.84),(44 271794.2),(45 276982.22),(46 280131.78),(47 283454.03),(48 280497.22),(49 275184.44),(50 273002.44),(51 276482.9),(52 281593.06),(53 282343.5),(54 274379.97),(55 276444.88),(56 276880.25),(57 278974.13),(58 275953.44),(59 267466.44),(60 275654.94),(61 274094.78),(62 272742.25),(63 280218.4),(64 276115.03),(65 274546.66),(66 270201.72),(67 276645.84),(68 272747.7),(69 271568.4),(70 267653.78),(71 269738.9),(72 269637.8),(73 271422.2),(74 267893.1),(75 268039),(76 272236.38),(77 275533.13),(78 280199.66),(79 274603.3),
(1 244049.7),(2 260952.86),(3 257715.64),(4 258855.61),(5 259144.44),(6 262558.16),(7 260932.81),(8 262612.03),(9 255035.11),(10 261929.4),(11 265392.16),(12 256781.95),(13 263298.56),(14 255817.13),(15 266012.06),(16 265012.13),(17 266233.7),(18 261159.42),(19 258452.28),(20 260855.73),(21 263915.5),(22 263916.22),(23 259506.45),(24 263691.34),(25 262955.94),(26 254845.28),(27 259721.36),(28 261915.72),(29 260777.13),(30 262403.63),(31 261200.63),(32 261788.23),(33 263384),(34 270826.1),(35 269557.2),(36 265461.03),(37 265024.06),(38 259795.14),(39 262708.16),(40 270023.4),(41 265558.38),(42 263537.25),(43 269023.3),(44 266281.2),(45 264345.38),(46 273309.7),(47 269449.53),(48 262588.94),(49 258767.03),(50 262921.1),(51 267666.72),(52 271218.38),(53 267755.9),(54 262566.8),(55 264197.44),(56 264332.22),(57 264137.13),(58 263878.25),(59 266405.3),(60 268192.88),(61 267860.16),(62 268519.2),(63 275539.63),(64 268703.66),(65 261213.63),(66 265597.38),(67 267718.44),(68 265182.63),(69 263457.9),(70 259124.39),(71 259212.23),(72 260347.34),(73 261356.11),(74 258568.19),(75 268767.53),(76 265703.16),(77 265992.75),(78 263688.13),(79 266806.2),
(1 244904.31),(2 254772.39),(3 254184.27),(4 251602.39),(5 248239.92),(6 248086.31),(7 251580.3),(8 248302.53),(9 245356.1),(10 250804.77),(11 257003.55),(12 250611.88),(13 254838.39),(14 253003.9),(15 251504.88),(16 252746.55),(17 254023.33),(18 255162.55),(19 254762.48),(20 254298.8),(21 252641.2),(22 251731.28),(23 251772.94),(24 254801.42),(25 259167.34),(26 252383.55),(27 253070.94),(28 257629.47),(29 262416.66),(30 253889.08),(31 259541.39),(32 257830.19),(33 257500.72),(34 251272.36),(35 257871.19),(36 252891.9),(37 253859.56),(38 255614.63),(39 253289.38),(40 252672.63),(41 252367.78),(42 258505.55),(43 253124.81),(44 252932.55),(45 258962.61),(46 260339.08),(47 262824.34),(48 255317.42),(49 253154.22),(50 250560.05),(51 253091.34),(52 256453.77),(53 254856.55),(54 261350.84),(55 262917.38),(56 261486.39),(57 260189.06),(58 259215.5),(59 260750.19),(60 258714.89),(61 256695.16),(62 260249.55),(63 261223.38),(64 252290.36),(65 249884.63),(66 256538.39),(67 264084.25),(68 251901.78),(69 250192.97),(70 255442.89),(71 253669.97),(72 252124.58),(73 254886.84),(74 250410.14),(75 254614.58),(76 263058.8),(77 258798.89),(78 254167.66),(79 257026.08),
(1 240095.36),(2 262866.44),(3 258218.03),(4 247812.92),(5 250365.98),(6 258020.95),(7 253176.75),(8 254353.08),(9 247991.38),(10 257928.44),(11 257785.52),(12 257545.44),(13 260933.31),(14 261445.89),(15 256529.86),(16 257193),(17 254507.05),(18 247442.92),(19 251568.4),(20 260425.08),(21 254054.48),(22 250287.77),(23 256910.63),(24 255247.08),(25 250736.86),(26 252076.67),(27 253651.28),(28 256319.53),(29 262925.16),(30 253122.19),(31 255828.08),(32 257479.67),(33 260634.25),(34 250927.05),(35 259009.97),(36 256814.25),(37 254977.39),(38 255544.9),(39 256377.66),(40 255891.89),(41 253446.81),(42 260689.81),(43 263742.75),(44 264421.6),(45 257209.66),(46 253219.67),(47 259829.44),(48 256678.66),(49 262861.2),(50 262529.28),(51 255482.58),(52 258429.81),(53 261089.22),(54 262695.9),(55 262408.72),(56 257520.95),(57 261246.25),(58 258207.81),(59 255221.97),(60 252937.58),(61 258612.95),(62 260048.86),(63 260227.95),(64 257026.81),(65 258702.73),(66 255059.25),(67 261845.86),(68 259457.23),(69 258078.7),(70 260126.94),(71 255649.31),(72 265626.56),(73 260406.06),(74 260811.36),(75 260932),(76 266956.75),(77 258256.72),(78 251142.22),(79 258793.81),
(1 237166.61),(2 244123.63),(3 237719.31),(4 239983.69),(5 240819.95),(6 245493.48),(7 242833.53),(8 244031.67),(9 240668.97),(10 244865.66),(11 240788.64),(12 237375.69),(13 243259.22),(14 241094.95),(15 240438.81),(16 239576.1),(17 235993.05),(18 240256.05),(19 239165.23),(20 235133.33),(21 243407.05),(22 237500.28),(23 244882.66),(24 237912.55),(25 239033.73),(26 242098.17),(27 239877.33),(28 246314.9),(29 243224.95),(30 241711.95),(31 246940.36),(32 245543.22),(33 242954.36),(34 242113.56),(35 249564.9),(36 245070.9),(37 246866.22),(38 245089.69),(39 239862.8),(40 245501.48),(41 245803.9),(42 249213.84),(43 243645.3),(44 241892.66),(45 243447.17),(46 250489.14),(47 252977.8),(48 247024.7),(49 250567.08),(50 246140.75),(51 245983.73),(52 241950.63),(53 243267.19),(54 243899.97),(55 236549.75),(56 238592.23),(57 242496.19),(58 235118.53),(59 247024.66),(60 248477.34),(61 241544.4),(62 240679.48),(63 242900.66),(64 240875.67),(65 249146.42),(66 250099.58),(67 239065.78),(68 246032.1),(69 248433.89),(70 244912.36),(71 243289.84),(72 240834.13),(73 247279.22),(74 239283.22),(75 242073.64),(76 243116.52),(77 245492.1),(78 245904.92),(79 246159.19),
(1 221471.4),(2 237108.64),(3 239682.5),(4 232824.03),(5 233888.22),(6 228582.81),(7 230381.83),(8 231582.2),(9 232233.92),(10 229372.56),(11 228305.4),(12 230570.73),(13 236259.45),(14 230852.89),(15 232477.75),(16 228953.06),(17 228443.66),(18 231343.92),(19 235964.22),(20 230941.95),(21 236827.5),(22 236601.2),(23 235024.84),(24 227363.7),(25 231273.97),(26 227969.03),(27 228011.45),(28 233519.45),(29 233337.38),(30 232184.89),(31 229810.27),(32 232056.39),(33 234120.38),(34 233367.8),(35 236965.58),(36 232542.13),(37 238209.19),(38 236047.7),(39 239084.2),(40 240380.39),(41 237090.86),(42 239841.9),(43 235942.6),(44 233878.38),(45 241103.06),(46 242295.14),(47 241024.52),(48 239968.39),(49 237866.73),(50 232739.63),(51 241666.14),(52 237751.28),(53 234471.19),(54 236560.42),(55 241220.38),(56 236011.86),(57 233910.33),(58 230046.6),(59 240119.1),(60 242818.8),(61 234555.19),(62 237194.9),(63 236527.1),(64 232127.53),(65 237645.44),(66 243061.11),(67 235007.06),(68 236365.02),(69 239965.16),(70 239982.5),(71 233517.44),(72 235502.08),(73 230537.23),(74 238758.6),(75 239391.61),(76 240858.08),(77 235688.34),(78 240808.56),(79 240360.44),
(1 210463.89),(2 224314.88),(3 226757.33),(4 224309.84),(5 220378.34),(6 222547.39),(7 222685.81),(8 218939.45),(9 221796.22),(10 222793.39),(11 225447.84),(12 221857.86),(13 220951.78),(14 222519.39),(15 223943.19),(16 221360.61),(17 219522.19),(18 220843.95),(19 220776.98),(20 216387.14),(21 219567.5),(22 226499.83),(23 222705.23),(24 222075.9),(25 225218.77),(26 220126.19),(27 217913.2),(28 224147.06),(29 223589.58),(30 224940.7),(31 224121.44),(32 221654.64),(33 227106.88),(34 227573.36),(35 217813.44),(36 220846.48),(37 225013.86),(38 226045.23),(39 226993.11),(40 226258.03),(41 217572.66),(42 224126.97),(43 228981.86),(44 228747.52),(45 224058.47),(46 230597.94),(47 227915.05),(48 225612.78),(49 229911.27),(50 230154.19),(51 229138.03),(52 224541.13),(53 226291.33),(54 225972.03),(55 222048.45),(56 227808.55),(57 230809.52),(58 223831.63),(59 224765.2),(60 223716.88),(61 229634.36),(62 226888.86),(63 223953.66),(64 222902.31),(65 224346.39),(66 228764.42),(67 229438.55),(68 223304.9),(69 220552.61),(70 228484.3),(71 225573.33),(72 225318.1),(73 221727.9),(74 228318.88),(75 232498.02),(76 228187.47),(77 227341.78),(78 227287.33),(79 225133.73),
(1 211508.9),(2 222453.47),(3 219696.14),(4 215743.61),(5 218732),(6 216926.9),(7 217044.63),(8 211902.13),(9 216285.8),(10 217578.11),(11 216013.23),(12 220184.8),(13 223669.97),(14 215805.94),(15 219872.8),(16 222323.53),(17 218554.9),(18 214318.2),(19 212602.78),(20 213836.63),(21 219708.53),(22 218022.06),(23 215099.56),(24 220009.23),(25 218471.14),(26 217054.86),(27 214707.7),(28 220914.78),(29 216021.97),(30 214638.64),(31 218120.05),(32 218163.84),(33 215019.89),(34 213485.84),(35 212230.81),(36 219177.17),(37 218608.42),(38 223069.94),(39 220112.02),(40 215162.63),(41 217533.13),(42 216436.39),(43 214425.31),(44 219911.11),(45 215646.73),(46 217124),(47 218926.9),(48 217415.19),(49 220931.94),(50 222145.88),(51 220299.06),(52 217456.11),(53 215689.75),(54 218249.56),(55 216875.33),(56 218170.67),(57 216115.14),(58 215149.52),(59 214501.61),(60 214309.31),(61 216285.98),(62 220349.33),(63 222800.1),(64 218332.86),(65 223535.16),(66 223068.14),(67 216798.44),(68 215199.9),(69 219118.73),(70 216081.14),(71 218540.58),(72 215531.94),(73 219666.83),(74 215421.55),(75 215736.38),(76 227669.23),(77 219542.11),(78 218963.77),(79 213645.94),
(1 193814.27),(2 203568.92),(3 211297.19),(4 212036.52),(5 208236.42),(6 210371.14),(7 206231.17),(8 204312.67),(9 206649.1),(10 211281.22),(11 207068.39),(12 205764.31),(13 207957.39),(14 202671.19),(15 213829.66),(16 208553.48),(17 210182.08),(18 203549.53),(19 207377.81),(20 206813.9),(21 211406.44),(22 209309.13),(23 210605.61),(24 208157.31),(25 211345.48),(26 210726.1),(27 211029.14),(28 211408.22),(29 206610.78),(30 205695.17),(31 207480.19),(32 205946.44),(33 212427.17),(34 210057.36),(35 212560.14),(36 207715.66),(37 206947.19),(38 207257.44),(39 207796.81),(40 205805.88),(41 206905.14),(42 210378.64),(43 209150.92),(44 209062.66),(45 208458.48),(46 210670.69),(47 206764.44),(48 210397.44),(49 207123.08),(50 210308.83),(51 209297.39),(52 205459.34),(53 210240.42),(54 206846.13),(55 204937.86),(56 208950.39),(57 206151.56),(58 207288.27),(59 207738.25),(60 206079.52),(61 203880.78),(62 208797.48),(63 215596.44),(64 205390.47),(65 210311.66),(66 203758.27),(67 208212.61),(68 202300.47),(69 204279.36),(70 211883.69),(71 202849.19),(72 207127.27),(73 212645.19),(74 211454.88),(75 202741.31),(76 209122.69),(77 207845.95),(78 208059.19),(79 210975.47),
(1 177905.47),(2 192115.11),(3 193819.31),(4 197314.45),(5 197639.42),(6 194337.53),(7 193185),(8 196718.92),(9 194378.27),(10 202921.69),(11 196609.08),(12 191863.55),(13 197523.8),(14 198821.25),(15 203028.83),(16 200249.94),(17 201776.11),(18 199342.03),(19 200370.45),(20 202602.4),(21 197745.25),(22 198866.47),(23 197359.34),(24 198419.95),(25 199063.84),(26 199896.89),(27 201090.45),(28 197713.42),(29 200310.45),(30 198549.3),(31 199910.33),(32 197619.42),(33 200031.13),(34 199869.89),(35 200539.66),(36 198892.75),(37 199630.95),(38 196600.45),(39 197468.89),(40 201928.31),(41 198216.94),(42 202385.05),(43 202569.78),(44 202067.17),(45 202312.2),(46 205895.13),(47 199236.48),(48 198291.69),(49 199786.03),(50 202222.31),(51 197551.22),(52 193459.42),(53 198003.94),(54 200737.39),(55 198535.64),(56 195217.88),(57 194640.3),(58 197816.31),(59 195688.75),(60 193028.73),(61 197036.25),(62 199950.72),(63 198688.5),(64 197863.06),(65 200870.03),(66 202906.86),(67 196335.84),(68 196774.72),(69 195435.56),(70 198994.33),(71 193683.52),(72 197787.9),(73 199180.16),(74 199065.14),(75 194861.84),(76 200471.72),(77 200574.83),(78 194281.58),(79 203888.92),
