1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 104311.1),(2 363182.25),(3 747010),(4 1212910.9),(5 1734508.4),(6 2279816.3),(7 2838491.8),(8 3425482.8),(9 3996716.8),(10 4560220.5),(11 5004389.5),(12 5398804.5),(13 5851177.5),(14 6421761.5),(15 6962084.5),(16 7644797.5),(17 8363402.5),(18 9093172),(19 9909956),(20 10789461),(21 11480489),(22 12240003),(23 13182911),(24 13992868),(25 14850648),(26 15664239),(27 16439163),(28 17264180),(29 18094420),(30 18875762),(31 19744838),(32 20711004),(33 21555930),(34 22503784),(35 23348682),(36 24184150),(37 24992848),(38 25768776),(39 26603608),(40 27575834),(41 28585590),(42 29479770),(43 30558648),(44 31695030),(45 32593352),(46 33603060),(47 34656484),(48 35564990),(49 36408068),(50 37170664),(51 37997092),(52 38653236),(53 39268140),(54 39724270),(55 40187150),(56 40815516),(57 41293836),(58 41689176),(59 41900790),(60 41744350),(61 41494210),(62 41086100),(63 40648896),(64 40306412),(65 40020330),(66 39850116),(67 39796400),(68 39678852),(69 39453924),(70 39405580),(71 39417876),(72 39443444),(73 39663148),(74 40195212),(75 40917884),(76 41783732),(77 42864136),(78 43763584),(79 44736836),
(1 85327.734),(2 292053.03),(3 583977.1),(4 925841.6),(5 1330254.1),(6 1752454.4),(7 2183100.5),(8 2616815.5),(9 3053417.8),(10 3547580.8),(11 4111257.5),(12 4724045),(13 5357559),(14 5996315),(15 6597057),(16 7140690.5),(17 7677125.5),(18 8243808),(19 8810147),(20 9436331),(21 10030014),(22 10684134),(23 11486292),(24 12198038),(25 12915117),(26 13613520),(27 14274640),(28 14988310),(29 15751248),(30 16446579),(31 17157868),(32 17858796),(33 18533788),(34 19207778),(35 19922156),(36 20615466),(37 21339840),(38 22114924),(39 22820744),(40 23555092),(41 24274522),(42 24900556),(43 25529104),(44 26058948),(45 26371476),(46 26675120),(47 26937508),(48 27208838),(49 27538988),(50 27893798),(51 28387232),(52 28859828),(53 29413670),(54 29897964),(55 30467108),(56 31132852),(57 31679494),(58 32105318),(59 32366436),(60 32499828),(61 32601270),(62 32733652),(63 32878976),(64 32929248),(65 32965606),(66 32971452),(67 33083962),(68 33151344),(69 33061312),(70 32974188),(71 32966348),(72 32943850),(73 33030572),(74 33192548),(75 33385660),(76 33552662),(77 33751040),(78 34041210),(79 34351496),
(1 104298.77),(2 365676.84),(3 750818.3),(4 1235436.6),(5 1828836),(6 2520024.3),(7 3290320.3),(8 4124568),(9 4974379.5),(10 5908516),(11 6921528),(12 8019270.5),(13 9101876),(14 10150279),(15 11174184),(16 12158131),(17 13134947),(18 14167956),(19 15092996),(20 16091695),(21 17106342),(22 18183842),(23 19301670),(24 20338906),(25 21304334),(26 22234794),(27 23200746),(28 24191238),(29 25242802),(30 26287514),(31 27345432),(32 28385958),(33 29422662),(34 30452944),(35 31646774),(36 32872064),(37 34143296),(38 35607732),(39 36975052),(40 38403236),(41 39704028),(42 41033056),(43 42285628),(44 43215932),(45 43966064),(46 44628004),(47 45214092),(48 45790930),(49 46311170),(50 46788196),(51 47269220),(52 47699700),(53 48138548),(54 48477612),(55 48913140),(56 49383730),(57 49842460),(58 50214670),(59 50492910),(60 50745950),(61 51128580),(62 51513820),(63 51956190),(64 52343116),(65 52788524),(66 53258100),(67 53842148),(68 54489428),(69 55064224),(70 55585950),(71 56192930),(72 56892124),(73 57554604),(74 58290484),(75 58940276),(76 59690910),(77 60610516),(78 61655852),(79 62628064),
(1 115828.695),(2 406246.88),(3 824924.75),(4 1341500),(5 1963395.5),(6 2664012),(7 3440822.8),(8 4258282),(9 5086728),(10 5952053),(11 6831837.5),(12 7734108.5),(13 8658535),(14 9575632),(15 10429044),(16 11263308),(17 12061504),(18 12864032),(19 13633832),(20 14446943),(21 15286642),(22 16170532),(23 17074898),(24 17865688),(25 18592206),(26 19229934),(27 19830140),(28 20430026),(29 21082428),(30 21806764),(31 22629476),(32 23485782),(33 24401450),(34 25343630),(35 26370150),(36 27473138),(37 28640352),(38 29959570),(39 31259562),(40 32500110),(41 33599296),(42 34641628),(43 35626504),(44 36464304),(45 37251812),(46 37913030),(47 38557144),(48 39102816),(49 39572736),(50 39950030),(51 40221680),(52 40356720),(53 40377236),(54 40351696),(55 40338440),(56 40357692),(57 40349292),(58 40278880),(59 40193004),(60 40023124),(61 39936340),(62 39869770),(63 39854796),(64 39799770),(65 39823950),(66 39881520),(67 40058516),(68 40381588),(69 40841550),(70 41268120),(71 41804280),(72 42397492),(73 43019376),(74 43671170),(75 44379564),(76 45195860),(77 46017692),(78 46700610),(79 47386290),
(1 113427.305),(2 398056.4),(3 802827.2),(4 1284026.4),(5 1812483.6),(6 2366198.8),(7 2920334.3),(8 3481421.8),(9 4024923),(10 4580360.5),(11 5157583.5),(12 5773451.5),(13 6456490),(14 7172072.5),(15 7865606),(16 8528620),(17 9135322),(18 9733191),(19 10331155),(20 11020577),(21 11773793),(22 12580151),(23 13354897),(24 14103875),(25 14867639),(26 15659404),(27 16456137),(28 17258046),(29 18094286),(30 18950298),(31 19825528),(32 20627688),(33 21369320),(34 22042858),(35 22664932),(36 23267010),(37 23808094),(38 24414028),(39 24924270),(40 25395010),(41 25772306),(42 26099358),(43 26338328),(44 26532200),(45 26701562),(46 26834904),(47 26897030),(48 26946720),(49 26951558),(50 26897192),(51 26803796),(52 26608674),(53 26312504),(54 26005414),(55 25725474),(56 25419072),(57 25068556),(58 24682118),(59 24234580),(60 23808946),(61 23374074),(62 22907544),(63 22405162),(64 21907672),(65 21433802),(66 20938432),(67 20442840),(68 20015144),(69 19659630),(70 19385134),(71 19215814),(72 19046356),(73 18917934),(74 18848920),(75 18856648),(76 18874828),(77 18885260),(78 18869838),(79 18855566),
(1 115769.375),(2 410214.72),(3 839669.8),(4 1378138),(5 2007036.8),(6 2712468.3),(7 3456123.3),(8 4253250.5),(9 5040130),(10 5853254.5),(11 6711633),(12 7600629),(13 8508765),(14 9389798),(15 10215668),(16 10958104),(17 11631414),(18 12271091),(19 12889392),(20 13554638),(21 14281728),(22 15023078),(23 15773760),(24 16524323),(25 17314668),(26 18161002),(27 18994788),(28 19749748),(29 20485066),(30 21188460),(31 21835252),(32 22379048),(33 22819340),(34 23123892),(35 23302950),(36 23398220),(37 23388886),(38 23270224),(39 23062676),(40 22762380),(41 22418738),(42 22002214),(43 21573754),(44 21132004),(45 20684490),(46 20223808),(47 19784108),(48 19348116),(49 18997510),(50 18675316),(51 18383878),(52 18079420),(53 17724758),(54 17360538),(55 16970348),(56 16604854),(57 16294346),(58 15991467),(59 15726906),(60 15502365),(61 15280248),(62 15038406),(63 14782454),(64 14569635),(65 14365469),(66 14092579),(67 13809837),(68 13552765),(69 13366540),(70 13268786),(71 13202413),(72 13154972),(73 13158632),(74 13172398),(75 13204190),(76 13256182),(77 13317232),(78 13405751),(79 13519090),
(1 141157.89),(2 505544.28),(3 1063262.5),(4 1798787.4),(5 2700471.5),(6 3724160.3),(7 4813994),(8 5947443.5),(9 7109618),(10 8282668.5),(11 9480820),(12 10703961),(13 11940544),(14 13158151),(15 14336966),(16 15453423),(17 16494112),(18 17487968),(19 18405190),(20 19254790),(21 20097220),(22 20932810),(23 21703768),(24 22478500),(25 23246302),(26 24024740),(27 24778226),(28 25407094),(29 26040002),(30 26616366),(31 27131044),(32 27579858),(33 28004760),(34 28304428),(35 28528544),(36 28700722),(37 28788644),(38 28735262),(39 28513408),(40 28147148),(41 27840590),(42 27578098),(43 27275346),(44 26936242),(45 26537194),(46 26133944),(47 25782484),(48 25387602),(49 25037014),(50 24678526),(51 24241324),(52 23870798),(53 23519980),(54 23108994),(55 22734338),(56 22372992),(57 22060566),(58 21726606),(59 21365410),(60 20998980),(61 20655264),(62 20305416),(63 19942904),(64 19604094),(65 19246460),(66 18875252),(67 18554732),(68 18314690),(69 18158998),(70 18097156),(71 18124492),(72 18264044),(73 18520798),(74 18871676),(75 19310626),(76 19809666),(77 20338928),(78 20932274),(79 21578098),
(1 123029.586),(2 446131.7),(3 922786.7),(4 1519491.3),(5 2207878.8),(6 2927224),(7 3653082.5),(8 4398737.5),(9 5160229.5),(10 5941174.5),(11 6793562.5),(12 7669935),(13 8495399),(14 9297946),(15 10033358),(16 10684860),(17 11248169),(18 11796055),(19 12345830),(20 12879131),(21 13424444),(22 13949527),(23 14486986),(24 15050379),(25 15621374),(26 16119330),(27 16553664),(28 16974012),(29 17393058),(30 17818750),(31 18259820),(32 18720894),(33 19188438),(34 19660950),(35 20069350),(36 20450482),(37 20744392),(38 20966114),(39 21092676),(40 21098560),(41 21022788),(42 20838686),(43 20589886),(44 20338492),(45 20046802),(46 19726742),(47 19360210),(48 18979572),(49 18576742),(50 18180180),(51 17787130),(52 17428168),(53 17094700),(54 16764119),(55 16463735),(56 16201340),(57 16013153),(58 15839252),(59 15694133),(60 15607866),(61 15577510),(62 15628233),(63 15737804),(64 15902734),(65 16127236),(66 16386697),(67 16752240),(68 17188190),(69 17680412),(70 18201824),(71 18744576),(72 19328470),(73 19975980),(74 20626370),(75 21270456),(76 21919496),(77 22545284),(78 23133356),(79 23682080),
(1 144612.47),(2 535083.3),(3 1131812.3),(4 1912079.1),(5 2857770.8),(6 3940700.3),(7 5131180),(8 6444100),(9 7847890),(10 9371965),(11 11017523),(12 12720697),(13 14407977),(14 16010280),(15 17598996),(16 19150874),(17 20667888),(18 22098740),(19 23484616),(20 24738780),(21 25838926),(22 26806416),(23 27696530),(24 28437768),(25 29068250),(26 29560584),(27 29989154),(28 30314576),(29 30497142),(30 30581904),(31 30536426),(32 30356862),(33 30093726),(34 29760930),(35 29322998),(36 28788090),(37 28195958),(38 27544832),(39 26857084),(40 26124254),(41 25406522),(42 24756702),(43 24197900),(44 23646708),(45 23100126),(46 22545154),(47 22011204),(48 21449834),(49 20850804),(50 20263850),(51 19653876),(52 19054724),(53 18538048),(54 18036072),(55 17567198),(56 17164194),(57 16868522),(58 16629931),(59 16500053),(60 16540574),(61 16710208),(62 17016650),(63 17417794),(64 17863736),(65 18371490),(66 18857364),(67 19384636),(68 19943460),(69 20510024),(70 21087626),(71 21669982),(72 22237858),(73 22769734),(74 23231472),(75 23655896),(76 24028610),(77 24323990),(78 24539766),(79 24697682),
(1 171029.77),(2 633492.94),(3 1338677.8),(4 2252419),(5 3334829),(6 4547083.5),(7 5841849),(8 7205722),(9 8589171),(10 9998232),(11 11394377),(12 12733524),(13 14019811),(14 15204802),(15 16315118),(16 17342104),(17 18292262),(18 19130390),(19 19873174),(20 20479978),(21 20988032),(22 21442556),(23 21755944),(24 21942976),(25 22038774),(26 22023220),(27 21942518),(28 21783736),(29 21553870),(30 21260430),(31 20945822),(32 20633782),(33 20295410),(34 19975498),(35 19685380),(36 19396952),(37 19118592),(38 18857440),(39 18629046),(40 18361188),(41 18138408),(42 17934570),(43 17737376),(44 17452444),(45 17134688),(46 16803712),(47 16483374),(48 16201202),(49 15929461),(50 15722517),(51 15558777),(52 15509417),(53 15572398),(54 15747202),(55 16032658),(56 16451252),(57 16963740),(58 17526066),(59 18193864),(60 18929988),(61 19710376),(62 20527270),(63 21389556),(64 22278812),(65 23185948),(66 24083288),(67 24923776),(68 25674868),(69 26370264),(70 26997820),(71 27550578),(72 28057118),(73 28402308),(74 28599822),(75 28704900),(76 28737450),(77 28590610),(78 28351880),(79 27913208),
(1 193544.78),(2 715628.9),(3 1504543),(4 2486706.8),(5 3622769),(6 4895274.5),(7 6246577.5),(8 7644101.5),(9 9029037),(10 10447498),(11 11876553),(12 13299033),(13 14739399),(14 16163336),(15 17537392),(16 18817872),(17 20018470),(18 21167240),(19 22218512),(20 23068678),(21 23759748),(22 24350894),(23 24806472),(24 25089682),(25 25225204),(26 25248358),(27 25163454),(28 24971486),(29 24666934),(30 24298036),(31 23923994),(32 23528022),(33 23130762),(34 22683396),(35 22256688),(36 21806750),(37 21324914),(38 20853334),(39 20342746),(40 19795246),(41 19220924),(42 18620454),(43 18018166),(44 17438636),(45 16927304),(46 16445071),(47 15969553),(48 15559458),(49 15180952),(50 14870972),(51 14596073),(52 14355757),(53 14212938),(54 14169176),(55 14182030),(56 14245871),(57 14391652),(58 14631039),(59 14997867),(60 15494761),(61 16112535),(62 16838416),(63 17681036),(64 18678374),(65 19811944),(66 20993790),(67 22057924),(68 23060428),(69 24035188),(70 24938778),(71 25807536),(72 26569798),(73 27213636),(74 27718738),(75 28129008),(76 28465574),(77 28610330),(78 28574878),(79 28369584),
