1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 569825.7),(2 2100835.8),(3 4397049.5),(4 7291520),(5 10785990),(6 14703400),(7 19260484),(8 24328176),(9 29910950),(10 36141828),(11 42440820),(12 48630692),(13 54647900),(14 60495740),(15 66299004),(16 71967336),(17 77630070),(18 83090190),(19 88203240),(20 93158020),(21 97908010),(22 102625660),(23 107104030),(24 111662760),(25 116662440),(26 121894660),(27 127304450),(28 132826730),(29 139133950),(30 144828380),(31 150663470),(32 157013470),(33 163406000),(34 170020910),(35 176254060),(36 182874160),(37 190048510),(38 196949890),(39 204218420),(40 211415180),(41 218064980),(42 224706800),(43 230988220),(44 236678510),(45 241957890),(46 246416050),(47 250099760),(48 253492820),(49 256659330),(50 259069230),(51 261273520),(52 262719280),(53 263824880),(54 264905860),(55 265534980),(56 266578350),(57 267769420),(58 268449900),(59 269290700),(60 270206850),(61 270955260),(62 272020640),(63 272937000),(64 274022180),(65 275328160),(66 277191700),(67 279367000),(68 281508220),(69 283540350),(70 285222620),(71 286927700),(72 288718270),(73 289911840),(74 290705500),(75 291175200),(76 291845600),(77 292224160),(78 292746980),(79 293233120),
(1 585261.9),(2 2126870),(3 4398115),(4 7263481.5),(5 10609368),(6 14367030),(7 18543558),(8 22946454),(9 27477580),(10 32204464),(11 36873324),(12 41286820),(13 45498950),(14 49618388),(15 53727212),(16 57811764),(17 61953150),(18 66127576),(19 70272424),(20 74530020),(21 78917440),(22 83295210),(23 87580270),(24 92151100),(25 97208300),(26 102870300),(27 109198770),(28 116048230),(29 124248296),(30 131943940),(31 139943420),(32 148432510),(33 156950820),(34 165555840),(35 174002720),(36 182713220),(37 191899570),(38 200895260),(39 209971680),(40 218650930),(41 226785890),(42 235169060),(43 243600900),(44 251993180),(45 260119760),(46 267299420),(47 273401060),(48 279357950),(49 285036350),(50 289892260),(51 294789800),(52 298792640),(53 302494530),(54 305878180),(55 308973600),(56 312013120),(57 314211140),(58 315473800),(59 316723780),(60 317925120),(61 318230850),(62 318341820),(63 317735330),(64 316798370),(65 315747740),(66 314708540),(67 313671900),(68 312458050),(69 310994240),(70 309491400),(71 308220600),(72 306342140),(73 303882940),(74 301070750),(75 297983400),(76 294999140),(77 291761860),(78 288242050),(79 284750000),
(1 528920.9),(2 1896574),(3 3884607.3),(4 6391760),(5 9293837),(6 12545396),(7 15989279),(8 19745394),(9 23705738),(10 27894104),(11 32210832),(12 36441500),(13 40440284),(14 44233412),(15 47678548),(16 51131292),(17 54568736),(18 58005376),(19 61490748),(20 64747252),(21 67759400),(22 70694600),(23 73747460),(24 77067150),(25 80367144),(26 83791624),(27 87833350),(28 91844810),(29 95895336),(30 99642630),(31 102476100),(32 104909920),(33 107039320),(34 108889190),(35 110350616),(36 111967720),(37 113310180),(38 114695976),(39 116237190),(40 117793176),(41 119213800),(42 120792040),(43 122529176),(44 124384830),(45 125975544),(46 127472490),(47 128482690),(48 129511910),(49 130582870),(50 131704670),(51 132705190),(52 133385220),(53 134120744),(54 134770830),(55 135057920),(56 135340620),(57 135554900),(58 135653120),(59 136009490),(60 136282320),(61 136329230),(62 136062560),(63 135709890),(64 135271420),(65 134759890),(66 134274960),(67 133770620),(68 133527970),(69 133444390),(70 133346430),(71 133313630),(72 133557576),(73 134120250),(74 134708820),(75 135378450),(76 136083660),(77 136976240),(78 137796540),(79 138685460),
(1 653392.75),(2 2476265),(3 5325178),(4 9032887),(5 13498688),(6 18622806),(7 24389736),(8 30679218),(9 37254330),(10 44157904),(11 51110916),(12 58017856),(13 64699436),(14 71202010),(15 77106150),(16 82475690),(17 87534610),(18 92093860),(19 96217370),(20 99984100),(21 103345450),(22 106458310),(23 108955680),(24 111678430),(25 114667740),(26 117874580),(27 121373020),(28 125139400),(29 129604900),(30 133263250),(31 137007950),(32 140673730),(33 143993630),(34 146671950),(35 148230560),(36 149434700),(37 150713200),(38 151945650),(39 153152420),(40 153879280),(41 153801730),(42 154098560),(43 154095440),(44 154277700),(45 154646300),(46 155213440),(47 155993950),(48 156930750),(49 157779000),(50 158377010),(51 158621220),(52 158335780),(53 157798110),(54 156597360),(55 155002300),(56 153413010),(57 151576000),(58 149692590),(59 147730770),(60 145648130),(61 143290600),(62 140703520),(63 138123180),(64 135638750),(65 133132000),(66 130810620),(67 128863600),(68 127117784),(69 125563390),(70 124060490),(71 122834910),(72 121871704),(73 121102110),(74 120438330),(75 119841040),(76 119483380),(77 119508390),(78 119728040),(79 120061310),
(1 657663.44),(2 2503776.3),(3 5374596.5),(4 9056307),(5 13397295),(6 18200492),(7 23286740),(8 28655528),(9 34296452),(10 40136692),(11 46186640),(12 52206660),(13 58302640),(14 64172452),(15 69547250),(16 74522870),(17 79140190),(18 83608370),(19 87887930),(20 91842170),(21 95530616),(22 98951160),(23 101927224),(24 104888136),(25 107391416),(26 109514950),(27 111786800),(28 114051760),(29 116395670),(30 118226460),(31 119607580),(32 120915200),(33 121869560),(34 122323320),(35 122098020),(36 121770830),(37 121807740),(38 122017760),(39 122129544),(40 122145840),(41 122001820),(42 122311560),(43 122527520),(44 123016320),(45 123662110),(46 124634110),(47 125838410),(48 127241110),(49 128615030),(50 129769290),(51 130649464),(52 131407950),(53 132292180),(54 133027910),(55 133805670),(56 134743540),(57 135534580),(58 136322780),(59 137045760),(60 137653100),(61 137857020),(62 137685940),(63 137423020),(64 136970110),(65 136025440),(66 134920540),(67 133834310),(68 132716750),(69 131328510),(70 129571330),(71 127400424),(72 125157910),(73 123248640),(74 121280840),(75 119283960),(76 117359870),(77 115617490),(78 114157090),(79 112755224),
(1 648404.2),(2 2431963.5),(3 5160326),(4 8550745),(5 12462002),(6 16819112),(7 21512672),(8 26517194),(9 31667238),(10 36872660),(11 42102932),(12 47160584),(13 52017372),(14 56393676),(15 60213908),(16 63763380),(17 66933760),(18 69932660),(19 72691944),(20 75396330),(21 78216120),(22 81121170),(23 83590670),(24 86026740),(25 88541600),(26 91080620),(27 93805250),(28 96452720),(29 98949120),(30 101026490),(31 103588120),(32 106405140),(33 109101390),(34 111802290),(35 114002050),(36 116134120),(37 118620850),(38 120574936),(39 122007060),(40 123133290),(41 124019890),(42 124945650),(43 125385460),(44 125894250),(45 126556210),(46 127291060),(47 127975590),(48 128528230),(49 128865840),(50 129068264),(51 129362740),(52 129564696),(53 129843220),(54 129987610),(55 130090216),(56 130324890),(57 130643070),(58 130782980),(59 130878700),(60 131041790),(61 131254350),(62 131576060),(63 131770770),(64 131928170),(65 131965970),(66 131976024),(67 131946420),(68 131729256),(69 131303700),(70 130953750),(71 130547890),(72 129741290),(73 128829670),(74 128019010),(75 126946216),(76 125901330),(77 124930820),(78 123957070),(79 122914536),
(1 620004.5),(2 2325896.8),(3 5023954),(4 8528980),(5 12817418),(6 17701956),(7 23196338),(8 29089400),(9 35400268),(10 42105730),(11 49130580),(12 56357504),(13 63479812),(14 70663290),(15 77716240),(16 84277290),(17 90741810),(18 96788020),(19 102260610),(20 107408980),(21 111941210),(22 115856350),(23 119212500),(24 121937610),(25 123705864),(26 124701740),(27 125210670),(28 125063736),(29 124364640),(30 123647910),(31 122578980),(32 121472970),(33 120357304),(34 119388490),(35 118461260),(36 117765000),(37 117018840),(38 116064260),(39 114976210),(40 113828950),(41 112658550),(42 111600670),(43 110471976),(44 109561380),(45 108887730),(46 108548010),(47 108575530),(48 108801864),(49 109184856),(50 109803040),(51 110367920),(52 110962030),(53 111786824),(54 112589370),(55 113416280),(56 114215150),(57 115111690),(58 116052000),(59 116645860),(60 117126104),(61 117397880),(62 117448350),(63 117407750),(64 117325680),(65 116817490),(66 116223740),(67 115561400),(68 114810770),(69 114183816),(70 113301880),(71 112228390),(72 111210744),(73 110067210),(74 108482680),(75 106775250),(76 104834490),(77 102832130),(78 100769060),(79 98554210),
(1 655212.44),(2 2437067.5),(3 5113779),(4 8408032),(5 12213262),(6 16384482),(7 20882348),(8 25519012),(9 30214472),(10 34865812),(11 39269480),(12 43574640),(13 47507516),(14 50978456),(15 54001856),(16 56622576),(17 58784988),(18 60597852),(19 62176376),(20 63355624),(21 64200724),(22 64841692),(23 65250764),(24 65339120),(25 65111810),(26 64638780),(27 64286964),(28 63867760),(29 63022856),(30 62140284),(31 61177660),(32 60397516),(33 59877400),(34 59648116),(35 59652188),(36 59962060),(37 60447980),(38 61087892),(39 61904980),(40 62725160),(41 63547324),(42 64248050),(43 64849520),(44 65293936),(45 65709830),(46 66059920),(47 66350508),(48 66312370),(49 66043110),(50 65674076),(51 65128660),(52 64622204),(53 64040572),(54 63295944),(55 62550440),(56 61706356),(57 60761080),(58 59886244),(59 58978860),(60 58177550),(61 57574990),(62 57122050),(63 56705356),(64 56437890),(65 56201470),(66 55966090),(67 55712060),(68 55569244),(69 55515580),(70 55628972),(71 55813564),(72 56156210),(73 56435548),(74 56750296),(75 56996880),(76 57229804),(77 57515624),(78 57711292),(79 57870424),
(1 642951.56),(2 2439271),(3 5237261),(4 8814644),(5 13035376),(6 17759450),(7 22763990),(8 27942986),(9 33095364),(10 37878092),(11 42230176),(12 46231484),(13 49646780),(14 52369760),(15 54417910),(16 55976668),(17 56832784),(18 57101030),(19 56930890),(20 56432670),(21 55856170),(22 55166156),(23 54381532),(24 53346550),(25 52317084),(26 51155876),(27 49755870),(28 48257964),(29 46890464),(30 45789840),(31 44773860),(32 44015804),(33 43612236),(34 43486596),(35 43640830),(36 44141116),(37 44738080),(38 45526132),(39 46559630),(40 47679324),(41 48809624),(42 49716180),(43 50547136),(44 51393270),(45 52103960),(46 52606864),(47 52984492),(48 53212610),(49 53211170),(50 52954730),(51 52446148),(52 51776264),(53 51021810),(54 50384324),(55 49672850),(56 48973636),(57 48424976),(58 47947868),(59 47459316),(60 47067588),(61 46797476),(62 46598660),(63 46501344),(64 46448716),(65 46273480),(66 46178710),(67 46165280),(68 46057932),(69 45931164),(70 45884950),(71 45834796),(72 45817490),(73 45672040),(74 45530240),(75 45291504),(76 45068040),(77 44839730),(78 44736700),(79 44659550),
(1 495657.72),(2 1822981.4),(3 3793464),(4 6243145),(5 9066447),(6 12106333),(7 15215995),(8 18294900),(9 21203064),(10 23985392),(11 26603160),(12 29063008),(13 31257284),(14 33324552),(15 35277760),(16 36883052),(17 38200344),(18 39224876),(19 39964140),(20 40616944),(21 41207760),(22 41736464),(23 42234340),(24 42705428),(25 43149824),(26 43361336),(27 43430716),(28 43476188),(29 43609870),(30 43940140),(31 44161116),(32 44262384),(33 44248420),(34 44252436),(35 44139464),(36 43901852),(37 43563356),(38 43183240),(39 42782904),(40 42314424),(41 41597520),(42 40812696),(43 39923296),(44 38951836),(45 37929280),(46 36962340),(47 36201812),(48 35638610),(49 35375736),(50 35380260),(51 35687696),(52 36208304),(53 36966556),(54 37932210),(55 38969840),(56 40074570),(57 41130870),(58 42101530),(59 43016620),(60 43828904),(61 44599444),(62 45275224),(63 45812150),(64 46280344),(65 46638740),(66 46917516),(67 47113784),(68 47208824),(69 47242604),(70 47196616),(71 47081316),(72 46726740),(73 46093304),(74 45468910),(75 44729796),(76 44001170),(77 43219164),(78 42503120),(79 41906364),
(1 441199.2),(2 1598223.8),(3 3305858.8),(4 5393095.5),(5 7684262.5),(6 10107707),(7 12533265),(8 14981495),(9 17350976),(10 19613120),(11 21752644),(12 23798678),(13 25776098),(14 27736892),(15 29666072),(16 31397874),(17 32933960),(18 34273680),(19 35457156),(20 36596164),(21 37712196),(22 38698220),(23 39487256),(24 40140396),(25 40752650),(26 41349684),(27 41854670),(28 42308784),(29 42877384),(30 43412196),(31 43980896),(32 44318780),(33 44470316),(34 44653450),(35 44742120),(36 44805804),(37 44747624),(38 44514696),(39 44279716),(40 44001270),(41 43699424),(42 43369530),(43 42937972),(44 42440144),(45 41898616),(46 41293780),(47 40574836),(48 39825184),(49 39109284),(50 38372216),(51 37662412),(52 36970904),(53 36332640),(54 35836308),(55 35488950),(56 35278856),(57 35192600),(58 35186996),(59 35339230),(60 35641300),(61 35938730),(62 36278630),(63 36567750),(64 36907410),(65 37316948),(66 37806876),(67 38203388),(68 38581670),(69 38949920),(70 39354016),(71 39782816),(72 40295276),(73 40965060),(74 41731236),(75 42523390),(76 43471490),(77 44471972),(78 45416740),(79 46263330),
