1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 48267.06),(2 165405.81),(3 347365.97),(4 569806.6),(5 837131.44),(6 1124428.6),(7 1423176.4),(8 1725143.5),(9 2052629.6),(10 2359891.8),(11 2728530.8),(12 3092787.3),(13 3481482.8),(14 3893740.8),(15 4352427.5),(16 4796895),(17 5286959.5),(18 5784850.5),(19 6337949.5),(20 6853946),(21 7327737.5),(22 7815158.5),(23 8235018),(24 8628091),(25 9099600),(26 9464595),(27 9861925),(28 10220423),(29 10605292),(30 10932141),(31 11253272),(32 11508144),(33 11751643),(34 11981581),(35 12190925),(36 12373203),(37 12624000),(38 12825563),(39 13120701),(40 13383477),(41 13767593),(42 14249787),(43 14828133),(44 15379808),(45 16055317),(46 16715811),(47 17538330),(48 18376800),(49 19388250),(50 20327944),(51 21279414),(52 22264630),(53 23363686),(54 24616032),(55 25957806),(56 27192722),(57 28541246),(58 29810296),(59 31077414),(60 32147744),(61 33106266),(62 33900324),(63 34793348),(64 35510948),(65 36268510),(66 36840244),(67 37412188),(68 37800124),(69 38103440),(70 38363120),(71 38636850),(72 38840784),(73 39018052),(74 39219150),(75 39275364),(76 39337710),(77 39376308),(78 39297116),(79 39149340),
(1 42534.477),(2 149434.72),(3 305007.16),(4 505602.44),(5 717264.2),(6 953058.8),(7 1180027.6),(8 1405137),(9 1623328.4),(10 1831275.4),(11 2055245.8),(12 2261243),(13 2478675.5),(14 2711006),(15 2952783.8),(16 3188009.5),(17 3425713.5),(18 3670585.5),(19 3920989.5),(20 4159582.5),(21 4382205.5),(22 4624653.5),(23 4847883),(24 5064492.5),(25 5261200),(26 5534721.5),(27 5773294.5),(28 6071165.5),(29 6368063),(30 6662923),(31 6931561.5),(32 7162798.5),(33 7429879),(34 7705602.5),(35 7974555),(36 8228689.5),(37 8510918),(38 8703208),(39 8944282),(40 9179557),(41 9446238),(42 9736279),(43 9999150),(44 10223015),(45 10411265),(46 10622264),(47 10847338),(48 11070221),(49 11304211),(50 11477734),(51 11637222),(52 11802300),(53 11997528),(54 12200310),(55 12437931),(56 12633751),(57 12864892),(58 13072170),(59 13272691),(60 13455808),(61 13659920),(62 13814256),(63 13944310),(64 14019867),(65 14168256),(66 14222731),(67 14265298),(68 14209091),(69 14259397),(70 14271219),(71 14307435),(72 14346899),(73 14467171),(74 14593827),(75 14723504),(76 14887341),(77 15026885),(78 15185514),(79 15363811),
(1 43882.688),(2 154896.42),(3 318293.94),(4 527309.25),(5 764881.8),(6 1028142.25),(7 1302496.9),(8 1584542.6),(9 1861934.6),(10 2138753.8),(11 2438916.8),(12 2736508.8),(13 3033070.8),(14 3341141.3),(15 3643948),(16 3925511),(17 4194461.5),(18 4471590),(19 4763441),(20 5031940),(21 5309085.5),(22 5563045),(23 5797656.5),(24 6021430.5),(25 6227508.5),(26 6443330),(27 6648172),(28 6857133.5),(29 7065529.5),(30 7279528),(31 7480137.5),(32 7645163.5),(33 7850840),(34 8057768),(35 8247917.5),(36 8440810),(37 8685925),(38 8889526),(39 9096929),(40 9284459),(41 9487943),(42 9708098),(43 9863043),(44 10020115),(45 10092816),(46 10228343),(47 10355572),(48 10479279),(49 10600565),(50 10755983),(51 10909080),(52 11100903),(53 11259396),(54 11386580),(55 11561561),(56 11639980),(57 11754712),(58 11848549),(59 11957732),(60 12095635),(61 12206509),(62 12302064),(63 12400412),(64 12491435),(65 12647176),(66 12777701),(67 12903223),(68 12988635),(69 13107071),(70 13184572),(71 13296395),(72 13370771),(73 13449992),(74 13569033),(75 13662955),(76 13694619),(77 13779399),(78 13880148),(79 13958601),
(1 53551.26),(2 190533.89),(3 396154.66),(4 663705.3),(5 969929.1),(6 1295561.6),(7 1635040.1),(8 1977906.6),(9 2316171.8),(10 2672168.5),(11 3039049.8),(12 3394485.5),(13 3767923),(14 4136072),(15 4496862),(16 4843041),(17 5185570),(18 5529936),(19 5900336),(20 6278362.5),(21 6626016),(22 6964625.5),(23 7294791),(24 7584022),(25 7844559),(26 8059877.5),(27 8258336),(28 8429223),(29 8587159),(30 8755024),(31 8875468),(32 8962542),(33 9068423),(34 9159668),(35 9282407),(36 9403893),(37 9548484),(38 9728796),(39 9904807),(40 10084900),(41 10264546),(42 10451648),(43 10617159),(44 10781060),(45 10960396),(46 11157465),(47 11339173),(48 11570180),(49 11817472),(50 12046851),(51 12308965),(52 12571467),(53 12818690),(54 13063077),(55 13319770),(56 13495823),(57 13674430),(58 13816926),(59 13943730),(60 14075493),(61 14135476),(62 14217036),(63 14267662),(64 14298635),(65 14324857),(66 14371379),(67 14338868),(68 14298060),(69 14242604),(70 14154752),(71 14034148),(72 13897825),(73 13785351),(74 13694204),(75 13634631),(76 13579647),(77 13562145),(78 13545925),(79 13548060),
(1 53126.637),(2 190583.39),(3 387514.28),(4 644203.4),(5 940092.6),(6 1255275.9),(7 1583268),(8 1925029.1),(9 2262947.3),(10 2641123.5),(11 3032087.3),(12 3421253.8),(13 3835360.8),(14 4292910.5),(15 4756104.5),(16 5198891.5),(17 5685024.5),(18 6173619),(19 6689143.5),(20 7224684.5),(21 7746257.5),(22 8279901),(23 8827959),(24 9365701),(25 9861603),(26 10364915),(27 10864624),(28 11344174),(29 11808339),(30 12292841),(31 12708861),(32 13101087),(33 13488340),(34 13852849),(35 14200221),(36 14507235),(37 14849679),(38 15143494),(39 15435325),(40 15768364),(41 16089111),(42 16463756),(43 16782970),(44 17101638),(45 17433586),(46 17808076),(47 18167294),(48 18546362),(49 18905268),(50 19290802),(51 19654866),(52 19999698),(53 20308718),(54 20587410),(55 20826350),(56 20972368),(57 21078400),(58 21183308),(59 21221808),(60 21306382),(61 21279608),(62 21254006),(63 21171592),(64 21078360),(65 20947346),(66 20785890),(67 20561750),(68 20315768),(69 20041612),(70 19757486),(71 19434750),(72 19072642),(73 18764472),(74 18470658),(75 18204616),(76 17958952),(77 17756398),(78 17561166),(79 17417026),
(1 58547.113),(2 203152.42),(3 423740.9),(4 695941.6),(5 1010806.9),(6 1340635.8),(7 1686532.4),(8 2037998),(9 2390577.5),(10 2766994.5),(11 3159643.5),(12 3533880),(13 3939051.3),(14 4352760),(15 4783005),(16 5186420),(17 5615381.5),(18 6038021),(19 6485246.5),(20 6949603),(21 7377456),(22 7820726.5),(23 8261415),(24 8694277),(25 9131917),(26 9610590),(27 10065656),(28 10517758),(29 10980736),(30 11470319),(31 11925016),(32 12349430),(33 12784001),(34 13204070),(35 13585501),(36 13939082),(37 14305344),(38 14619253),(39 14931690),(40 15309149),(41 15677971),(42 16096648),(43 16460195),(44 16806964),(45 17133460),(46 17442612),(47 17701938),(48 17964666),(49 18202710),(50 18421670),(51 18608322),(52 18776560),(53 18894816),(54 18976608),(55 19044640),(56 19041472),(57 19035324),(58 18974348),(59 18899736),(60 18817652),(61 18642886),(62 18383220),(63 18093866),(64 17775574),(65 17443434),(66 17050462),(67 16665731),(68 16269094),(69 15884250),(70 15478570),(71 15127640),(72 14788350),(73 14525606),(74 14273235),(75 14092754),(76 13979349),(77 13907155),(78 13853261),(79 13858326),
(1 51007.82),(2 179182.52),(3 362950.63),(4 603727.06),(5 873657.4),(6 1156359.3),(7 1451400.9),(8 1764322.3),(9 2076806.3),(10 2416425.5),(11 2784801.8),(12 3139203.8),(13 3517887),(14 3942122.3),(15 4354623.5),(16 4744088.5),(17 5138942),(18 5541502),(19 5960847),(20 6383233),(21 6799091.5),(22 7224345),(23 7692503.5),(24 8159471),(25 8608175),(26 9020882),(27 9426626),(28 9814300),(29 10191217),(30 10571454),(31 10938357),(32 11250124),(33 11556199),(34 11826791),(35 12073388),(36 12265750),(37 12448313),(38 12636428),(39 12802624),(40 12981100),(41 13197278),(42 13385141),(43 13557582),(44 13711791),(45 13857435),(46 14019783),(47 14170881),(48 14337599),(49 14509433),(50 14696586),(51 14854315),(52 15029569),(53 15215113),(54 15411911),(55 15622795),(56 15780400),(57 15984491),(58 16165039),(59 16322703),(60 16469291),(61 16508348),(62 16503375),(63 16445684),(64 16282588),(65 16131970),(66 15925657),(67 15704903),(68 15489932),(69 15305807),(70 15118698),(71 14953851),(72 14839452),(73 14778510),(74 14736666),(75 14741934),(76 14816821),(77 14918866),(78 15061692),(79 15235020),
(1 58538.543),(2 204791.2),(3 420027.53),(4 690711.2),(5 1003906.6),(6 1340247.8),(7 1689980.5),(8 2054556),(9 2417116.5),(10 2795668),(11 3182032),(12 3558372.3),(13 3947521),(14 4385330.5),(15 4807583.5),(16 5206066),(17 5562680.5),(18 5894237),(19 6233728),(20 6537054.5),(21 6828566.5),(22 7067839),(23 7307972.5),(24 7527142.5),(25 7722957),(26 7896028.5),(27 8082198.5),(28 8280281.5),(29 8486431),(30 8704154),(31 8934014),(32 9124106),(33 9328846),(34 9499661),(35 9590953),(36 9660162),(37 9673247),(38 9693152),(39 9708215),(40 9728492),(41 9780948),(42 9826859),(43 9853682),(44 9904855),(45 9947699),(46 10014462),(47 10063565),(48 10128563),(49 10175047),(50 10240189),(51 10293443),(52 10368439),(53 10484113),(54 10620167),(55 10790500),(56 10958100),(57 11163066),(58 11373771),(59 11605872),(60 11849990),(61 12040223),(62 12199674),(63 12316363),(64 12409573),(65 12519579),(66 12587359),(67 12642863),(68 12722227),(69 12782107),(70 12838198),(71 12892142),(72 12967088),(73 13035461),(74 13050882),(75 13116354),(76 13155130),(77 13215458),(78 13254287),(79 13312542),
(1 62324.082),(2 227093.33),(3 481649.56),(4 807218.7),(5 1203437.1),(6 1641128.3),(7 2122303),(8 2612856.3),(9 3116998.3),(10 3617867.3),(11 4133554.3),(12 4624144),(13 5133901.5),(14 5646075.5),(15 6121371),(16 6559833),(17 6944425),(18 7298411.5),(19 7644932),(20 7926366),(21 8201680),(22 8459203),(23 8721084),(24 8962473),(25 9185989),(26 9392757),(27 9598592),(28 9777811),(29 9953539),(30 10103240),(31 10223593),(32 10286471),(33 10304894),(34 10260730),(35 10178635),(36 10038986),(37 9894960),(38 9711053),(39 9559184),(40 9389531),(41 9240682),(42 9100102),(43 8976357),(44 8857821),(45 8774825),(46 8737079),(47 8718050),(48 8743612),(49 8793486),(50 8901476),(51 8999075),(52 9101333),(53 9224264),(54 9355035),(55 9488372),(56 9624310),(57 9747426),(58 9849795),(59 9944224),(60 10038985),(61 10107512),(62 10181907),(63 10263285),(64 10321699),(65 10429397),(66 10507004),(67 10573464),(68 10660196),(69 10728606),(70 10787096),(71 10847708),(72 10912055),(73 11004207),(74 11056832),(75 11173092),(76 11303715),(77 11469304),(78 11670057),(79 11891433),
(1 68838.664),(2 245617.44),(3 520799.16),(4 876857.6),(5 1306932.5),(6 1781282.5),(7 2310735.5),(8 2874809.3),(9 3482334.8),(10 4124215),(11 4784911),(12 5432108.5),(13 6099544),(14 6747106),(15 7363427),(16 7920778),(17 8423337),(18 8877241),(19 9333157),(20 9714900),(21 10066280),(22 10382643),(23 10679625),(24 10928783),(25 11149652),(26 11343458),(27 11478668),(28 11580668),(29 11638393),(30 11657844),(31 11617357),(32 11511883),(33 11355655),(34 11138955),(35 10880546),(36 10549629),(37 10206262),(38 9847829),(39 9487406),(40 9106894),(41 8750169),(42 8422789),(43 8104665),(44 7823442),(45 7588374),(46 7399170),(47 7230109),(48 7112136),(49 7036056),(50 7013048),(51 7017376),(52 7043912),(53 7095106),(54 7180872.5),(55 7293561),(56 7407131),(57 7565902),(58 7751975),(59 7966930),(60 8201068.5),(61 8443559),(62 8717633),(63 8985248),(64 9251590),(65 9520581),(66 9770789),(67 10009718),(68 10234841),(69 10449218),(70 10632488),(71 10847354),(72 11048381),(73 11254847),(74 11461441),(75 11709753),(76 11958745),(77 12223653),(78 12487724),(79 12726542),
(1 70143.805),(2 255002.94),(3 541648.5),(4 928112.94),(5 1375843.9),(6 1871025.1),(7 2407451.8),(8 2980246),(9 3579486),(10 4199633.5),(11 4850468),(12 5465171),(13 6098002.5),(14 6713076),(15 7297292),(16 7845547.5),(17 8390856),(18 8910707),(19 9437788),(20 9922959),(21 10372338),(22 10765473),(23 11134755),(24 11443947),(25 11707784),(26 11925214),(27 12049896),(28 12114908),(29 12126007),(30 12068549),(31 11961073),(32 11784740),(33 11577327),(34 11344884),(35 11056066),(36 10763532),(37 10482182),(38 10178859),(39 9891880),(40 9587386),(41 9335712),(42 9104133),(43 8914709),(44 8704292),(45 8515272),(46 8365675.5),(47 8207278),(48 8102791.5),(49 8045722.5),(50 8011388),(51 8002751),(52 8017984),(53 8066903.5),(54 8149609.5),(55 8263466.5),(56 8371632),(57 8525417),(58 8688426),(59 8880036),(60 9087171),(61 9274514),(62 9429445),(63 9559085),(64 9632084),(65 9727850),(66 9798413),(67 9848953),(68 9905192),(69 9953690),(70 9979800),(71 9987950),(72 10009491),(73 9994323),(74 9979656),(75 10001311),(76 10045399),(77 10150304),(78 10276024),(79 10444247),
