1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 109269.15),(2 383907.53),(3 812419.7),(4 1359347),(5 1970322.5),(6 2636647.8),(7 3366642),(8 4084401.8),(9 4827180.5),(10 5552880.5),(11 6342312),(12 6933332),(13 7409336.5),(14 7928782),(15 8496457),(16 9117221),(17 9865192),(18 10594368),(19 11303573),(20 12068972),(21 12849229),(22 13651521),(23 14597667),(24 15400884),(25 16023769),(26 16676320),(27 17383662),(28 17997194),(29 18559574),(30 19045262),(31 19377782),(32 19795622),(33 20242596),(34 20728566),(35 21278952),(36 21812196),(37 22297792),(38 22727438),(39 23234078),(40 23666666),(41 24222712),(42 24793254),(43 25316370),(44 25833392),(45 26323264),(46 26848570),(47 27575280),(48 28378314),(49 29296570),(50 30208170),(51 31179218),(52 32192502),(53 33184182),(54 34155270),(55 35085680),(56 35934600),(57 36866988),(58 37885370),(59 39025500),(60 40341930),(61 41670356),(62 43254480),(63 44903812),(64 46577184),(65 48260268),(66 50230892),(67 52242844),(68 54290036),(69 56427292),(70 58300244),(71 60118092),(72 61972124),(73 63496468),(74 65068396),(75 66395308),(76 67529960),(77 68770570),(78 69903350),(79 70838220),
(1 114866.65),(2 410823.28),(3 878362.5),(4 1491552.3),(5 2147824.8),(6 2838811.3),(7 3585946),(8 4281390.5),(9 4940448),(10 5551652.5),(11 6057135),(12 6415042.5),(13 6633161.5),(14 6779909.5),(15 6900806.5),(16 7026182.5),(17 7188326.5),(18 7382657.5),(19 7632561.5),(20 7970805),(21 8410415),(22 8967937),(23 9606578),(24 10199558),(25 10679835),(26 11098109),(27 11518637),(28 11961674),(29 12387474),(30 12835232),(31 13263120),(32 13733410),(33 14181114),(34 14749518),(35 15581168),(36 16499366),(37 17460430),(38 18485434),(39 19636208),(40 20719388),(41 21795710),(42 22743478),(43 23589510),(44 24255604),(45 24826004),(46 25377484),(47 26060454),(48 26753854),(49 27273258),(50 27861436),(51 28355248),(52 28913908),(53 29547078),(54 30247028),(55 30988236),(56 31703414),(57 32509856),(58 33370004),(59 34177300),(60 35124308),(61 36164084),(62 37448180),(63 38711820),(64 40019704),(65 41212480),(66 42625156),(67 43973050),(68 45233040),(69 46537736),(70 47849132),(71 49099456),(72 50400856),(73 51597492),(74 52622380),(75 53425784),(76 54105056),(77 54803350),(78 55361864),(79 55726344),
(1 93633.71),(2 323062.13),(3 665791.6),(4 1105578.3),(5 1599795),(6 2158608),(7 2759960),(8 3383958),(9 4046648),(10 4697286.5),(11 5329796),(12 5931168.5),(13 6542665.5),(14 7123672),(15 7705376.5),(16 8342484.5),(17 9011072),(18 9764026),(19 10647531),(20 11667711),(21 12764304),(22 13927973),(23 15130933),(24 16319635),(25 17466454),(26 18569592),(27 19606186),(28 20707250),(29 21921088),(30 23057736),(31 24138992),(32 25162758),(33 26107010),(34 27062960),(35 28168752),(36 29425408),(37 30758520),(38 32255146),(39 33763310),(40 35115840),(41 36325668),(42 37382950),(43 38264636),(44 38991210),(45 39653188),(46 40336148),(47 41136892),(48 41904548),(49 42524510),(50 43074850),(51 43541660),(52 43986704),(53 44351584),(54 44730080),(55 45240700),(56 45755616),(57 46219628),(58 46553700),(59 46843040),(60 47156140),(61 47394176),(62 47639776),(63 47799884),(64 47978308),(65 48154732),(66 48419828),(67 48553924),(68 48658508),(69 48683650),(70 48869484),(71 49040990),(72 49104384),(73 49201676),(74 49346770),(75 49528316),(76 49789028),(77 50032930),(78 50221428),(79 50425684),
(1 124826.36),(2 459707.28),(3 962402.3),(4 1581452.5),(5 2290281),(6 3088193.8),(7 3916244.5),(8 4782137),(9 5654919),(10 6512495),(11 7362874),(12 8208119),(13 9079718),(14 9912328),(15 10679735),(16 11443218),(17 12234503),(18 13042853),(19 13866608),(20 14699614),(21 15505756),(22 16311723),(23 17122992),(24 17885708),(25 18711240),(26 19486384),(27 20173122),(28 20874330),(29 21592594),(30 22305800),(31 22935866),(32 23537132),(33 24135570),(34 24741184),(35 25242774),(36 25763344),(37 26309134),(38 26909364),(39 27631344),(40 28387758),(41 29214856),(42 30153144),(43 31222904),(44 32335008),(45 33468152),(46 34601800),(47 35796204),(48 36947680),(49 38087444),(50 39123948),(51 40345228),(52 41665950),(53 42975210),(54 44341330),(55 45804764),(56 47265024),(57 48537876),(58 49795376),(59 51060090),(60 52275988),(61 53395588),(62 54499452),(63 55530480),(64 56522070),(65 57459948),(66 58415790),(67 59240316),(68 60054840),(69 60668700),(70 61155428),(71 61703068),(72 62108910),(73 62333550),(74 62539664),(75 62659172),(76 62630764),(77 62448412),(78 62140270),(79 61803250),
(1 133348.11),(2 497544.9),(3 1036968.8),(4 1692276.9),(5 2438997),(6 3271217.8),(7 4139875),(8 5061744.5),(9 5997712.5),(10 6886189),(11 7722208),(12 8571732),(13 9415169),(14 10222859),(15 10965687),(16 11704537),(17 12470048),(18 13189366),(19 13884913),(20 14533424),(21 15193648),(22 15861484),(23 16563788),(24 17242746),(25 17847116),(26 18423272),(27 18986850),(28 19512978),(29 20024634),(30 20523450),(31 20978868),(32 21519624),(33 22208862),(34 22926520),(35 23595830),(36 24290258),(37 24991110),(38 25694272),(39 26444448),(40 27242630),(41 28069382),(42 28944494),(43 29911904),(44 30893240),(45 31778898),(46 32653158),(47 33517010),(48 34331520),(49 35090948),(50 35824964),(51 36658930),(52 37530860),(53 38383932),(54 39218940),(55 39962656),(56 40741590),(57 41506572),(58 42288988),(59 43090436),(60 43781576),(61 44439390),(62 45014680),(63 45623120),(64 46158950),(65 46629130),(66 47110120),(67 47513348),(68 47916216),(69 48274830),(70 48579044),(71 49004290),(72 49300350),(73 49489230),(74 49706670),(75 49779030),(76 49758890),(77 49586224),(78 49249600),(79 48841740),
(1 176300.72),(2 650152.6),(3 1377739.3),(4 2312289.3),(5 3390927.3),(6 4591613.5),(7 5856940.5),(8 7201637),(9 8625605),(10 10048374),(11 11451906),(12 12865531),(13 14243904),(14 15599803),(15 16938476),(16 18244090),(17 19571088),(18 20841724),(19 22009748),(20 23083866),(21 24097320),(22 24964412),(23 25781136),(24 26482150),(25 27091616),(26 27577836),(27 27970800),(28 28208140),(29 28241878),(30 28176020),(31 27991756),(32 27802848),(33 27619770),(34 27519444),(35 27413446),(36 27378890),(37 27421056),(38 27445158),(39 27600870),(40 27879948),(41 28248150),(42 28752204),(43 29393142),(44 30148378),(45 30833370),(46 31561972),(47 32364486),(48 33188954),(49 34011960),(50 34978464),(51 35936400),(52 36861172),(53 37717740),(54 38635916),(55 39466760),(56 40278196),(57 40996404),(58 41691100),(59 42371176),(60 42855212),(61 43119976),(62 43215530),(63 43199932),(64 43075400),(65 42828740),(66 42573132),(67 42340044),(68 42047584),(69 41685350),(70 41359532),(71 40972330),(72 40608308),(73 40152390),(74 39694910),(75 39088428),(76 38405588),(77 37595736),(78 36762052),(79 35861028),
(1 145545.77),(2 557048.2),(3 1209716),(4 2097210.8),(5 3170300),(6 4405887),(7 5840566),(8 7446243.5),(9 9180315),(10 10951226),(11 12764199),(12 14570356),(13 16321231),(14 18062250),(15 19689310),(16 21251870),(17 22727694),(18 24165858),(19 25575228),(20 26914494),(21 28159474),(22 29241380),(23 30198610),(24 31003972),(25 31706336),(26 32267224),(27 32617618),(28 32818788),(29 32821150),(30 32666002),(31 32423372),(32 32129100),(33 31718440),(34 31264810),(35 30755478),(36 30254952),(37 29664324),(38 29014850),(39 28320220),(40 27620168),(41 26885176),(42 26218954),(43 25650500),(44 25223456),(45 24904652),(46 24635872),(47 24586024),(48 24679276),(49 24832852),(50 25160652),(51 25688160),(52 26257942),(53 26809290),(54 27364300),(55 27873942),(56 28361182),(57 28801010),(58 29260290),(59 29700076),(60 30080630),(61 30293682),(62 30411540),(63 30523154),(64 30562472),(65 30486350),(66 30306710),(67 30044664),(68 29685398),(69 29175734),(70 28634720),(71 28094964),(72 27564248),(73 27030602),(74 26423842),(75 25799012),(76 25150666),(77 24500424),(78 23910300),(79 23358302),
(1 160490.8),(2 603372.44),(3 1278490.1),(4 2155748.5),(5 3197521.8),(6 4356392.5),(7 5643831.5),(8 7004698),(9 8380887),(10 9738099),(11 11108623),(12 12388156),(13 13614715),(14 14734647),(15 15735275),(16 16611671),(17 17368496),(18 17989854),(19 18548434),(20 19088858),(21 19594176),(22 20027172),(23 20435238),(24 20843238),(25 21284246),(26 21722338),(27 22106006),(28 22418252),(29 22651140),(30 22877402),(31 23085974),(32 23202274),(33 23314676),(34 23402150),(35 23499852),(36 23609984),(37 23690102),(38 23777762),(39 23837252),(40 23849570),(41 23841046),(42 23929696),(43 24059534),(44 24231380),(45 24363850),(46 24510820),(47 24565150),(48 24584926),(49 24563174),(50 24568068),(51 24601042),(52 24583044),(53 24491956),(54 24387218),(55 24257932),(56 24118140),(57 23968994),(58 23757526),(59 23593082),(60 23418502),(61 23205440),(62 23000490),(63 22893802),(64 22886090),(65 22959680),(66 23008934),(67 22988576),(68 22937886),(69 22914260),(70 22906612),(71 22941764),(72 22989842),(73 22969618),(74 22924290),(75 22846604),(76 22763756),(77 22650838),(78 22609442),(79 22561558),
(1 116736.984),(2 437402.8),(3 939931.2),(4 1579291.8),(5 2320591.5),(6 3133188.8),(7 3991265.5),(8 4915262.5),(9 5873539.5),(10 6852181.5),(11 7872415.5),(12 8885239),(13 9905163),(14 10827307),(15 11706775),(16 12547986),(17 13346528),(18 14164930),(19 14943138),(20 15716337),(21 16433171),(22 17142098),(23 17791322),(24 18379152),(25 18877322),(26 19413484),(27 19937880),(28 20431882),(29 20878646),(30 21292260),(31 21631466),(32 21930168),(33 22132566),(34 22350766),(35 22515648),(36 22631762),(37 22682424),(38 22669610),(39 22616814),(40 22419788),(41 22095506),(42 21770296),(43 21376144),(44 20967164),(45 20564786),(46 20219734),(47 19879568),(48 19549280),(49 19301154),(50 19089520),(51 18878398),(52 18614136),(53 18328882),(54 18114566),(55 17963748),(56 17891330),(57 17880986),(58 17993814),(59 18179224),(60 18418966),(61 18659632),(62 18950772),(63 19323696),(64 19793872),(65 20386236),(66 20970342),(67 21426550),(68 21837294),(69 22188024),(70 22472874),(71 22749488),(72 22996318),(73 23232968),(74 23374418),(75 23482640),(76 23566020),(77 23596368),(78 23593100),(79 23570466),
(1 157470.44),(2 579495.25),(3 1226929),(4 2046308.3),(5 3007807.8),(6 4076335.5),(7 5207944.5),(8 6377904),(9 7533980.5),(10 8684372),(11 9822550),(12 10916489),(13 12006229),(14 13041770),(15 14023244),(16 14998164),(17 15969456),(18 16977240),(19 17946038),(20 18935256),(21 19890168),(22 20815022),(23 21682480),(24 22481364),(25 23182948),(26 23819640),(27 24478350),(28 25055056),(29 25551084),(30 26002240),(31 26409322),(32 26742808),(33 26949960),(34 27091374),(35 27141738),(36 27124540),(37 27028576),(38 26856234),(39 26580520),(40 26195672),(41 25669664),(42 25078372),(43 24475476),(44 23854760),(45 23223416),(46 22601812),(47 21958404),(48 21373682),(49 20846488),(50 20407922),(51 19989428),(52 19581370),(53 19144032),(54 18813450),(55 18573960),(56 18395036),(57 18270120),(58 18196438),(59 18086166),(60 17983082),(61 17850364),(62 17666884),(63 17486432),(64 17381174),(65 17332786),(66 17268604),(67 17138618),(68 17019240),(69 16902372),(70 16777240),(71 16670094),(72 16554564),(73 16428464),(74 16301856),(75 16192299),(76 16047932),(77 15938843),(78 15788564),(79 15645291),
(1 135074.44),(2 495174.66),(3 1061740),(4 1781943.8),(5 2632072.8),(6 3604123.8),(7 4605810),(8 5646307),(9 6630368),(10 7568554.5),(11 8476472),(12 9276645),(13 9974643),(14 10563672),(15 11103194),(16 11600305),(17 12050680),(18 12489743),(19 12915699),(20 13301235),(21 13705667),(22 14144721),(23 14565978),(24 14918943),(25 15186393),(26 15436017),(27 15703885),(28 15906067),(29 16087793),(30 16250895),(31 16424804),(32 16566426),(33 16607360),(34 16624344),(35 16627300),(36 16647917),(37 16657050),(38 16627616),(39 16499844),(40 16345118),(41 16181131),(42 15981641),(43 15798223),(44 15612070),(45 15415051),(46 15238889),(47 15081663),(48 14959914),(49 14857428),(50 14775571),(51 14680852),(52 14611977),(53 14515352),(54 14395938),(55 14213908),(56 13939061),(57 13644856),(58 13342545),(59 13035347),(60 12766575),(61 12503744),(62 12227975),(63 11970234),(64 11808803),(65 11713471),(66 11716005),(67 11745336),(68 11830428),(69 11930042),(70 12041047),(71 12187143),(72 12295974),(73 12371844),(74 12438474),(75 12497711),(76 12550371),(77 12608245),(78 12660166),(79 12751852),
