1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7909.2114),(2 20527.213),(3 39130.13),(4 62116.36),(5 87540.055),(6 115370.9),(7 148986.83),(8 185861.94),(9 228245.55),(10 276815.1),(11 325604.03),(12 371965.34),(13 418002.84),(14 459576.1),(15 495676.47),(16 530067.3),(17 561220.3),(18 583804),(19 605025.75),(20 625412.44),(21 640787.25),(22 652462.56),(23 663093.7),(24 672161.25),(25 684614.5),(26 689317.25),(27 691507.6),(28 699666.3),(29 703005.7),(30 700025.3),(31 706861.7),(32 711982.7),(33 721254.7),(34 730017.7),(35 745534.06),(36 774052.56),(37 812170.8),(38 869063.06),(39 964604.75),(40 1043562.3),(41 1124872.1),(42 1201518.5),(43 1276932.3),(44 1346708.9),(45 1411937.5),(46 1484603.6),(47 1558814.1),(48 1624216),(49 1690280.5),(50 1738061.6),(51 1794267.9),(52 1841576.6),(53 1891714),(54 1940262.4),(55 1989263.6),(56 2019832.4),(57 2056735.1),(58 2069761.6),(59 2091058.5),(60 2092029.6),(61 2090801.5),(62 2080034.9),(63 2077039.6),(64 2069189.4),(65 2070851.4),(66 2063083),(67 2067134.6),(68 2067016),(69 2070673.6),(70 2064389),(71 2070386.6),(72 2078864.4),(73 2105065.5),(74 2142463.8),(75 2199634.8),(76 2245882.8),(77 2294447.5),(78 2342954.3),(79 2403597.8),
(1 7145.7783),(2 19955.953),(3 37232.32),(4 57549.617),(5 80372.48),(6 104021.71),(7 129480.25),(8 158966.55),(9 191271.25),(10 226324),(11 258957.5),(12 289225.7),(13 322871.6),(14 356247.97),(15 388568.44),(16 419352.06),(17 452638.4),(18 482320.56),(19 510175.2),(20 536251.7),(21 560836.4),(22 580854.25),(23 601105.9),(24 617761.06),(25 638836.7),(26 657288.9),(27 680980.7),(28 705731.6),(29 732001.06),(30 759308.9),(31 789871.8),(32 826608.2),(33 873292.1),(34 924714.8),(35 983355),(36 1049024.3),(37 1112148.5),(38 1187185.8),(39 1283253.8),(40 1369744.3),(41 1457233.3),(42 1539798.6),(43 1625353.1),(44 1703263.3),(45 1790102),(46 1882018.8),(47 1967285.3),(48 2049153.8),(49 2130082.8),(50 2208162.5),(51 2293378.5),(52 2359288.8),(53 2421633.3),(54 2488483.5),(55 2549329.3),(56 2600598),(57 2642617.5),(58 2677844.8),(59 2714199.3),(60 2736639),(61 2760729.3),(62 2783168.8),(63 2818349.3),(64 2841900),(65 2879647.3),(66 2910756.5),(67 2946480.5),(68 2970981.5),(69 3007083.8),(70 3057214.8),(71 3107571.5),(72 3156432),(73 3221100.5),(74 3295058.5),(75 3383421.5),(76 3468012.8),(77 3556023.3),(78 3653655.3),(79 3769131.3),
(1 7351.435),(2 22079.752),(3 42021.92),(4 65838.8),(5 93199.625),(6 123349.625),(7 155263.86),(8 189946.27),(9 224374.23),(10 262425.78),(11 299268.9),(12 339097.3),(13 380072.25),(14 421836.1),(15 464055.53),(16 501158.25),(17 541415),(18 579987.56),(19 611091.25),(20 643682.44),(21 673453),(22 701205.8),(23 734747.2),(24 768022.44),(25 805927.8),(26 845758.7),(27 892237.3),(28 941283),(29 977565.75),(30 1019518.94),(31 1064642.4),(32 1121908.6),(33 1181143.6),(34 1242337.4),(35 1316394.6),(36 1392248.1),(37 1475497.9),(38 1570950),(39 1675186.5),(40 1791263.5),(41 1898726.9),(42 2011330.6),(43 2130217.8),(44 2242676),(45 2356895.3),(46 2470347.8),(47 2576439.8),(48 2663611.3),(49 2750112.8),(50 2839836.8),(51 2933753.3),(52 3017028),(53 3091255.8),(54 3177190.8),(55 3270287),(56 3341763),(57 3402365.8),(58 3459992.8),(59 3504025),(60 3525037),(61 3547593),(62 3564983.3),(63 3581759.3),(64 3591416.8),(65 3595118),(66 3591164),(67 3587288.8),(68 3564760),(69 3554843.8),(70 3542923.3),(71 3533804.3),(72 3527047.8),(73 3521980),(74 3522514),(75 3530426.3),(76 3527324),(77 3531796.8),(78 3559234),(79 3589600),
(1 7917.256),(2 24340.96),(3 47298.23),(4 76217.016),(5 110264.266),(6 149198.33),(7 191024.42),(8 236626.39),(9 284299.44),(10 337372.94),(11 392939.56),(12 451393.38),(13 515015.13),(14 579227.8),(15 644272.06),(16 710180.9),(17 779932.56),(18 846856.3),(19 910559.94),(20 978909.56),(21 1050371.3),(22 1122501.6),(23 1208141.3),(24 1299702.6),(25 1398627.4),(26 1496484.6),(27 1597704.5),(28 1704635.5),(29 1799873.6),(30 1888001.4),(31 1990250.5),(32 2106409.3),(33 2234973),(34 2355312),(35 2494059),(36 2629413.3),(37 2771789),(38 2933481.8),(39 3113442.5),(40 3285156),(41 3452592.5),(42 3623100.5),(43 3788945),(44 3933343.5),(45 4071795.5),(46 4200552.5),(47 4325586),(48 4413125),(49 4506723.5),(50 4595469.5),(51 4689775),(52 4765271),(53 4812164.5),(54 4865617),(55 4916454),(56 4938836.5),(57 4948966),(58 4958421.5),(59 4964492.5),(60 4958103.5),(61 4954397),(62 4960994.5),(63 4973631.5),(64 5001734),(65 5031309.5),(66 5060742),(67 5097069.5),(68 5108812.5),(69 5158195.5),(70 5213337.5),(71 5269148.5),(72 5327031.5),(73 5405380),(74 5478494),(75 5556889),(76 5671489),(77 5792035),(78 5945053.5),(79 6122656),
(1 7534.4956),(2 23848.174),(3 46263.734),(4 74915.086),(5 107456.88),(6 143532.25),(7 182290),(8 223272.9),(9 267711),(10 314753),(11 363340.03),(12 413310.13),(13 465122.9),(14 519197.38),(15 574428.56),(16 631218.94),(17 690079.8),(18 747160.6),(19 799409.2),(20 852842),(21 906045.8),(22 960802.4),(23 1021184.56),(24 1083612.6),(25 1147165.5),(26 1212667.1),(27 1278574.5),(28 1349931.9),(29 1418802.1),(30 1491037.5),(31 1574314),(32 1666839.3),(33 1769794),(34 1865952.9),(35 1971500.8),(36 2077814.1),(37 2190662.3),(38 2314332.3),(39 2448720.3),(40 2575640.8),(41 2694854),(42 2812891.3),(43 2918718.8),(44 3015854),(45 3108899.8),(46 3204294.5),(47 3289773.5),(48 3354477),(49 3424950.5),(50 3487074.5),(51 3546896),(52 3591811),(53 3622197),(54 3660545.5),(55 3690121.8),(56 3701352.8),(57 3703230.3),(58 3703944),(59 3711469.8),(60 3707877.8),(61 3712540.3),(62 3738152),(63 3773389.5),(64 3823998.5),(65 3881322.3),(66 3932211.8),(67 3989596),(68 4043143.8),(69 4121309.8),(70 4194152.8),(71 4276043),(72 4351490),(73 4445948.5),(74 4533412),(75 4626993.5),(76 4751914),(77 4890243.5),(78 5059641),(79 5253032.5),
(1 6839.55),(2 21119.729),(3 41162.53),(4 65600.99),(5 94273.36),(6 124765.54),(7 159535.72),(8 197720.81),(9 240906.7),(10 290088.6),(11 335830.63),(12 383947.22),(13 430646.8),(14 474838.75),(15 523519.6),(16 570385.8),(17 619434.6),(18 667250.4),(19 714075.1),(20 762539.7),(21 809801.8),(22 861314.6),(23 916025.9),(24 968815.2),(25 1021781.8),(26 1073179.3),(27 1128061.1),(28 1180781.3),(29 1229473.5),(30 1275870.9),(31 1322924.3),(32 1383558.3),(33 1458326.8),(34 1528929.4),(35 1615440.5),(36 1690768.6),(37 1769432.8),(38 1858771.6),(39 1946544.4),(40 2038193),(41 2123076.8),(42 2216615.8),(43 2292587.3),(44 2375206.5),(45 2448880.5),(46 2519040),(47 2596716.5),(48 2645707.5),(49 2716732.5),(50 2779913.5),(51 2844643.3),(52 2916722.3),(53 2970341.5),(54 3033987),(55 3090743),(56 3138887.5),(57 3197592),(58 3258976.3),(59 3332073.5),(60 3397258),(61 3483821.3),(62 3577241.3),(63 3674628),(64 3801861.5),(65 3935021.5),(66 4066637.3),(67 4206197),(68 4348161.5),(69 4524927),(70 4675147),(71 4833132),(72 4989518.5),(73 5162836),(74 5333568),(75 5505043),(76 5709036.5),(77 5913130.5),(78 6142433.5),(79 6377597.5),
(1 6121.925),(2 19043.98),(3 37467.227),(4 59894.42),(5 85463.37),(6 111778.72),(7 139620.06),(8 170279.44),(9 202325.27),(10 239212.42),(11 274737.8),(12 312324.06),(13 350582.88),(14 387988.06),(15 426846.22),(16 464831.3),(17 502969.66),(18 538434.1),(19 574202.06),(20 609108.3),(21 644292.7),(22 682213.25),(23 723059.7),(24 761361.7),(25 803793.56),(26 844692.7),(27 887129.56),(28 933058.7),(29 973280.06),(30 1006420.6),(31 1041248.25),(32 1086083.3),(33 1136650.9),(34 1191123.1),(35 1247038.8),(36 1305216),(37 1362809.9),(38 1430738.9),(39 1510102.6),(40 1579744.6),(41 1647552.5),(42 1711884.5),(43 1771526.1),(44 1826128),(45 1884559.4),(46 1937506.8),(47 1986878.1),(48 2023667.8),(49 2067961.1),(50 2111820),(51 2170239.8),(52 2229689),(53 2285973.8),(54 2347172.5),(55 2401367.8),(56 2450066.3),(57 2502579.5),(58 2553547.8),(59 2599532),(60 2641712),(61 2696313.8),(62 2754391),(63 2816772.5),(64 2878920.5),(65 2945961.5),(66 3010406.8),(67 3080194.3),(68 3155134.3),(69 3250814.8),(70 3339257.5),(71 3437284.5),(72 3526380.5),(73 3618916),(74 3698468.3),(75 3784161),(76 3881880.5),(77 3986541.5),(78 4114984.5),(79 4251292.5),
(1 7914.2573),(2 24986.982),(3 50003.168),(4 81382.95),(5 119781.85),(6 161054.52),(7 205389.64),(8 254322.36),(9 306598.66),(10 362877.13),(11 419169.06),(12 480128.56),(13 544552.06),(14 606759.06),(15 673389.4),(16 734334.9),(17 797748.25),(18 860265.9),(19 912791.7),(20 969282.8),(21 1021017.06),(22 1070458.8),(23 1124930.6),(24 1175155.1),(25 1225096),(26 1270484.5),(27 1320428),(28 1368628),(29 1411990.1),(30 1452873.9),(31 1492615.5),(32 1544849.4),(33 1606271.5),(34 1670233.6),(35 1741032.3),(36 1805532.1),(37 1859298.1),(38 1915025.6),(39 1976658.1),(40 2023906.6),(41 2061711.4),(42 2100577.8),(43 2136265.5),(44 2169062.5),(45 2202728.5),(46 2230029.5),(47 2253895.8),(48 2269875.5),(49 2292523.3),(50 2311821.5),(51 2338845.8),(52 2361112.3),(53 2384730.5),(54 2407155),(55 2415172.3),(56 2423806.5),(57 2427910.5),(58 2427077.3),(59 2438279.3),(60 2447594.8),(61 2472344.3),(62 2514497),(63 2564445.8),(64 2615650.3),(65 2683404),(66 2757691),(67 2844325.8),(68 2921684.3),(69 3025093.3),(70 3124670.8),(71 3232129.5),(72 3335109),(73 3459680.5),(74 3575494.5),(75 3699896.3),(76 3852843.8),(77 3999856),(78 4171713.5),(79 4360531.5),
(1 9016.767),(2 29061.328),(3 57827.75),(4 92730.28),(5 134336.33),(6 180154.44),(7 231089.9),(8 287735.72),(9 348743),(10 413104.75),(11 480164.2),(12 550909.9),(13 627465.2),(14 699162.7),(15 772695.3),(16 837776.25),(17 907175.2),(18 971446.7),(19 1030785.6),(20 1093859.3),(21 1155951.6),(22 1216187.8),(23 1283519.8),(24 1345485.4),(25 1405931),(26 1462246.8),(27 1514977.6),(28 1563084.4),(29 1599055.9),(30 1633848.3),(31 1667581.1),(32 1704743.4),(33 1746367),(34 1782358.3),(35 1820786.4),(36 1848789),(37 1878210.6),(38 1898498.3),(39 1920954.1),(40 1940886.1),(41 1952318.6),(42 1964125.6),(43 1967517.6),(44 1968464.8),(45 1969651),(46 1971744.3),(47 1967764.3),(48 1963284.5),(49 1959440.4),(50 1955626.6),(51 1957655.4),(52 1964825.8),(53 1972765.8),(54 1983308),(55 1989093.9),(56 1994823.3),(57 1999436.3),(58 2007073.4),(59 2017334.6),(60 2027366.9),(61 2051189.4),(62 2081238.6),(63 2120694.3),(64 2172769.5),(65 2232118),(66 2295743.5),(67 2360064.5),(68 2421109.8),(69 2500936),(70 2585820),(71 2679578),(72 2773502.5),(73 2878447.3),(74 2979713.3),(75 3092989.3),(76 3233331.8),(77 3373236.8),(78 3542836.5),(79 3728742),
(1 9156.759),(2 30475.914),(3 60503.105),(4 97236.695),(5 140059.19),(6 185384.03),(7 238021.31),(8 292656),(9 349142),(10 409830.9),(11 472219.66),(12 532396.4),(13 596716.9),(14 658881),(15 717487.1),(16 774313.56),(17 827104.56),(18 876644.06),(19 921761.25),(20 966853.75),(21 1008685.3),(22 1044902.25),(23 1079985.8),(24 1113222.1),(25 1139152.3),(26 1161109.8),(27 1179074.3),(28 1196008),(29 1205591.1),(30 1215704.4),(31 1224113.9),(32 1230782.1),(33 1244429.1),(34 1253626.5),(35 1269836.1),(36 1276699.1),(37 1280189.4),(38 1285962),(39 1290463.8),(40 1298717.1),(41 1301077.5),(42 1315307.3),(43 1328934.5),(44 1350129.3),(45 1368908.6),(46 1386081.5),(47 1414328.6),(48 1427323.1),(49 1457758.1),(50 1479951.8),(51 1508233.5),(52 1542419.6),(53 1566915.5),(54 1605469),(55 1635293.5),(56 1660630.8),(57 1688683.1),(58 1717730.3),(59 1757852.9),(60 1783859.5),(61 1827332.9),(62 1877938),(63 1937842.3),(64 2013066.5),(65 2098143),(66 2180251.5),(67 2261081.5),(68 2340394.8),(69 2441434.8),(70 2531134.3),(71 2628529.3),(72 2726640.8),(73 2851602.3),(74 2966096),(75 3096727),(76 3250987.5),(77 3404046.3),(78 3582797),(79 3774218.3),
(1 7948.1396),(2 25567.328),(3 51375.22),(4 82687.914),(5 118919.31),(6 158441.56),(7 200832.8),(8 246923.23),(9 295031.28),(10 347882.97),(11 400707.2),(12 455434.94),(13 509217.53),(14 559279.2),(15 611695.9),(16 656653.5),(17 702778.3),(18 743079.25),(19 778895.75),(20 816400.56),(21 848966.94),(22 875427.5),(23 901845.5),(24 924717.2),(25 949289.4),(26 969131.5),(27 993326.1),(28 1021618.94),(29 1042167.44),(30 1063664),(31 1087092),(32 1116990.9),(33 1157812.8),(34 1194138),(35 1245242.1),(36 1285483),(37 1341545.5),(38 1402943.8),(39 1465839.4),(40 1547632),(41 1618525.6),(42 1704716.5),(43 1785051),(44 1878977.6),(45 1964777.9),(46 2047417.9),(47 2142012.3),(48 2209689),(49 2292519.5),(50 2354730.3),(51 2422223),(52 2498310),(53 2554234.3),(54 2614173.5),(55 2651092.3),(56 2673417.5),(57 2691650.5),(58 2694311.8),(59 2714207.5),(60 2719007.5),(61 2737336.5),(62 2772016.3),(63 2816174),(64 2879778),(65 2954046.5),(66 3039139.8),(67 3126405.8),(68 3211885),(69 3319489.5),(70 3430983),(71 3548399.8),(72 3675440.5),(73 3827546),(74 3968760),(75 4133375.5),(76 4318869.5),(77 4520752),(78 4746229),(79 4985688),
