1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 203919.42),(2 562485.2),(3 882198.8),(4 1200133.1),(5 1582555),(6 1952062.1),(7 2259436.8),(8 2516771.8),(9 2739225.8),(10 3129988.8),(11 3495771),(12 3884250),(13 4244400.5),(14 4551337.5),(15 4840519.5),(16 5000094.5),(17 5108614.5),(18 5212156),(19 5323537.5),(20 5541835.5),(21 5705391.5),(22 5794377.5),(23 5936660.5),(24 6139368),(25 6366262.5),(26 6696866),(27 6971364.5),(28 7044243.5),(29 7078231.5),(30 6967235.5),(31 6751065.5),(32 6557044.5),(33 6369568.5),(34 6162994.5),(35 5896548),(36 5642412.5),(37 5586348.5),(38 5685145.5),(39 5605832),(40 5358024.5),(41 5190711),(42 5127028),(43 5095940.5),(44 5081890),(45 5224718.5),(46 5390680),(47 5469081.5),(48 5541716),(49 5728868.5),(50 5949642.5),(51 6123184.5),(52 6283025.5),(53 6391623.5),(54 6351994.5),(55 6389570.5),(56 6444578),(57 6553547.5),(58 6465238),(59 6408038.5),(60 6366084),(61 6554661.5),(62 6735674.5),(63 7012985.5),(64 7314306),(65 7440557.5),(66 7337004),(67 7294863.5),(68 7454207.5),(69 7659403.5),(70 7814478),(71 8050631.5),(72 8170805.5),(73 8279106),(74 8325474.5),(75 8217368),(76 8148937.5),(77 8345715.5),(78 8669792),(79 9033312),
(1 223111.16),(2 662881.1),(3 1117840.3),(4 1613749.8),(5 2204103.3),(6 2816994.5),(7 3404249.5),(8 3939708.5),(9 4396017.5),(10 4818380.5),(11 5234889.5),(12 5613347),(13 5964891),(14 6282990),(15 6635734.5),(16 6799597),(17 6817966.5),(18 6671836),(19 6591958.5),(20 6456277),(21 6266292),(22 6097194.5),(23 5920255),(24 5752245),(25 5670899.5),(26 5702191),(27 5845552),(28 5963620),(29 6028488),(30 6054264),(31 5948739),(32 5858359),(33 5851284),(34 5934688),(35 5979088),(36 6024192),(37 6202643),(38 6671985.5),(39 6876529.5),(40 6725643),(41 6679496.5),(42 6500480.5),(43 6135880.5),(44 5947087.5),(45 5877198.5),(46 5850713),(47 5699124),(48 5577769),(49 5506839),(50 5408823),(51 5365043),(52 5472031),(53 5779458.5),(54 6114186),(55 6396395),(56 6600344),(57 6834475),(58 6852555),(59 6599211.5),(60 6259545),(61 6123344),(62 6047767),(63 6139398.5),(64 6233617),(65 6199930.5),(66 6109625),(67 6127893),(68 6184357.5),(69 6267325.5),(70 6506145),(71 6807582.5),(72 6899403),(73 7030080),(74 7094613),(75 7139903),(76 7110209),(77 7152064),(78 7164326.5),(79 7211893.5),
(1 271133.34),(2 852558.2),(3 1540145.6),(4 2310186.8),(5 3150170.8),(6 3996128),(7 4803037.5),(8 5525170.5),(9 6256013.5),(10 6824690.5),(11 7237127.5),(12 7534284),(13 7699493.5),(14 7644336),(15 7529249.5),(16 7330596),(17 7043329.5),(18 6568668),(19 6130739.5),(20 5740024),(21 5385834.5),(22 5039752.5),(23 4817550),(24 4774016.5),(25 4857937.5),(26 5100169.5),(27 5508587.5),(28 5883344),(29 6219829.5),(30 6502649.5),(31 6480982.5),(32 6480884.5),(33 6568710),(34 6629850.5),(35 6634367.5),(36 6466742),(37 6211621.5),(38 6146758.5),(39 6060811.5),(40 5855872),(41 5694878.5),(42 5422227.5),(43 5026126.5),(44 4775323),(45 4683595.5),(46 4687606.5),(47 4653221),(48 4686679.5),(49 4783720.5),(50 4873530),(51 4978140.5),(52 5294528),(53 5845758.5),(54 6366795.5),(55 6850374.5),(56 7262534.5),(57 7491275.5),(58 7334639.5),(59 7018930.5),(60 6732148),(61 6514916),(62 6347933.5),(63 6175032),(64 5937907.5),(65 5699925.5),(66 5512495.5),(67 5419217),(68 5399396),(69 5430273.5),(70 5658041.5),(71 6084094.5),(72 6411438.5),(73 6465633.5),(74 6414858.5),(75 6356952),(76 6248114.5),(77 6126516),(78 5956804),(79 5860978.5),
(1 257856.83),(2 793973.56),(3 1421157.6),(4 1996467.5),(5 2507780),(6 2970615),(7 3355083.5),(8 3660646.3),(9 3973492),(10 4244480),(11 4402939.5),(12 4498550),(13 4612788.5),(14 4638571.5),(15 4588730),(16 4567302),(17 4557490.5),(18 4409794),(19 4271794),(20 4104293.3),(21 3930718.8),(22 3788353),(23 3678124),(24 3638459),(25 3731569.3),(26 3867971.5),(27 4082393.8),(28 4270767),(29 4424910),(30 4522705),(31 4546586.5),(32 4675656),(33 4792554.5),(34 4788802.5),(35 4806659.5),(36 4792907),(37 4760847.5),(38 4679988.5),(39 4627630.5),(40 4579354),(41 4464614.5),(42 4300099.5),(43 4157909.3),(44 4093760.5),(45 4117960),(46 4148633.3),(47 4227360.5),(48 4248750),(49 4309545),(50 4458598),(51 4668608.5),(52 4899396),(53 5213876),(54 5489264),(55 5783398.5),(56 5971440),(57 6026137.5),(58 5940908),(59 5887977),(60 5851879),(61 5827547.5),(62 5821884.5),(63 5840970),(64 5885595.5),(65 5937445.5),(66 5930191),(67 5884974),(68 5791901),(69 5696199),(70 5664842),(71 5713692.5),(72 5696690),(73 5537675),(74 5353094.5),(75 5156885.5),(76 5031221.5),(77 5054212.5),(78 5175604.5),(79 5338328),
(1 251560.69),(2 747158.6),(3 1277073.9),(4 1771491.9),(5 2277450.3),(6 2729234.3),(7 3054361),(8 3203164),(9 3271923),(10 3357957),(11 3492944.8),(12 3687187),(13 3888717),(14 3999112.8),(15 4042654.5),(16 4017341.5),(17 4007181.8),(18 3988469),(19 3995026.3),(20 4032418.3),(21 4032907.3),(22 4039083.8),(23 4052211.8),(24 4082686.5),(25 4132891.8),(26 4130383.3),(27 4182811.3),(28 4198221),(29 4248971.5),(30 4307764.5),(31 4308187),(32 4387117),(33 4482272.5),(34 4434375),(35 4336328),(36 4249331.5),(37 4259181.5),(38 4267502),(39 4275441.5),(40 4204308.5),(41 4058579.3),(42 3899052.3),(43 3759268.3),(44 3710343.3),(45 3700869),(46 3750036),(47 3867044.3),(48 3837597.8),(49 3755789.8),(50 3805187),(51 3950447),(52 4141497.5),(53 4418834),(54 4559554),(55 4643502.5),(56 4651231.5),(57 4682678.5),(58 4759065.5),(59 4865457),(60 4908584.5),(61 4963568.5),(62 5013336.5),(63 5049870.5),(64 5121789),(65 5237595.5),(66 5349080.5),(67 5378214),(68 5348441),(69 5319575.5),(70 5349418.5),(71 5312131),(72 5203406),(73 4986336.5),(74 4726849.5),(75 4491558),(76 4307995.5),(77 4294804.5),(78 4412879.5),(79 4616580.5),
(1 272377.84),(2 844557.2),(3 1429758.6),(4 1909684),(5 2354211.5),(6 2767025.3),(7 3093706.8),(8 3424974.8),(9 3607705.3),(10 3538335.3),(11 3448032),(12 3473646.5),(13 3609628.8),(14 3673863.3),(15 3658859.3),(16 3636546.5),(17 3576469.5),(18 3455757.3),(19 3361907.3),(20 3244692.5),(21 3229674),(22 3277101.5),(23 3352974.8),(24 3592454.5),(25 3911743.3),(26 4236859),(27 4460839),(28 4425876.5),(29 4207247.5),(30 3952336.8),(31 3776242.5),(32 3644371.5),(33 3605620.8),(34 3600467.3),(35 3581264),(36 3489508.8),(37 3478716.8),(38 3542973.5),(39 3663729.5),(40 3773686),(41 3787038.5),(42 3694559.5),(43 3574112.8),(44 3550156.8),(45 3571904.8),(46 3553603.5),(47 3559108.5),(48 3538284),(49 3518209.5),(50 3602148.5),(51 3705515.3),(52 3789960.5),(53 3981587.3),(54 4174522.8),(55 4348773),(56 4467416),(57 4628890.5),(58 4768203),(59 4841951.5),(60 4776816),(61 4580165.5),(62 4362922.5),(63 4196700),(64 4030207.3),(65 3938655.3),(66 3913294.8),(67 3921452),(68 3927826.5),(69 4067666.5),(70 4187915.3),(71 4224289),(72 4226837),(73 4104969.5),(74 3957967.3),(75 3895511.3),(76 3818235.3),(77 3767871.3),(78 3831522.5),(79 3973070.8),
(1 319794.63),(2 1036431.94),(3 1693206.6),(4 2166252),(5 2627906.3),(6 3047287),(7 3240938.3),(8 3196736),(9 3158682.5),(10 3182164.3),(11 3261268.3),(12 3354483.8),(13 3471299.5),(14 3592859),(15 3661982.3),(16 3631907.5),(17 3511859),(18 3340548.5),(19 3193383.5),(20 3103602.3),(21 3025098.8),(22 2914868),(23 2831534.3),(24 2849797.5),(25 3039829.5),(26 3363414.3),(27 3629561.8),(28 3573413.5),(29 3345770.8),(30 3118264),(31 2984729.5),(32 2916975.8),(33 2913024.5),(34 2939140.3),(35 3002937),(36 3041475.5),(37 3165450.3),(38 3314497.8),(39 3384465.8),(40 3368501),(41 3325204),(42 3278707.8),(43 3204511.5),(44 3180993.3),(45 3311854.8),(46 3482926.5),(47 3585618.3),(48 3602443.8),(49 3597152.3),(50 3649182.3),(51 3665981),(52 3558717),(53 3522297),(54 3636081.8),(55 3868117.5),(56 4069932),(57 4252801.5),(58 4336101),(59 4377739.5),(60 4441469),(61 4502423.5),(62 4524345),(63 4465934),(64 4309895),(65 4166887.8),(66 4051393.8),(67 4053542.5),(68 4106556),(69 4179415.8),(70 4160163.8),(71 4015084.5),(72 3813229.5),(73 3655484.3),(74 3619808.3),(75 3685941),(76 3606395.8),(77 3559352.3),(78 3568224.3),(79 3664310.5),
(1 367335.7),(2 1108869.1),(3 1628739.4),(4 1795721.3),(5 1946007.9),(6 2257516.5),(7 2427470.3),(8 2293681.5),(9 2143271.5),(10 2167901.8),(11 2369671.8),(12 2507365.5),(13 2519855.8),(14 2541135.5),(15 2664566.5),(16 2781381.8),(17 2769689.5),(18 2582283),(19 2439796.3),(20 2392317.3),(21 2382424.8),(22 2287187.8),(23 2203774),(24 2251334.3),(25 2444846.8),(26 2713924.3),(27 2875753.3),(28 2810259.5),(29 2626657.8),(30 2405700),(31 2240643.8),(32 2182209.3),(33 2180027.5),(34 2198766.3),(35 2266418.3),(36 2351867),(37 2507039.5),(38 2633077.8),(39 2699647.5),(40 2598093.8),(41 2388979.8),(42 2229847),(43 2220661.5),(44 2299439),(45 2417034.5),(46 2613575.3),(47 2874875.8),(48 3009903.5),(49 3095949.3),(50 3088463.5),(51 2994163.8),(52 2873763.5),(53 2825983),(54 2731304.5),(55 2653223.3),(56 2627683),(57 2703419.5),(58 2780215.5),(59 2836402.3),(60 2890478.3),(61 2961661.5),(62 2980948.3),(63 2979714.8),(64 2925943.3),(65 2811242.3),(66 2680561.3),(67 2611593.5),(68 2627156.3),(69 2780233.8),(70 2900063.8),(71 2905584.5),(72 2818532.8),(73 2733287),(74 2703706.8),(75 2757615.3),(76 2668023.5),(77 2610774.8),(78 2701403.3),(79 2842954.3),
(1 452591.13),(2 1237967.9),(3 1659433.5),(4 1668397.9),(5 1717666.3),(6 2009840.8),(7 2199254.5),(8 2074801.1),(9 1914818.6),(10 1946270.6),(11 2087782.4),(12 2072056),(13 1930389.6),(14 1841333.9),(15 1917330.1),(16 2008043.8),(17 2004379),(18 1873675.8),(19 1823962.4),(20 1887746.4),(21 2011908.3),(22 1992222.1),(23 1910619.8),(24 1888054.5),(25 2039241),(26 2258723.5),(27 2321630.5),(28 2110144.5),(29 1957356.8),(30 1938370.4),(31 1932725.6),(32 1876093.1),(33 1824523.1),(34 1890998.8),(35 2037564.5),(36 2123422.8),(37 2273860),(38 2438927.5),(39 2455505.5),(40 2296669.3),(41 2091672),(42 2002376),(43 2126618),(44 2276789),(45 2237383),(46 2122377),(47 2195977.3),(48 2339572.3),(49 2409306.3),(50 2350886.5),(51 2257690.8),(52 2172137.5),(53 2206220.8),(54 2260083.3),(55 2273965.8),(56 2205433),(57 2218930.8),(58 2211557.8),(59 2224258.8),(60 2290388.8),(61 2338128),(62 2284078),(63 2265309.3),(64 2360066.3),(65 2521609.5),(66 2586942.5),(67 2558779.3),(68 2462983.5),(69 2405778.3),(70 2406729.3),(71 2420178),(72 2424298.3),(73 2431147.3),(74 2406080.5),(75 2308221.3),(76 2158239.8),(77 2135909.3),(78 2212480.5),(79 2291158.3),
(1 429269.28),(2 1223666.8),(3 1724024.9),(4 1810470.3),(5 1839166.5),(6 2023858.6),(7 2155440.3),(8 2039294.6),(9 1855076.5),(10 1802341.4),(11 1847181.8),(12 1840878.9),(13 1805749.6),(14 1759394.1),(15 1768243.4),(16 1821399),(17 1876158.3),(18 1826719.5),(19 1789909.8),(20 1845179.3),(21 1972303.5),(22 1996158),(23 1892249.4),(24 1796434.1),(25 1865918.6),(26 2049071.4),(27 2151207.5),(28 1946539.4),(29 1817385.4),(30 1901613.8),(31 1910733.8),(32 1789940.9),(33 1670415.5),(34 1698966.6),(35 1870473.4),(36 1969982),(37 2030582.3),(38 2114269.3),(39 2180045),(40 2087404),(41 1920401.8),(42 1873765.8),(43 1975166.9),(44 2164434.8),(45 2188224),(46 2103626.5),(47 2130031),(48 2095354.9),(49 1997512.9),(50 1891370.6),(51 1873499.8),(52 1871068.9),(53 1890956.6),(54 1910954.6),(55 1919152.5),(56 1902204.9),(57 1955608),(58 1990925.8),(59 2066783.4),(60 2135835.5),(61 2132828.8),(62 2018872),(63 1920832.5),(64 1989526.5),(65 2183911.5),(66 2249728.3),(67 2212203),(68 2090826),(69 1987126.6),(70 1938537.8),(71 1941660.5),(72 1988948),(73 2078098.9),(74 2143145.5),(75 2134903),(76 2100571.5),(77 2156864.3),(78 2182751.3),(79 2167127),
(1 365071.06),(2 1026263.75),(3 1404970.6),(4 1480298.1),(5 1481569.9),(6 1536396.5),(7 1638280.5),(8 1692874.1),(9 1735757.3),(10 1749132.6),(11 1712607.5),(12 1666296.5),(13 1635455.8),(14 1626170.4),(15 1669908.4),(16 1756297.4),(17 1863571.4),(18 1898126.3),(19 1892022.3),(20 1867585.3),(21 1885272.4),(22 1892073.6),(23 1816149.4),(24 1707617.4),(25 1754628),(26 1748395.8),(27 1740544),(28 1668748.8),(29 1622125.9),(30 1685274),(31 1732954.9),(32 1693701.6),(33 1617701.4),(34 1539234.8),(35 1539622),(36 1592521),(37 1640170),(38 1631510.1),(39 1630403),(40 1668936.1),(41 1665343.9),(42 1657305.4),(43 1693427.6),(44 1821271.5),(45 1929669),(46 1882431.4),(47 1864174.9),(48 1789396),(49 1729770.4),(50 1719972.5),(51 1745924.3),(52 1764598.3),(53 1742657.1),(54 1693595.3),(55 1696010.1),(56 1761874.8),(57 1861205.8),(58 1933203),(59 2009954.6),(60 2084256.8),(61 2101912.5),(62 1993730.4),(63 1912339.5),(64 1912611),(65 1958911.4),(66 1953487.5),(67 1898215.5),(68 1762468.5),(69 1618381.1),(70 1564618.9),(71 1616456),(72 1730408.5),(73 1772127.4),(74 1786657),(75 1826295),(76 1852866.8),(77 1979987),(78 2004460.8),(79 1962410.4),
