1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 92231.03),(2 133166.27),(3 152210.52),(4 295503.75),(5 411003.16),(6 488588.47),(7 673757.5),(8 833573),(9 953753.2),(10 1160393.3),(11 1318830.1),(12 1423221.4),(13 1619100),(14 1771095.4),(15 1889891.5),(16 2081755.6),(17 2249083.3),(18 2379292.3),(19 2578632.5),(20 2745734.8),(21 2885759.3),(22 3125599.8),(23 3323853.3),(24 3514476.3),(25 3818040.8),(26 4032244.3),(27 4270786),(28 4596269),(29 4860846.5),(30 5128688),(31 5502332),(32 5855480),(33 6208414.5),(34 6598030.5),(35 6958573.5),(36 7323210),(37 7756801.5),(38 8152624.5),(39 8594641),(40 9073397),(41 9505825),(42 10001683),(43 10556910),(44 10956949),(45 11471476),(46 11991520),(47 12500183),(48 13077337),(49 13579067),(50 14048900),(51 14619764),(52 15102763),(53 15553901),(54 16040559),(55 16537193),(56 16957738),(57 17491090),(58 18078786),(59 18543018),(60 19078690),(61 19586766),(62 20053918),(63 20617920),(64 21117974),(65 21536784),(66 22034644),(67 22602774),(68 23097546),(69 23563326),(70 24092910),(71 24548032),(72 25067936),(73 25780250),(74 26239174),(75 26860106),(76 27440698),(77 27914864),(78 28454842),(79 28964026),
(1 47894.28),(2 108960.14),(3 183563.55),(4 320045.94),(5 461017.16),(6 601772.2),(7 796374.1),(8 999473),(9 1199193),(10 1444178.8),(11 1696540.4),(12 1938760.8),(13 2220889),(14 2502949.5),(15 2764728),(16 3074261.3),(17 3375381.3),(18 3670612.8),(19 4001542.8),(20 4350804),(21 4701358.5),(22 5084735.5),(23 5494543),(24 5927799),(25 6407848),(26 6894640),(27 7414475),(28 7968241),(29 8548194),(30 9137411),(31 9769957),(32 10442111),(33 11110301),(34 11776008),(35 12455718),(36 13125695),(37 13848426),(38 14602909),(39 15401966),(40 16221072),(41 17082058),(42 17928474),(43 18848508),(44 19765558),(45 20652130),(46 21596070),(47 22624284),(48 23647666),(49 24693324),(50 25750348),(51 26841846),(52 27936444),(53 29028090),(54 30098400),(55 31234170),(56 32403888),(57 33613676),(58 34835680),(59 36119690),(60 37359320),(61 38561420),(62 39751590),(63 40966372),(64 42138548),(65 43245560),(66 44332428),(67 45422530),(68 46500684),(69 47502156),(70 48427256),(71 49352520),(72 50189910),(73 51014230),(74 51755508),(75 52436350),(76 52989784),(77 53511170),(78 53967190),(79 54337400),
(1 41983.047),(2 119714.836),(3 235786.58),(4 414412.9),(5 619199.2),(6 849715.3),(7 1137427),(8 1442787.6),(9 1770345),(10 2153272.8),(11 2550523.3),(12 2984199),(13 3481838),(14 3976151.3),(15 4503390.5),(16 5092222),(17 5690973.5),(18 6318843.5),(19 6997502),(20 7701411.5),(21 8432125),(22 9226892),(23 10038732),(24 10917519),(25 11847207),(26 12775417),(27 13751008),(28 14794328),(29 15823943),(30 16885360),(31 17979600),(32 19079762),(33 20192924),(34 21305774),(35 22339748),(36 23391370),(37 24477350),(38 25569770),(39 26711776),(40 27885954),(41 29026122),(42 30150010),(43 31353498),(44 32474854),(45 33587120),(46 34748652),(47 35931200),(48 37171184),(49 38424012),(50 39616452),(51 40826412),(52 42165028),(53 43365028),(54 44555020),(55 45828290),(56 47070988),(57 48335520),(58 49609180),(59 50853052),(60 52054110),(61 53187790),(62 54237068),(63 55299244),(64 56360148),(65 57250524),(66 58166750),(67 59131536),(68 60016384),(69 60796260),(70 61572388),(71 62255070),(72 62826190),(73 63395170),(74 63856096),(75 64194540),(76 64483668),(77 64658324),(78 64726220),(79 64801376),
(1 48900.77),(2 165617.77),(3 349583.94),(4 608341.25),(5 922861.44),(6 1286583.3),(7 1713160.9),(8 2184154.3),(9 2694808.5),(10 3251801.3),(11 3842079),(12 4471659.5),(13 5139732),(14 5822647.5),(15 6526372.5),(16 7280316.5),(17 8037975),(18 8815135),(19 9610638),(20 10425700),(21 11271060),(22 12107367),(23 12978789),(24 13856231),(25 14750753),(26 15667595),(27 16598231),(28 17512306),(29 18442844),(30 19384184),(31 20347924),(32 21344168),(33 22324584),(34 23293256),(35 24293024),(36 25272964),(37 26270594),(38 27244786),(39 28222280),(40 29177704),(41 30152078),(42 31112022),(43 32003420),(44 32906294),(45 33810860),(46 34617264),(47 35406508),(48 36153870),(49 36849840),(50 37536460),(51 38219264),(52 38825670),(53 39381384),(54 39883370),(55 40341428),(56 40738796),(57 41105876),(58 41321944),(59 41530480),(60 41660052),(61 41681250),(62 41626180),(63 41549916),(64 41400404),(65 41230416),(66 41088404),(67 40881170),(68 40661988),(69 40446044),(70 40175004),(71 39899556),(72 39657080),(73 39328110),(74 39025450),(75 38744216),(76 38410960),(77 38099570),(78 37819940),(79 37567530),
(1 54591.86),(2 200089.34),(3 436589.6),(4 765270.75),(5 1179091.6),(6 1661919.3),(7 2228801.5),(8 2867347),(9 3572027.3),(10 4343089.5),(11 5177395),(12 6065209.5),(13 7004813),(14 7990481.5),(15 9008544),(16 10059471),(17 11124164),(18 12210793),(19 13288649),(20 14359753),(21 15429481),(22 16472143),(23 17494626),(24 18500590),(25 19463764),(26 20397592),(27 21325726),(28 22186774),(29 23009038),(30 23794188),(31 24522944),(32 25200960),(33 25838242),(34 26401460),(35 26892748),(36 27342138),(37 27727566),(38 28056652),(39 28375016),(40 28645236),(41 28893416),(42 29139020),(43 29331218),(44 29475796),(45 29663424),(46 29776792),(47 29841886),(48 29910958),(49 29939970),(50 29944424),(51 29942042),(52 29937030),(53 29891672),(54 29836590),(55 29763380),(56 29667462),(57 29573282),(58 29400914),(59 29225594),(60 29023156),(61 28766104),(62 28466816),(63 28186036),(64 27874520),(65 27563380),(66 27296178),(67 27009294),(68 26728798),(69 26470528),(70 26191198),(71 25921950),(72 25695392),(73 25424942),(74 25160436),(75 24913650),(76 24641460),(77 24371174),(78 24104952),(79 23841120),
(1 52795.99),(2 193823.23),(3 420961.8),(4 740566.9),(5 1140545.4),(6 1614415.1),(7 2175803),(8 2796530.3),(9 3483596),(10 4263701),(11 5102667),(12 5986582.5),(13 6948542.5),(14 7949629),(15 8966352),(16 10005021),(17 11064728),(18 12129042),(19 13221438),(20 14316464),(21 15386909),(22 16494213),(23 17579818),(24 18618980),(25 19695864),(26 20743304),(27 21709500),(28 22637722),(29 23539976),(30 24350000),(31 25106836),(32 25779384),(33 26378462),(34 26936548),(35 27472016),(36 27931168),(37 28364620),(38 28743524),(39 29061908),(40 29358316),(41 29628678),(42 29886332),(43 30117318),(44 30290052),(45 30481196),(46 30624294),(47 30738022),(48 30875898),(49 31010458),(50 31110996),(51 31182384),(52 31338582),(53 31484852),(54 31618384),(55 31720378),(56 31812988),(57 31883818),(58 31900676),(59 31914400),(60 31916148),(61 31870352),(62 31778678),(63 31668244),(64 31557868),(65 31406540),(66 31233084),(67 31041082),(68 30824358),(69 30603888),(70 30355100),(71 30098086),(72 29843348),(73 29570838),(74 29244934),(75 28903174),(76 28563674),(77 28191100),(78 27818708),(79 27451756),
(1 58840.695),(2 220419.72),(3 476195.84),(4 824750.4),(5 1256918.6),(6 1764214.8),(7 2346551.8),(8 2981315.8),(9 3679437.8),(10 4446779.5),(11 5274176),(12 6139829),(13 7063223),(14 8000893),(15 8975651),(16 9928249),(17 10941614),(18 11943329),(19 12947769),(20 13963694),(21 14950302),(22 15938210),(23 16920130),(24 17847268),(25 18814652),(26 19733176),(27 20590562),(28 21382286),(29 22144268),(30 22815128),(31 23419126),(32 23942636),(33 24397384),(34 24760996),(35 25072854),(36 25298196),(37 25461508),(38 25567284),(39 25612676),(40 25602602),(41 25562382),(42 25468914),(43 25333494),(44 25140952),(45 24937182),(46 24670008),(47 24433832),(48 24214372),(49 23976064),(50 23765966),(51 23545700),(52 23359414),(53 23213012),(54 23094760),(55 22983766),(56 22890732),(57 22800906),(58 22697610),(59 22625524),(60 22582904),(61 22524426),(62 22457240),(63 22418328),(64 22377438),(65 22328182),(66 22299542),(67 22250954),(68 22189816),(69 22129620),(70 22052320),(71 21963574),(72 21866204),(73 21725998),(74 21588354),(75 21444434),(76 21263030),(77 21085706),(78 20915364),(79 20742988),
(1 57829.445),(2 217303.58),(3 471623.97),(4 815583.75),(5 1237173.9),(6 1741114.5),(7 2319252.8),(8 2944978.5),(9 3632666.8),(10 4389470.5),(11 5196465),(12 6050915.5),(13 6952898),(14 7870207),(15 8830785),(16 9780924),(17 10741203),(18 11708574),(19 12658944),(20 13570821),(21 14460625),(22 15317220),(23 16110534),(24 16859682),(25 17571518),(26 18189672),(27 18753216),(28 19257358),(29 19691108),(30 20051260),(31 20338692),(32 20529062),(33 20647246),(34 20677592),(35 20643872),(36 20556684),(37 20439322),(38 20261500),(39 20027666),(40 19764526),(41 19476372),(42 19163448),(43 18841538),(44 18494586),(45 18170808),(46 17844450),(47 17540606),(48 17277210),(49 17038298),(50 16819500),(51 16630726),(52 16491289),(53 16384742),(54 16322692),(55 16309343),(56 16316541),(57 16349502),(58 16393175),(59 16438135),(60 16498954),(61 16556075),(62 16593882),(63 16633830),(64 16647119),(65 16652683),(66 16671125),(67 16655836),(68 16618795),(69 16576410),(70 16491567),(71 16388371),(72 16289705),(73 16175411),(74 16056285),(75 15950793),(76 15820103),(77 15687979),(78 15575876),(79 15452041),
(1 66348.87),(2 257826.36),(3 569272.8),(4 991674.8),(5 1518734.9),(6 2141044),(7 2843895.5),(8 3621377.5),(9 4476023.5),(10 5392301),(11 6370777.5),(12 7376921.5),(13 8402401),(14 9442329),(15 10481168),(16 11482078),(17 12475177),(18 13430842),(19 14307954),(20 15141331),(21 15911415),(22 16611448),(23 17247408),(24 17786800),(25 18241460),(26 18606166),(27 18899930),(28 19091042),(29 19222946),(30 19261478),(31 19202542),(32 19062860),(33 18868378),(34 18593194),(35 18291452),(36 17960016),(37 17605698),(38 17226488),(39 16850896),(40 16463836),(41 16093798),(42 15745318),(43 15404621),(44 15065953),(45 14770962),(46 14471674),(47 14200414),(48 13953669),(49 13724606),(50 13518616),(51 13344526),(52 13203661),(53 13089992),(54 12998975),(55 12922950),(56 12849706),(57 12784120),(58 12696698),(59 12604079),(60 12509591),(61 12389355),(62 12246699),(63 12098118),(64 11934741),(65 11762325),(66 11598916),(67 11420115),(68 11246553),(69 11091881),(70 10939435),(71 10799304),(72 10676009),(73 10555578),(74 10457752),(75 10397588),(76 10333161),(77 10292367),(78 10279762),(79 10287565),
(1 69553.98),(2 267191.22),(3 589633.1),(4 1026862.25),(5 1571764.9),(6 2207288.8),(7 2923667),(8 3711690.5),(9 4574968.5),(10 5500002.5),(11 6464130.5),(12 7441473.5),(13 8443241),(14 9441842),(15 10419783),(16 11351001),(17 12248156),(18 13085767),(19 13861919),(20 14568775),(21 15208452),(22 15778859),(23 16276996),(24 16697120),(25 17058654),(26 17336396),(27 17546052),(28 17682618),(29 17759928),(30 17759942),(31 17699712),(32 17583208),(33 17429696),(34 17231642),(35 16994474),(36 16728782),(37 16454489),(38 16164064),(39 15856960),(40 15533429),(41 15215662),(42 14897033),(43 14573055),(44 14248112),(45 13934540),(46 13616628),(47 13297465),(48 12971032),(49 12645474),(50 12322971),(51 12000900),(52 11685493),(53 11380897),(54 11091960),(55 10808071),(56 10538795),(57 10284772),(58 10031540),(59 9794754),(60 9576065),(61 9367649),(62 9177072),(63 9022564),(64 8898053),(65 8805561),(66 8736656),(67 8689939),(68 8651793),(69 8637442),(70 8633183),(71 8636269),(72 8652696),(73 8671892),(74 8699718),(75 8730289),(76 8765503),(77 8799220),(78 8823436),(79 8853636),
(1 59132.426),(2 226217.81),(3 496741.06),(4 857744.7),(5 1299583.8),(6 1807671.8),(7 2376779),(8 2990034),(9 3654869.8),(10 4360742),(11 5085225.5),(12 5808587),(13 6527885.5),(14 7215719),(15 7873592.5),(16 8469677),(17 9027830),(18 9508061),(19 9914963),(20 10247871),(21 10507511),(22 10720085),(23 10868446),(24 10953680),(25 11011488),(26 11027567),(27 11023318),(28 10993809),(29 10963264),(30 10922337),(31 10870468),(32 10830387),(33 10803385),(34 10778504),(35 10765190),(36 10757221),(37 10754597),(38 10766379),(39 10789733),(40 10810744),(41 10816945),(42 10803047),(43 10780521),(44 10737147),(45 10724742),(46 10681487),(47 10633701),(48 10566969),(49 10494323),(50 10408770),(51 10301222),(52 10194891),(53 10073010),(54 9925860),(55 9774920),(56 9599763),(57 9408105),(58 9198850),(59 8980562),(60 8757611),(61 8527888),(62 8304807.5),(63 8094165.5),(64 7909856),(65 7743276.5),(66 7606809.5),(67 7495286.5),(68 7406064),(69 7339871.5),(70 7292732),(71 7272615.5),(72 7272912),(73 7293146.5),(74 7336299.5),(75 7395422),(76 7463523),(77 7536346.5),(78 7605467.5),(79 7680602.5),
