1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 271305.6),(2 988509.94),(3 2018035),(4 3240127.3),(5 4566155.5),(6 6079101.5),(7 7703930.5),(8 9274251),(9 10840888),(10 12398589),(11 13962916),(12 15488357),(13 17005116),(14 18319566),(15 19605718),(16 20989766),(17 22470058),(18 24130688),(19 25902058),(20 27781248),(21 29745970),(22 31624896),(23 33395818),(24 35187284),(25 36857424),(26 38460708),(27 40157940),(28 41914016),(29 43404036),(30 45226108),(31 47376012),(32 49628108),(33 52288864),(34 55263890),(35 58038690),(36 60801916),(37 63215628),(38 65465108),(39 67651650),(40 69593890),(41 71061270),(42 72325320),(43 73721050),(44 75208390),(45 77023990),(46 79216696),(47 81553384),(48 84163240),(49 87124220),(50 90020730),(51 92894264),(52 96014250),(53 99244350),(54 102391810),(55 105377304),(56 107946590),(57 110165430),(58 112544490),(59 114955070),(60 117173544),(61 118987910),(62 121481400),(63 124437030),(64 127886490),(65 131899010),(66 136358980),(67 140774510),(68 144821710),(69 149584140),(70 154340220),(71 159023500),(72 163980830),(73 169093520),(74 173113740),(75 177049810),(76 181102540),(77 185352400),(78 190433870),(79 195950020),
(1 228206.7),(2 821646.56),(3 1681500.8),(4 2722098.8),(5 3799725.3),(6 4915947),(7 6072994.5),(8 7218734.5),(9 8340753.5),(10 9512139),(11 10677026),(12 11706470),(13 12627501),(14 13430218),(15 14215734),(16 14981208),(17 15690970),(18 16391784),(19 17032288),(20 17583526),(21 18196196),(22 18914820),(23 19797324),(24 20852654),(25 21998578),(26 23103700),(27 24275644),(28 25424522),(29 26770604),(30 28241722),(31 29935276),(32 31973558),(33 33987924),(34 36214464),(35 38512908),(36 40704970),(37 42584544),(38 44372864),(39 46263530),(40 48263110),(41 50273036),(42 52119004),(43 54016716),(44 56101544),(45 58249630),(46 60440756),(47 62608280),(48 64678710),(49 66468428),(50 68202350),(51 69832216),(52 71434480),(53 72887420),(54 74103960),(55 75084120),(56 75969870),(57 76725720),(58 77718216),(59 78931990),(60 80356160),(61 81771630),(62 83076250),(63 84417390),(64 85881170),(65 87474264),(66 89063410),(67 90498050),(68 91699210),(69 93182056),(70 94734990),(71 96424670),(72 98318344),(73 100528330),(74 102632020),(75 105174640),(76 107840360),(77 110606930),(78 113698776),(79 116925720),
(1 309816.28),(2 1163767.5),(3 2460236.3),(4 4074830),(5 5866194.5),(6 7789472),(7 9868636),(8 12112875),(9 14401712),(10 16724032),(11 19089078),(12 21411746),(13 23670614),(14 25957030),(15 28268336),(16 30529840),(17 32731824),(18 34845300),(19 36865060),(20 38733572),(21 40280372),(22 41739120),(23 43149028),(24 44493870),(25 45773580),(26 47034180),(27 48473644),(28 49921824),(29 51497172),(30 53167764),(31 55047460),(32 57181840),(33 59329780),(34 61450588),(35 63557380),(36 65711840),(37 67864600),(38 69955000),(39 72242056),(40 74680280),(41 77117450),(42 79628620),(43 82326750),(44 85059240),(45 87884300),(46 90742490),(47 93623960),(48 96637464),(49 99712536),(50 103224776),(51 107051580),(52 111188950),(53 115426520),(54 120053310),(55 124963176),(56 129934470),(57 135026450),(58 140234500),(59 145849260),(60 151714670),(61 157478640),(62 163501900),(63 169251410),(64 174530880),(65 179132670),(66 183064590),(67 186328530),(68 188938350),(69 191280560),(70 193595840),(71 195642500),(72 197347580),(73 198672640),(74 199497730),(75 200061230),(76 200648020),(77 201110220),(78 201189390),(79 201017010),
(1 387914.63),(2 1479858.6),(3 3208806.8),(4 5486674.5),(5 8214367),(6 11324407),(7 14796532),(8 18583862),(9 22583426),(10 26662176),(11 30840640),(12 35090256),(13 39383636),(14 43736740),(15 48091704),(16 52453520),(17 56697424),(18 60850190),(19 64861696),(20 68727060),(21 72206180),(22 75293970),(23 78252400),(24 80980584),(25 83498980),(26 85684570),(27 87750820),(28 89716830),(29 91603560),(30 93423870),(31 94981260),(32 96265190),(33 97580410),(34 98683480),(35 99788970),(36 100947970),(37 102159784),(38 103267176),(39 104283224),(40 105145064),(41 105885040),(42 106348320),(43 106687840),(44 106564490),(45 106085030),(46 105310680),(47 104261120),(48 102973150),(49 101573160),(50 100037064),(51 98336430),(52 96557130),(53 94712130),(54 92846220),(55 90963976),(56 89290290),(57 87928184),(58 86890780),(59 86166170),(60 85638820),(61 85132130),(62 84722904),(63 84453160),(64 83948320),(65 83235030),(66 82530980),(67 82113496),(68 81917220),(69 81729336),(70 81945510),(71 82311240),(72 82695310),(73 83030030),(74 83266136),(75 83516680),(76 83914620),(77 84346100),(78 85031640),(79 85809080),
(1 316977.22),(2 1217477.1),(3 2634371),(4 4483317.5),(5 6677604.5),(6 9165904),(7 11838128),(8 14602976),(9 17466780),(10 20430642),(11 23412744),(12 26453026),(13 29533498),(14 32594008),(15 35485412),(16 38248908),(17 40945820),(18 43529844),(19 45997204),(20 48388024),(21 50757910),(22 52943704),(23 55039284),(24 56961988),(25 58746916),(26 60349850),(27 61844656),(28 63254492),(29 64551270),(30 65940560),(31 67193090),(32 68314560),(33 69610650),(34 70798950),(35 71778824),(36 72485336),(37 73027400),(38 73418616),(39 73712290),(40 73860104),(41 73818744),(42 73659080),(43 73468190),(44 72981400),(45 72397870),(46 71751630),(47 70935750),(48 70060500),(49 69277600),(50 68618180),(51 67981500),(52 67298360),(53 66554956),(54 65723344),(55 64880012),(56 64215396),(57 63874340),(58 63995996),(59 64284840),(60 64811612),(61 65457220),(62 66110108),(63 66938292),(64 67591736),(65 67995544),(66 68413610),(67 69024260),(68 69763800),(69 70380330),(70 71044550),(71 71597580),(72 72121090),(73 72597560),(74 72889390),(75 73245320),(76 73623816),(77 73878010),(78 74129770),(79 74390470),
(1 247762.03),(2 935428.8),(3 2016237.6),(4 3457028.8),(5 5214509.5),(6 7251921),(7 9502343),(8 11934941),(9 14489712),(10 17236148),(11 20125694),(12 23141466),(13 26226404),(14 29359900),(15 32453286),(16 35547624),(17 38709416),(18 41873520),(19 45152468),(20 48425668),(21 51819456),(22 55036844),(23 58040160),(24 60892812),(25 63501000),(26 65841624),(27 67956400),(28 69900264),(29 71664820),(30 73287060),(31 74598610),(32 75414930),(33 76039464),(34 76582376),(35 76792430),(36 76899544),(37 76830800),(38 76448140),(39 75766270),(40 74787790),(41 73463220),(42 71770630),(43 69912260),(44 68104080),(45 66191156),(46 64171350),(47 62106370),(48 60106216),(49 58097664),(50 56183784),(51 54350970),(52 52695184),(53 51225316),(54 49885960),(55 48718964),(56 47708160),(57 46710956),(58 45585016),(59 44651810),(60 43903828),(61 43357944),(62 43049820),(63 43021336),(64 43146264),(65 43289880),(66 43415520),(67 43575670),(68 43766390),(69 43892924),(70 44151148),(71 44396264),(72 44570296),(73 44774644),(74 44890890),(75 45092440),(76 45208680),(77 45305160),(78 45292296),(79 45336852),
(1 283103.47),(2 1060666),(3 2254546.3),(4 3811897.5),(5 5664841),(6 7788903.5),(7 10173161),(8 12725617),(9 15351614),(10 18081710),(11 20869864),(12 23605728),(13 26264632),(14 28785346),(15 31131954),(16 33272674),(17 35185356),(18 36701700),(19 38021340),(20 39122856),(21 40078504),(22 40750964),(23 41144824),(24 41328910),(25 41297070),(26 41102844),(27 40810416),(28 40397852),(29 40035310),(30 39759164),(31 39576050),(32 39547936),(33 39870584),(34 40496468),(35 41292012),(36 42114280),(37 42930904),(38 43953290),(39 45044600),(40 46145090),(41 47187324),(42 48241916),(43 49308332),(44 50077892),(45 50661670),(46 51084052),(47 51137790),(48 50745816),(49 50108948),(50 49200570),(51 48190144),(52 47171292),(53 46121016),(54 45116132),(55 44194428),(56 43264956),(57 42430612),(58 41639492),(59 41014910),(60 40647068),(61 40412284),(62 40401244),(63 40603350),(64 41109456),(65 41717144),(66 42421740),(67 43005010),(68 43531244),(69 44091850),(70 44702188),(71 45520156),(72 46488956),(73 47443600),(74 48376784),(75 49348910),(76 50336740),(77 51243730),(78 52102800),(79 52844250),
(1 253392.95),(2 960654.7),(3 2072545.4),(4 3502138.5),(5 5175782.5),(6 7027889),(7 8999357),(8 11010727),(9 13086485),(10 15182310),(11 17339014),(12 19568978),(13 21878230),(14 24181540),(15 26540118),(16 28886152),(17 31250846),(18 33399454),(19 35439170),(20 37392724),(21 39213452),(22 41081850),(23 43003804),(24 44847564),(25 46485116),(26 47924012),(27 49002244),(28 49669630),(29 50198790),(30 50589140),(31 50768732),(32 50804148),(33 50836856),(34 50760256),(35 50576104),(36 50232420),(37 49751930),(38 49196100),(39 48643812),(40 48086180),(41 47516676),(42 46995452),(43 46425148),(44 45677028),(45 44877788),(46 44051456),(47 43318108),(48 42677564),(49 42157416),(50 41702476),(51 41416996),(52 41216640),(53 41159976),(54 41166556),(55 41356188),(56 41692284),(57 42230692),(58 42784630),(59 43173700),(60 43550984),(61 43823916),(62 44055296),(63 44247516),(64 44373480),(65 44554692),(66 44797300),(67 45099828),(68 45458596),(69 45986524),(70 46502404),(71 47120536),(72 47835544),(73 48400988),(74 48819676),(75 49121536),(76 49324376),(77 49456084),(78 49539130),(79 49594480),
(1 293913.25),(2 1113999.3),(3 2428671.3),(4 4167247.5),(5 6256767.5),(6 8589376),(7 11128659),(8 13748523),(9 16425314),(10 19057392),(11 21535156),(12 23866508),(13 26019622),(14 28047482),(15 29861986),(16 31512266),(17 32985084),(18 34159820),(19 35048096),(20 35715640),(21 36285730),(22 36746976),(23 36955412),(24 36962220),(25 36762716),(26 36317416),(27 35583120),(28 34669892),(29 33650452),(30 32557580),(31 31551546),(32 30718216),(33 30043410),(34 29516538),(35 29035598),(36 28674454),(37 28358350),(38 28147044),(39 28144998),(40 28337288),(41 28625292),(42 28924266),(43 29280392),(44 29572786),(45 29869116),(46 30213870),(47 30587468),(48 31102816),(49 31628522),(50 32059690),(51 32456052),(52 32844492),(53 33231406),(54 33552460),(55 33821056),(56 34147936),(57 34573910),(58 35047950),(59 35395544),(60 35674932),(61 35959868),(62 36236570),(63 36373372),(64 36340276),(65 36206636),(66 36040836),(67 35880470),(68 35773584),(69 35687884),(70 35655656),(71 35794664),(72 36081580),(73 36428960),(74 36753444),(75 37096308),(76 37436680),(77 37784476),(78 38110220),(79 38378460),
(1 255770.83),(2 962372.9),(3 2060633.4),(4 3469056),(5 5099313),(6 6856093.5),(7 8696571),(8 10563164),(9 12497038),(10 14481086),(11 16416599),(12 18296664),(13 20109884),(14 21878154),(15 23447594),(16 24808640),(17 25970316),(18 26976664),(19 27760796),(20 28382856),(21 28812546),(22 29136290),(23 29392488),(24 29503030),(25 29527064),(26 29420534),(27 29199772),(28 28849572),(29 28423246),(30 27942012),(31 27469242),(32 27038276),(33 26720786),(34 26413622),(35 26081058),(36 25923560),(37 25943214),(38 26097348),(39 26388526),(40 26785610),(41 27171228),(42 27532454),(43 27989220),(44 28487808),(45 29028040),(46 29592386),(47 30144320),(48 30682888),(49 31194958),(50 31761238),(51 32337870),(52 32881544),(53 33386894),(54 33826870),(55 34271324),(56 34791210),(57 35383864),(58 35981796),(59 36406270),(60 36737772),(61 36976428),(62 37161456),(63 37383556),(64 37568988),(65 37688828),(66 37717508),(67 37684576),(68 37644052),(69 37638960),(70 37714356),(71 37863024),(72 38015212),(73 38180652),(74 38360080),(75 38582868),(76 38798510),(77 38960156),(78 39078120),(79 39193576),
(1 326076.4),(2 1243149),(3 2659590.8),(4 4484799.5),(5 6677897.5),(6 9191874),(7 11938571),(8 14857019),(9 17826292),(10 20824846),(11 23665670),(12 26471842),(13 29117208),(14 31542416),(15 33725644),(16 35724120),(17 37612900),(18 39357940),(19 41040340),(20 42504656),(21 43647464),(22 44643424),(23 45373310),(24 45556908),(25 45467310),(26 45125076),(27 44371950),(28 43319380),(29 42107692),(30 40694690),(31 39237090),(32 37795700),(33 36303130),(34 34886630),(35 33778740),(36 32906474),(37 32163396),(38 31530696),(39 31060834),(40 30775802),(41 30671992),(42 30753162),(43 30844954),(44 30915584),(45 31022742),(46 31100944),(47 31084006),(48 30952958),(49 30749118),(50 30558290),(51 30313158),(52 30059288),(53 29852400),(54 29751860),(55 29735774),(56 29897946),(57 30443832),(58 31179690),(59 32012292),(60 32861918),(61 33590212),(62 34184424),(63 34688230),(64 34990630),(65 35136584),(66 35016776),(67 34778820),(68 34405004),(69 33965600),(70 33511424),(71 32997842),(72 32446544),(73 31940754),(74 31426836),(75 30842740),(76 30328304),(77 29943056),(78 29528928),(79 29112802),
