1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 15184.489),(2 49516.34),(3 104743.59),(4 174785.52),(5 254786.45),(6 340690.8),(7 445455.5),(8 555227.8),(9 675794.75),(10 794037.8),(11 922429),(12 1043991.8),(13 1168066.4),(14 1289225.1),(15 1425790),(16 1552298),(17 1675078.6),(18 1813613.4),(19 1952607.6),(20 2097910.3),(21 2231614),(22 2370081),(23 2507476.8),(24 2647443.8),(25 2800352.8),(26 2963609.3),(27 3153477.3),(28 3360526.8),(29 3587248),(30 3853213.8),(31 4135528.8),(32 4470403.5),(33 4831314.5),(34 5216211.5),(35 5642102),(36 6095358.5),(37 6554940.5),(38 7023285.5),(39 7546138.5),(40 8065984.5),(41 8545461),(42 9040191),(43 9572266),(44 10100306),(45 10639383),(46 11132751),(47 11628485),(48 12116483),(49 12605867),(50 13064083),(51 13488577),(52 13876093),(53 14202527),(54 14483595),(55 14717569),(56 14904161),(57 15064607),(58 15208395),(59 15346627),(60 15427712),(61 15533991),(62 15605635),(63 15700524),(64 15761721),(65 15801328),(66 15798115),(67 15786760),(68 15747887),(69 15742337),(70 15730951),(71 15749679),(72 15746397),(73 15806412),(74 15860488),(75 15980589),(76 16091680),(77 16202040),(78 16298624),(79 16386340),
(1 11201.203),(2 38135.98),(3 82680.15),(4 140552.84),(5 203353.03),(6 270852.34),(7 348043.56),(8 432562.3),(9 515376.34),(10 597683.7),(11 687438.9),(12 779479.1),(13 878331.9),(14 975744.4),(15 1083157.1),(16 1194495.6),(17 1310603.3),(18 1437345.3),(19 1577994.8),(20 1728382),(21 1894469.3),(22 2074642),(23 2263285.5),(24 2453552),(25 2661527.5),(26 2878210),(27 3122123.3),(28 3367956),(29 3629632),(30 3913895.3),(31 4201019),(32 4528781),(33 4862984.5),(34 5183849),(35 5523843),(36 5847157),(37 6179292),(38 6484901.5),(39 6824201),(40 7149646.5),(41 7492579),(42 7833995),(43 8195973),(44 8536686),(45 8880006),(46 9210788),(47 9561711),(48 9917072),(49 10271806),(50 10613338),(51 10946894),(52 11272437),(53 11587088),(54 11892168),(55 12184691),(56 12481587),(57 12791027),(58 13078962),(59 13405670),(60 13698208),(61 14017600),(62 14281090),(63 14524016),(64 14735424),(65 14910461),(66 15056211),(67 15237475),(68 15414874),(69 15616291),(70 15810221),(71 16055482),(72 16281363),(73 16532086),(74 16724573),(75 16905222),(76 17064976),(77 17199930),(78 17316554),(79 17458526),
(1 10057.198),(2 34419.313),(3 73113.99),(4 125331.07),(5 181522.19),(6 242579.63),(7 311309.78),(8 387081.38),(9 463718),(10 542642),(11 628718.3),(12 718012.8),(13 812932.25),(14 912087.5),(15 1019032.25),(16 1132849.3),(17 1249952.4),(18 1375240),(19 1508579.1),(20 1644096),(21 1782099.5),(22 1930423.1),(23 2083960),(24 2258218.5),(25 2435483.8),(26 2620217.8),(27 2812173),(28 3003915),(29 3196858.8),(30 3400508.3),(31 3611750.8),(32 3836752),(33 4065078),(34 4304592),(35 4565577.5),(36 4844214.5),(37 5138627.5),(38 5440145.5),(39 5770756),(40 6092397.5),(41 6391380.5),(42 6688596),(43 6995031.5),(44 7297472),(45 7617737.5),(46 7940564),(47 8276532.5),(48 8629492),(49 8993711),(50 9358887),(51 9730015),(52 10090461),(53 10433755),(54 10746430),(55 11056971),(56 11375413),(57 11699413),(58 11982435),(59 12282372),(60 12569000),(61 12870433),(62 13134645),(63 13403797),(64 13663801),(65 13921659),(66 14155104),(67 14406935),(68 14663697),(69 14914533),(70 15118016),(71 15342588),(72 15540628),(73 15751341),(74 15913029),(75 16078180),(76 16213444),(77 16343883),(78 16429736),(79 16516477),
(1 11916.559),(2 42732.777),(3 92031.46),(4 155818.06),(5 229637.92),(6 313266.4),(7 409456.97),(8 514639.78),(9 624559.9),(10 737681.7),(11 860537.56),(12 990177.9),(13 1125776.8),(14 1268520.5),(15 1418724.3),(16 1573057.5),(17 1730593.1),(18 1898136.3),(19 2079195.5),(20 2262650),(21 2446873.3),(22 2629203),(23 2818370.8),(24 3021097.3),(25 3237011.5),(26 3454782.8),(27 3689532.3),(28 3920806.8),(29 4159232),(30 4393653.5),(31 4629604.5),(32 4869550),(33 5126890.5),(34 5374024),(35 5638555.5),(36 5914136),(37 6182353),(38 6450704),(39 6728794.5),(40 7000643.5),(41 7281001),(42 7552340.5),(43 7837465),(44 8111768),(45 8403696),(46 8684092),(47 8969989),(48 9258336),(49 9556047),(50 9832564),(51 10123360),(52 10399257),(53 10673420),(54 10926983),(55 11169186),(56 11420528),(57 11692708),(58 11930560),(59 12179680),(60 12385368),(61 12603052),(62 12762773),(63 12905683),(64 13021376),(65 13117730),(66 13196969),(67 13272169),(68 13335552),(69 13404226),(70 13447795),(71 13530181),(72 13604172),(73 13690049),(74 13730032),(75 13789977),(76 13795534),(77 13783131),(78 13743054),(79 13705003),
(1 13331.788),(2 48081.83),(3 101230),(4 168450.94),(5 246834.36),(6 332815.53),(7 425273.38),(8 526482.25),(9 629184.06),(10 734981.75),(11 846383.8),(12 967998.2),(13 1094503.6),(14 1226471.1),(15 1368177.3),(16 1515006.3),(17 1664605.1),(18 1823267.6),(19 1993358.9),(20 2170936.8),(21 2350309.3),(22 2535458.3),(23 2730188.3),(24 2935565.5),(25 3156717),(26 3384194.3),(27 3622627),(28 3865484),(29 4103677.8),(30 4344115.5),(31 4579405),(32 4807542.5),(33 5037928.5),(34 5252940.5),(35 5469114.5),(36 5673479),(37 5849819.5),(38 6014446.5),(39 6170150),(40 6325582.5),(41 6491675.5),(42 6645347),(43 6813833.5),(44 6961745.5),(45 7117042),(46 7246924.5),(47 7392301),(48 7520822.5),(49 7661186),(50 7794490),(51 7933568.5),(52 8068438.5),(53 8215051.5),(54 8358238),(55 8490768),(56 8624565),(57 8763748),(58 8872624),(59 8984561),(60 9055274),(61 9128239),(62 9155250),(63 9158583),(64 9125221),(65 9066740),(66 8993857),(67 8911236),(68 8801004),(69 8678716),(70 8549564),(71 8426334),(72 8291835.5),(73 8160520.5),(74 8018854),(75 7875382),(76 7729345.5),(77 7585872),(78 7439936),(79 7306315.5),
(1 11766.892),(2 42033.926),(3 89654.75),(4 151175.98),(5 222763.84),(6 304419.88),(7 396627.94),(8 501949.3),(9 617850.4),(10 741298.9),(11 875086.8),(12 1016225.6),(13 1164349),(14 1324133.8),(15 1498617.8),(16 1685596.3),(17 1885181),(18 2103358.5),(19 2333497.3),(20 2564426.5),(21 2805730.8),(22 3053540.5),(23 3311856.3),(24 3580137.5),(25 3864218.5),(26 4146700.8),(27 4439982),(28 4729699),(29 5011368),(30 5280517),(31 5543811),(32 5789590.5),(33 6031686.5),(34 6248613),(35 6454102.5),(36 6644092),(37 6830417.5),(38 7019451),(39 7202346.5),(40 7362377.5),(41 7514094.5),(42 7638331),(43 7745670.5),(44 7823920),(45 7882411),(46 7914032),(47 7945013),(48 7953577.5),(49 7951992),(50 7943817.5),(51 7936968),(52 7915489.5),(53 7879723),(54 7814560),(55 7747360),(56 7677679),(57 7608813),(58 7533141.5),(59 7446587),(60 7325150.5),(61 7205922.5),(62 7056090.5),(63 6891253),(64 6723304),(65 6569456),(66 6417554.5),(67 6292409.5),(68 6176455),(69 6063312),(70 5954530),(71 5863978.5),(72 5772223),(73 5707211),(74 5642537.5),(75 5589629),(76 5559961),(77 5544815.5),(78 5532579),(79 5561896),
(1 12771.73),(2 46978.48),(3 100771.625),(4 170944.02),(5 253661.83),(6 347035.84),(7 451683.97),(8 567624),(9 692973),(10 825236.56),(11 967777.3),(12 1118316.3),(13 1275945.9),(14 1438977.4),(15 1612055.1),(16 1781452.6),(17 1959946),(18 2144640),(19 2336446.8),(20 2525893.5),(21 2719847),(22 2914868.3),(23 3109149.3),(24 3305229.8),(25 3508822.3),(26 3703076.5),(27 3899612.3),(28 4078570.8),(29 4250610.5),(30 4406834),(31 4546395.5),(32 4675722),(33 4817774.5),(34 4945253.5),(35 5069456.5),(36 5187800.5),(37 5309006),(38 5436994.5),(39 5572175.5),(40 5700615.5),(41 5832272),(42 5948219),(43 6061728.5),(44 6165663),(45 6270140.5),(46 6351979),(47 6435227),(48 6502716.5),(49 6569486),(50 6621711),(51 6690566),(52 6748029),(53 6784383.5),(54 6794551.5),(55 6789079.5),(56 6759682),(57 6725010),(58 6678713),(59 6617434.5),(60 6517880),(61 6420028.5),(62 6290938),(63 6157319),(64 6005456.5),(65 5855698),(66 5702343.5),(67 5562614),(68 5419120.5),(69 5279379.5),(70 5131619),(71 5002012.5),(72 4863524.5),(73 4736583.5),(74 4612336.5),(75 4516219),(76 4422989.5),(77 4346267),(78 4274544.5),(79 4220700.5),
(1 13248.4795),(2 49613.184),(3 108404.945),(4 185281.67),(5 278855.3),(6 385237.1),(7 502968.22),(8 631834.3),(9 770930.1),(10 914884.44),(11 1067798.4),(12 1224210.9),(13 1380419.3),(14 1533522.5),(15 1686263.5),(16 1836226.1),(17 1990304),(18 2145956.8),(19 2302293.8),(20 2454132.8),(21 2600718.8),(22 2735497.5),(23 2867043.3),(24 2989196),(25 3113654.5),(26 3227270.3),(27 3333211.8),(28 3430074.8),(29 3523733.3),(30 3601963.5),(31 3670607),(32 3721381.8),(33 3769566.5),(34 3815712.3),(35 3865324.8),(36 3915663),(37 3969010.8),(38 4021278.8),(39 4077033.8),(40 4129964.5),(41 4193278.3),(42 4250507),(43 4294949.5),(44 4332182.5),(45 4361991),(46 4371123.5),(47 4369971),(48 4353852.5),(49 4336878),(50 4302303.5),(51 4266163.5),(52 4224745),(53 4184862.5),(54 4138411),(55 4089291.8),(56 4050000),(57 4014605.8),(58 3987248),(59 3970839.8),(60 3942900.8),(61 3930354.8),(62 3900302.5),(63 3861563.3),(64 3819087.5),(65 3774562.8),(66 3730705),(67 3698456),(68 3668422.5),(69 3657460),(70 3649793.5),(71 3662713),(72 3676638.5),(73 3699104.3),(74 3718871.3),(75 3745676),(76 3773889.3),(77 3811048.3),(78 3844890.8),(79 3895065.5),
(1 17163.613),(2 65504.906),(3 143457.56),(4 247772.53),(5 372529.6),(6 514162.53),(7 672717.44),(8 843560.7),(9 1023662.94),(10 1210439.5),(11 1406175),(12 1606187.3),(13 1813705.6),(14 2019237.9),(15 2228444.8),(16 2432038.8),(17 2626314),(18 2815029.8),(19 3004377.8),(20 3194946.5),(21 3379391.5),(22 3553196.3),(23 3723399),(24 3880965.3),(25 4034395.3),(26 4176915.3),(27 4307922),(28 4423891),(29 4536212),(30 4630190),(31 4712906.5),(32 4773495.5),(33 4833300),(34 4880828),(35 4924357),(36 4952120),(37 4976944),(38 4980988),(39 4977769),(40 4971395),(41 4966101.5),(42 4941030.5),(43 4902379.5),(44 4844816.5),(45 4773631),(46 4690561),(47 4602492.5),(48 4504645),(49 4411468),(50 4324190),(51 4239652.5),(52 4157810),(53 4083868.3),(54 3997938),(55 3918089.5),(56 3832383),(57 3752807.5),(58 3685030.5),(59 3623171.5),(60 3557039.3),(61 3499313.8),(62 3437205.3),(63 3381561.5),(64 3335519.5),(65 3299264.5),(66 3272758.5),(67 3254629.3),(68 3243755),(69 3244602.8),(70 3241090.8),(71 3237756.3),(72 3230003.5),(73 3224596.3),(74 3207851.8),(75 3192755.3),(76 3176715.8),(77 3158062.5),(78 3140072),(79 3127321.3),
(1 16398.82),(2 61989.66),(3 134083.08),(4 228003.94),(5 340607.66),(6 468177.78),(7 612740),(8 768289.1),(9 929422.9),(10 1093457),(11 1260606.5),(12 1423262),(13 1586841.8),(14 1746242.5),(15 1907840),(16 2061776.9),(17 2204079.8),(18 2335625.8),(19 2451321),(20 2554151.8),(21 2643795.3),(22 2720793.5),(23 2787432.5),(24 2837370.8),(25 2875974),(26 2896187.5),(27 2899196.5),(28 2888799.8),(29 2858403),(30 2805772),(31 2746029),(32 2677876.3),(33 2612977),(34 2545253),(35 2483215.5),(36 2431537.8),(37 2394210),(38 2360854.8),(39 2338898.8),(40 2329532),(41 2328488),(42 2330379.3),(43 2336575.8),(44 2345936.8),(45 2361620),(46 2374505.8),(47 2392263),(48 2407922.8),(49 2433331.5),(50 2464655.3),(51 2504571),(52 2542457.3),(53 2589603.8),(54 2634100.5),(55 2677831.3),(56 2719109.8),(57 2772414.8),(58 2829472),(59 2890675),(60 2945861.8),(61 3007866.8),(62 3069791.5),(63 3140563.5),(64 3214453.8),(65 3291904),(66 3359452.5),(67 3418957.8),(68 3461087.5),(69 3498697),(70 3511253.5),(71 3513303.5),(72 3496228.3),(73 3467832),(74 3421622.8),(75 3372625.5),(76 3321645),(77 3273982.8),(78 3228548.5),(79 3187942),
(1 20164.521),(2 76189.06),(3 165681.73),(4 286475.88),(5 430732.2),(6 593912.06),(7 777660.7),(8 974664),(9 1180316.3),(10 1392653.4),(11 1609698.4),(12 1827859.3),(13 2043518.4),(14 2249271.3),(15 2448377),(16 2635302.5),(17 2811621),(18 2974684.8),(19 3119842),(20 3239515),(21 3343682.8),(22 3428541.3),(23 3501279.3),(24 3557919.5),(25 3596896.5),(26 3620678.8),(27 3633193.3),(28 3624471),(29 3599373.3),(30 3569935),(31 3522042),(32 3466410.8),(33 3412948.3),(34 3359856.5),(35 3310138),(36 3266892.5),(37 3225262.5),(38 3180201),(39 3145289),(40 3110821.5),(41 3086924.3),(42 3063896.8),(43 3038044.8),(44 3006895),(45 2973103.5),(46 2932797.3),(47 2899704.3),(48 2862327.5),(49 2830070),(50 2793235.3),(51 2758505),(52 2727106.8),(53 2695322),(54 2661685),(55 2624262.8),(56 2584557.3),(57 2544495.3),(58 2505098.5),(59 2473758.3),(60 2441307.5),(61 2408689),(62 2380440.5),(63 2357560.5),(64 2338012.3),(65 2325505.5),(66 2324282.5),(67 2332669.8),(68 2351836.3),(69 2376382),(70 2400852.3),(71 2438318),(72 2487786.3),(73 2542206.8),(74 2600345),(75 2662608),(76 2728770),(77 2795049),(78 2856863),(79 2921332.8),
