1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 31577.56),(2 47572.86),(3 58328.64),(4 110161.22),(5 149026.02),(6 174675.19),(7 241281.38),(8 297693.03),(9 344730.13),(10 426928.6),(11 495482.28),(12 567280.8),(13 662810.2),(14 740127.2),(15 831265.25),(16 928117.5),(17 1007545.7),(18 1143032.1),(19 1254520.1),(20 1345451.8),(21 1467095.6),(22 1597746.4),(23 1727754.5),(24 1886726.4),(25 2055133.6),(26 2222643.5),(27 2432060.3),(28 2636892.3),(29 2832701.3),(30 3044328.8),(31 3248636.8),(32 3410607.3),(33 3681268.8),(34 3837748),(35 3977270.8),(36 4237085.5),(37 4408317.5),(38 4631761.5),(39 4975415.5),(40 5185850.5),(41 5419974),(42 5722201.5),(43 5950447.5),(44 6220891.5),(45 6501831.5),(46 6733910.5),(47 6964206.5),(48 7321298.5),(49 7512088),(50 7722821.5),(51 7960646),(52 8117040.5),(53 8308958.5),(54 8520387),(55 8703454),(56 8933671),(57 9157791),(58 9387371),(59 9604835),(60 9781641),(61 9879796),(62 10027742),(63 10253393),(64 10327740),(65 10415947),(66 10529657),(67 10560283),(68 10652621),(69 10706289),(70 10717385),(71 10778785),(72 10850616),(73 10856787),(74 10911179),(75 11004309),(76 11003497),(77 11064451),(78 11193989),(79 11180291),
(1 32897.375),(2 54189.43),(3 70556.35),(4 130955.266),(5 181533.66),(6 220376.1),(7 303170.8),(8 371373.03),(9 430067.6),(10 526790.2),(11 615988.1),(12 703885.1),(13 823721.9),(14 941580.8),(15 1072502.3),(16 1212420.3),(17 1352526.1),(18 1524497.8),(19 1677613.3),(20 1824079.3),(21 1981464.3),(22 2138394.8),(23 2300359.3),(24 2467983.5),(25 2643160.5),(26 2830632.5),(27 3038389.3),(28 3242353.5),(29 3462032.5),(30 3675779.3),(31 3887891.5),(32 4084279.5),(33 4371477),(34 4541115),(35 4703069),(36 4934651),(37 5077901),(38 5230706),(39 5448495.5),(40 5584980),(41 5768129),(42 5968972),(43 6121976.5),(44 6280300),(45 6441096),(46 6598472.5),(47 6753480),(48 6932234.5),(49 7022297.5),(50 7139949),(51 7254073.5),(52 7308906.5),(53 7421003),(54 7505778.5),(55 7620366.5),(56 7757838.5),(57 7875651),(58 8030089.5),(59 8206345),(60 8317365.5),(61 8425407),(62 8560910),(63 8736993),(64 8796314),(65 8908805),(66 9000370),(67 9079862),(68 9202998),(69 9315194),(70 9399533),(71 9541972),(72 9669203),(73 9773771),(74 9909662),(75 10052205),(76 10116396),(77 10247187),(78 10415314),(79 10460792),
(1 28720.553),(2 59386.86),(3 99701.47),(4 175648.92),(5 252411.58),(6 326491.97),(7 434772.9),(8 542556.7),(9 643384.3),(10 774723.5),(11 916497.7),(12 1054143.1),(13 1216704.5),(14 1394816.9),(15 1570275.4),(16 1759564.1),(17 1976019.4),(18 2208168.3),(19 2421321.8),(20 2663815.3),(21 2885844.8),(22 3096625),(23 3350119.3),(24 3570196),(25 3795338),(26 4067942),(27 4310244.5),(28 4560948.5),(29 4867068),(30 5132320.5),(31 5409547),(32 5743524),(33 6088321.5),(34 6358414.5),(35 6671633.5),(36 6964297.5),(37 7209298),(38 7477727.5),(39 7726500),(40 7940928.5),(41 8234250),(42 8524772),(43 8770293),(44 9061860),(45 9307729),(46 9560831),(47 9875897),(48 10123887),(49 10301806),(50 10580348),(51 10793746),(52 10965977),(53 11212379),(54 11402952),(55 11642963),(56 11931581),(57 12159769),(58 12427665),(59 12774233),(60 12993765),(61 13229407),(62 13535535),(63 13755868),(64 13912819),(65 14144963),(66 14326713),(67 14520997),(68 14791163),(69 14998893),(70 15223300),(71 15531837),(72 15735068),(73 15909308),(74 16176208),(75 16344953),(76 16460915),(77 16654367),(78 16750277),(79 16785850),
(1 19919.469),(2 49186.082),(3 89481.7),(4 157815.08),(5 235621.47),(6 313864.63),(7 420032.53),(8 534304.56),(9 642220.7),(10 775701.9),(11 907967.25),(12 1037118.7),(13 1187965.8),(14 1344791.3),(15 1501907),(16 1684816),(17 1871394.6),(18 2057926),(19 2261164.8),(20 2463446.5),(21 2654085),(22 2868493),(23 3082930.3),(24 3285068.5),(25 3509527.5),(26 3731056.5),(27 3935948.5),(28 4167479),(29 4383418),(30 4587938),(31 4821642.5),(32 5048503.5),(33 5285330),(34 5522677.5),(35 5759901.5),(36 5977958),(37 6215003),(38 6450997.5),(39 6678803.5),(40 6930705.5),(41 7162293),(42 7411529),(43 7678933.5),(44 7914162),(45 8139477.5),(46 8418270),(47 8680741),(48 8934535),(49 9209704),(50 9493196),(51 9747924),(52 10034996),(53 10320813),(54 10593285),(55 10905039),(56 11214388),(57 11490748),(58 11822367),(59 12137952),(60 12400372),(61 12716468),(62 13007310),(63 13278740),(64 13552281),(65 13816496),(66 14043164),(67 14280319),(68 14517852),(69 14705020),(70 14918603),(71 15133303),(72 15301708),(73 15497902),(74 15689959),(75 15821897),(76 16005817),(77 16168423),(78 16278304),(79 16406773),
(1 18476.219),(2 49290.67),(3 93986.58),(4 166035.69),(5 247819.5),(6 337704.53),(7 453519.78),(8 582904.4),(9 721304.8),(10 882546),(11 1060702.4),(12 1248141.1),(13 1449849.1),(14 1668600.1),(15 1902564.4),(16 2148734.3),(17 2414741.8),(18 2699102.3),(19 2984561.3),(20 3285379),(21 3591141.8),(22 3912181.8),(23 4261649),(24 4623650),(25 5002688.5),(26 5394966),(27 5790051.5),(28 6192864),(29 6600990.5),(30 6986843.5),(31 7382987.5),(32 7773590),(33 8182689.5),(34 8568175),(35 8970492),(36 9356301),(37 9761386),(38 10171951),(39 10570247),(40 11001511),(41 11459639),(42 11964783),(43 12437709),(44 12886535),(45 13312669),(46 13760477),(47 14216768),(48 14581655),(49 14909305),(50 15268800),(51 15576905),(52 15857009),(53 16160544),(54 16471444),(55 16824734),(56 17149634),(57 17464862),(58 17803968),(59 18093310),(60 18303712),(61 18541060),(62 18724346),(63 18822322),(64 18836404),(65 18849918),(66 18801378),(67 18746602),(68 18671396),(69 18565154),(70 18479008),(71 18396464),(72 18256014),(73 18128464),(74 18000460),(75 17855922),(76 17686572),(77 17515112),(78 17292754),(79 17024354),
(1 20479.54),(2 68440.44),(3 144908.97),(4 255151.25),(5 390140.06),(6 544189.4),(7 730431),(8 934170.3),(9 1155114.9),(10 1405403.4),(11 1674153.9),(12 1955832.4),(13 2264693.8),(14 2584687.3),(15 2916964),(16 3261259.8),(17 3610407.5),(18 3976750.8),(19 4346581.5),(20 4710429),(21 5071185.5),(22 5439808),(23 5799381),(24 6132788),(25 6476814.5),(26 6800126.5),(27 7118552),(28 7436963),(29 7744259),(30 8051926.5),(31 8365371),(32 8661905),(33 8984766),(34 9287958),(35 9581195),(36 9873619),(37 10160266),(38 10416258),(39 10662486),(40 10912466),(41 11147915),(42 11364246),(43 11591610),(44 11812548),(45 12034120),(46 12246349),(47 12457811),(48 12664107),(49 12869250),(50 13047571),(51 13213562),(52 13381870),(53 13542842),(54 13664198),(55 13775325),(56 13885635),(57 13991069),(58 14078304),(59 14166714),(60 14247920),(61 14320560),(62 14386070),(63 14452789),(64 14502184),(65 14550246),(66 14573086),(67 14592374),(68 14608654),(69 14612955),(70 14599472),(71 14582592),(72 14540339),(73 14504501),(74 14448414),(75 14392298),(76 14339942),(77 14288363),(78 14215498),(79 14139302),
(1 21885.426),(2 76868.84),(3 164375.22),(4 284902.72),(5 430950.16),(6 602352.2),(7 802353.1),(8 1029126.56),(9 1270306.5),(10 1533603.1),(11 1819268.1),(12 2118937.5),(13 2432038.8),(14 2762933.3),(15 3096407),(16 3433894.5),(17 3778993.8),(18 4122662.5),(19 4457204),(20 4799791),(21 5134946),(22 5455159.5),(23 5783648),(24 6099214),(25 6397322.5),(26 6699762),(27 6993129),(28 7276077),(29 7553462),(30 7809902),(31 8062944.5),(32 8301931),(33 8543693),(34 8750849),(35 8942187),(36 9122029),(37 9298370),(38 9462461),(39 9626478),(40 9785486),(41 9954975),(42 10119557),(43 10259497),(44 10388379),(45 10508731),(46 10614719),(47 10721572),(48 10801858),(49 10840053),(50 10895602),(51 10940830),(52 10963532),(53 11006092),(54 11040071),(55 11057185),(56 11065721),(57 11072053),(58 11071503),(59 11061818),(60 11035733),(61 11008343),(62 10979751),(63 10929270),(64 10867212),(65 10819214),(66 10743569),(67 10680142),(68 10623007),(69 10562827),(70 10502127),(71 10453498),(72 10396501),(73 10351836),(74 10307991),(75 10264561),(76 10222481),(77 10197679),(78 10189438),(79 10182197),
(1 25124.264),(2 90540.516),(3 195379.31),(4 340992.22),(5 518060.53),(6 721652.9),(7 960244.7),(8 1221786.6),(9 1504933.1),(10 1812455.6),(11 2131979.5),(12 2461608.3),(13 2806859),(14 3145242.5),(15 3489803.5),(16 3831803.8),(17 4159696.8),(18 4484095.5),(19 4798657),(20 5096558.5),(21 5383230.5),(22 5662571),(23 5923889),(24 6163289),(25 6396766),(26 6614240),(27 6821974.5),(28 7017505.5),(29 7196168.5),(30 7354651.5),(31 7529136),(32 7688238),(33 7851616.5),(34 8004082),(35 8159824.5),(36 8305083.5),(37 8442706),(38 8586370),(39 8713891),(40 8836621),(41 8960810),(42 9071696),(43 9184881),(44 9288130),(45 9396900),(46 9501510),(47 9599860),(48 9692553),(49 9791567),(50 9878781),(51 9958093),(52 10040693),(53 10095885),(54 10132278),(55 10174000),(56 10199105),(57 10232676),(58 10275629),(59 10307133),(60 10319449),(61 10332463),(62 10346957),(63 10361058),(64 10366375),(65 10388449),(66 10398268),(67 10418221),(68 10443382),(69 10479042),(70 10509899),(71 10553021),(72 10587360),(73 10630737),(74 10689728),(75 10750975),(76 10823436),(77 10914077),(78 11006531),(79 11104084),
(1 18540.678),(2 67273.69),(3 146125.75),(4 251897.63),(5 381338.88),(6 531965.3),(7 705794.4),(8 898194.25),(9 1104114.3),(10 1323597.4),(11 1553590.3),(12 1789764.5),(13 2033449.9),(14 2280619.8),(15 2529361.3),(16 2775522),(17 3022527),(18 3260456),(19 3491759.5),(20 3717646),(21 3938091.3),(22 4149863.5),(23 4360345),(24 4567484.5),(25 4771933.5),(26 4971262),(27 5166698),(28 5363660),(29 5554143.5),(30 5723865.5),(31 5898652),(32 6064884),(33 6217313),(34 6362927),(35 6515569.5),(36 6649117.5),(37 6780532.5),(38 6897064.5),(39 6999598.5),(40 7091380.5),(41 7178003),(42 7251867),(43 7315968),(44 7380999.5),(45 7420084.5),(46 7464453.5),(47 7505211.5),(48 7513392.5),(49 7502398.5),(50 7489694),(51 7447647),(52 7399704.5),(53 7355996),(54 7301534),(55 7246901.5),(56 7181046),(57 7118831),(58 7070329),(59 7020042.5),(60 6967198.5),(61 6930556.5),(62 6894372),(63 6849017),(64 6808208),(65 6780914),(66 6741284.5),(67 6732509),(68 6738362.5),(69 6761790),(70 6796160),(71 6837516.5),(72 6904020),(73 6991852.5),(74 7101703.5),(75 7220257),(76 7360884),(77 7521779),(78 7712844),(79 7898821.5),
(1 18512.04),(2 67928.234),(3 146901.94),(4 254916.25),(5 384688.72),(6 536980.56),(7 710462.06),(8 902286.8),(9 1107854),(10 1330367.8),(11 1556034.9),(12 1791121.1),(13 2036892.5),(14 2284358.3),(15 2535058.5),(16 2787200.5),(17 3032470),(18 3280507.5),(19 3524989.3),(20 3764487),(21 3999440.5),(22 4240229.5),(23 4475373.5),(24 4716538),(25 4953926.5),(26 5190599),(27 5423725.5),(28 5660261.5),(29 5889666),(30 6107864),(31 6325756.5),(32 6531984),(33 6729429.5),(34 6921067),(35 7115615),(36 7294296),(37 7474072),(38 7632787.5),(39 7790111),(40 7931471),(41 8075990),(42 8204019.5),(43 8326625),(44 8445633),(45 8539348),(46 8623894),(47 8701318),(48 8765308),(49 8819622),(50 8857497),(51 8893154),(52 8923759),(53 8951694),(54 8964724),(55 8983348),(56 8993981),(57 9005083),(58 9014528),(59 9018364),(60 9016652),(61 8992644),(62 8969124),(63 8960597),(64 8940003),(65 8932526),(66 8930618),(67 8921141),(68 8907828),(69 8908707),(70 8899870),(71 8905031),(72 8923683),(73 8955859),(74 8982386),(75 9012192),(76 9045162),(77 9074099),(78 9118929),(79 9176693),
(1 16308.015),(2 58362.12),(3 124391.82),(4 212242.86),(5 318117.88),(6 436449.25),(7 567241.3),(8 713790),(9 868437.5),(10 1029772),(11 1196345),(12 1363984.4),(13 1540692.5),(14 1723311),(15 1908857.4),(16 2093521),(17 2282894.3),(18 2480186.5),(19 2671260.8),(20 2856109.3),(21 3044975.3),(22 3229551),(23 3418752),(24 3605367.5),(25 3782986.3),(26 3966448),(27 4145148.8),(28 4319309.5),(29 4491135),(30 4641596),(31 4780768),(32 4924574.5),(33 5062974),(34 5187852),(35 5309086.5),(36 5423396),(37 5529779),(38 5632686),(39 5725276),(40 5808996),(41 5907896),(42 6009879),(43 6093054),(44 6171990.5),(45 6251583.5),(46 6327644),(47 6408876),(48 6471095.5),(49 6512330),(50 6575314),(51 6637558),(52 6696032),(53 6763224.5),(54 6833472.5),(55 6908693.5),(56 6974433),(57 7042868.5),(58 7123293),(59 7201138.5),(60 7267005),(61 7347524.5),(62 7421812),(63 7496064),(64 7552219.5),(65 7621585),(66 7697424),(67 7780463),(68 7862087.5),(69 7950757.5),(70 8037108),(71 8131534),(72 8214539.5),(73 8302953.5),(74 8388457.5),(75 8486810),(76 8581498),(77 8672644),(78 8755073),(79 8837174),
